UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL115035,10,0,39,640,937,426,269,622,143,3030
UCL115036,26,5,83,463,797,418,288,582,109,2655
UCL115037,4,3,20,209,324,156,90,155,46,972
UCL115038,19,10,51,203,268,152,131,308,142,1211
UCL115039,38,8,64,446,612,269,237,646,447,2660
UCL115040,5,0,11,262,340,173,130,271,46,1222
UCL115041,55,20,109,295,417,195,178,696,260,2040
UCL115042,58,13,86,246,341,214,131,369,93,1393
UCL115043,77,52,159,284,423,198,177,564,370,2010
UCL115044,44,5,64,264,373,170,135,613,266,1826
UCL115045,32,11,44,151,184,122,85,286,148,983
UCL115046,6,0,12,269,395,175,123,297,76,1328
UCL115047,64,21,129,340,442,226,205,432,131,1779
UCL115048,94,10,158,525,910,427,301,807,137,3106
UCL115049,19,0,27,155,216,109,112,243,57,908
UCL115050,6,0,14,352,517,230,145,220,77,1533
UCL115051,111,40,197,265,496,301,198,429,206,1889
UCL115052,33,8,59,231,338,153,125,329,89,1264
UCL115053,26,3,51,139,221,197,95,183,65,891
UCL115054,4,0,13,168,269,143,116,141,36,878
UCL115055,62,0,91,255,446,291,203,539,81,1814
UCL115056,61,35,134,417,672,410,248,697,275,2714
UCL115057,53,20,132,470,662,337,235,529,232,2471
UCL115058,44,32,110,201,386,215,152,381,130,1463
UCL115059,64,10,105,245,359,159,141,463,214,1585
UCL115060,3,0,13,386,497,190,165,716,295,2240
UCL115061,67,47,119,141,214,94,93,357,98,999
UCL115062,3,0,10,217,322,159,128,209,34,1066
UCL115063,5,0,13,202,281,147,107,164,19,923
UCL115064,104,13,180,733,1173,570,331,754,169,3738
UCL115065,50,16,95,310,443,231,181,577,253,1992
UCL115066,7,0,13,356,534,306,247,430,85,1962
UCL115067,72,14,152,342,522,275,222,617,128,2108
UCL115068,14,3,39,175,308,150,115,281,78,1103
UCL115069,55,15,124,270,444,208,209,490,140,1759
UCL115070,10,0,22,459,710,295,271,644,98,2483
UCL115071,35,6,61,253,408,230,190,418,138,1636
UCL115072,3,0,15,230,402,262,219,345,56,1515
UCL115073,44,9,73,232,378,179,151,526,184,1652
UCL115074,21,26,70,290,354,191,143,421,288,1689
UCL115075,21,4,41,164,304,169,92,236,29,994
UCL115076,27,4,53,233,368,204,182,393,129,1500
UCL115077,68,21,125,405,766,462,386,798,148,2970
UCL115078,55,4,87,213,315,188,145,305,112,1284
UCL115079,44,15,83,299,419,194,174,534,243,1874
UCL115080,6,0,6,337,491,232,182,424,56,1724
UCL115081,27,0,43,155,190,92,68,316,134,954
UCL115082,35,4,49,181,239,129,115,299,112,1077
UCL115083,59,10,91,367,570,315,237,607,132,2223
UCL115084,23,11,70,208,419,246,208,392,120,1602
UCL115085,6,5,31,174,331,176,150,130,58,1017
UCL115086,5,0,13,598,564,173,81,406,105,1931
UCL115087,12,3,22,191,282,142,100,232,95,1039
UCL115088,12,7,48,207,351,214,160,242,61,1230
UCL115089,54,10,98,584,771,396,303,1025,1045,4126
UCL115090,19,5,40,138,223,127,132,312,108,1041
UCL115091,12,3,14,181,300,144,142,314,122,1204
UCL115092,61,5,77,250,390,161,155,439,85,1475
UCL115093,28,0,49,153,276,180,132,197,21,965
UCL115094,54,53,149,327,591,327,224,557,257,2283
UCL115095,21,10,38,128,216,85,87,268,131,905
UCL115096,37,0,80,561,1054,536,374,762,124,3401
UCL115097,17,8,39,353,569,287,267,620,168,2268
UCL115098,16,8,30,170,229,92,79,322,256,1148
UCL115099,77,20,161,420,606,311,288,676,184,2485
UCL115100,131,22,202,366,612,328,211,626,192,2335
UCL115101,16,8,58,332,632,370,218,329,144,2026
UCL115102,48,10,65,229,349,161,199,574,157,1665
UCL115103,32,6,51,122,208,98,86,248,83,834
UCL115104,91,9,123,215,375,205,115,305,80,1286
UCL115105,51,9,77,221,322,149,157,356,112,1314
UCL115106,51,28,119,397,604,320,219,540,244,2331
UCL115107,40,6,72,615,869,408,258,499,274,2916
UCL115108,0,0,4,361,584,268,143,191,40,1586
UCL115109,64,13,134,485,830,458,298,671,218,2957
UCL115110,94,11,155,450,674,366,264,1008,293,3059
UCL115111,32,29,111,437,664,301,270,662,407,2749
UCL115112,0,0,6,318,498,230,176,341,71,1636
UCL115113,22,18,62,292,352,170,134,363,115,1417
UCL115114,48,9,75,343,511,220,186,575,240,2070
UCL115115,40,8,79,828,1240,576,340,674,374,4037
UCL115116,130,16,213,599,1057,522,351,903,247,3678
UCL115117,65,23,126,217,346,206,146,434,151,1501
UCL115118,61,4,98,267,405,210,139,307,84,1412
UCL115119,19,4,52,623,895,414,307,663,141,3039
UCL115120,15,0,26,542,753,375,287,497,51,2500
UCL115121,22,4,51,201,371,171,167,492,128,1537
UCL115122,52,22,109,312,480,275,195,568,301,2135
UCL115123,6,0,17,232,415,182,129,168,60,1177
UCL115124,26,0,54,668,1103,514,304,703,209,3503
UCL115125,47,9,129,475,822,399,278,640,177,2785
UCL115126,11,0,15,197,287,143,71,150,31,880
UCL115127,3,5,13,160,327,189,126,204,79,1093
UCL115128,13,0,20,357,578,250,152,299,137,1774
UCL115129,4,35,56,266,458,255,151,209,84,1420
UCL115130,107,56,228,458,762,467,366,962,278,3300
UCL115131,63,13,120,594,889,478,358,983,188,3495
UCL115132,17,7,61,244,437,237,131,242,67,1361
UCL115133,61,20,185,366,812,464,316,610,116,2678
UCL115134,121,21,209,583,847,418,332,965,195,3335
UCL115135,75,14,130,330,566,346,285,670,204,2398
UCL115136,11,3,20,345,477,263,198,305,53,1644
UCL115137,42,43,120,618,891,417,401,762,202,3287
UCL115138,4,0,8,334,486,189,168,305,77,1559
UCL115139,59,19,115,333,552,298,233,556,254,2225
UCL115140,11,0,29,195,294,155,106,231,75,1050
UCL115141,35,11,64,204,315,159,134,326,102,1242
UCL115142,35,3,82,317,627,353,250,403,145,2103
UCL115143,27,13,59,352,511,292,218,473,109,1946
UCL115144,53,13,115,370,630,356,239,544,209,2354
UCL115145,7,4,26,198,396,194,146,232,87,1253
