UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL321055,123,24,0,5,0,149,58,16,0,0,0,70,25,12,0,0,0,34,15,0,0,0,0,23,16,3,0,0,0,18,31,10,0,0,0,42,23,5,0,0,0,34,0,3,0,0,0,3,112,30,3,0,4,149,11,5,0,0,0,15,0,0,0,0,4,5,300,72,3,5,3,385
UCL321056,117,0,0,0,0,116,72,4,0,0,0,78,38,5,0,0,0,44,9,0,3,0,0,9,0,0,5,0,0,5,41,4,0,0,0,41,12,0,0,0,0,15,0,0,0,0,0,0,103,10,4,0,0,121,3,0,0,0,0,10,3,0,0,0,0,4,303,10,13,0,4,332
UCL321057,137,0,0,3,0,143,46,0,0,0,0,51,28,0,0,0,0,28,4,0,0,3,0,12,0,0,0,0,0,0,34,0,0,0,0,40,7,0,0,0,0,6,0,0,0,0,0,0,72,0,0,12,0,91,8,0,0,0,0,8,13,0,0,0,0,13,272,0,0,24,0,300
UCL321058,160,0,0,0,0,159,124,0,0,4,0,126,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,5,0,0,0,0,5,0,0,0,0,0,0,67,0,0,0,0,67,8,0,0,0,0,8,3,0,0,0,0,3,355,0,0,4,0,359
UCL321059,135,0,0,0,0,137,176,0,0,0,0,176,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,37,0,0,0,0,37,3,0,0,0,0,5,3,0,0,0,0,3,357,0,3,0,0,357
UCL321060,117,0,0,0,0,117,63,0,0,0,0,67,30,0,0,0,0,30,0,3,0,0,0,0,0,5,0,0,0,4,33,0,0,0,0,30,13,0,0,0,0,12,0,0,0,0,0,0,69,10,0,0,0,79,4,0,0,0,0,4,5,0,0,0,0,5,261,10,0,0,0,278
UCL321061,88,0,55,4,0,154,59,0,0,0,0,67,15,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,22,0,0,13,0,3,17,0,0,0,0,0,0,40,0,21,0,3,64,0,0,0,0,0,6,4,0,4,0,0,11,193,0,83,7,8,295
UCL321062,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,89,28,0,0,0,117,61,11,0,0,0,70,0,0,0,0,0,0,13,6,0,0,5,20,3,0,0,0,0,4,160,46,0,0,5,211,10,3,0,0,0,16,5,3,0,0,0,10,190,51,0,0,8,247
UCL321063,146,0,0,0,0,148,139,0,3,0,0,138,20,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,5,0,0,0,0,4,3,0,0,0,0,3,320,0,4,0,0,329
UCL321064,120,0,0,11,0,132,44,0,0,0,0,47,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,4,0,3,0,0,0,0,0,0,58,0,0,4,0,61,0,0,0,0,0,0,4,0,0,0,0,10,237,3,0,14,0,258
