UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL101001,122198,69468,43466,24688,8885,1760,383075,1936,15982,19990,17561,13603,9897,3132,592,82702,66706,263228,218362,143501,95553,58768,23381,6713,876218,27547,71140,80642,76094,57537,35633,15996,5158,369753,38565,84213,78992,77487,66666,40067,20958,6745,413683,5217,5293,5799,6204,5691,3555,1276,338,33371,4049,7228,10293,14790,15814,12569,6287,2146,73175,47832,96728,95078,98484,88166,56195,28519,9232,520233,2020,5665,6085,5137,4982,4635,2839,1001,32359,33767,55988,46930,34924,30859,27806,24500,19323,274099,184599,616553,589292,445171,334169,217623,107252,43776,2538439
UCL102001,725,544,341,148,32,0,2609,16,143,198,247,161,84,17,0,867,276,1419,1149,853,563,304,121,23,4709,123,560,650,767,570,238,76,19,3004,503,1233,980,987,831,410,152,55,5157,70,87,68,61,52,26,10,3,381,36,60,71,124,125,92,37,21,557,610,1376,1120,1171,1008,526,197,79,6093,8,30,33,28,26,26,6,0,162,200,440,315,264,285,225,151,79,1961,1262,4761,4190,3872,2955,1552,608,204,19414
UCL102002,2343,1873,1632,1250,463,71,9367,127,635,924,906,936,883,244,42,4697,1489,7319,8076,6209,4462,3848,1602,400,33398,1096,3704,4980,5777,4850,3565,1690,394,26058,4617,9901,10038,10198,9983,6491,3517,954,55707,673,596,525,592,616,540,203,35,3784,358,505,751,1147,1414,1495,751,207,6638,5650,11000,11326,11935,12017,8522,4473,1199,66122,97,176,234,292,341,453,325,83,2000,1994,2303,2425,2457,2670,3306,3535,2715,21416,10528,26808,30298,29446,26910,21826,12332,4912,163063
UCL102003,379,329,296,295,73,16,1684,6,135,189,186,221,175,47,19,978,239,1299,1621,1239,948,839,341,94,6621,180,651,938,1013,1062,867,396,133,5244,768,1481,1632,1912,2014,1575,884,283,10560,124,88,101,108,120,111,33,10,690,56,95,155,189,286,299,165,58,1305,956,1661,1889,2215,2416,1978,1082,359,12554,13,31,34,32,61,79,71,39,358,400,542,584,567,641,762,924,735,5155,1812,4606,5641,5581,5645,5000,2941,1383,32609
UCL102004,4283,3017,2228,1591,550,122,15253,131,1037,1390,1285,1232,1086,290,48,6495,2945,13137,11328,8090,5478,4393,1703,399,47472,1225,4297,5119,5660,5062,3465,1555,414,26792,5496,11275,9883,10053,9741,6591,3149,1009,57198,836,599,550,577,563,429,150,35,3750,380,489,597,1045,1364,1395,714,211,6197,6716,12366,11026,11683,11666,8418,4012,1257,67145,140,202,213,248,315,336,247,93,1797,2382,2568,2277,2251,2351,2786,2745,2090,19452,13665,36943,35637,32234,28334,22074,11103,4410,184404
UCL102005,3075,2304,1864,1279,374,54,12488,120,938,1061,881,832,701,187,34,4749,2849,9197,7103,5468,3775,2674,976,228,32269,1283,3591,4411,4688,3764,2474,906,262,21378,4667,9242,8489,8332,7879,4904,2369,718,46600,603,501,485,493,537,323,114,35,3086,325,423,592,990,1263,1077,503,128,5313,5595,10169,9567,9813,9672,6309,2992,885,54998,89,139,184,200,279,292,167,58,1406,2000,2105,1903,1823,1886,1955,2136,1533,15332,12132,29475,27307,25176,22075,15672,7735,3049,142619
UCL111001,393,263,235,143,49,3,1581,21,156,229,218,193,157,42,3,1023,274,1431,1416,973,660,589,217,45,5599,178,701,716,776,741,550,225,57,3949,896,2023,1615,1552,1446,971,407,140,9054,115,137,94,98,84,67,20,5,609,49,70,114,140,192,165,85,30,843,1057,2230,1822,1788,1722,1204,508,169,10503,15,23,40,24,19,54,42,9,228,449,505,464,416,473,469,468,244,3491,2012,5508,5072,4467,4039,3174,1558,536,26367
UCL111002,300,291,224,203,70,18,1334,11,114,151,160,191,183,61,7,879,206,1074,1217,999,758,736,283,61,5337,95,486,648,845,814,636,295,93,3918,708,1461,1466,1515,1532,1071,538,141,8435,116,127,88,77,122,95,25,10,656,46,96,109,145,195,246,134,30,1005,869,1689,1666,1737,1843,1406,706,184,10091,6,29,29,40,32,45,44,11,240,412,507,483,453,454,555,616,498,3975,1606,4119,4491,4537,4317,3762,2077,877,25782
UCL111003,587,391,305,173,53,5,1921,36,232,242,225,191,170,33,5,1124,385,2177,1910,1302,774,635,237,71,7492,304,1259,1475,1354,1092,690,268,46,6492,1693,4313,3591,2974,2502,1478,658,133,17345,243,260,211,164,121,93,29,3,1124,110,164,155,238,328,263,117,29,1404,2042,4738,3957,3379,2956,1836,807,167,19878,24,43,50,55,51,90,45,17,368,502,686,632,507,525,527,531,274,4190,3301,9543,8848,7219,5900,4109,1971,594,41476
UCL112001,429,281,290,206,111,33,1717,8,75,101,95,87,94,26,4,496,186,745,503,397,360,282,145,44,2667,69,206,212,227,233,169,112,37,1272,322,596,393,369,369,247,133,44,2482,112,40,39,29,33,21,12,4,288,34,23,33,51,59,58,39,11,306,471,660,456,456,462,325,185,53,3077,14,16,13,14,16,21,16,3,112,721,320,199,153,182,166,244,136,2128,1483,2382,1911,1620,1630,1267,846,317,11467
UCL112002,236,224,214,154,63,13,1145,13,94,127,129,100,93,37,5,597,236,995,826,682,511,363,153,36,3800,116,389,407,490,465,313,153,62,2393,655,1374,1157,1034,909,565,268,68,6038,93,84,67,78,58,53,8,8,446,44,74,72,105,139,155,55,25,676,797,1536,1296,1213,1105,771,335,102,7152,13,16,16,29,31,40,24,14,178,414,567,480,372,282,247,270,164,2798,1604,3821,3391,3140,2709,1986,1031,399,18078
UCL112003,435,516,529,498,158,36,2406,5,67,118,208,244,225,60,6,935,123,648,926,1064,925,873,335,90,4980,86,286,428,553,672,578,223,57,2888,335,669,712,755,781,548,233,57,4087,42,50,35,51,64,39,13,0,298,18,25,31,89,122,142,82,26,535,397,742,773,891,963,729,333,81,4914,8,11,15,18,33,38,37,12,176,158,160,179,243,231,256,235,127,1592,782,2139,2878,3493,3595,3206,1384,414,17893
UCL112004,261,285,245,296,162,55,1501,4,30,73,104,126,145,62,8,553,93,478,685,676,587,665,430,107,3719,62,212,284,421,428,501,321,94,2318,195,450,443,515,554,449,338,86,3021,25,20,25,39,41,41,33,8,220,16,23,34,80,116,148,118,24,548,229,489,506,636,706,636,477,114,3795,6,9,14,16,25,69,54,29,221,110,85,136,170,169,247,319,289,1516,515,1501,1963,2301,2274,2560,1829,694,13632
UCL112005,45,27,35,32,5,0,189,11,29,22,19,25,28,4,6,143,40,224,258,164,124,122,39,10,978,45,224,223,241,221,163,51,11,1182,412,970,821,790,723,447,201,40,4401,85,86,53,47,41,26,8,4,346,17,47,44,57,69,79,29,11,347,519,1105,913,897,829,553,231,52,5091,3,8,7,16,15,17,6,3,77,330,651,551,425,301,278,260,151,2951,948,2284,2030,1777,1551,1194,603,232,10624
UCL112006,361,154,118,48,14,7,1317,12,128,128,111,104,72,14,0,569,223,1374,936,546,415,298,107,24,3913,113,478,472,431,419,233,125,36,2316,592,1526,1140,990,901,524,232,62,5958,83,118,65,48,64,30,16,4,433,33,80,74,86,119,108,66,14,582,710,1720,1272,1123,1089,659,313,77,6967,10,36,29,29,31,31,29,15,195,465,651,486,428,379,343,347,194,3306,1546,4989,3691,2816,2551,1690,951,356,18584
UCL112007,29,19,20,5,4,0,108,0,22,32,29,13,14,4,0,112,23,134,164,99,73,50,18,3,572,7,56,81,87,86,71,36,8,441,67,196,184,211,172,197,84,10,1123,4,3,6,7,8,9,3,0,36,3,4,4,19,15,19,5,0,79,74,209,192,241,189,226,94,10,1240,0,0,8,5,3,3,5,0,27,43,44,43,40,76,113,126,60,543,156,505,539,521,463,487,293,89,3047
UCL112008,59,57,57,46,37,6,324,6,26,32,33,53,71,22,6,252,32,240,258,211,266,307,157,35,1503,45,111,212,247,299,364,160,58,1493,197,426,463,554,770,783,435,135,3762,29,33,41,43,48,62,21,4,280,20,16,27,58,102,151,74,29,484,248,476,526,652,923,996,537,168,4527,3,4,10,11,18,44,23,13,130,130,123,120,174,264,423,489,337,2065,465,1037,1221,1389,1886,2254,1426,620,10294
UCL112009,116,88,91,79,32,11,555,3,70,85,55,80,56,15,6,367,95,489,375,277,229,212,115,34,1827,70,323,308,342,288,241,113,29,1712,405,936,738,683,688,415,194,49,4100,55,48,38,42,30,27,9,0,255,24,38,56,75,99,82,44,13,428,479,1022,829,804,808,524,245,61,4787,5,15,13,17,16,23,11,10,113,245,385,297,299,242,268,223,166,2127,910,2434,2018,1882,1756,1396,758,318,11479
UCL112010,124,58,47,19,8,0,476,9,39,29,41,38,33,10,0,196,115,656,441,291,169,112,45,12,1834,64,286,295,196,158,91,40,8,1142,292,679,618,503,461,257,104,27,2943,31,38,30,37,35,20,3,0,188,26,55,37,69,74,45,15,4,324,353,772,677,608,568,318,123,28,3457,8,27,24,13,12,17,5,7,107,187,317,230,205,192,179,172,163,1643,732,2310,1821,1408,1188,764,393,224,8849
UCL112011,36,16,17,14,4,0,134,11,34,33,29,28,15,0,0,147,70,305,224,117,102,84,19,11,922,58,285,214,184,183,105,28,3,1064,411,1145,837,741,618,389,134,15,4285,75,98,60,34,29,19,6,0,319,37,43,58,63,54,46,7,10,309,514,1283,956,846,702,446,144,26,4912,3,12,14,9,7,14,7,0,63,148,177,142,148,162,161,117,53,1113,806,2145,1607,1356,1199,839,318,97,8360
UCL112012,177,167,139,127,49,0,851,11,72,108,100,103,107,34,6,539,96,605,687,593,508,401,131,48,3060,98,267,326,383,420,302,100,37,1924,429,916,835,787,778,487,211,63,4510,82,76,49,59,59,47,9,4,376,37,57,65,65,113,97,60,17,520,549,1052,952,914,948,636,284,79,5409,7,12,7,16,14,38,19,12,132,333,301,286,262,252,266,228,164,2088,1100,2477,2546,2438,2392,1870,838,344,13996
UCL112013,3,8,6,0,0,0,31,4,3,7,12,9,3,0,0,34,15,66,42,39,19,20,4,6,214,5,32,41,43,41,15,6,0,189,25,100,88,77,61,38,10,0,400,6,6,0,4,9,0,0,0,29,5,4,5,4,4,3,0,0,33,35,108,96,83,78,47,15,0,462,0,0,0,0,4,0,0,0,6,37,20,38,44,26,22,14,8,202,95,243,226,228,174,116,35,12,1135
UCL112014,94,137,118,135,91,28,695,9,56,43,52,70,55,44,4,321,90,393,381,307,289,322,163,73,2008,67,244,258,311,322,289,169,80,1747,341,833,749,677,728,530,304,100,4256,62,66,43,29,35,31,24,6,288,28,39,42,70,102,110,78,31,488,427,936,830,777,862,673,397,131,5037,4,10,5,21,20,33,33,16,145,132,143,126,118,144,207,262,186,1313,727,1867,1740,1730,1820,1712,1163,515,11268
UCL112015,192,123,91,65,28,3,690,10,88,90,59,91,78,36,6,453,123,690,519,337,309,246,124,42,2389,72,392,424,452,437,332,155,51,2312,581,1367,1057,945,875,641,335,115,5919,89,103,64,62,69,56,10,8,461,37,57,65,87,113,144,51,24,586,701,1521,1193,1096,1059,844,399,146,6964,11,19,22,25,28,43,27,16,183,443,702,577,475,342,331,295,151,3332,1371,3596,3016,2566,2349,1952,1061,410,16318
UCL112016,379,250,172,119,35,15,1358,13,127,141,128,107,84,38,9,643,209,1283,1127,750,494,437,162,46,4503,108,465,543,586,469,364,191,52,2774,653,1563,1220,1072,868,524,244,89,6225,66,92,78,66,73,64,28,6,466,41,82,80,111,125,132,94,13,678,759,1734,1374,1246,1067,718,363,111,7374,15,18,25,31,32,30,29,10,196,313,368,327,322,319,355,306,208,2527,1440,4368,3917,3317,2653,2118,1124,444,19383
UCL112017,363,353,242,234,80,25,1570,0,76,158,182,165,185,57,6,831,201,1078,1105,1035,815,716,369,108,5425,114,344,682,793,825,726,380,131,3997,667,1197,1212,1401,1460,1162,675,220,7999,102,73,71,98,117,92,42,6,619,62,51,99,147,196,289,177,55,1073,833,1320,1385,1643,1777,1556,893,284,9688,11,18,26,33,56,69,52,19,293,282,280,270,307,392,535,614,502,3190,1450,3394,3994,4346,4274,4016,2436,1079,24992
UCL112018,180,128,92,50,36,3,789,17,82,106,83,73,82,26,0,467,181,872,609,442,351,301,145,54,2965,62,344,385,390,388,256,149,53,2027,562,1222,1032,900,865,571,311,83,5545,81,119,64,62,62,55,20,0,472,45,61,69,87,113,120,78,22,589,686,1406,1169,1052,1039,744,411,110,6606,16,39,18,12,24,39,18,4,164,454,496,422,361,331,335,412,241,3058,1429,3525,2886,2473,2302,1805,1189,474,16082
UCL112019,362,309,243,151,61,13,1501,12,154,174,198,158,118,37,9,850,283,1419,1243,899,643,480,203,56,5231,153,545,582,656,600,447,198,74,3249,891,1847,1459,1304,1323,829,326,100,8074,109,155,97,89,86,57,19,5,613,38,66,84,126,192,172,82,31,800,1044,2070,1637,1520,1601,1060,420,130,9486,16,40,35,30,40,36,35,13,246,427,464,391,386,389,413,341,243,3051,1959,5036,4425,3995,3670,2705,1290,541,23612
UCL113001,101,81,85,91,38,8,486,0,35,56,56,69,86,27,3,322,42,332,411,383,309,363,179,57,2072,35,161,197,243,300,327,208,58,1533,200,430,468,467,575,512,232,95,2981,31,23,18,37,42,46,9,5,205,11,31,28,37,67,111,58,23,375,241,483,521,540,688,668,296,119,3554,0,6,6,14,20,32,29,13,117,129,140,143,168,184,318,299,287,1675,457,1224,1433,1485,1658,1885,1070,542,9763
UCL113002,42,40,54,75,27,9,263,0,15,32,21,45,46,23,3,190,16,130,103,94,158,170,99,36,815,16,75,149,131,167,204,99,35,870,124,326,303,385,437,375,163,50,2157,20,23,19,20,37,29,3,0,151,8,18,15,46,53,71,41,10,264,153,363,340,448,525,473,212,55,2573,0,9,5,4,20,23,19,11,89,121,114,95,178,177,232,218,113,1248,309,729,772,921,1151,1218,697,244,6050
UCL113003,56,46,45,24,3,0,250,3,43,52,39,64,19,9,0,223,65,297,192,151,153,124,41,8,1029,31,150,156,198,214,96,25,13,880,221,605,497,496,566,396,144,36,2971,33,51,24,29,43,25,4,0,204,17,22,32,40,60,45,23,10,250,267,677,553,567,671,473,168,41,3419,3,10,3,6,18,10,10,0,68,209,213,235,217,217,239,202,152,1689,586,1453,1242,1231,1383,989,455,215,7564
UCL113004,145,108,98,97,25,9,609,0,25,38,42,46,43,6,0,194,61,680,487,373,272,249,82,17,2226,53,247,236,155,149,116,44,7,1004,74,280,211,206,233,142,48,12,1214,8,17,10,18,19,11,3,0,90,11,28,31,32,37,41,12,6,193,93,325,252,254,289,193,64,23,1497,14,24,15,14,12,14,10,3,104,111,265,186,138,115,100,55,29,1004,326,1692,1355,1089,982,825,286,80,6636
UCL113005,54,42,31,21,15,6,212,3,30,34,37,37,23,11,0,180,35,227,205,187,175,136,47,16,1033,27,122,186,192,171,163,74,19,959,337,635,556,496,470,299,151,44,2993,52,40,52,44,39,35,12,6,282,30,31,40,43,60,64,38,11,312,419,712,643,584,570,395,202,61,3586,3,8,5,9,10,15,11,5,66,186,196,180,185,178,230,218,195,1569,678,1334,1315,1240,1174,983,579,309,7609
