UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL114004,..,928,928,860,68,926,335,8,344,260,3,261,114,0,114,51,0,50,1614,1017,2634
UCL114005,..,886,886,910,44,951,228,0,235,226,0,224,103,0,98,57,0,57,1521,935,2450
UCL114006,..,856,856,862,54,915,247,0,247,213,0,213,83,0,83,39,0,39,1450,912,2361
UCL114007,..,1244,1244,1098,69,1167,411,4,423,330,0,331,162,0,162,83,0,87,2088,1325,3409
UCL114008,..,969,969,929,61,989,262,3,272,258,0,262,105,0,106,47,0,45,1607,1041,2646
UCL114009,..,385,385,562,77,631,375,60,433,417,30,446,175,12,187,49,5,55,1579,556,2140
UCL114010,..,961,961,923,61,984,295,3,299,279,0,279,160,0,160,68,0,68,1721,1029,2752
UCL114011,..,857,857,737,54,788,227,10,232,183,0,185,87,0,85,29,0,30,1263,919,2181
UCL114012,..,167,167,526,12,534,429,4,433,545,0,545,177,0,179,67,0,67,1740,183,1929
UCL114013,..,1039,1039,974,88,1062,398,18,414,378,5,385,191,0,191,79,0,80,2018,1153,3177
UCL114014,..,311,311,597,21,618,410,0,411,529,0,532,191,0,195,55,0,55,1785,331,2116
UCL114015,..,1309,1309,1172,95,1268,541,12,556,377,7,388,177,5,184,88,0,88,2359,1428,3789
UCL114016,..,867,867,859,42,906,369,14,376,313,3,313,185,3,187,78,4,78,1799,936,2734
UCL114017,..,476,476,907,83,996,423,19,446,480,10,488,168,3,170,66,0,65,2041,597,2639
UCL114018,..,1214,1214,1461,84,1546,361,5,371,281,3,283,115,0,115,51,0,51,2273,1308,3577
UCL114019,..,785,785,749,76,830,327,10,332,264,3,267,135,0,135,65,0,67,1544,868,2419
UCL114020,..,1009,1009,1136,63,1197,476,9,485,449,4,452,212,4,214,85,0,85,2355,1091,3448
UCL114021,..,1150,1150,1173,99,1273,526,14,545,463,0,469,223,0,223,109,0,109,2494,1266,3757
UCL114022,..,1248,1248,963,91,1050,299,3,307,181,0,179,110,0,110,57,0,57,1609,1340,2946
UCL114023,..,723,723,713,49,762,260,12,274,227,3,225,126,0,128,45,0,51,1365,787,2152
UCL114024,..,1242,1242,1187,81,1271,480,19,496,428,4,432,242,3,248,119,0,119,2457,1342,3805
UCL114025,..,504,504,854,38,893,358,4,361,496,0,496,184,0,184,66,0,66,1961,548,2508
UCL114026,..,524,524,693,41,741,320,0,319,270,0,271,149,0,149,66,0,66,1504,566,2069
UCL114027,..,804,804,985,30,1016,261,9,267,209,0,214,91,0,95,42,0,42,1590,846,2437
UCL114028,..,621,621,661,47,714,282,14,295,232,3,236,126,0,126,40,0,40,1341,690,2034
UCL114029,..,241,241,476,12,491,299,6,296,366,0,366,196,0,196,96,0,96,1430,254,1689
