UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL315105,283,283,565,46,53,93,25,23,50,12,13,25,209,216,425,5,3,4,4,3,13,0,6,5,0,3,0,0,0,0,0,0,0,259,268,524,9,5,16,0,5,8,314,330,646,62,61,124,656,675,1333
UCL315106,391,447,834,41,41,86,15,22,35,10,3,9,282,334,614,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,302,367,670,10,12,20,9,14,24,362,439,803,28,28,57,783,910,1691
UCL315107,500,486,989,80,58,141,29,39,67,19,25,39,411,447,856,3,7,3,10,7,16,4,3,10,0,0,5,0,4,4,0,0,0,482,525,1005,41,34,70,24,24,46,620,646,1266,77,48,132,1203,1179,2380
UCL315108,453,511,969,39,47,86,5,0,5,0,0,0,22,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,54,0,0,0,0,0,0,63,75,139,22,23,45,538,606,1152
UCL315109,258,288,544,40,55,95,3,9,14,3,3,8,116,131,251,0,0,3,3,5,13,0,0,0,3,7,8,0,0,0,0,0,0,140,151,294,9,6,19,0,6,6,191,221,411,24,35,56,475,541,1017
UCL321001,159,152,304,11,11,17,11,8,14,8,0,7,79,77,161,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,93,93,188,0,0,0,5,5,15,113,107,219,19,19,41,291,274,565
UCL321002,202,224,423,34,40,75,15,15,32,5,0,5,81,94,177,0,0,4,0,0,5,0,0,0,4,4,7,0,0,0,0,0,0,102,117,222,6,9,16,3,3,4,150,164,315,39,22,63,391,412,804
UCL321003,126,121,252,28,25,51,3,7,11,3,0,6,63,58,124,0,0,4,4,5,9,0,0,0,0,0,3,0,0,0,0,0,0,87,79,163,3,5,5,4,4,3,114,111,229,42,34,73,285,267,547
UCL321004,144,142,290,17,29,45,5,0,9,4,0,0,42,40,82,5,3,3,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,49,55,102,5,3,7,7,3,7,81,86,166,27,26,55,253,255,511
UCL321005,171,160,326,47,45,88,8,16,29,0,9,9,58,63,121,0,0,0,6,3,12,0,0,0,0,4,7,0,0,0,0,0,0,78,96,177,0,0,3,0,6,0,124,142,271,41,46,93,339,353,693
UCL321006,239,249,488,26,24,50,0,0,0,0,0,0,13,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,34,0,0,0,0,0,3,40,46,86,23,24,48,296,324,615
