UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL203001,1502,2442,5882,5000,4643,3715,1038,126,11,24351,0,23,18,31,25,16,15,8,0,137,0,0,11,13,9,5,0,0,0,44,92,79,144,181,210,154,28,0,0,901,0,4,29,28,41,18,3,0,0,132,13,39,103,133,119,79,18,0,0,504,20,15,52,46,56,36,8,0,0,224,450,482,597,409,433,392,87,6,0,2848,660,425,318,247,172,152,34,0,0,2009,4,31,97,83,71,75,19,0,0,384,11,32,82,62,71,25,11,0,0,293,4,31,95,98,108,65,7,0,0,404,12,22,83,62,53,40,17,0,0,284,8,90,321,321,235,138,32,3,0,1152,19,67,175,146,161,120,34,4,0,716,7,87,335,449,405,230,49,8,0,1563,77,209,828,919,903,647,134,8,0,3731,100,675,1770,1594,1519,1338,236,11,0,7251,50,75,90,100,78,49,15,0,0,459,30,110,219,146,142,103,24,3,3,788
UCL203002,1412,2300,5432,4806,4397,3598,1097,130,12,23182,3,10,48,38,19,27,19,8,0,167,0,13,41,17,17,13,4,0,0,104,79,117,250,227,206,146,33,0,0,1059,0,24,32,38,44,19,9,0,0,158,15,59,125,104,130,94,20,4,0,542,5,14,42,45,41,47,8,0,0,195,494,405,509,377,442,366,72,13,0,2678,627,344,312,226,193,155,36,0,0,1899,0,17,54,52,71,73,18,0,0,286,8,28,48,29,33,24,10,0,0,173,8,47,184,274,225,116,20,0,0,868,4,27,62,41,52,32,5,4,0,234,13,83,264,238,207,125,43,5,0,979,23,66,170,142,172,170,34,4,0,782,10,68,287,382,346,252,59,3,0,1396,62,192,654,739,685,496,104,3,0,2945,100,683,1850,1546,1443,1345,283,3,0,7254,31,58,64,68,61,45,11,0,0,343,28,75,202,164,134,139,33,3,0,779
UCL203003,2256,4717,11675,9438,8145,6176,1789,242,22,44470,18,24,38,34,35,34,9,5,0,198,0,0,4,3,4,3,3,0,0,15,112,155,291,283,302,223,48,4,0,1421,0,18,115,96,69,25,5,0,0,329,16,111,283,242,185,124,46,3,0,1016,18,48,140,142,136,89,19,0,0,595,820,1034,1189,854,814,608,143,4,0,5465,1066,858,648,335,298,230,55,9,0,3494,19,59,155,136,122,109,24,0,0,619,28,34,81,86,57,36,9,0,0,331,4,53,422,448,336,137,29,0,0,1422,6,48,150,111,104,77,25,0,0,518,20,193,755,578,460,280,83,8,0,2380,20,104,299,279,278,227,59,5,0,1277,9,118,680,672,683,436,83,10,0,2696,81,406,1489,1501,1361,992,198,9,0,6043,132,1148,3422,2644,2495,2169,465,24,0,12498,72,115,175,103,91,52,20,4,0,633,63,202,415,301,241,193,44,8,0,1456
UCL211001,675,920,2094,1842,1731,1364,402,49,3,9085,0,3,5,11,13,10,0,3,0,45,0,0,0,0,0,0,0,0,0,3,21,25,91,100,85,66,9,0,0,397,0,5,6,7,4,3,0,0,0,22,4,20,49,65,49,39,14,0,0,239,5,8,18,16,24,21,0,0,0,94,220,167,191,188,200,142,39,3,0,1145,204,92,118,75,80,46,6,0,0,632,0,6,27,28,41,47,10,0,0,163,6,8,18,16,7,6,0,0,0,53,3,16,46,40,41,31,9,0,0,177,4,11,20,21,19,20,3,0,0,92,6,20,62,90,48,48,10,6,0,286,12,15,66,71,72,60,11,0,0,310,10,59,161,174,199,131,23,0,0,757,18,67,282,311,262,169,32,0,0,1153,60,185,616,544,563,468,89,5,0,2533,18,15,15,13,7,12,0,0,0,76,9,30,101,67,50,40,12,6,0,318
UCL211002,704,1586,4745,4807,2969,1835,460,30,3,17145,0,8,12,28,16,11,0,0,0,70,0,0,0,0,10,3,0,0,0,13,17,45,142,179,123,75,11,0,0,597,0,6,21,31,19,15,6,0,0,99,0,39,156,106,88,54,8,0,0,450,7,13,72,76,50,45,4,0,0,271,241,291,482,342,310,229,44,0,0,1933,333,188,200,132,89,51,10,0,0,999,11,82,270,206,161,88,16,0,0,840,6,12,33,28,14,5,0,0,0,102,3,36,187,165,79,36,10,0,0,516,3,34,78,51,24,21,4,0,0,206,0,50,207,167,81,32,16,0,0,558,9,69,163,164,132,65,16,0,0,621,5,37,204,231,173,106,38,4,0,784,32,124,479,501,315,175,42,0,0,1678,24,211,981,901,637,386,75,0,0,3219,25,23,47,48,28,21,4,0,0,199,22,55,129,110,61,39,17,0,0,418
UCL212001,287,468,1362,1272,1059,762,205,21,0,5441,0,13,7,12,4,14,0,0,0,48,0,0,0,6,0,7,0,0,0,6,23,11,21,36,33,26,6,0,0,153,0,0,11,10,9,0,0,0,0,32,4,16,65,49,32,29,5,0,0,197,0,3,12,20,17,10,0,0,0,68,68,99,113,82,98,69,14,0,0,545,134,57,54,41,24,19,9,0,0,332,3,15,53,45,44,38,8,0,0,201,0,0,7,7,8,5,0,0,0,32,0,9,44,39,44,13,7,0,0,147,0,12,22,15,13,5,4,0,0,71,6,18,90,86,51,22,11,4,0,286,4,11,38,28,39,25,4,0,0,144,0,18,103,108,115,76,17,0,0,445,21,65,229,219,212,122,13,0,0,878,7,86,264,259,217,202,37,0,0,1075,17,11,22,17,6,6,0,0,0,78,9,25,48,50,43,12,8,0,0,198
UCL212002,213,265,613,544,611,610,197,23,7,3082,0,7,10,6,7,3,6,0,0,36,0,0,0,0,0,0,0,0,0,0,23,16,20,43,34,26,14,0,0,171,0,0,4,0,3,0,0,0,0,9,0,0,15,13,22,24,0,0,0,74,0,0,4,8,8,9,0,0,0,30,51,58,81,57,81,72,25,0,0,412,69,47,63,44,56,46,6,0,0,336,0,6,0,4,11,8,3,0,0,39,0,3,4,4,3,0,0,0,0,12,3,8,4,6,11,10,5,0,0,48,0,0,4,8,11,7,0,0,0,35,4,4,32,31,27,21,4,3,0,124,0,6,22,27,19,17,0,0,0,87,3,4,18,35,32,24,6,0,0,128,8,28,66,70,87,71,16,0,0,340,11,85,208,152,206,223,53,4,0,939,12,12,11,13,10,7,7,0,0,71,6,11,37,25,21,25,4,0,0,130
UCL212003,429,730,1919,1464,1439,1257,369,32,4,7649,5,24,147,81,69,39,12,0,0,383,0,0,3,0,0,7,0,0,0,11,12,16,54,50,43,41,3,0,0,233,0,8,7,12,15,10,5,0,0,53,0,12,31,34,22,23,3,0,0,131,0,13,36,32,22,28,4,0,0,133,199,126,158,149,164,157,32,0,0,977,156,99,127,105,84,76,21,0,0,663,7,12,32,26,27,36,8,0,0,140,4,4,9,11,11,6,0,0,0,41,0,7,30,32,29,18,3,0,0,119,0,15,14,18,29,7,8,0,0,93,7,33,97,61,60,30,10,4,0,304,5,35,85,72,76,74,15,0,0,358,0,18,87,106,91,94,9,3,0,411,11,66,214,244,244,172,39,0,0,992,20,189,530,403,467,359,93,0,0,2068,5,5,12,14,19,10,0,0,0,62,5,28,73,47,35,25,12,0,0,235
UCL212004,326,312,734,1252,1197,920,316,43,0,5099,0,0,8,4,3,5,3,0,0,26,0,0,0,3,0,0,0,0,0,4,28,13,19,32,39,20,9,0,0,165,0,0,9,3,4,10,0,0,0,21,0,3,37,46,27,23,15,0,0,153,0,4,18,14,19,17,4,0,0,67,98,64,70,91,96,81,18,4,0,525,143,68,51,50,45,30,7,3,0,399,6,5,5,16,26,19,7,0,0,79,0,0,7,15,15,0,4,0,0,45,0,3,34,70,46,15,4,0,0,177,0,3,12,18,28,15,4,5,0,83,0,18,73,109,99,65,29,4,0,393,3,4,17,26,42,34,10,0,0,142,5,3,48,118,113,80,13,0,0,389,8,29,118,245,258,187,42,0,0,883,17,57,225,326,374,313,53,3,0,1368,9,11,10,25,24,18,6,0,0,101,17,23,40,62,31,20,7,0,0,202
UCL212005,663,999,2490,2195,2106,1742,539,84,14,10832,0,27,146,85,60,33,10,0,0,365,0,0,0,4,0,0,0,0,0,3,39,30,73,105,113,97,16,0,0,463,3,8,32,30,24,16,4,0,0,112,10,17,54,48,67,45,8,0,0,255,3,14,34,29,28,15,5,0,0,125,247,169,222,196,208,186,28,3,0,1258,232,123,128,92,96,69,21,0,0,766,0,10,32,31,34,31,12,0,0,158,4,13,17,18,15,8,4,0,0,82,6,19,26,41,43,19,3,0,0,153,0,14,25,28,25,8,0,0,0,99,6,25,137,84,83,68,24,0,0,424,10,32,101,92,70,57,21,0,0,383,5,30,93,112,117,90,20,0,0,462,39,95,301,327,279,241,67,4,0,1357,42,263,773,675,664,588,154,0,0,3160,16,11,20,17,10,4,0,0,0,82,13,47,98,85,92,56,19,0,0,409
UCL212006,548,883,2252,2159,2126,1627,397,46,0,10043,6,9,12,14,6,4,0,0,0,50,0,0,0,0,9,0,0,0,0,9,15,22,75,51,93,71,12,0,0,341,0,5,17,16,18,5,0,0,0,72,7,21,75,85,65,36,14,0,0,304,0,8,43,39,36,40,3,0,0,171,160,168,195,169,197,184,37,8,0,1117,222,130,64,66,54,39,13,0,0,586,4,36,111,114,123,83,11,0,0,489,8,8,25,24,25,12,0,0,0,89,0,18,76,97,105,61,3,0,0,357,7,16,43,27,32,18,5,0,0,139,3,29,156,146,98,75,11,0,0,522,4,20,65,56,66,46,12,0,0,269,4,49,143,198,218,138,30,0,0,781,30,78,372,362,330,238,49,3,0,1466,17,149,476,425,448,402,97,8,0,2010,19,19,33,20,25,12,6,0,0,133,15,39,94,73,71,41,8,0,0,344
UCL212007,310,412,958,1584,1383,861,286,31,0,5822,0,3,6,6,8,7,4,0,0,34,0,0,0,0,0,0,0,0,0,0,31,11,19,48,32,19,5,0,0,157,0,4,4,6,10,0,0,0,0,31,0,8,33,55,56,26,10,0,0,185,0,5,7,32,35,13,4,0,0,99,82,85,123,135,111,65,17,0,0,620,153,95,48,45,57,33,3,0,0,437,0,3,9,30,31,10,4,0,0,85,0,3,8,25,15,10,0,0,0,65,0,0,38,65,56,23,0,0,0,193,0,3,15,35,24,13,5,0,0,99,0,20,90,145,123,56,18,0,0,457,3,9,20,45,47,26,9,0,0,152,4,4,77,132,121,57,14,0,0,419,9,37,143,290,243,160,29,0,0,911,16,64,271,369,320,222,43,0,0,1299,16,7,30,34,30,11,0,0,0,125,7,21,45,61,50,31,0,0,0,219
UCL212008,408,548,1484,1362,1224,982,269,37,0,6324,0,6,9,13,8,4,3,0,0,42,0,0,0,10,0,8,0,0,0,16,10,11,23,42,33,20,4,0,0,144,3,9,32,40,33,24,0,0,0,149,9,18,33,49,35,22,0,0,0,172,0,4,11,12,6,10,0,0,0,43,164,89,130,109,115,114,23,0,0,744,191,85,72,60,52,43,17,0,0,517,0,5,9,16,20,29,10,0,0,89,7,7,20,11,7,4,0,0,0,60,0,8,40,36,32,16,0,0,0,129,0,8,18,20,12,4,3,0,0,71,0,15,68,48,29,32,8,0,0,200,8,12,33,38,25,38,8,0,0,162,5,46,179,205,179,112,18,0,0,745,13,34,179,190,199,136,28,6,0,769,20,163,566,400,370,326,65,3,0,1914,24,6,14,18,13,8,3,0,0,81,19,19,67,57,47,26,5,0,0,257
UCL212009,576,676,1761,1527,1538,1365,427,63,0,7925,11,14,21,17,12,22,13,6,0,114,0,0,5,5,0,0,0,0,0,8,31,33,115,74,79,56,9,0,0,384,0,5,14,18,15,5,0,0,0,59,0,9,20,22,29,23,4,0,0,110,5,9,20,11,5,22,8,0,0,85,227,138,156,151,189,178,31,0,0,1081,198,110,145,105,77,74,17,0,0,731,3,0,14,13,22,27,4,0,0,85,0,3,10,9,6,7,0,0,0,46,0,8,32,40,25,28,4,0,0,129,0,7,16,22,21,12,10,0,0,93,9,23,76,75,67,42,16,0,0,310,9,24,50,48,50,54,14,0,0,241,8,27,70,90,143,91,15,0,0,450,32,48,217,247,263,203,36,0,0,1040,28,150,538,511,569,557,96,4,0,2454,11,12,25,25,18,14,4,0,0,107,19,37,87,59,50,28,12,5,0,293
UCL213001,192,252,614,471,515,475,189,30,3,2735,7,7,25,11,11,6,4,5,0,73,0,3,0,0,0,0,0,0,0,3,12,21,26,43,22,46,9,0,0,179,0,5,0,6,0,0,0,0,0,16,0,4,18,13,10,7,3,0,0,61,4,7,11,4,16,9,7,0,0,46,62,40,62,60,60,57,13,0,0,338,65,30,36,25,20,24,9,0,0,216,0,0,4,0,15,11,6,0,0,32,0,0,0,0,4,0,0,0,0,10,0,0,9,7,8,6,0,0,0,31,0,4,10,7,14,4,0,0,0,38,0,4,21,29,17,17,13,0,0,100,0,14,28,17,21,17,13,0,0,102,3,6,31,38,42,25,10,0,0,150,5,38,80,68,86,72,12,0,0,371,11,53,177,146,173,186,40,0,0,782,0,0,5,8,3,4,0,0,0,26,0,15,19,18,29,7,7,0,0,96
UCL213002,105,118,294,430,476,422,160,25,5,2032,0,0,6,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,10,0,32,27,34,22,5,0,0,137,0,0,0,4,3,0,0,0,0,5,0,0,9,10,8,7,6,0,0,37,0,0,0,8,6,0,6,0,0,14,50,14,25,26,48,45,14,0,0,219,35,18,24,20,23,15,8,0,0,142,0,0,6,6,8,14,0,0,0,29,0,0,6,6,15,13,0,0,0,40,0,3,0,10,3,7,0,0,0,27,0,0,0,5,5,8,4,0,0,25,0,4,21,34,34,26,11,0,0,127,0,0,9,3,11,16,5,0,0,43,0,0,29,40,58,42,10,0,0,179,5,7,34,97,101,78,27,0,0,338,5,20,83,115,151,164,34,0,0,571,0,0,8,17,26,13,0,4,0,76,0,4,7,22,22,8,11,0,0,71
UCL213003,206,281,698,567,537,466,169,23,5,2941,7,7,28,17,9,10,10,0,0,88,0,0,0,0,0,0,0,0,0,0,19,63,120,67,47,29,3,0,0,349,0,0,0,4,3,3,3,0,0,14,0,0,10,12,8,6,3,0,0,38,0,4,12,0,10,9,3,0,0,31,83,43,62,49,67,48,14,0,0,360,70,22,45,36,33,32,5,0,0,235,0,0,0,9,8,3,6,0,0,24,0,4,4,8,9,6,0,0,0,32,0,4,3,8,12,4,0,0,0,28,0,3,4,9,6,0,0,0,0,27,0,13,14,21,20,22,3,0,0,96,4,6,15,31,21,26,3,0,0,107,5,4,14,32,36,20,16,0,0,128,14,21,58,67,75,68,8,0,0,309,12,44,132,138,154,168,42,0,0,694,4,5,8,9,0,4,4,0,0,31,3,11,20,16,21,6,9,0,0,86
UCL213004,180,278,798,670,594,533,171,30,0,3261,3,9,17,11,13,12,4,0,0,73,0,0,0,0,3,0,0,0,0,3,3,16,37,22,42,22,3,0,0,135,0,0,9,3,4,0,0,0,0,15,4,6,30,22,17,25,3,0,0,109,0,3,13,10,7,12,0,0,0,49,57,49,78,63,73,63,13,0,0,394,71,40,37,27,23,13,0,0,0,212,0,3,8,15,11,16,4,0,0,64,0,0,4,6,4,4,0,0,0,22,0,7,26,18,14,3,0,0,0,71,0,4,14,7,7,6,3,0,0,43,0,11,45,31,18,17,9,0,0,136,5,5,29,18,22,19,0,0,0,97,0,3,44,39,32,35,3,0,0,156,7,31,138,89,116,81,17,0,0,486,22,66,216,169,185,164,43,0,0,858,0,5,10,13,14,3,0,0,0,46,4,22,48,23,26,25,4,0,0,148
UCL213005,225,287,709,785,732,624,218,20,0,3607,0,0,4,0,5,8,0,0,0,23,0,0,0,0,0,0,0,0,0,4,9,5,10,16,29,33,4,0,0,113,0,0,0,4,3,7,0,0,0,14,0,7,27,23,18,13,5,0,0,93,4,0,7,7,16,8,0,0,0,41,76,77,74,72,80,96,15,0,0,494,93,39,54,29,31,27,7,0,0,277,0,3,11,12,19,16,5,0,0,69,3,0,0,3,4,0,0,0,0,21,0,0,31,27,37,18,0,0,0,120,0,4,15,9,8,5,3,0,0,48,0,12,26,41,48,30,9,0,0,170,4,4,17,30,33,19,11,0,0,121,5,3,33,48,58,54,14,0,0,221,4,24,88,122,101,99,14,6,0,464,3,53,208,239,242,274,45,3,0,1071,0,4,9,12,0,10,4,0,0,41,5,18,38,35,27,19,10,0,0,143
UCL213006,193,198,397,724,709,461,96,20,0,2803,3,0,3,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,3,12,25,21,12,4,0,0,94,0,3,0,6,5,3,0,0,0,23,4,5,17,33,31,23,4,0,0,111,0,0,0,10,17,0,0,0,0,32,73,35,22,32,44,43,3,0,0,259,80,24,11,11,25,3,5,0,0,157,0,11,13,27,29,23,0,0,0,105,0,0,3,9,0,0,0,0,0,26,0,6,21,45,22,11,6,0,0,113,0,0,9,14,7,6,0,0,0,38,6,6,38,62,47,23,4,0,0,181,0,4,8,25,20,13,5,0,0,79,0,10,38,80,70,47,6,0,0,242,9,15,82,153,128,85,12,0,0,492,13,49,96,173,172,66,20,0,0,590,6,4,5,7,12,7,0,0,0,37,7,18,10,34,18,14,0,0,0,104
UCL213007,249,348,881,732,697,665,233,56,6,3863,3,4,17,4,6,21,13,11,0,78,0,0,0,0,0,0,0,0,0,0,19,10,15,6,14,15,0,0,0,79,0,3,20,17,7,9,0,0,0,50,5,8,18,14,17,15,0,0,0,76,0,7,16,16,16,19,5,0,0,66,78,56,84,54,98,99,24,3,0,496,69,29,36,38,36,35,11,0,0,262,0,5,8,10,14,5,0,0,0,48,0,5,8,3,9,3,0,0,0,32,0,9,23,24,24,6,0,0,0,93,0,9,3,4,3,4,0,0,0,30,3,12,41,42,35,16,5,0,0,157,5,8,25,29,21,25,6,0,0,124,0,11,52,47,29,42,3,0,0,201,5,33,125,94,119,88,24,4,0,488,22,99,309,251,242,237,52,3,0,1205,3,4,14,8,9,10,3,0,0,50,5,19,34,28,28,17,10,0,0,153
UCL213008,243,335,1022,957,884,583,143,5,3,4169,0,0,4,3,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,6,7,3,41,28,39,20,0,0,0,147,0,0,8,11,7,8,0,0,0,31,3,7,23,24,25,10,4,0,0,102,0,3,16,17,15,6,0,0,0,68,73,68,94,102,98,45,13,0,0,493,122,51,35,40,24,11,3,0,0,279,0,9,27,27,29,22,5,0,0,119,0,3,10,6,5,5,0,0,0,27,0,3,44,57,32,17,5,0,0,151,0,12,18,9,10,3,0,0,0,54,8,12,57,67,47,19,5,0,0,215,4,14,42,33,38,27,0,0,0,151,4,6,67,92,77,48,14,3,0,313,8,46,132,170,127,66,8,0,0,555,7,66,255,223,216,137,34,0,0,940,0,4,9,17,4,0,3,0,0,33,8,9,36,26,33,22,0,0,0,136
UCL213009,181,276,634,665,638,478,116,16,0,3003,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,4,16,7,14,21,31,19,3,0,0,103,0,0,7,7,3,3,0,0,0,23,3,0,17,16,17,13,3,0,0,76,0,0,11,7,7,15,0,0,0,47,55,61,70,71,71,71,10,0,0,418,89,23,30,24,20,17,5,0,0,205,0,0,4,5,9,6,5,0,0,34,0,0,9,0,3,8,0,0,0,22,0,3,27,38,28,15,0,0,0,106,0,0,7,11,17,3,0,0,0,36,0,8,28,49,36,18,4,4,0,144,0,10,17,21,18,17,5,0,0,85,0,6,41,52,52,33,3,0,0,183,15,27,90,96,96,67,3,0,0,395,11,53,232,195,216,182,37,0,0,930,7,0,10,3,5,6,0,0,0,31,4,24,47,39,29,17,0,0,0,152
UCL213010,166,261,714,504,514,548,144,11,3,2868,7,7,12,9,5,11,4,0,0,51,0,0,0,3,0,0,0,0,0,9,0,8,20,16,9,11,0,0,0,60,0,3,8,4,8,7,0,0,0,44,3,8,23,17,17,0,3,0,0,64,3,3,4,7,8,3,0,0,0,26,51,45,77,57,87,56,11,0,0,373,81,38,40,22,20,20,4,0,0,223,0,0,3,3,9,16,4,0,0,40,0,4,4,3,0,6,0,0,0,21,0,3,22,30,13,8,0,0,0,81,0,10,7,8,6,7,0,0,0,47,0,15,26,15,14,11,9,0,0,86,3,14,21,19,28,21,0,0,0,104,3,4,56,64,62,55,16,0,0,245,6,27,61,60,102,62,17,0,0,326,4,70,186,156,167,173,44,0,0,810,9,3,11,3,3,4,0,0,0,25,6,11,26,17,22,18,3,0,0,108
UCL213011,123,230,551,435,471,412,125,12,0,2358,5,9,5,8,8,6,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,3,12,9,8,5,5,0,0,48,4,6,9,3,4,10,0,0,0,31,0,0,6,0,9,5,0,0,0,23,0,0,7,3,9,8,0,0,0,27,36,52,68,49,55,41,6,0,0,311,64,37,41,23,25,29,4,0,0,213,0,5,10,6,14,17,0,0,0,43,0,6,12,6,3,7,3,0,0,46,0,0,10,12,11,4,0,0,0,40,0,3,9,10,5,11,0,0,0,30,4,7,14,17,3,9,0,0,0,53,4,11,14,23,25,22,7,0,0,104,0,10,43,51,62,33,8,0,0,207,3,18,44,43,54,49,11,0,0,227,9,61,119,112,135,115,26,0,0,585,4,5,8,3,5,3,0,0,0,29,7,7,25,5,10,9,0,0,0,65
UCL213012,160,195,369,406,484,465,144,22,4,2249,0,8,4,10,9,9,9,0,0,53,0,0,0,0,0,0,0,0,0,0,5,9,10,18,27,24,3,0,0,96,0,0,4,6,5,4,0,0,0,16,4,0,3,4,0,9,0,0,0,22,3,0,5,11,10,3,4,0,0,30,53,17,25,32,57,20,9,0,0,223,52,29,36,38,32,43,6,0,0,226,0,3,9,10,16,15,0,0,0,47,0,0,3,0,4,3,0,0,0,14,0,0,5,8,10,3,0,0,0,28,0,0,9,3,4,3,6,0,0,26,0,0,10,8,15,7,0,0,0,51,0,6,15,17,24,20,0,0,0,77,3,9,23,37,26,40,8,0,0,148,3,18,55,61,81,56,8,0,0,284,6,39,133,101,141,140,41,0,0,601,9,6,5,4,4,6,5,0,0,41,9,3,16,20,16,12,8,0,0,84
UCL213013,181,276,714,615,546,521,153,30,5,3047,0,8,9,14,13,4,0,4,0,55,0,3,3,6,5,5,0,0,0,21,4,0,10,19,14,9,0,0,0,58,0,3,8,4,3,4,4,0,0,23,0,5,9,14,23,7,0,0,0,64,0,0,0,8,3,0,0,0,0,13,89,59,48,53,75,49,8,3,0,380,64,29,37,23,19,26,3,0,0,204,0,4,8,3,4,6,0,0,0,27,0,3,3,3,4,0,0,0,0,18,0,0,3,6,9,9,0,0,0,36,0,6,10,10,15,4,6,0,0,39,0,9,41,32,22,17,3,0,0,126,0,0,17,23,16,19,5,0,0,76,5,21,63,66,78,42,14,0,0,279,9,18,100,97,110,81,22,0,0,433,8,55,210,192,194,181,30,0,0,879,0,5,5,11,8,0,0,0,0,35,6,14,36,24,27,16,10,0,0,116
