UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL101001,334169,217623,107252,43776,2538439
UCL102001,2955,1552,608,204,19414
UCL102002,26910,21826,12332,4912,163063
UCL102003,5645,5000,2941,1383,32609
UCL102004,28334,22074,11103,4410,184404
UCL102005,22075,15672,7735,3049,142619
UCL111001,4039,3174,1558,536,26367
UCL111002,4317,3762,2077,877,25782
UCL111003,5900,4109,1971,594,41476
UCL112001,1630,1267,846,317,11467
UCL112002,2709,1986,1031,399,18078
UCL112003,3595,3206,1384,414,17893
UCL112004,2274,2560,1829,694,13632
UCL112005,1551,1194,603,232,10624
UCL112006,2551,1690,951,356,18584
UCL112007,463,487,293,89,3047
UCL112008,1886,2254,1426,620,10294
UCL112009,1756,1396,758,318,11479
UCL112010,1188,764,393,224,8849
UCL112011,1199,839,318,97,8360
UCL112012,2392,1870,838,344,13996
UCL112013,174,116,35,12,1135
UCL112014,1820,1712,1163,515,11268
UCL112015,2349,1952,1061,410,16318
UCL112016,2653,2118,1124,444,19383
UCL112017,4274,4016,2436,1079,24992
UCL112018,2302,1805,1189,474,16082
UCL112019,3670,2705,1290,541,23612
UCL113001,1658,1885,1070,542,9763
UCL113002,1151,1218,697,244,6050
UCL113003,1383,989,455,215,7564
UCL113004,982,825,286,80,6636
UCL113005,1174,983,579,309,7609
UCL113006,774,605,299,114,5035
UCL113007,1704,1659,777,310,8839
UCL113008,895,773,458,149,5084
UCL113009,782,534,227,30,4874
UCL113010,755,555,350,128,5496
UCL113011,707,432,177,57,4620
UCL113012,1564,1581,912,321,7905
UCL113013,963,656,316,90,5825
UCL113014,935,560,238,78,6394
UCL113015,886,968,454,115,5152
UCL113016,1285,1087,810,395,7893
UCL113017,1435,1465,753,237,7400
UCL113018,184,232,140,28,1140
UCL114001,489,491,315,155,2772
UCL114002,850,1112,676,243,4123
UCL114003,575,536,370,168,3975
UCL114004,560,384,255,100,3319
UCL114005,426,501,298,84,2511
UCL114006,457,426,258,94,2447
UCL114007,574,585,292,119,3511
UCL114008,519,388,228,88,2917
UCL114009,249,170,147,102,3480
UCL114010,479,373,246,59,2987
UCL114011,423,412,211,90,2344
UCL114012,208,99,19,4,3237
UCL114013,533,381,265,118,3634
UCL114014,550,273,89,25,3304
UCL114015,626,498,336,117,4087
UCL114016,453,315,174,83,3054
UCL114017,812,593,170,35,4402
UCL114018,902,1003,531,189,4628
UCL114019,513,361,174,61,3331
UCL114020,763,717,422,95,4578
UCL114021,880,702,391,251,4859
UCL114022,655,681,407,140,3163
UCL114023,356,244,133,52,2349
UCL114024,646,452,242,99,4124
UCL114025,595,491,244,107,3658
UCL114026,302,313,204,67,2655
UCL114027,581,631,467,125,2981
UCL114028,338,237,128,61,2227
UCL114029,365,181,58,8,2421
UCL114030,577,655,314,117,2796
UCL114031,571,476,212,65,3131
UCL114032,268,224,99,23,2190
UCL114033,463,327,229,94,2787
UCL114034,533,469,283,133,3547
UCL114035,430,469,232,84,2777
UCL114036,645,707,397,116,3269
UCL114037,431,358,199,91,2848
UCL114038,472,428,235,100,3122
UCL115001,142,70,40,7,747
UCL115002,512,354,131,32,2298
UCL115003,144,90,31,4,1235
UCL115004,183,226,81,23,980
UCL115005,83,54,19,15,419
UCL115006,198,144,51,51,1260
UCL115007,235,175,109,34,1536
UCL115008,94,104,58,28,475
UCL115009,132,136,57,20,785
UCL115010,90,89,46,16,402
UCL115011,164,104,67,14,785
UCL115012,88,67,33,13,413
UCL115013,335,272,180,117,2003
UCL115014,317,291,143,47,1741
UCL115015,232,271,115,34,1035
UCL115016,109,75,30,15,570
UCL115017,232,299,245,132,1480
UCL115018,76,93,62,18,398
UCL115019,632,586,302,68,2846
UCL115020,199,148,64,27,1216
UCL115021,80,70,34,18,473
UCL115022,341,266,177,30,1537
UCL115023,120,105,57,21,655
UCL115024,91,50,24,7,674
UCL115025,133,79,23,6,784
UCL115026,122,129,106,26,780
UCL115027,152,111,31,11,1304
UCL115028,324,252,148,62,1460
UCL115029,180,152,58,14,965
UCL115030,98,110,52,17,469
UCL115031,322,477,257,79,1671
UCL115032,321,226,101,20,1242
UCL115033,343,197,81,15,2075
UCL115034,109,59,13,0,774
UCL115035,261,204,99,13,1945
UCL115036,383,319,149,31,1648
UCL115037,144,114,34,8,688
UCL115038,129,99,45,16,634
UCL115039,246,150,69,20,1554
UCL115040,138,99,40,8,767
UCL115041,172,105,72,34,1046
UCL115042,125,126,52,30,785
UCL115043,177,202,108,73,1131
UCL115044,144,90,63,14,877
UCL115045,108,76,44,18,525
UCL115046,134,113,33,0,826
UCL115047,179,159,95,41,916
UCL115048,414,335,206,52,1870
UCL115049,88,77,48,19,481
UCL115050,144,112,42,7,1045
UCL115051,252,275,132,133,1252
UCL115052,104,71,32,24,671
UCL115053,121,121,67,22,532
UCL115054,110,95,20,8,554
UCL115055,188,160,97,28,959
UCL115056,296,315,150,68,1497
UCL115057,312,275,104,54,1481
UCL115058,193,240,158,56,915
UCL115059,164,133,98,55,869
UCL115060,115,62,18,8,1370
UCL115061,74,69,44,47,466
UCL115062,118,73,26,5,672
UCL115063,115,87,29,11,646
UCL115064,488,462,227,81,2688
UCL115065,175,135,102,31,1015
UCL115066,203,103,32,11,1208
UCL115067,192,202,115,53,1067
UCL115068,127,131,108,16,621
UCL115069,158,170,110,45,890
UCL115070,148,96,51,7,1391
UCL115071,152,128,59,19,899
UCL115072,194,208,61,8,913
UCL115073,144,122,64,24,822
UCL115074,158,130,86,42,960
UCL115075,120,183,131,25,634
UCL115076,121,152,67,13,743
UCL115077,358,521,224,50,1644
UCL115078,191,199,140,65,851
UCL115079,193,104,82,26,902
UCL115080,145,81,43,3,982
UCL115081,68,40,10,10,529
UCL115082,95,108,40,8,532
UCL115083,202,224,94,42,1206
UCL115084,226,235,116,24,872
UCL115085,149,147,81,13,757
UCL115086,172,99,33,9,1248
UCL115087,98,75,18,9,610
UCL115088,127,144,49,21,727
UCL115089,356,237,118,33,2521
UCL115090,103,91,69,23,499
UCL115091,115,130,67,0,617
UCL115092,92,107,48,23,808
UCL115093,140,123,45,16,651
UCL115094,242,222,128,74,1259
UCL115095,72,45,28,9,419
UCL115096,420,447,244,37,2129
UCL115097,306,290,140,23,1354
UCL115098,129,108,78,22,678
UCL115099,244,163,109,59,1258
UCL115100,237,259,171,70,1318
UCL115101,276,328,149,26,1340
UCL115102,129,132,73,22,821
UCL115103,64,70,29,19,425
UCL115104,168,179,72,51,804
UCL115105,114,94,63,38,737
UCL115106,274,205,129,66,1332
UCL115107,342,300,105,24,1955
UCL115108,178,92,23,3,1119
UCL115109,343,488,210,61,1800
UCL115110,241,211,121,50,1520
UCL115111,216,193,134,49,1507
UCL115112,121,57,16,0,1117
UCL115113,110,61,51,29,690
UCL115114,163,159,85,28,1068
UCL115115,512,447,144,34,2834
UCL115116,380,464,214,96,2297
UCL115117,104,191,174,60,863
UCL115118,190,169,72,36,852
UCL115119,324,215,85,21,1948
UCL115120,233,143,60,8,1565
UCL115121,145,138,64,9,806
UCL115122,176,185,111,45,1179
UCL115123,151,145,46,5,834
UCL115124,423,310,90,26,2374
UCL115125,304,367,193,53,1724
UCL115126,128,114,48,12,587
UCL115127,162,148,59,10,745
UCL115128,246,145,51,9,1282
UCL115129,228,168,62,36,1092
UCL115130,389,447,268,110,1829
UCL115131,385,347,169,46,1902
UCL115132,222,206,88,29,903
UCL115133,256,535,380,111,1556
UCL115134,313,261,143,60,1713
UCL115135,225,284,146,39,1248
UCL115136,135,85,28,5,1011
UCL115137,262,248,109,70,1979
UCL115138,86,84,19,6,1028
UCL115139,215,296,157,44,1217
UCL115140,136,163,43,19,657
UCL115141,103,83,51,23,639
UCL115142,341,406,178,39,1344
UCL115143,214,202,85,28,1139
UCL115144,314,314,147,43,1400
UCL115145,177,193,98,21,845
UCL115146,370,387,147,45,1667
UCL115147,100,106,25,0,627
UCL115148,102,121,78,30,617
UCL115149,144,92,21,9,792
UCL115150,86,76,23,3,503
UCL115151,121,116,49,7,838
UCL115152,86,57,44,11,435
UCL115153,95,82,59,42,562
UCL115154,106,53,41,10,598
UCL115155,338,251,177,65,1955
UCL115156,133,119,67,21,598
UCL115157,86,93,36,10,491
UCL115158,161,132,101,45,1176
UCL115159,156,85,27,6,888
UCL115160,164,86,25,0,1389
UCL115161,387,307,167,53,1965
UCL115162,251,212,111,20,1522
UCL115163,146,100,66,49,892
UCL115164,87,138,99,23,630
UCL115165,67,33,13,5,439
UCL121001,83,67,21,6,386
UCL121002,37,42,25,8,233
UCL121003,111,92,41,4,424
UCL121004,76,62,22,5,449
UCL121005,46,43,13,0,274
UCL121006,100,91,42,9,392
UCL121007,74,87,54,41,448
UCL121008,38,38,11,0,222
UCL121009,47,40,27,20,381
UCL121010,81,93,44,5,400
UCL121011,81,67,22,5,395
UCL121012,120,78,19,4,455
UCL121013,47,26,5,4,279
UCL121014,61,50,18,0,256
UCL121015,117,40,32,7,427
UCL121016,61,33,8,9,281
UCL121017,88,46,9,0,448
UCL121018,80,44,18,0,378
UCL121019,69,76,25,0,375
UCL121020,65,33,13,0,314
UCL121021,34,36,10,6,254
UCL121022,55,53,43,15,321
UCL121023,92,92,17,8,273
UCL121024,31,23,15,0,212
UCL121025,62,43,20,6,338
UCL121026,143,125,34,8,591
UCL121027,72,25,10,4,323
UCL121028,134,118,34,6,489
UCL121029,34,33,4,0,204
UCL121030,62,49,19,6,332
UCL121031,163,130,36,10,612
UCL121032,52,53,40,8,298
UCL121033,44,35,13,0,275
UCL121034,87,49,12,3,542
UCL121035,91,44,17,0,483
UCL121036,105,102,40,6,665
UCL121037,93,93,22,8,437
UCL121038,52,49,21,10,251
UCL121039,79,60,30,4,451
UCL121040,52,27,11,0,278
UCL121041,52,44,25,6,267
UCL121042,79,75,40,10,342
UCL121043,56,41,16,4,339
UCL121044,41,42,8,8,244
UCL121045,59,60,28,4,287
UCL121046,51,35,13,5,301
UCL121047,35,34,11,3,290
UCL121048,59,60,20,0,278
UCL121049,41,21,18,0,301
UCL121050,63,78,79,18,339
UCL121051,67,68,51,13,376
UCL121052,123,106,26,9,496
UCL121053,50,63,27,11,318
UCL121054,69,53,17,5,390
UCL121055,88,58,24,4,367
UCL121056,85,53,22,4,417
UCL121057,68,53,6,0,347
UCL121058,206,162,53,13,994
UCL121059,71,51,19,3,319
UCL121060,93,81,26,0,473
UCL121061,20,18,5,3,210
UCL121062,98,55,23,4,524
UCL121063,70,150,56,10,371
UCL121064,88,67,22,16,357
UCL121065,95,113,59,8,466
UCL121066,44,36,19,10,252
UCL121067,78,63,41,16,373
UCL121068,263,283,102,16,1172
UCL121069,71,31,5,0,397
UCL121070,84,46,25,4,335
UCL121071,29,22,10,3,215
UCL121072,43,39,17,9,360
UCL121073,51,52,28,10,288
UCL121074,85,69,40,6,379
UCL121075,47,55,99,90,389
UCL121076,71,58,8,0,496
UCL121077,64,50,20,0,397
UCL121078,45,29,15,0,304
UCL121079,53,47,20,0,278
UCL121080,98,81,27,3,530
UCL121081,63,34,8,0,299
UCL121082,154,170,47,15,692
UCL121083,115,106,48,7,558
UCL121084,60,46,11,0,391
UCL121085,126,127,39,3,618
UCL121086,85,84,40,25,422
UCL121087,58,50,22,3,285
UCL121088,45,27,3,0,296
UCL121089,110,76,28,10,480
UCL121090,91,48,12,0,380
UCL121091,103,74,25,9,404
UCL121092,73,46,13,3,527
UCL121093,67,46,10,0,484
UCL121094,62,47,24,9,326
UCL121095,81,48,21,3,389
UCL121096,126,123,39,5,485
UCL121097,91,81,15,3,381
UCL121098,111,108,39,7,509
UCL121099,61,61,32,11,296
UCL121100,109,137,42,5,579
UCL121101,111,69,39,3,549
UCL121102,144,129,44,8,576
UCL121103,92,60,26,7,436
UCL121104,61,58,29,9,339
UCL121105,88,85,19,6,316
UCL121106,117,157,64,4,567
UCL121107,80,66,21,6,406
UCL121108,85,81,21,3,396
UCL121109,54,54,20,7,280
UCL121110,53,69,31,10,419
UCL121111,54,44,35,24,303
UCL121112,62,54,8,7,374
UCL121113,53,16,19,6,234
UCL121114,96,113,29,3,500
UCL121115,94,115,41,3,372
UCL121116,91,54,20,4,480
UCL121117,71,38,13,3,302
UCL121118,34,29,11,0,254
UCL121119,90,65,25,10,426
UCL121120,32,11,4,3,202
UCL121121,48,44,19,0,283
UCL121122,63,27,9,0,299
UCL121123,37,33,22,8,334
UCL121124,68,81,36,4,263
UCL121125,100,121,46,14,483
UCL121126,48,34,18,10,253
UCL121127,35,37,17,0,315
UCL121128,75,44,21,7,491
UCL122001,15,3,0,0,110
UCL122002,24,18,19,3,138
UCL122003,29,17,3,0,209
UCL122004,26,52,9,0,129
