UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL112016,0,4,0,807,56,0,0,34,3,9,4,10,4,23,171,320,8,3,0,0,0,0,0,0,0,3,13,32,1253,158,36,1378,232,512,47,134,51,241,193,4240
UCL112017,7,11,0,779,52,5,8,48,11,14,5,7,8,19,137,313,3,0,3,4,0,0,0,0,3,9,10,25,1106,296,45,1404,166,470,75,226,58,317,162,4321
UCL112018,3,7,0,333,41,5,0,19,3,8,0,3,0,6,137,230,5,0,0,0,0,3,0,0,3,0,6,29,882,122,24,869,145,442,37,143,40,240,154,3106
UCL112019,0,13,0,884,74,8,0,58,12,22,11,5,0,24,203,425,3,0,5,0,0,0,0,0,0,6,12,33,1501,180,35,1634,218,605,50,202,61,388,224,5108
UCL113001,0,10,0,184,8,3,3,5,7,5,4,4,0,17,30,83,3,0,0,5,0,0,0,0,0,3,5,18,292,107,15,426,71,151,41,101,16,132,40,1384
UCL113002,0,4,0,50,6,3,0,17,0,5,3,5,0,14,37,81,0,0,0,6,0,0,0,0,0,0,3,11,169,59,14,216,28,101,16,60,17,111,45,829
UCL113003,0,0,0,204,22,4,3,19,4,3,0,0,0,6,91,156,0,0,0,0,0,0,0,0,0,3,0,12,365,40,18,337,79,200,22,56,22,160,106,1397
UCL113004,0,4,0,188,3,0,0,11,0,7,0,6,0,3,34,77,0,0,0,0,0,0,0,0,0,0,0,0,131,112,11,233,30,85,18,87,15,54,39,814
UCL113005,0,0,0,90,15,4,0,12,4,7,0,5,0,12,69,124,0,0,0,0,0,0,0,0,4,0,0,11,308,69,14,368,52,203,25,73,23,163,74,1369
UCL113006,0,0,0,47,11,0,0,0,5,0,0,3,0,12,33,62,0,0,0,0,0,0,0,0,0,3,3,10,137,40,7,169,24,85,8,51,15,131,33,708
UCL113007,5,10,0,453,15,6,0,20,4,10,3,3,4,9,58,133,0,0,0,3,0,0,0,0,0,0,3,5,360,97,12,571,94,190,39,90,17,124,67,1661
UCL113008,0,4,0,137,10,4,0,11,4,5,0,6,0,7,27,67,0,0,0,0,0,0,0,0,0,0,0,7,174,47,7,258,58,129,22,54,15,96,41,898
