UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL101001,36,2500,898,475,2412,1,2122,2.7
UCL102001,37,1950,1103,350,2608,0.8,2071,2.4
UCL102002,42,2000,725,400,1942,0.8,1489,2.5
UCL102003,48,1909,664,415,1683,0.8,1273,2.3
UCL102004,39,1959,809,390,2173,0.8,1708,2.4
UCL102005,39,2167,740,400,2077,0.8,1644,2.5
UCL111001,39,1430,770,270,1873,0.7,1402,2.3
UCL111002,44,1733,682,370,1651,0.8,1309,2.4
UCL111003,36,1780,788,370,2039,0.8,1695,2.6
UCL112001,34,1430,707,290,1817,0.7,1369,2.3
UCL112002,37,1733,791,320,1994,0.7,1547,2.4
UCL112003,47,1900,728,390,1967,0.7,1442,2.3
UCL112004,51,2167,802,450,2132,0.7,1621,2.3
UCL112005,39,1517,611,320,1531,0.8,1254,2.5
UCL112006,35,1517,867,310,2003,0.8,1632,2.5
UCL112007,49,1634,687,322,1745,0.7,1339,2.4
UCL112008,59,1577,554,330,1280,0.7,956,2
UCL112009,40,1625,747,320,1899,0.7,1405,2.3
UCL112010,37,1500,835,300,1980,0.8,1706,2.6
UCL112011,35,1600,699,345,1758,0.8,1458,2.6
UCL112012,41,1452,673,300,1656,0.7,1230,2.3
UCL112013,38,1424,842,230,2072,0.8,1722,2.6
UCL112014,44,1907,681,390,1757,0.7,1399,2.5
UCL112015,38,1690,644,330,1568,0.7,1269,2.4
UCL112016,36,1668,831,330,2101,0.7,1622,2.4
UCL112017,48,1752,679,380,1684,0.7,1283,2.3
UCL112018,37,1400,750,300,1706,0.8,1328,2.3
UCL112019,37,1500,805,290,1962,0.7,1502,2.4
UCL113001,53,1733,663,390,1561,0.7,1149,2.1
UCL113002,53,1517,591,328,1365,0.7,1090,2.1
UCL113003,44,867,646,220,1617,0.7,1167,2.2
UCL113004,39,2299,839,620,2091,0.8,1750,2.4
UCL113005,42,1300,602,300,1400,0.8,1100,2.3
UCL113006,39,1200,519,280,1284,0.8,997,2.4
UCL113007,48,2200,825,480,2154,0.7,1752,2.5
UCL113008,47,1400,595,270,1460,0.7,1043,2.1
UCL113009,37,1950,853,435,2175,0.8,2035,2.9
UCL113010,36,1733,774,361,2117,0.7,1681,2.4
UCL113011,36,1517,743,300,1930,0.7,1547,2.5
UCL113012,53,1898,666,390,1690,0.7,1328,2.3
UCL113013,38,1517,651,325,1530,0.8,1282,2.5
UCL113014,35,1733,796,320,2241,0.8,1864,2.5
UCL113015,49,1560,554,360,1342,0.7,1078,2.3
UCL113016,45,1300,552,290,1303,0.7,990,2.2
UCL113017,52,1638,608,350,1426,0.7,1133,2.2
UCL113018,54,1500,635,270,1568,0.7,1174,2.2
UCL114001,51,1635,645,380,1612,0.7,1246,2.2
