UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL322069,24,15,33,12,14,10,20,21,4,137
UCL322070,10,6,23,22,16,9,12,17,8,117
UCL322071,10,9,3,3,0,0,0,4,0,23
UCL322072,3,6,14,16,7,8,13,22,0,94
UCL322073,22,19,31,16,19,9,17,31,5,162
UCL322074,7,8,5,4,7,3,0,10,3,44
UCL322075,6,15,10,6,8,0,4,6,0,53
UCL322076,12,17,8,16,13,3,9,15,4,92
UCL322077,7,22,10,15,15,8,0,15,3,91
UCL322078,10,5,15,3,4,6,20,20,0,90
UCL322079,18,27,34,17,19,8,15,18,3,158
UCL322080,15,15,6,6,6,5,4,17,3,79
UCL322081,18,16,13,19,3,5,8,20,5,110
UCL322082,15,9,19,29,8,18,28,20,0,143
UCL322083,10,7,20,7,10,11,19,17,0,95
UCL322084,7,12,4,4,0,3,9,7,5,42
UCL322085,27,19,52,23,30,24,29,31,5,228
UCL322086,5,4,13,11,3,12,17,14,3,86
UCL322087,24,83,22,20,28,5,7,20,8,218
UCL322088,16,5,0,0,4,3,4,3,0,52
UCL322089,16,16,28,25,14,25,19,31,9,173
UCL322090,16,22,20,14,13,8,9,15,0,119
UCL322091,5,12,18,10,20,5,9,9,0,92
UCL322092,7,11,12,21,15,7,0,10,11,96
UCL322093,20,31,30,14,9,20,7,18,8,149
UCL322094,22,15,19,7,11,11,5,6,7,100
UCL322095,7,15,21,14,12,17,13,25,3,131
UCL322096,30,28,54,30,29,16,18,24,6,239
UCL322097,23,31,12,26,6,14,8,20,3,147
UCL322098,25,28,29,24,30,20,17,21,3,199
UCL322099,14,14,4,15,4,11,9,5,0,71
UCL322100,34,33,35,16,37,14,35,39,7,244
UCL322101,32,22,25,19,19,14,42,42,14,226
UCL322102,5,11,0,8,0,5,0,0,4,43
UCL322103,24,27,34,10,16,14,20,17,0,150
UCL322104,27,27,17,28,16,9,22,24,7,187
UCL322105,3,4,12,10,7,4,16,11,5,79
UCL322106,10,19,12,19,21,11,10,14,0,120
UCL322107,9,4,6,7,8,0,0,5,0,42
UCL322108,10,11,9,14,3,6,13,17,0,85
UCL322109,13,24,38,21,20,12,20,24,0,171
UCL322110,17,14,35,21,13,13,22,38,3,173
UCL322111,14,13,24,21,15,10,11,23,4,129
UCL322112,15,19,30,12,11,4,11,14,4,117
UCL322113,7,10,4,17,5,9,4,13,0,79
UCL322114,18,17,18,30,9,4,20,23,10,157
UCL322115,15,12,20,15,11,16,26,26,4,138
UCL322116,8,16,11,8,9,3,3,20,0,93
UCL322117,8,13,14,11,6,6,11,10,0,85
UCL322118,11,9,17,15,13,15,23,28,0,126
UCL322119,23,3,11,12,18,3,14,20,10,120
UCL322120,20,26,22,27,19,12,37,40,4,207
UCL322121,12,10,18,20,9,9,14,17,8,109
UCL322122,23,23,24,8,6,5,5,20,8,117
UCL322123,9,15,13,6,12,8,9,7,4,85
UCL322124,8,9,9,0,7,5,11,11,6,75
UCL322125,3,3,13,28,8,12,15,14,7,102
UCL322126,17,10,22,12,13,14,8,12,0,106
UCL322127,14,12,25,14,24,20,20,45,0,167
UCL322128,9,0,15,21,6,9,8,8,4,82
UCL322129,13,8,10,14,7,9,10,14,4,83
UCL322130,8,9,12,24,0,0,13,39,6,108
UCL322131,12,12,11,8,3,11,11,11,3,78
UCL322132,19,12,29,15,14,8,30,33,8,168
UCL322133,10,11,5,13,6,8,0,13,0,68
