UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,84254,110802,195057,179622,209822,389449,7253,7823,15072,24885,28421,53309,1378,1419,2798,516423,568191,1084619,1569,1790,3349,83835,88438,172274,4423,5790,10218,5093,5428,10522,3042,3711,6751,14231,14466,28691,10083,11212,21288,19703,23575,43279,32804,37830,70632,1510,2040,3548,4402,5340,9736,29168,36375,65539,56418,63554,119969,1640,1826,3471,997476,1117047,2114519,131284,119049,250322,169509,156341,325846,18042,19152,37190,166,177,339,20180,17646,37831,12636,13921,26553,32982,31741,64725,721167,661538,1382703,7120,5671,12792,2691,4220,6911,730979,671436,1402409,159925,148662,308585,2324431,2374220,4698656
UCL102001,164,224,389,1995,2432,4426,0,0,0,139,124,263,88,102,190,4375,4709,9081,7,4,8,605,585,1191,29,39,73,45,47,84,77,96,172,16,9,25,80,70,152,152,184,331,268,337,606,32,29,67,29,27,59,311,364,679,502,528,1025,3,6,14,8744,9699,18444,643,532,1178,379,297,677,14,7,23,4,6,5,312,256,567,65,89,154,371,353,723,7229,6378,13604,75,51,128,26,28,48,7323,6459,13785,1205,1083,2290,18852,18658,37511
UCL102002,1248,2016,3261,24206,30105,54314,7,8,20,2142,2647,4788,104,129,231,32766,38141,70904,107,172,278,1057,1143,2199,548,780,1327,308,359,670,269,347,615,173,163,337,1431,1556,2986,1307,1677,2988,2921,3545,6462,242,357,599,581,671,1255,3282,4492,7775,3374,3920,7295,108,143,255,74946,90350,165293,1156,1010,2168,764,664,1428,196,213,412,56,45,100,275,257,532,384,535,919,708,840,1550,66872,61469,128349,558,430,980,256,452,714,67693,62352,130041,10461,10646,21099,157170,168091,325255
UCL102003,233,382,619,4558,5646,10200,0,0,0,284,343,627,0,0,0,6027,7267,13298,28,46,76,96,124,220,247,302,553,28,42,66,85,121,207,17,12,29,93,135,226,333,430,764,821,986,1802,26,69,86,113,144,255,693,1029,1719,586,747,1336,23,24,44,14039,17470,31509,143,127,265,32,36,73,31,33,66,10,8,16,83,65,150,74,125,197,168,199,366,12949,12400,25343,79,77,157,71,133,199,13097,12604,25703,2500,2615,5121,30254,33464,63721
UCL102004,1309,1857,3169,22299,26949,49245,4,0,4,2682,3000,5680,91,85,176,29947,34967,64917,73,102,175,2014,2078,4096,398,531,924,246,279,521,249,330,585,85,76,162,898,996,1895,1890,2179,4068,3211,3702,6915,425,552,978,590,704,1295,5179,7336,12519,3954,4622,8579,208,237,443,74440,88728,163172,1576,1356,2935,1988,1560,3540,121,136,254,38,32,71,303,231,533,377,594,967,715,862,1572,79020,72960,151983,743,575,1316,244,431,672,80006,73964,153975,10330,9585,19917,170489,178047,348539
UCL102005,1123,1779,2900,16713,20619,37329,13,10,20,1017,1175,2187,155,151,308,30789,34663,65454,108,137,249,5921,5938,11858,506,667,1170,152,187,342,393,504,901,240,212,450,389,484,872,1027,1199,2229,2136,2546,4684,228,342,573,129,193,318,2805,3884,6685,3885,4236,8120,72,82,150,66678,77228,143906,1236,959,2195,3329,3147,6477,86,86,172,27,19,42,162,163,327,346,509,851,532,695,1230,55295,49982,105273,497,425,924,206,315,522,55995,50719,106720,8517,8036,16548,137502,142645,280153
UCL111001,181,274,455,2888,3778,6668,0,0,0,236,242,477,72,68,135,5427,6262,11687,11,20,35,133,140,278,77,121,198,29,27,53,356,542,894,12,13,15,53,60,117,257,333,585,612,766,1375,39,43,87,87,103,194,656,960,1615,497,576,1071,14,20,32,11435,14068,25498,676,591,1265,186,141,328,21,17,36,0,3,3,378,312,685,80,103,182,459,411,877,10818,10409,21233,66,48,117,31,41,71,10918,10497,21417,1988,1801,3793,25867,27809,53677
UCL111002,227,316,547,3277,4126,7405,0,0,0,461,515,981,5,4,12,4232,5163,9395,22,22,40,72,62,132,127,175,299,21,23,43,48,74,125,13,17,27,104,136,239,418,531,951,721,851,1571,41,74,116,80,105,181,516,721,1239,551,718,1270,11,14,19,10732,13332,24060,134,126,256,138,117,259,18,17,38,19,14,29,215,200,410,292,357,647,517,571,1093,10319,10131,20452,86,68,160,43,71,117,10453,10274,20726,2028,2062,4092,24249,26816,51069
UCL111003,223,318,540,7482,8868,16346,0,0,0,647,713,1353,79,78,161,9407,10844,20258,31,42,69,137,141,281,73,126,206,76,93,172,39,72,110,13,22,41,233,310,537,316,412,730,907,1072,1981,137,176,312,87,101,184,1240,1762,3007,864,1002,1868,29,25,49,21806,25861,47666,346,309,657,292,253,545,19,21,32,6,10,21,162,133,293,87,188,275,254,329,592,17950,16569,34521,128,111,239,50,70,123,18126,16762,34888,2482,2204,4687,43540,46056,89597
UCL112001,114,158,271,1433,1743,3174,0,0,0,84,118,199,81,66,148,1583,1910,3499,3,10,11,34,22,55,20,38,61,15,17,33,13,22,36,0,0,0,33,32,63,59,84,136,237,341,580,25,49,72,61,66,126,188,293,478,186,239,422,7,9,17,4066,5056,9122,217,217,435,193,169,362,14,9,22,8,8,17,45,52,93,290,341,632,340,399,737,3874,3861,7741,54,38,88,15,29,45,3942,3928,7873,1169,1312,2483,10063,11250,21312
