UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL112004,24,28,64,68,79,60,22,7,6,351,32,14,56,68,92,77,49,11,0,395,614,664,1536,1914,2339,2021,944,190,19,10240
UCL112005,23,50,107,75,73,45,9,6,0,382,29,41,82,74,63,52,16,0,4,360,594,876,1955,1765,1742,1272,301,27,5,8542
UCL112006,44,87,197,123,109,93,41,6,4,703,54,67,212,123,108,79,31,20,0,687,1170,1656,5087,3723,3115,2718,820,121,13,18426
UCL112007,10,8,22,28,18,21,4,0,0,114,10,6,17,15,24,23,16,0,0,104,231,174,509,586,650,532,162,29,3,2873
UCL112008,4,23,47,56,73,47,19,0,0,274,23,20,36,56,50,47,26,17,0,283,484,468,1039,1254,1448,1477,502,70,9,6745
UCL112009,27,48,106,87,84,58,17,0,0,431,23,47,113,62,65,64,15,4,0,402,637,1007,2454,2102,1987,1834,479,60,4,10564
UCL112010,34,36,100,78,48,50,20,0,0,363,31,74,159,128,100,76,30,10,4,616,663,892,2521,2170,1939,1662,529,77,4,10459
UCL112011,20,57,154,57,57,40,8,0,0,397,27,43,106,78,75,53,14,4,0,411,549,933,2434,1783,1657,1135,194,18,0,8714
UCL112012,30,43,126,88,126,88,29,7,0,541,32,40,82,86,106,61,26,12,0,449,862,1079,2513,2449,2476,2226,591,71,10,12278
UCL112013,3,8,11,5,5,8,0,0,0,42,5,7,14,14,11,8,3,0,0,56,58,88,246,230,231,205,53,12,0,1128
UCL112014,25,33,93,92,105,64,24,3,0,440,22,37,86,83,83,53,22,6,0,381,537,835,1968,1784,1848,1562,431,54,0,9017
UCL112015,18,56,155,99,86,64,23,5,0,513,38,42,120,104,112,72,14,12,3,525,885,1286,3251,2663,2472,1953,452,63,6,13026
UCL112016,51,73,203,166,140,92,28,3,0,761,47,55,158,101,119,79,28,5,0,599,1216,1617,4549,4060,3620,2710,812,102,8,18698
UCL112017,31,77,134,160,162,133,45,4,0,753,43,67,114,107,127,92,42,19,6,614,1506,1698,3409,3995,4524,3747,1071,140,16,20108
UCL112018,49,71,161,123,98,103,35,3,4,649,43,61,154,100,84,66,30,16,8,557,1110,1397,3772,3009,2762,2455,711,103,13,15329
UCL112019,62,130,250,213,171,172,55,10,3,1067,61,110,222,181,142,139,29,8,0,895,1738,2449,5357,4715,4385,3721,1076,133,14,23590
UCL113001,10,23,57,66,64,43,20,10,0,294,16,18,51,57,53,38,20,5,6,253,451,531,1227,1451,1539,1484,530,63,9,7279
UCL113002,19,17,30,35,45,29,17,0,0,186,15,9,35,29,40,42,16,5,0,194,281,295,748,782,924,930,324,33,0,4320
UCL113003,19,32,51,47,43,62,19,0,0,284,15,26,38,44,41,53,16,5,0,241,473,606,1559,1274,1325,1435,381,36,5,7100
UCL113004,3,8,54,48,36,26,7,6,0,177,8,21,130,95,56,22,16,5,0,357,201,352,1547,1198,942,739,295,31,0,5300
UCL113005,17,27,60,42,59,35,13,0,0,259,23,38,67,52,45,36,16,3,0,277,442,637,1296,1259,1266,1123,276,38,5,6345
UCL113006,3,11,29,23,25,20,4,0,0,116,7,6,28,24,30,21,13,0,0,131,262,298,656,597,632,575,179,23,5,3222
UCL113007,8,19,28,42,44,33,6,0,0,184,10,6,37,43,44,40,5,5,0,186,403,440,1063,1396,1421,1278,337,35,3,6370
UCL113008,16,22,37,30,38,14,7,4,0,170,10,16,39,32,41,33,3,5,0,173,239,396,907,748,865,811,197,30,4,4188
UCL113009,14,18,48,37,44,36,14,0,0,210,8,23,33,37,42,21,3,3,6,171,374,413,944,1124,1152,762,160,6,4,4940
UCL113010,16,29,66,36,40,34,21,0,0,240,8,11,44,23,26,25,9,8,0,160,380,478,1362,1155,1019,795,203,41,4,5436
UCL113011,17,29,65,41,35,27,8,0,0,220,7,25,51,29,28,21,11,3,0,184,335,433,1117,984,979,720,170,15,0,4759
UCL113012,9,21,34,41,47,31,14,0,0,204,15,15,32,36,53,54,13,6,4,222,419,426,836,1092,1383,1229,346,62,4,5784
UCL113013,11,22,68,60,50,44,10,0,0,270,31,26,85,48,50,40,9,5,0,301,393,590,1295,1166,1137,967,192,19,0,5755
UCL113014,23,39,104,46,67,25,5,0,0,310,18,41,61,57,49,32,7,4,0,275,460,670,1721,1392,1382,927,190,26,0,6766
UCL113015,14,19,47,39,24,26,0,0,0,173,10,14,24,28,43,23,7,0,0,153,219,343,787,794,862,717,174,15,0,3918
