UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL101001,17458,21056,9400,11468,16560,6792,4188,4881,1310,93120,24726,25195,15791,26601,27508,12293,6674,7760,2295,148832,33040,17237,92459,33539,35234,16557,19824,19777,4492,272164,2227,1555,1589,2523,5212,2483,1505,1963,254,19302,5523,4388,3366,5117,10364,4086,2696,3111,581,39228,2623,4998,1599,1617,2973,1344,1038,1232,429,17861,3637,5559,2587,3164,4623,2292,2210,2747,5844,32667,283106,621105,166911,142456,215057,90950,57598,64800,29552,1671544
UCL102001,182,160,80,97,166,34,14,26,15,783,330,304,164,287,353,74,43,55,25,1626,465,292,1426,484,648,176,244,282,75,4094,26,18,33,38,75,31,7,33,3,264,41,45,20,56,87,23,20,28,4,336,17,19,12,18,18,6,6,8,3,109,27,47,26,28,69,25,23,16,50,299,2615,3917,1996,1570,2228,627,491,640,302,14383
UCL102002,1043,1499,478,1048,1031,354,161,220,61,5897,1762,1929,1006,2731,2004,777,275,449,137,11070,3792,2099,12221,5604,4469,2266,2310,3127,535,36422,190,135,196,313,450,313,149,288,23,2053,373,313,284,594,759,342,222,333,47,3261,109,197,85,99,203,70,41,73,16,902,207,309,211,324,345,191,154,217,265,2229,12912,26656,15631,13510,12299,5356,3680,5318,1410,96767
UCL102003,165,272,102,209,164,80,20,44,15,1065,337,292,228,577,318,153,50,127,22,2111,692,318,2368,1031,718,443,341,662,108,6696,36,17,37,79,71,64,22,65,3,394,76,53,47,122,131,74,32,75,11,614,16,32,19,27,25,10,6,9,3,151,41,76,65,67,65,44,36,73,67,532,2329,4865,3110,2710,2002,1077,591,1234,320,18240
UCL102004,1124,1752,627,970,1064,321,137,176,59,6235,1767,2185,1358,2935,2190,698,346,433,152,12065,3743,2224,13914,6063,5065,2283,3044,2903,502,39732,202,134,199,388,512,331,160,297,21,2249,304,266,242,529,842,301,197,281,33,2997,90,234,68,139,147,75,42,69,24,887,220,335,222,333,317,168,150,225,307,2275,15120,40908,18411,14964,14431,5520,4593,5161,1507,120609
UCL102005,819,1083,505,950,744,210,147,183,46,4691,1384,1573,1213,2520,1739,574,282,409,127,9819,2864,1626,11085,4567,3835,1724,2861,2564,481,31605,130,93,140,322,440,217,122,277,23,1763,285,238,192,474,724,255,191,246,40,2631,71,163,71,74,116,30,36,59,18,626,153,239,160,277,229,131,143,195,224,1755,11164,27145,14682,12242,11044,4319,4321,4638,1309,90862
UCL111001,137,187,116,173,149,45,31,31,4,881,276,260,188,507,296,125,95,83,36,1866,712,300,2207,1045,795,416,464,548,86,6575,31,14,32,77,78,60,31,48,3,377,53,34,24,95,112,54,33,51,10,456,11,22,14,17,14,12,16,14,0,118,31,41,34,61,29,30,24,62,49,371,2145,4675,2833,2527,1993,916,818,987,243,17133
UCL111002,130,193,50,133,154,53,17,41,6,782,240,241,149,467,289,130,26,85,19,1633,534,271,1653,1016,742,458,279,573,68,5585,33,13,28,61,76,68,25,44,3,344,69,20,34,96,85,59,26,57,10,456,6,32,11,19,24,6,0,17,0,118,39,47,38,61,56,25,23,71,49,413,1740,4178,2128,2307,1855,959,424,1014,200,14811
UCL111003,236,377,198,233,194,59,42,63,15,1413,472,508,363,846,565,196,123,143,54,3268,1101,621,4404,2015,1696,755,1421,898,179,13077,56,22,63,131,137,118,83,113,3,717,78,56,83,162,177,75,60,71,8,765,23,39,15,22,36,17,13,21,4,187,45,66,46,103,89,36,59,91,82,618,3168,6635,5477,4227,3552,1475,1920,1580,400,28431
UCL112001,47,72,24,55,47,10,0,13,4,272,71,76,41,136,98,27,13,34,9,509,191,98,540,260,220,126,95,180,14,1719,17,12,16,33,24,28,13,34,5,180,13,10,11,32,38,15,7,17,0,154,3,14,3,3,11,0,0,9,0,55,14,12,11,14,24,6,3,12,19,117,813,2247,798,883,723,299,168,474,80,6490
