SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED10031,6622,6733,5699,4649,4468,2816,2439,4015,765,38211
SED10032,3788,9628,4050,3974,5516,3135,3240,3800,1105,38222
SED10033,5827,6250,7116,3854,5593,2991,3077,3420,710,38843
SED10034,5852,10452,5737,4458,6269,3022,1493,2307,519,40103
SED10035,11282,25438,6078,5409,8274,4833,2208,3459,1180,68160
SED10036,4666,8316,4661,4013,6155,2960,3244,2739,742,37493
SED10037,6861,14403,4376,3960,5831,2919,1173,2390,554,42467
SED10038,4986,11132,5000,4708,4583,2751,1861,2583,492,38097
SED10039,4593,7427,5589,4803,4134,2907,2238,3113,558,35364
SED10040,4684,11250,4570,4780,5879,3964,2384,4302,963,42772
SED10041,8557,17081,2320,2944,5208,2744,605,1321,685,41465
SED10042,3734,6646,5689,4718,4394,2906,2646,3320,571,34626
SED10043,2825,6152,3372,3308,4237,3054,2827,2997,853,29610
SED10044,9842,19008,3215,3140,6098,3118,737,1375,756,47291
SED10045,4493,6125,4259,4376,3669,2801,1882,4210,582,32402
SED10046,2846,5828,4052,3736,4908,2844,4358,3841,860,33267
SED10047,5081,8739,6136,5700,7818,3947,7060,4987,1155,50628
SED10048,4887,10525,5355,5473,7277,3908,4860,4449,1129,47850
SED10049,4519,7369,7031,5789,5399,3955,4057,4466,697,43280
SED10050,10519,16366,3708,3612,4850,3318,951,1489,699,45524
SED10051,6931,12384,4642,4042,5836,3156,1844,2526,756,42121
SED10052,6807,10449,4816,3596,6092,3322,1452,1968,642,39157
SED10053,8282,9346,6151,4952,6844,3195,2453,3640,1010,45857
SED10054,2968,6276,4200,4221,5711,3004,5967,4362,857,37574
SED10055,5684,7569,5905,4070,7489,3689,4116,3396,774,42703
SED10056,7353,5116,5236,4104,4320,2989,3041,6472,900,39535
SED10057,3069,4659,3861,4209,2890,2880,1537,3348,529,26980
SED10058,5421,13622,4629,5521,4687,2966,1606,2716,591,41746
SED10059,8235,21352,3280,3757,5195,2823,873,1676,741,47940
SED10060,10376,20113,2044,2423,5158,2686,408,869,795,44858
SED10061,5887,5960,3857,4048,3565,2695,1957,4429,606,33007
SED10062,5461,10742,3770,3196,5953,3075,1635,2166,666,36677
SED10063,5527,7282,5298,4464,4371,2914,2902,3940,623,37327
SED10064,3697,4749,3984,4511,3052,2522,1827,3688,552,28600
SED10065,6687,17826,5019,4613,7391,3818,2976,3572,1120,53013
SED10066,4661,7901,5462,4399,6175,3283,3578,3503,726,39674
SED10067,7672,10313,4696,3259,4523,3054,997,1725,585,36819
SED10068,3751,7015,4526,4989,3951,3122,1495,3097,545,32484
SED10069,3480,4619,5315,4345,3822,2896,2365,3448,623,30912
SED10070,3930,8191,3889,3063,5755,2685,3413,2899,775,34610
SED10071,8781,18680,5890,5404,9472,4609,3788,3362,1113,61102
SED10072,6176,12256,4880,4167,6584,3909,2336,3614,933,44863
SED10073,7167,18687,4578,3859,6972,3771,1457,2527,909,49942
SED10074,5197,11956,4178,3553,5978,2872,2747,2690,758,39924
SED10075,3855,6514,6554,5516,5264,3606,3274,4022,700,39301
SED10076,3454,4973,4956,4446,3186,2803,1417,3284,457,28984
SED10077,6233,16250,4678,4741,6644,4119,2052,4473,1200,50390
SED10078,6875,17021,3743,3487,5474,2776,1291,2282,633,43566
SED10079,3273,5448,5222,4327,4030,2925,2155,3268,481,31136
SED10080,11352,22379,3682,4376,5570,3543,982,2711,1114,55695
SED10081,5118,6081,5036,4460,4018,3133,3093,5020,601,36558
SED10082,5332,9401,4703,4070,4626,3011,1159,2411,535,35250
SED10083,3912,6617,5172,4379,4425,3136,2053,3434,569,33688
SED10084,4126,6750,5294,4859,3995,3294,1635,3649,677,34278
SED10085,4817,4370,6317,4042,3639,2589,5183,4628,688,36276
SED10086,10247,18106,2226,2567,4289,3103,485,988,1051,43053
SED10087,5178,7724,5922,5552,4360,3483,2431,4361,714,39727
SED10088,7972,11682,5298,4314,5534,3706,1630,2680,630,43441
SED10089,3900,10212,5658,5852,5075,3896,2681,4020,607,41902
SED10090,9649,18331,2537,2798,5210,2978,668,1268,755,44189
SED10091,5611,6867,6902,4119,5224,3240,3125,3649,695,39430
SED10092,3968,9297,5061,4957,4696,3121,2427,3630,655,37816
SED10093,3668,5382,5329,5130,4450,3452,2819,4018,631,34873
SED19494,234,500,279,334,236,171,253,419,77,2511
SED19797,0,0,0,0,0,0,0,0,0,0
SED20106,9925,18551,3493,4227,5719,3156,932,2127,945,49076
SED20207,7205,13797,5966,5225,7302,4177,3791,3799,1233,52488
SED20302,6382,9279,8378,6866,6273,4798,4426,5804,1077,53279
SED20401,3792,7737,5076,3706,4518,2840,1786,2825,530,32811
SED20508,4302,7273,4910,4133,3783,2797,1446,2672,575,31894
SED20604,4878,5996,5064,4458,3673,2748,2409,3794,604,33619
SED20704,3994,7750,4623,4525,4044,3000,2026,3671,516,34145
SED20804,3242,6166,3996,3742,3179,2465,1639,3463,495,28396
SED20906,6314,11117,3229,3060,4584,3074,843,1672,541,34435
SED21001,5519,12939,3130,3441,4472,3083,962,2134,698,36381
SED21106,7710,11829,1935,2645,3560,2723,416,926,575,32320
SED21203,1896,4301,3849,3222,2729,2068,2865,3220,783,24934
SED21303,6776,18986,3719,4310,5264,2813,1036,1943,664,45504
SED21401,5221,9538,3077,2726,4175,3087,825,1656,647,30955
SED21503,3717,7728,4060,3399,4232,2613,1552,2235,565,30094
SED21608,3784,6165,5027,4150,3909,2749,2141,3296,532,31749
SED21706,6183,12495,2577,3153,4126,3110,828,1758,589,34815
SED21805,4706,6718,5899,4168,5035,3326,2418,3244,687,36195
SED21906,6679,14490,2674,3442,4200,2668,710,1448,729,37041
SED22005,3866,8930,4509,3770,4433,3012,2715,4263,902,36388
SED22105,5681,9656,9367,7857,7665,5067,6752,7182,1367,60596
SED22201,4056,7654,4642,3564,4250,2652,1405,2482,590,31286
SED22305,2236,4412,5434,3392,3294,2316,3803,4770,843,30497
SED22404,4529,4531,5575,3568,3192,2087,1858,3170,538,29046
SED22501,5285,9182,3934,3048,4339,2449,810,1535,410,30999
SED22607,6638,13454,3198,3517,5415,2933,1022,2059,660,38901
SED22704,4954,4272,4742,3701,3243,2177,2382,4008,673,30154
SED22802,4122,5793,6017,3770,4351,2760,1641,2921,538,31903
SED22901,3818,7425,4015,3010,4271,2752,1574,2290,556,29718
SED23007,5111,11763,4315,4458,5421,3226,3235,4060,954,42531
SED23101,4113,8986,2954,2659,3855,2535,1054,1912,508,28573
SED23205,3550,6108,4552,3716,3473,2631,1654,2820,507,29018
SED23308,4093,8978,4560,4433,3777,2804,1706,3044,530,33927
SED23402,5605,8374,6929,4825,5912,3842,2800,3736,760,42787
SED23502,3870,3944,3835,3537,2683,2171,1773,3479,569,25851
SED23602,4636,4422,3824,3172,2528,2124,1552,3039,544,25848
SED23702,4149,5392,7556,4654,4711,3311,2226,3822,645,36460
SED23806,6789,15073,1982,2794,4129,2656,498,1181,508,35617
SED23901,5464,12596,3263,3205,4337,2424,971,1758,517,34533
SED24006,6187,12312,1851,2390,3845,2773,490,1167,617,31629
SED24105,3690,6255,4488,3528,4123,3037,3658,5554,913,35242
SED24207,4106,8201,5748,5015,6058,3640,5471,5138,1267,44643
SED24308,2842,4929,4830,4264,3396,2740,3094,4130,683,30895
SED24408,6077,4218,3380,3097,2612,2098,1680,3373,487,27007
SED24504,5264,7418,4852,3504,3725,2185,1433,2632,543,31554
SED24606,6664,12816,1828,2508,3809,2652,483,1123,580,32462
SED24703,9167,29371,5745,8449,7876,5218,1798,4581,1340,73549
SED24808,3690,5676,6325,5629,5682,3742,5401,4527,928,41595
SED24904,4834,4492,3739,3324,2933,2554,2112,4579,762,29343
SED25003,3582,6458,5002,4133,5226,3650,2786,3401,777,35022
SED25102,4603,7245,5119,3447,3830,2289,1318,2293,530,30670
SED25205,5644,9576,4317,3493,4845,3082,1142,1891,501,34496
SED25302,5489,7295,4029,3416,3674,2893,802,2002,476,30087
SED25402,2896,4826,4838,3754,3989,2725,2175,3322,582,29100
SED25501,4730,10483,2688,2539,3945,2604,992,1847,650,30470
SED25605,3421,7039,3430,2871,3735,2448,2055,2970,659,28634
SED25704,5187,4124,4155,3485,2810,2533,2018,4249,551,29106
SED25802,4763,5721,5831,4261,4070,2781,2427,4359,677,34878
SED25905,3344,5583,5141,3392,4585,2901,2771,3330,722,31779
SED26005,4255,7135,6500,4641,5554,3776,3863,4679,936,41339
SED26102,4459,5611,4819,3215,3003,2710,917,2457,609,27795
SED26207,4645,7677,3625,2735,4731,2717,1364,1944,616,30060
SED26303,6507,16342,3164,3501,4227,2334,862,1642,536,39103
SED26406,5448,13276,3739,3779,5000,3405,1423,2473,741,39269
SED26504,4325,4468,3901,3448,2688,2344,1771,3716,477,27146
SED26603,5354,12456,5028,4260,5444,3079,1748,3099,774,41242
SED26708,6226,4738,4436,3496,2845,2344,2151,4549,575,31367
SED26806,8748,19660,3011,3730,5389,3341,699,1522,817,46917
SED26903,4101,9875,4218,3876,4391,2691,1804,2935,725,34618
SED27003,8893,22084,3142,3731,4877,2802,704,1516,725,48476
SED27101,4725,10616,3909,3465,4480,2639,1158,2324,573,33878
SED27208,4576,4090,3853,3892,2842,2321,1996,4111,537,28218
SED27305,4279,6762,4280,2835,4577,3018,1491,2178,521,29943
SED27406,7227,10571,2811,2975,4339,2892,627,1323,530,33284
SED27504,4622,5660,4431,3846,3566,2914,2211,4814,661,32725
SED27608,6392,12565,6433,6469,5396,4374,1984,3587,671,47863
SED27708,4467,5643,4376,3954,3137,2851,2166,4191,608,31391
SED27807,2302,4744,4269,3550,3566,2403,3724,4564,907,30023
SED27907,3834,5914,5292,3877,5166,2881,2558,2770,647,32936
SED28007,4501,7405,5501,4056,6380,4184,3639,3762,904,40335
SED28107,5664,12477,7163,7201,8013,4923,8711,5860,1590,61610
SED28203,2980,5899,5020,4299,4432,2929,3804,4288,861,34515
SED28301,5436,9015,3265,2872,4205,2970,785,1690,542,30778
SED28408,3379,7004,3824,3934,3591,2731,1389,2801,426,29079
SED28507,4028,8055,5514,5087,5777,3413,4553,4335,944,41710
SED28607,7546,13150,3664,3221,4943,2758,1391,1998,637,39304
SED28704,6359,10021,8551,6550,7265,4558,3440,4193,931,51874
SED28803,5707,9825,8277,7103,7679,5112,6265,5996,1369,57338
SED29494,174,334,250,227,143,129,177,308,49,1797
SED29797,0,4,0,0,0,0,0,4,0,15
SED30001,3034,6104,4029,3573,4363,2567,2957,3074,635,30334
SED30002,3746,8036,3138,2928,4051,2376,1197,1823,499,27790
SED30003,2909,4634,3828,3989,3788,2611,2100,2909,518,27290
SED30004,3489,6620,4156,4155,3308,2613,1285,2338,485,28445
SED30005,2744,5497,3621,3722,3242,2942,1512,2777,524,26574
SED30006,3890,4276,2800,2274,3187,2477,953,1623,447,21922
SED30007,3324,6445,3678,3905,3328,3011,1089,2271,426,27474
SED30008,6179,11287,2999,2860,4628,2459,1005,1759,496,33662
SED30009,1746,2907,2709,3035,2266,2055,1468,3276,354,19815
SED30010,2245,3800,4050,4509,3931,2603,3921,4409,763,30229
SED30011,3396,2850,4361,2241,2614,1651,4405,3879,579,25983
SED30012,3547,6130,3622,3364,3020,2527,889,1963,499,25560
SED30013,2704,3150,2792,2467,2127,1584,1678,2806,387,19704
SED30014,2912,6030,3649,4324,3004,2397,1380,2869,471,27031
SED30015,4314,2264,3368,1932,2130,1412,2788,3695,526,22426
SED30016,2921,4970,3903,3503,3160,2444,1455,2624,415,25416
SED30017,2918,4400,4343,3066,3927,2285,1978,2575,431,25929
SED30018,4623,8534,2818,2426,4107,2377,950,1651,387,27874
SED30019,5581,12009,2849,3252,4731,2667,1039,1846,535,34513
SED30020,3978,3954,4407,3040,3439,2064,2146,3317,488,26830
SED30021,2747,3088,3035,2960,2211,1537,1652,3029,611,20878
SED30022,5173,6842,6674,5313,5483,4290,3320,4333,851,42272
SED30023,5127,12070,2200,2802,3476,2060,557,1288,355,29941
SED30024,3079,5346,3502,3054,2783,2217,969,2007,455,23418
SED30025,4176,8121,3624,3518,4485,2446,1066,1683,397,29522
SED30026,3959,8744,2983,3386,3755,2001,986,1521,379,27708
SED30027,2728,4193,4067,3258,3214,2588,1545,2583,505,24688
SED30028,1980,3558,4832,2563,2426,1911,2774,2789,502,23335
SED30029,3005,3811,3685,2534,2643,1741,1539,2566,455,21972
SED30030,4635,11474,2887,3098,4048,2173,899,1669,440,31322
SED30031,3445,2255,3036,1603,2002,1346,2877,2834,441,19845
SED30032,2344,2526,3121,2684,2296,2017,1866,3035,455,20340
SED30033,1659,3347,2545,3311,1965,1995,1035,2149,346,18348
SED30034,3556,3162,3164,2762,2328,1847,1894,4030,518,23274
SED30035,2876,3572,4155,3439,3121,2009,2430,2569,518,24693
SED30036,2211,4744,3179,3842,3369,2125,2911,3490,636,26498
SED30037,2167,3793,3377,3250,3122,2082,1930,2559,422,22700
SED30038,2413,3684,3827,3458,3253,2122,2085,2718,435,23998
SED30039,4195,6935,5086,4246,5372,3008,3062,3024,727,35645
SED30040,2858,5448,3709,3248,3061,2405,1077,2263,392,24459
SED30041,2505,4512,4096,3350,3076,2011,2294,2569,461,24879
SED30042,3037,4569,4569,3703,4239,2745,2133,2916,492,28400
SED30043,2826,2725,3373,2650,2580,1891,2266,4024,460,22798
SED30044,3002,3692,5258,3483,4261,2479,3687,3487,712,30052
SED30045,4006,6386,3589,2829,4025,2182,1727,2268,480,27485
SED30046,2715,3814,4302,3333,3791,2427,2549,3508,609,27045
SED30047,2310,4393,5220,3055,3017,2365,2929,2892,533,26711
SED30048,4628,14280,2098,3628,3860,2663,746,1788,482,34169
SED30049,3739,9016,2984,2939,3895,2533,1199,2180,522,29003
SED30050,3129,5309,3481,3424,2973,2278,1029,2281,422,24314
SED30051,1835,2643,2686,2893,2308,1754,1504,2304,369,18307
SED30052,6446,15762,3406,4671,5221,3097,1085,2809,765,43258
SED30053,3919,6875,3608,3697,3459,2919,1031,2112,547,28173
SED30054,4221,11132,2175,2538,3340,1948,719,1443,353,27863
SED30055,2699,2734,4716,2063,2822,1696,3396,2438,508,23065
SED30056,4531,9516,2230,2221,3093,1794,582,1188,302,25454
SED30057,2057,2680,3700,3580,2876,2403,2223,4101,502,24124
SED30058,3805,8600,2859,2647,3562,1910,1050,1654,364,26454
SED30059,3834,6469,4123,3639,3869,3085,1247,2383,601,29247
SED30060,2482,3924,4321,3710,3371,2584,1793,2729,464,25381
SED30061,2312,5671,3098,4274,2800,2111,1656,2172,381,24481
SED30062,3359,5881,4608,4815,4835,3137,2720,3304,618,33281
SED30063,3208,2313,2655,2466,1863,1548,1579,3459,446,19539
SED30064,2544,3903,3749,3024,2682,1990,1430,2769,437,22526
SED30065,3537,5675,4229,3351,3155,2489,1253,2415,492,26594
SED30066,3358,4508,3067,2757,2180,2162,769,2040,439,21279
SED30067,4015,8446,3504,3352,4619,2332,1618,2465,554,30899
SED30068,3406,4621,2756,2457,3266,1986,992,1671,313,21469
SED30069,3810,5971,4190,3346,4199,2269,1580,2233,494,28097
SED30070,1970,2541,3070,2621,2418,1899,1534,2441,396,18888
SED30071,2844,4344,3263,3043,3205,1880,1491,2320,414,22794
SED30072,3046,4081,4039,2982,3696,2254,1580,2382,431,24490
SED30073,1929,3851,3781,3536,2791,2243,2261,3084,449,23908
SED30074,3141,6223,3434,3399,4001,2119,1696,2401,484,26896
SED30075,3539,3609,4149,2944,2945,1803,1969,2992,525,24475
SED30076,5215,14849,2979,4271,4434,2629,1065,2363,614,38424
SED30077,3649,2632,2575,2407,2178,1753,1964,3601,439,21185
SED30078,3082,5588,3459,3799,3122,2865,1270,2769,555,26505
SED30079,3451,6220,4175,2838,4181,2323,1593,2229,476,27481
SED30080,4357,10043,3301,3339,4050,2499,1148,2024,469,31226
SED30081,2952,7006,3193,3034,3674,2443,2132,2663,641,27736
SED30082,4203,5782,3102,3316,3172,2983,994,2582,591,26720
SED30083,3573,5175,4799,3752,4040,3039,1980,3004,659,30035
SED30084,2048,3513,3640,4204,3136,2384,1963,2655,442,23991
SED30085,2938,7799,3418,3089,3451,2284,1791,2952,628,28360
SED30086,2580,5448,3374,3402,3029,2142,1356,2507,381,24218
SED30087,2402,6076,3460,4030,3221,2336,1357,2928,415,26217
SED30088,2971,6132,3350,3774,2881,1908,1450,2123,403,24992
SED30089,2481,2918,3361,1978,1964,1190,2625,2539,499,19549
SED30090,4235,2508,2704,1967,2222,1511,1686,2974,395,20205
SED30091,2144,3559,3731,3238,3269,2231,2831,3342,585,24931
SED30092,3329,3963,5188,3222,3011,2471,2968,2919,553,27618
SED30093,1597,2396,3561,3607,3006,2218,4277,4634,695,26006
SED39494,290,488,386,429,275,208,319,732,98,3219
SED39797,0,10,0,0,0,0,0,17,0,29
SED40001,3427,8487,1824,2653,2724,1708,514,1302,342,22971
SED40002,2282,5991,2520,3341,2860,1758,939,1908,346,21935
SED40003,2311,4444,2684,2463,2729,1552,748,1310,296,18543
SED40004,3162,7382,1149,1579,2148,1345,281,800,256,18106
SED40005,2754,1869,2004,1970,1521,1192,1180,3053,364,15915
SED40006,2057,4206,2608,2726,2729,1740,1334,2092,364,19868
SED40007,3017,4873,2108,2151,2757,1682,688,1143,283,18703
SED40008,2028,4891,2570,2752,2307,1569,1305,2448,422,20278
SED40009,2280,4396,2631,2545,2718,1608,787,1459,298,18715
SED40010,3003,7413,1690,2129,2494,1512,551,1154,263,20206
SED40011,2492,5973,2177,2689,2420,1564,685,1571,270,19851
SED40012,1189,1599,2205,2346,1784,1470,1765,2461,388,15217
SED40013,2391,5440,2744,2777,2763,1657,1340,2202,384,21694
SED40014,1575,1858,1821,1893,1218,1142,632,1481,196,11815
SED40015,3208,2335,2153,2030,1624,1384,1042,2169,313,16260
SED40016,1526,3175,2654,2559,2342,1490,1506,2206,361,17816
SED40017,3175,2122,2735,1930,1915,1308,1615,2586,356,17753
SED40018,2250,4997,2034,2706,2391,1550,594,1274,293,18092
SED40019,1485,2214,2655,2059,1421,1130,2261,1772,368,15362
SED40020,2080,1742,2295,2150,1611,1426,1125,2701,329,15464
SED40021,2219,5334,2309,2389,2699,1640,833,1541,306,19268
SED40022,3342,5494,2225,1821,2008,1175,546,1264,252,18123
SED40023,1532,2333,2765,2424,2360,1622,993,1722,270,16014
SED40024,1865,3036,3105,2911,2406,1785,1061,1889,329,18384
SED40025,2739,4012,2948,2539,2346,1857,917,1872,323,19550
SED40026,2263,3290,2808,2460,2959,1855,1112,1586,299,18630
SED40027,2033,3266,2187,1894,2399,1383,967,1305,283,15729
SED40028,1764,2554,2581,2423,2221,1607,1389,1868,319,16738
SED40029,4452,1821,2285,1679,1575,1363,1346,3478,360,18365
SED40030,2521,2724,2556,2254,1947,1429,870,2156,307,16759
SED40031,2495,5279,2269,2083,2827,1731,713,1359,265,19019
SED40032,2529,4654,2038,2408,2447,1479,663,1178,271,17671
SED40033,2059,2327,2450,2240,1753,1719,1487,2180,257,16478
SED40034,2384,1414,1580,1547,1143,973,937,1648,234,11867
SED40035,1743,3445,2705,2255,2522,1511,1044,1596,300,17129
SED40036,1655,2472,2527,2842,2171,1557,1923,2829,423,18397
SED40037,2051,3417,2625,2342,2524,1400,1217,1737,337,17649
SED40038,1210,1469,2301,2468,1816,1432,1898,3136,435,16148
SED40039,1263,2025,2710,2563,2071,1638,1159,1947,282,15660
SED40040,3152,3125,2960,2056,2164,1381,1142,2591,302,18870
SED40041,1968,1949,1921,2044,1359,1249,1336,1834,283,13940
SED40042,1700,1591,2350,2662,2048,1594,2015,2714,388,17057
SED40043,2183,5092,2525,2901,2740,1665,1314,2160,353,20931
SED40044,3325,7559,1318,1815,2203,1428,278,857,265,19048
SED40045,3035,6841,1830,2024,2205,1366,374,1019,244,18937
SED40046,2292,5227,2411,2550,2716,1694,1006,1685,304,19891
SED40047,1887,3175,2822,2413,2787,1617,1155,1694,321,17864
SED49494,66,123,106,76,64,57,66,141,27,724
SED49797,0,0,0,0,0,0,0,0,0,8
SED50106,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
SED50202,1583,2579,3767,3017,2689,1858,2893,2869,444,21707
SED50304,2749,6213,3278,2853,3195,2052,1406,2270,387,24400
SED50405,2663,4380,5219,4045,3396,2298,2779,2840,465,28091
SED50502,2101,4085,3371,2635,2784,1757,1737,2173,366,21017
SED50605,3547,7853,2066,1979,2831,1851,656,1157,310,22253
SED50702,2824,5492,3916,2958,3327,1875,2230,2273,472,25364
SED50805,3461,6708,2074,2066,2551,1551,583,1026,227,20250
SED50906,1829,3655,3504,2498,2256,1775,1851,2681,314,20355
SED51004,2905,4707,4175,3233,3415,2188,1455,2116,404,24604
SED51104,2520,3872,5004,3928,3382,2421,2362,2866,482,26826
SED51205,1963,5129,4140,3637,3019,1943,2565,3217,528,26148
SED51304,3567,6864,2346,2051,2722,1676,579,1038,283,21117
SED51401,3866,1671,2228,1574,1614,1029,1796,2053,299,16128
SED51504,3962,8734,1735,2297,2411,1640,612,1526,291,23208
SED51605,3014,5420,4514,2976,3625,2148,1806,2429,421,26353
SED51706,2168,2746,4005,2264,2186,1621,2478,2592,360,20419
SED51804,4326,9148,1110,2131,2052,1415,352,785,348,21658
SED51902,2795,3589,4725,2720,3307,1866,2450,2153,451,24059
SED52006,1766,2626,3289,2330,1892,1659,1828,1704,311,17412
SED52102,1985,3063,3850,2327,3061,1705,2454,2059,428,20930
SED52205,3091,7153,3048,2711,2164,1410,995,1604,355,22527
SED52301,1798,3009,3002,2399,2011,1609,1627,2013,280,17751
SED52404,3054,5617,3548,2492,2911,1657,928,1468,309,21983
SED52505,3497,8090,4162,3405,4135,2322,1950,2091,471,30135
SED52604,2844,4990,3491,2713,3054,1887,1036,1687,361,22065
SED52702,2907,4830,3018,2032,2523,1348,1097,1302,301,19361
SED52803,1624,2531,4023,1667,1940,1110,3416,1712,324,18354
SED52903,1933,3099,1693,2234,1654,819,743,1378,370,13914
SED53004,2606,5487,3249,2374,3170,1709,968,1453,258,21267
SED53105,2211,4116,4215,2870,3055,1922,2398,2522,398,23712
SED53204,3011,4936,4100,3078,3792,2428,1779,2401,382,25905
SED53306,1644,2507,3337,2666,1812,1743,2031,2126,312,18179
SED53402,3292,7714,2754,2672,3025,1607,1113,1629,342,24156
SED53502,2339,4009,3823,2836,3065,1945,2150,2284,448,22896
SED53602,1487,2657,3277,3227,2161,1828,2207,3455,494,20790
SED53701,3844,1847,2625,1479,1818,947,1987,2328,316,17184
SED53802,2355,4821,3436,2863,3115,1952,1563,2266,407,22769
SED53902,3129,7192,2480,2537,2859,1689,905,1513,323,22627
SED54006,1952,2135,3863,2110,1889,1423,2513,2636,373,18889
SED54104,3754,11248,1305,2358,2399,1485,413,1020,336,24311
SED54203,1369,1261,1935,1035,952,545,1613,1406,269,10389
SED54304,4908,12373,3090,3368,3502,1858,976,1850,457,32392
SED54403,2222,3161,6157,1976,2422,1182,3617,2463,534,23732
SED54505,2654,7360,2341,2267,2696,1587,924,1436,322,21593
SED54605,1587,2393,3317,2649,1980,1339,1657,1985,309,17216
SED54701,4389,1991,2380,1449,1706,1096,1787,2622,350,17768
SED54804,3861,8434,3067,2675,2973,1793,848,1383,404,25435
SED54905,3487,8598,1969,2354,2699,1655,721,1200,348,23038
SED55005,2389,4892,3970,2929,3337,2186,2333,2554,429,25028
SED55102,2814,3430,4339,3041,3285,2057,2419,2258,468,24114
SED55202,1437,2881,3765,2815,2640,1757,2574,2874,417,21163
SED55306,2854,3499,3703,2502,2069,1940,1377,2541,338,20820
SED55405,2888,7762,3207,3430,2972,1844,1609,2430,457,26592
SED55504,2733,4207,4622,3229,3449,2204,1901,2577,460,25381
SED55605,2305,3363,4776,3362,2655,2206,2217,2541,455,23889
SED55706,3771,2954,3003,2100,1709,1427,1529,2975,330,19794
SED55802,2602,3973,4645,3848,3657,2467,2810,2768,457,27227
SED55905,2139,4646,3261,2342,2633,1642,1319,1766,355,20095
SED59494,107,257,272,223,150,77,213,292,33,1614
SED59797,9,33,83,9,10,0,31,98,6,277
SED60105,1504,3034,1396,1599,1402,1147,658,1028,180,11951
SED60106,712,335,448,335,280,227,325,602,65,3323
SED60113,2213,4022,2595,2434,2120,1624,1074,1552,282,17920
SED60115,1619,2381,2313,2486,1596,1595,1593,2621,372,16587
SED60207,1871,2380,2583,2452,1715,1682,1281,2383,307,16666
SED60208,1681,2192,2265,1967,1528,1276,1322,1857,254,14341
SED60209,2237,2340,2239,2112,1599,1380,1559,2517,312,16295
SED60301,703,956,1251,1168,1067,724,549,965,152,7530
SED60302,1598,3210,2456,3017,2256,1693,1087,2127,380,17820
SED60303,2775,7434,1791,2472,2077,1343,369,1157,253,19662
SED60304,21,60,30,18,16,16,10,17,3,187
SED60310,1584,3702,857,1288,1097,765,214,623,177,10317
SED60404,2368,3731,2502,1909,1864,1106,773,1700,336,16292
SED60410,1007,2016,945,995,1100,688,229,622,154,7753
SED60411,1986,3904,1906,2084,2143,1266,515,1101,235,15131
SED60414,1686,2775,1981,1801,1830,1043,538,1146,220,13008
SED60501,884,760,1357,1321,903,759,880,1329,189,8388
SED60505,626,912,759,634,799,540,350,469,95,5187
SED60506,2122,1651,1934,1595,1304,1050,1219,1937,241,13058
SED60508,328,295,411,270,232,150,214,321,48,2271
SED60512,2165,1904,2621,2022,1948,1317,1152,2120,374,15616
