SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED10001,5641,6849,5641,4987,4541,3357,2851,4430,682,38988
SED10002,5171,11955,5152,4826,5803,3666,3218,5102,1515,46402
SED10003,5747,9078,5161,4914,3634,3385,1328,3557,696,37501
SED10004,10030,19888,2802,3026,4887,2766,719,1335,673,46136
SED10005,2681,6162,3453,3197,4456,2539,2875,3183,842,29388
SED10006,6061,4178,3748,3814,2880,1975,3154,3682,630,30126
SED10007,4618,5948,5320,4992,4182,2834,3081,4047,663,35693
SED10008,7812,15383,3692,2957,6593,3216,1206,1786,666,43303
SED10009,3949,5100,4708,4162,3351,2907,1643,3679,579,30069
SED10010,3461,8136,4485,4243,5859,3061,5332,4079,958,39615
SED10011,4491,10067,4282,4051,4097,2231,1370,2285,449,33326
SED10012,2248,4511,3221,2694,3621,2369,3957,3837,811,27279
SED10013,8928,12910,9182,6877,9925,5647,5325,4803,1168,64777
SED10014,3153,5680,4325,4020,4899,3037,4061,3725,772,33667
SED10015,5096,9955,4320,3974,5567,3428,2219,3271,925,38759
SED10016,10109,16650,5102,4167,7896,4438,1545,2344,815,53062
SED10017,3740,5183,6978,5328,4498,3565,4402,4739,700,39140
SED10018,4357,10047,5056,4502,4898,3016,1720,2780,439,36827
SED10019,3522,4180,3926,4337,3193,2608,2159,4422,549,28895
SED10020,4144,6729,4519,4882,4148,3316,1610,4135,576,34050
SED10021,9397,19595,3459,3231,4822,2823,744,1444,836,46347
SED10022,6028,3915,4028,3633,3050,2366,2338,4290,558,30204
SED10023,7690,10904,5211,4109,6167,3181,1236,1870,624,41003
SED10024,8500,14678,2330,2461,4741,2902,621,1169,620,38027
SED10025,8689,14988,3278,2756,6082,3159,927,1569,773,42229
SED10026,5018,6430,5630,5234,4372,3268,3138,4104,687,37884
SED10027,4501,8056,4069,3210,5907,2826,2249,2469,711,34001
SED10028,7066,17081,2921,2879,5884,2915,866,1553,683,41845
SED10029,1984,4301,3164,2644,3663,2143,3518,3636,814,25868
SED10030,4512,7762,4686,4194,4674,3014,1866,3225,620,34554
