SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED10001,203,36,536,301,192,149,110,185,16,1725,4,4,3,8,7,9,6,0,0,41,50,46,44,45,30,18,41,42,11,323,97,44,126,81,54,46,77,123,109,762,3931,6431,4284,3530,2969,1308,1306,1748,394,25893
SED10002,156,42,488,183,148,108,93,139,32,1377,6,3,5,3,3,7,17,20,4,64,64,95,42,45,75,32,44,56,22,464,72,73,132,96,90,83,90,132,338,1104,4231,11209,3436,3702,4246,2197,1679,2493,895,34084
SED10003,256,51,653,305,127,141,50,161,21,1755,0,0,0,0,0,0,0,3,0,15,77,78,52,48,38,30,17,46,16,404,98,91,132,81,51,61,34,95,146,794,4356,8481,3992,3596,2559,1538,647,1645,477,27288
SED10004,172,63,298,121,101,75,26,45,13,917,3,4,3,4,6,0,0,0,0,22,186,275,35,58,112,43,9,18,21,757,85,115,35,28,61,31,14,20,115,507,8891,18687,2267,2115,3751,1712,434,710,538,39099
SED10005,96,26,221,150,119,82,59,76,15,844,5,0,5,7,5,0,9,4,4,35,25,40,29,30,40,22,36,34,4,262,52,72,69,62,70,46,79,80,160,689,2037,5710,2320,2217,2815,1155,1152,1187,456,19049
SED10006,136,16,263,153,112,72,75,104,9,943,0,0,0,8,0,4,3,7,0,18,29,22,22,23,28,11,32,21,16,192,119,55,114,98,59,59,110,135,110,852,3499,3878,2718,2520,1815,683,1307,1264,314,17996
SED10007,160,27,432,279,168,101,106,180,23,1465,0,3,7,14,12,10,4,8,0,53,43,40,33,33,38,13,27,21,14,267,77,32,105,102,74,51,88,95,102,723,3349,5558,4184,3458,2776,1122,1465,1620,380,23904
SED10008,143,54,191,122,154,83,34,52,12,832,5,5,0,0,7,0,0,3,0,27,96,140,33,37,119,33,17,20,8,508,77,92,54,33,66,33,23,24,121,525,6839,14380,2898,2122,4855,1721,673,843,507,34851
SED10009,190,41,488,241,152,136,69,182,25,1520,3,0,3,4,3,4,4,0,0,19,55,59,28,36,36,16,22,27,14,286,78,50,101,92,50,70,50,118,73,688,2840,4842,3538,2957,2224,1205,793,1618,340,20356
SED10010,105,29,310,168,152,112,219,147,24,1275,9,0,8,8,5,3,3,9,5,40,40,51,55,61,68,48,145,62,15,539,51,60,87,76,100,49,108,93,189,817,2717,7593,3498,3336,4069,1560,2753,1929,637,28087
SED10011,132,41,292,196,132,87,45,100,14,1033,0,5,4,5,3,0,0,4,0,15,69,133,43,42,47,18,23,23,17,408,35,69,53,37,63,35,24,34,82,429,3745,9488,3381,3058,2873,1040,696,1095,343,25728
SED10012,76,22,150,148,105,77,68,86,8,742,0,3,4,6,6,0,10,5,0,29,30,37,28,24,33,17,31,24,8,216,33,48,76,61,63,30,81,106,143,639,1379,4055,1925,1746,2258,905,1121,1022,369,14776
SED10013,290,82,520,323,397,229,193,188,26,2239,0,5,10,3,4,6,6,6,0,37,88,64,79,52,69,42,70,36,19,524,120,79,153,96,150,65,102,65,194,1032,6617,11887,7076,5168,6178,2486,2374,1940,708,44443
SED10014,108,37,261,167,165,118,113,126,20,1114,3,0,3,0,6,8,0,10,0,34,37,45,38,43,46,25,32,44,16,334,39,54,85,66,72,42,98,85,122,662,2221,5217,3191,2957,3039,1276,1533,1377,435,21258
SED10015,166,37,367,185,154,116,66,118,16,1234,3,8,6,3,3,7,3,10,0,51,66,107,50,50,80,39,45,37,16,495,63,83,71,62,88,53,61,67,154,695,4079,9274,3098,2982,3913,1864,1115,1483,565,28378
SED10016,211,68,307,179,267,163,62,79,13,1351,8,0,0,7,4,3,4,0,0,26,111,135,32,52,116,42,31,20,15,545,102,113,71,37,82,56,29,26,147,672,8567,15516,3962,2965,5719,2274,830,1025,596,41450
SED10017,193,55,602,352,201,157,164,204,17,1948,0,4,4,5,8,5,0,0,0,25,37,28,45,36,33,12,50,35,18,296,68,48,116,88,75,49,118,97,125,785,2757,4802,5546,3829,3028,1391,2192,1636,385,25558
SED10018,127,40,426,240,166,109,54,103,10,1280,0,3,0,0,4,6,0,0,0,16,39,72,42,35,46,21,24,25,7,308,60,67,88,67,56,30,34,51,70,517,3583,9553,4010,3053,3365,1103,894,1042,290,26889
SED10019,125,36,408,272,125,116,62,191,19,1357,0,0,0,0,6,0,0,4,0,18,25,31,39,29,34,15,25,38,12,246,94,45,88,94,54,56,66,148,89,734,2354,3905,2929,3180,2131,1022,918,1763,305,18515
SED10020,186,45,501,317,175,168,53,189,23,1653,0,3,3,0,0,6,0,14,0,32,58,58,37,38,38,12,15,54,13,320,86,64,95,87,59,54,39,154,108,738,2924,6387,3480,3538,2884,1379,708,1788,319,23406
SED10021,148,75,333,129,125,66,19,49,16,960,0,4,0,4,9,0,5,0,0,23,163,259,46,48,100,52,12,16,21,710,101,127,74,42,63,41,15,39,157,666,8365,18444,2885,2254,3685,1885,439,761,669,39385
SED10022,165,29,328,202,101,83,60,146,11,1128,0,3,0,0,0,4,0,5,0,12,45,17,21,17,11,3,32,27,10,188,130,38,105,74,67,63,86,155,107,822,3703,3627,2910,2537,1914,895,1027,1535,275,18422
SED10023,169,64,263,200,237,109,33,57,16,1157,4,3,0,0,3,0,0,0,0,17,97,89,35,45,46,22,19,21,10,381,88,72,74,55,104,48,20,32,83,569,6433,10111,4128,2711,4100,1603,610,838,429,30963
SED10024,112,34,150,85,94,61,21,36,4,595,0,0,0,3,8,0,0,4,0,22,111,147,20,29,78,37,14,3,15,456,78,87,25,24,52,16,14,14,95,400,7597,13660,1751,1514,3612,1533,339,498,504,30998
SED10025,197,46,292,127,165,97,34,56,19,1026,0,3,4,6,4,3,0,5,3,22,115,153,37,28,56,21,11,11,17,462,79,99,53,36,98,40,17,36,132,596,7456,14089,2682,1917,4417,1898,511,788,586,34341
SED10026,172,51,431,285,163,127,93,152,18,1494,0,8,3,9,0,8,6,3,0,39,45,41,41,44,43,14,40,41,10,311,85,65,102,99,86,70,92,105,126,833,3539,6047,4280,3662,2940,1332,1581,1660,405,25445
SED10027,123,37,211,149,199,92,50,75,5,949,8,4,6,0,6,0,5,4,3,26,56,69,32,23,49,10,30,19,13,314,61,53,75,35,79,43,48,34,127,568,3546,7445,2980,2222,3729,1299,938,932,462,23542
SED10028,106,23,203,89,95,69,22,49,9,672,3,6,3,0,0,4,0,3,0,23,76,134,20,23,82,37,13,12,15,422,57,102,41,26,75,25,16,23,114,486,6373,16144,2335,2046,4680,1671,538,759,547,35088
SED10029,60,23,153,113,82,61,60,86,11,644,3,0,6,3,9,0,4,10,0,31,18,38,26,18,34,17,34,17,4,199,47,43,66,53,59,34,66,99,164,628,1302,3903,1924,1770,2291,872,1079,998,384,14522
SED10030,151,43,362,219,151,117,81,133,9,1267,0,4,3,4,6,3,4,5,0,34,42,80,50,33,55,23,30,30,13,347,57,62,100,55,88,40,64,57,88,618,3415,7107,3587,3109,3193,1315,902,1333,374,24323
SED10031,160,61,452,262,159,113,71,158,22,1456,4,0,0,0,3,4,3,9,0,31,87,73,45,47,48,29,22,27,7,388,120,64,114,74,64,62,77,104,114,790,4925,6247,4281,3320,3000,1200,1129,1594,469,26156
SED10032,80,38,246,146,134,88,95,143,15,979,3,3,3,9,3,0,3,15,0,43,42,61,35,50,61,30,63,49,30,428,58,84,84,74,84,45,61,91,205,776,3035,9078,2933,3114,3923,1750,1647,1886,706,28074
SED10033,165,37,375,208,259,132,57,128,10,1365,0,4,0,0,6,0,0,6,0,18,61,61,54,37,50,13,36,34,19,364,74,42,104,39,86,39,78,49,119,626,4261,5695,5426,2788,3511,1354,1385,1368,423,26214
SED10034,158,64,310,171,185,138,46,91,14,1184,4,7,0,6,0,0,0,0,0,21,65,87,42,41,52,24,17,18,6,351,65,67,64,65,87,30,33,45,86,545,4838,9754,4557,3227,4190,1452,779,1055,357,30212
SED10035,331,114,782,308,241,153,78,176,20,2208,16,9,8,3,7,16,0,11,0,73,192,281,82,66,121,61,34,38,25,894,108,202,143,82,104,67,55,81,253,1081,9726,23762,5080,3876,6357,3177,1318,2005,889,56197
SED10036,129,53,230,141,174,86,78,82,18,993,0,0,4,0,7,0,0,4,0,18,41,60,48,48,71,25,42,29,13,379,75,61,94,65,106,42,63,51,138,693,3662,7671,3531,2837,4008,1289,1367,1020,455,25846
SED10037,154,42,322,155,153,69,34,98,10,1032,0,4,3,12,3,0,0,10,0,34,88,143,43,52,77,34,15,32,14,497,55,67,59,42,55,36,23,40,96,477,5999,13476,3498,2887,4399,1565,636,1188,415,34063
SED10038,138,41,298,220,150,77,52,96,7,1079,6,0,0,3,4,4,0,4,0,17,59,100,30,48,45,8,26,26,9,351,37,68,51,60,50,31,39,40,59,452,4253,10480,3970,3280,3214,1167,1076,1091,337,28881
