SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10001,3,6,0,1134,146,17,6,144,13,50,4,18,3,41,327,757,13,3,4,8,6,0,0,0,7,10,30,77,2133,383,66,2936,418,1060,119,353,85,492,376,8422
SED10002,32,144,5,1834,35,12,14,22,14,52,14,27,49,157,374,767,4,0,10,4,0,0,0,3,11,30,115,176,1628,486,379,1392,558,2349,364,1206,818,3612,554,13340
SED10003,12,24,5,1391,69,40,6,97,14,42,15,37,4,53,285,679,11,4,11,14,3,4,0,0,0,4,35,78,1464,777,88,2438,328,880,176,590,122,613,353,7828
SED10004,32,51,7,5179,84,9,5,41,8,36,5,16,6,20,166,383,9,0,4,3,0,0,0,0,0,0,12,29,2818,311,85,2137,624,1226,143,321,98,409,190,8357
SED10005,35,107,5,1199,39,15,17,24,11,68,11,40,48,133,307,711,3,0,9,3,5,0,3,0,9,36,134,199,1187,374,314,1084,513,1987,338,1122,811,3505,502,11727
SED10006,3,10,0,773,191,13,14,120,12,33,10,20,9,54,344,805,16,0,5,9,4,4,0,3,0,19,32,96,1791,178,82,1727,310,804,85,225,93,564,400,6269
SED10007,3,19,0,1304,110,23,8,129,23,38,10,27,9,48,356,777,3,0,9,11,0,3,0,0,4,5,22,61,2139,302,79,2454,387,959,138,367,97,581,396,7907
SED10008,31,118,7,6196,134,15,13,80,24,60,13,19,18,60,305,747,8,5,8,6,3,5,0,4,0,5,39,84,4426,672,217,3247,853,2382,323,678,271,1183,372,14616
SED10009,5,21,0,597,76,21,8,89,8,27,10,40,8,57,263,618,5,0,0,8,0,0,0,0,3,7,25,51,1303,470,94,1857,241,612,136,416,100,637,304,6161
SED10010,22,51,0,1721,56,10,13,35,15,68,14,23,32,89,307,657,3,6,4,4,4,3,0,0,0,4,67,100,2617,485,264,1913,765,2298,370,876,471,1749,406,12218
SED10011,16,31,0,2034,73,20,13,64,19,37,13,12,12,31,189,480,5,0,0,3,4,5,4,0,0,10,12,42,1838,547,131,2325,611,1176,248,458,165,609,211,8319
SED10012,43,174,0,1173,33,9,20,24,16,38,5,35,35,152,225,597,3,0,4,0,3,6,0,4,4,19,70,115,1080,341,298,840,406,1679,254,938,635,3706,338,10514
SED10013,47,65,0,4503,145,35,33,86,46,70,18,41,29,76,423,996,5,5,15,20,3,4,5,0,7,9,91,171,4863,1080,519,4719,1666,2958,663,1021,541,1468,547,20044
SED10014,23,40,7,1212,71,12,9,38,19,65,13,33,28,87,286,662,3,0,6,5,0,4,3,0,5,10,50,83,1747,361,265,1585,666,1812,360,756,442,1506,355,9850
SED10015,58,122,5,2377,42,12,28,40,23,35,11,31,41,105,240,602,3,0,8,5,4,5,6,6,5,17,57,111,1779,492,431,1709,753,1555,461,858,645,2384,332,11404
SED10016,36,125,3,7330,157,31,25,111,22,69,19,20,25,65,372,911,10,3,7,11,3,8,4,0,12,6,53,121,5589,788,265,4086,1122,2825,373,748,327,1156,452,17724
SED10017,10,23,3,1398,96,11,3,108,13,68,15,27,7,71,394,814,3,0,0,4,4,0,5,0,6,7,29,68,2203,455,127,3068,563,1417,186,474,158,853,448,9949
SED10018,12,31,0,2471,91,11,8,92,18,35,11,16,8,35,276,608,5,0,0,9,0,5,0,0,5,7,10,41,2131,487,88,3366,490,973,184,394,94,594,297,9104
SED10019,3,16,0,532,85,32,3,108,10,36,4,35,4,48,330,703,3,0,7,0,3,0,0,3,4,9,30,62,1409,396,85,1889,224,845,113,423,116,747,389,6635
SED10020,0,14,0,1030,109,27,10,89,8,26,10,29,12,49,266,638,9,0,0,7,0,0,0,0,0,11,23,50,1830,556,76,2346,281,874,126,471,108,722,315,7698
SED10021,24,73,5,5235,96,16,8,82,18,52,4,19,7,30,186,536,3,0,3,11,0,8,0,0,0,3,28,66,2546,394,97,2315,615,1453,147,366,94,475,231,8723
SED10022,4,10,0,691,183,14,11,133,19,43,4,26,7,60,291,796,5,0,7,10,0,10,0,0,0,13,24,74,1715,268,91,2151,293,822,94,274,69,583,338,6702
SED10023,33,88,7,4865,114,20,16,104,29,47,18,26,11,37,240,667,6,0,5,3,0,5,0,0,5,8,22,61,2587,666,157,3252,786,1312,313,534,162,622,272,10648
SED10024,25,175,11,7350,125,22,14,116,28,91,10,18,14,63,323,830,7,0,4,5,4,4,4,0,0,8,23,62,3718,695,118,3325,628,2256,193,590,168,956,370,13023
SED10025,28,102,7,4757,59,12,9,45,15,28,8,20,9,42,209,469,9,4,11,3,3,4,4,0,3,4,29,67,2671,590,200,2368,678,1601,225,543,194,878,276,10217
SED10026,7,13,5,1347,178,17,11,114,16,52,11,14,7,37,452,917,14,5,7,11,0,3,0,0,0,5,26,78,2434,323,109,2644,436,1030,113,285,89,476,506,8458
SED10027,55,116,4,2620,58,12,22,46,29,52,7,21,20,105,247,620,11,0,12,4,0,0,0,5,3,19,48,108,2160,464,364,1897,806,1703,402,734,544,2015,320,11415
SED10028,38,126,5,5879,133,17,11,79,22,57,13,25,13,60,323,748,11,0,5,0,0,4,4,0,9,7,46,89,4158,613,234,3013,650,2530,259,755,280,1234,399,14120
SED10029,58,160,0,987,35,3,13,16,11,56,7,27,37,190,252,655,0,0,6,0,0,4,4,3,5,59,87,180,1011,270,247,772,397,1587,219,984,718,5091,400,11680
SED10030,6,21,6,1493,65,16,3,70,13,36,9,20,7,55,190,489,9,0,4,4,5,3,0,0,0,3,23,50,1493,501,137,2043,547,1243,273,533,179,707,228,7884
SED10031,15,33,0,1905,162,19,8,109,21,64,8,26,8,48,344,804,11,0,4,3,3,6,0,0,0,9,19,53,2443,412,102,2712,406,1062,156,353,135,551,385,8735
SED10032,56,141,6,1880,41,8,22,23,14,45,14,38,38,138,327,703,6,0,7,3,0,4,0,0,3,32,140,204,2059,409,303,1425,569,2510,304,1048,727,3339,525,13215
SED10033,19,55,7,2610,104,24,17,104,23,42,20,21,10,40,276,681,15,0,9,7,7,7,0,0,7,10,34,98,2212,645,253,2704,792,1382,364,571,238,743,332,10232
SED10034,19,44,0,3739,102,30,12,99,29,41,14,22,9,48,223,627,3,0,7,17,5,4,3,0,0,5,24,78,2693,634,176,3492,916,1344,381,486,195,656,259,11224
SED10035,21,64,7,3489,53,13,8,41,15,21,0,11,12,32,199,408,3,0,4,3,5,3,0,0,0,4,31,54,2360,489,178,2054,755,1488,245,595,226,944,259,9594
SED10036,28,94,4,2721,80,20,22,57,21,60,16,28,27,90,322,747,9,0,9,7,4,7,0,8,11,19,65,132,2639,485,364,2224,876,2093,411,900,540,2331,434,13297
SED10037,21,61,5,4901,113,23,15,104,21,58,9,24,5,46,224,644,7,4,5,7,0,9,0,4,8,4,29,67,3578,687,155,3552,713,1872,196,629,167,859,270,12683
SED10038,23,60,3,3261,85,25,10,98,21,48,9,30,11,44,257,638,0,0,3,14,3,5,0,0,6,9,21,48,2279,588,154,3232,780,1333,256,511,165,772,295,10349
SED10039,13,33,0,1723,97,14,6,102,25,48,18,29,10,54,305,710,6,0,6,14,0,0,0,0,3,13,26,68,1898,505,113,2869,577,1132,228,446,152,665,357,8947
SED10040,33,104,0,2398,36,9,24,28,24,52,11,19,26,85,282,594,8,0,5,4,4,5,3,7,4,10,70,119,2089,576,323,1929,683,1827,377,931,500,1922,383,11542
SED10041,26,150,4,6974,129,24,3,86,28,63,7,19,12,41,352,769,10,4,7,10,0,11,0,0,7,9,32,84,3948,611,142,3218,615,2386,196,617,175,953,401,13256
SED10042,13,30,4,1512,110,23,5,99,23,47,22,32,5,56,295,712,4,0,4,4,5,0,0,0,0,13,28,66,1880,431,118,2656,488,1119,191,422,128,789,338,8561
SED10043,42,120,4,1229,26,24,17,22,14,46,13,37,60,148,320,722,0,0,6,0,4,0,0,6,10,41,107,177,1023,437,301,1096,461,2062,332,1319,935,3969,490,12428
SED10044,32,121,4,6488,114,32,5,83,19,53,12,19,13,32,252,639,14,0,0,4,5,4,0,0,0,9,27,61,3550,541,146,2933,700,1974,217,554,160,698,310,11780
SED10045,0,12,0,632,86,34,6,92,6,31,11,21,8,38,215,558,10,0,10,9,0,0,0,6,4,7,28,67,1497,524,65,1997,241,840,124,430,101,689,260,6760
SED10046,42,109,0,1483,40,10,21,29,19,59,7,42,33,158,302,726,3,0,11,5,5,5,0,0,10,43,84,163,1624,394,297,1324,584,2176,368,1094,682,3675,447,12671
SED10047,28,55,10,2279,83,13,17,36,47,66,23,25,24,94,451,885,8,0,8,10,8,4,0,3,13,20,86,167,3840,655,332,2881,1144,2681,464,938,486,1600,595,15625
SED10048,36,101,3,2547,82,22,33,68,26,78,17,26,44,111,405,901,8,0,7,3,0,5,0,0,5,7,87,129,3405,698,400,2875,1024,3078,471,1210,697,2195,542,16606
SED10049,9,26,5,2015,137,20,10,124,20,58,9,23,14,36,497,949,8,0,7,7,0,0,3,0,6,9,29,71,2702,453,113,3580,613,1600,193,455,162,680,553,11109
SED10050,29,130,4,6591,140,26,9,119,22,68,8,24,11,40,254,720,7,0,5,4,4,3,4,0,9,6,25,63,2914,533,117,3157,719,1855,189,506,125,531,285,10940
SED10051,31,88,0,4356,96,21,15,68,20,45,7,29,14,66,234,612,15,4,4,14,3,6,3,0,3,9,30,95,2860,601,148,2707,712,1568,267,536,218,969,288,10869
SED10052,25,81,3,4080,77,24,16,76,27,60,12,19,19,39,235,611,8,0,5,7,4,0,0,0,6,8,28,72,2586,631,168,3027,842,1525,296,556,204,839,286,10958
SED10053,11,51,3,3420,190,19,4,97,27,45,12,6,5,36,289,733,9,0,0,3,3,3,0,0,0,5,27,60,3694,404,108,2859,599,1257,136,332,66,448,331,10243
SED10054,39,70,10,1664,80,12,19,56,28,82,20,35,28,113,403,869,5,0,11,6,0,3,0,0,8,16,62,112,2626,405,269,1892,747,2551,344,934,538,2138,524,12961
SED10055,35,106,0,3238,110,20,20,75,52,61,18,27,30,69,290,771,7,0,13,5,3,4,0,5,7,10,57,119,3186,632,342,2781,998,1944,436,771,429,1591,375,13489
SED10056,3,13,6,1072,205,13,10,190,19,67,3,20,9,38,353,938,11,0,6,8,0,10,4,0,0,10,34,76,2355,296,90,2944,351,1134,111,333,110,560,425,8707
SED10057,0,11,0,512,76,22,12,77,17,38,3,36,3,60,210,553,3,0,6,9,4,0,0,0,0,16,34,63,1219,431,75,1723,220,657,107,424,100,777,265,5996
SED10058,13,40,0,2413,91,8,8,72,13,23,9,16,9,27,238,508,6,0,3,8,0,0,0,0,0,0,15,43,1791,434,74,2463,410,862,140,335,75,435,266,7280
SED10059,14,27,4,2725,43,5,7,18,5,11,0,5,0,12,110,216,3,0,0,3,0,0,0,3,0,3,6,21,1587,258,61,1288,354,677,84,229,73,341,121,5074
