SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10025,363,439,803,228,319,555,62,36,97,3,5,6,21,23,42,7663,4920,12583,268,596,861,154,6,164,135,11,147,123,35,157,109,67,178,332,444,772,9466,6896,16359,110,150,265,3,4,3,9,10,16,37,22,56,4,24,32,12,11,21,177,215,392,10,8,15,6,3,8,14,15,22,6,18,32,5,10,15,41,47,89,67,51,114,285,314,598,38,30,66,6,8,11,10,3,8,52,37,88,9282,10914,20193,1904,2930,4833,86,72,156,21073,21160,42229
SED10026,7,0,7,78,50,128,0,5,5,0,0,0,27,55,84,13564,12112,25670,1048,1138,2185,405,3,411,142,20,165,101,18,123,104,57,162,585,544,1135,16062,14003,30071,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,5,4,10,3,0,7,0,6,6,7,11,21,164,95,263,174,112,288,3,0,8,3,0,6,13,3,23,20,5,31,1532,2018,3547,1418,2262,3675,142,134,275,19341,18539,37884
SED10027,415,434,848,53,81,133,0,0,0,0,0,0,28,21,45,7157,5019,12182,333,587,926,213,7,217,46,4,51,44,13,55,106,59,169,165,194,359,8565,6412,14982,95,115,207,0,0,0,3,8,12,56,38,89,10,14,30,14,6,20,183,184,364,0,0,0,0,0,0,0,7,8,7,16,21,3,0,3,12,23,34,63,49,115,260,255,510,39,22,66,4,0,4,3,0,3,44,28,70,5346,6930,12281,3151,2865,6013,97,51,150,17462,16537,34001
SED10028,585,569,1153,152,150,304,0,0,0,6,0,6,13,8,20,6107,4903,11018,236,602,838,98,0,102,74,10,82,38,10,47,76,67,147,204,241,443,7584,6562,14146,182,199,384,0,0,0,5,5,11,74,49,126,16,38,57,25,15,37,300,308,610,0,0,0,0,0,0,20,4,24,10,10,15,6,3,5,32,15,49,57,37,99,391,364,757,62,69,133,4,0,9,3,0,3,70,69,139,11315,10374,21688,2117,2872,4990,60,62,125,21542,20305,41845
SED10029,309,362,670,69,87,158,0,0,0,0,0,0,28,20,46,7432,4745,12178,394,744,1142,239,3,247,52,9,56,40,4,47,98,77,168,148,170,317,8805,6234,15037,111,126,234,0,0,0,0,0,6,64,44,109,12,18,30,14,8,17,192,199,394,0,0,0,0,0,0,5,3,6,4,12,15,3,3,8,6,24,30,86,67,160,292,288,578,43,56,98,0,7,9,3,0,3,45,59,105,2489,3435,5921,2126,1919,4046,96,83,178,13862,12010,25868
SED10030,362,234,598,115,185,305,10,0,10,0,0,0,19,23,40,8401,6540,14943,448,633,1080,205,6,215,103,9,114,70,29,99,89,69,154,347,395,743,10173,8135,18311,117,99,214,0,0,3,0,0,0,108,39,142,11,11,21,19,11,32,259,161,413,0,9,7,0,0,0,0,5,11,5,21,24,8,12,12,19,39,58,106,44,150,386,245,625,39,28,64,7,3,11,3,0,7,49,31,87,4670,5472,10140,2057,3135,5196,114,79,193,17450,17103,34554
SED10031,30,7,36,81,54,131,3,0,3,0,5,5,21,23,44,12594,10958,23552,783,905,1693,548,29,580,109,15,128,46,16,67,141,53,188,670,628,1299,15030,12695,27722,0,4,3,3,0,3,0,0,0,4,6,4,0,0,0,0,0,0,10,8,16,0,0,0,0,0,0,4,13,19,3,14,17,0,0,5,6,30,36,136,81,220,159,120,273,4,3,5,0,5,5,11,0,16,23,9,27,2796,3167,5961,1525,2421,3947,146,131,275,19671,18536,38211
SED10032,1060,1082,2143,153,225,384,4,0,3,0,0,0,42,42,90,8524,4840,13369,437,919,1351,213,0,217,104,10,109,49,10,61,151,89,234,252,334,587,10992,7545,18544,401,539,943,0,0,0,11,15,23,82,34,116,26,52,80,14,17,33,542,655,1201,0,0,0,0,0,0,10,7,8,9,24,33,4,5,12,25,34,57,102,69,165,663,759,1424,94,117,209,0,9,8,0,0,5,97,124,222,6096,6120,12215,2973,2565,5541,186,91,282,21012,17213,38222
SED10033,125,92,217,17,21,44,6,0,6,0,0,3,7,9,20,11490,7767,19261,562,555,1119,865,16,877,109,13,127,49,10,58,91,66,157,391,300,690,13717,8852,22570,26,25,43,0,0,0,0,0,0,43,42,88,9,8,15,3,4,10,82,76,162,0,0,0,0,0,0,3,4,7,3,5,9,4,7,8,13,11,23,149,49,195,250,138,390,11,12,26,3,0,0,0,5,3,13,19,30,3942,6275,10215,2305,3155,5460,100,74,168,20328,18512,38843
SED10034,497,343,837,25,26,45,4,5,10,0,0,0,11,18,29,9585,6638,16223,391,445,833,269,4,272,71,5,79,48,12,60,86,57,142,250,319,571,11230,7879,19105,73,57,136,3,0,8,3,7,15,90,49,139,17,21,36,19,3,24,211,145,351,0,0,0,0,0,0,3,6,6,3,3,4,4,0,8,10,11,15,64,32,92,281,186,464,22,16,43,0,0,0,0,0,0,22,19,42,6378,8108,14482,2285,3639,5920,51,40,90,20238,19868,40103
SED10035,1209,1031,2245,958,1150,2110,0,5,5,117,94,210,85,114,200,9325,5248,14576,467,957,1420,167,4,173,574,88,663,653,260,911,223,158,385,1534,1489,3029,15332,10591,25924,442,444,887,0,6,4,47,30,72,56,19,71,12,22,38,49,21,72,608,544,1149,3,0,7,41,42,89,34,14,45,19,54,75,38,49,84,141,159,297,172,77,246,917,776,1696,120,128,246,27,22,44,4,7,14,150,154,306,15859,16374,32227,3449,4323,7774,132,99,232,35835,32318,68160
SED10036,245,249,496,62,102,162,3,0,4,0,6,0,36,12,48,9104,6242,15345,445,709,1158,239,4,240,82,8,85,80,9,87,124,85,203,325,179,506,10733,7601,18337,79,74,154,0,0,0,0,0,3,80,64,150,6,26,32,7,3,9,183,166,355,0,0,0,0,0,0,7,9,13,5,17,19,5,5,6,20,21,43,77,53,127,281,246,521,42,38,83,0,6,4,5,0,6,51,43,92,5264,6906,12170,3292,2917,6203,103,67,171,19710,17781,37493
SED10037,638,653,1296,52,61,120,0,0,3,0,0,5,16,10,30,7663,5999,13667,307,611,922,220,4,224,114,9,120,41,15,62,91,66,158,463,553,1017,9611,7990,17604,169,183,356,0,0,0,8,0,8,116,61,179,23,45,73,17,10,24,330,307,638,0,0,0,0,0,0,13,3,15,6,4,12,0,0,4,21,13,30,76,53,126,425,373,802,59,44,103,0,3,3,6,0,6,65,43,109,9392,9206,18601,2098,3132,5234,63,56,117,21657,20806,42467
SED10038,167,86,249,84,142,224,0,0,0,0,4,0,15,12,23,10026,7177,17201,419,577,996,226,4,226,112,5,119,157,42,198,73,50,124,223,267,491,11496,8364,19861,11,15,26,0,0,0,0,0,0,55,29,85,4,3,8,6,9,16,76,56,132,0,0,0,0,0,0,3,3,12,7,11,18,7,0,8,17,18,38,100,45,148,194,116,315,15,10,23,5,8,10,0,0,0,15,18,32,5162,6577,11735,2369,3688,6054,51,48,101,19287,18810,38097
SED10039,49,23,74,25,29,56,3,4,6,0,0,0,3,7,11,11338,9103,20445,533,610,1145,315,6,320,119,8,127,95,25,120,101,62,160,375,354,725,12959,10235,23199,4,4,13,0,0,0,0,0,0,20,3,26,3,6,5,3,0,4,35,17,52,0,0,0,0,0,0,4,0,7,5,9,18,0,0,3,11,13,28,117,49,167,163,83,239,6,0,10,0,0,0,4,0,6,11,5,13,2849,3946,6799,1980,2973,4959,81,76,162,18043,17324,35364
SED10040,1915,1903,3817,132,243,379,3,0,3,7,0,5,36,35,72,8168,4751,12917,346,877,1218,149,3,159,172,18,189,56,10,62,120,86,206,567,896,1465,11664,8822,20485,506,708,1210,6,0,6,18,38,52,88,53,136,27,65,92,25,20,46,663,875,1546,0,0,0,0,0,4,5,4,12,8,36,47,4,8,13,19,50,71,82,47,135,771,976,1747,83,129,214,0,7,7,0,0,0,83,139,216,6395,7216,13610,3144,3344,6490,133,90,224,22190,20580,42772
