SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED28507,34446,35922,70371,16592,9368,25962,4617,8306,12919,1273,1555,2819,1533,1562,3094,24012,20789,44805,8297,12976,21273,6.4,7.5,6.9,69.7,57.9,63.7,65.3,53.5,59.3,2526,2436,4971,476,990,1464,4716,5779,10498,2931,3904,6837,7052,4338,11397,335,462,798,445,626,1073,7842,5426,13267,34626,35378,69997,7085,7402,14483,19171,19553,38719,19357,20205,39560
SED28607,29012,30835,59851,14819,10365,25182,4055,7594,11646,993,1486,2482,1027,816,1839,20887,20257,41146,6850,9313,16159,4.9,4,4.5,72,65.7,68.7,68.5,63.1,65.7,2694,3258,5953,880,1776,2655,6932,8410,15343,2617,3007,5624,4551,1944,6489,180,246,420,357,470,829,5086,2654,7737,28977,30263,59237,5452,5663,11113,19109,20145,39259,13230,13846,27075
SED28704,37873,39851,77724,20698,10903,31599,4925,11860,16793,1369,2116,3485,1172,1219,2388,28166,26101,54266,8242,12287,20530,4.2,4.7,4.4,74.4,65.5,69.8,71.3,62.4,66.7,1994,2173,4169,585,1480,2064,4814,7147,11961,3740,5244,8986,10321,5122,15444,323,572,898,521,828,1353,11169,6530,17695,41620,42767,84392,6361,6524,12887,24721,25279,49996,19687,20724,40414
SED28803,48779,49735,98518,22377,11930,34304,7372,11639,19013,1848,2171,4023,2326,2221,4548,33923,27965,61887,12370,19371,31742,6.9,8,7.4,69.5,56.2,62.8,64.8,51.8,58.2,2939,3125,6064,504,1236,1744,6543,8493,15031,5089,5585,10671,8257,5015,13271,417,544,962,640,908,1546,9319,6465,15783,51984,51783,103767,9938,10083,20026,27737,27873,55612,29144,29388,58536
SED29494,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
SED29797,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
SED30001,23862,24871,48730,11330,7011,18344,3455,5955,9413,1077,1499,2580,1090,893,1982,16956,15363,32315,5739,8369,14114,6.4,5.8,6.1,71.1,61.8,66.3,66.5,58.2,62.2,1607,1653,3264,290,636,928,3704,4831,8536,2164,2798,4960,5035,2870,7910,276,376,652,330,528,852,5646,3776,9419,24437,24942,49374,4715,4885,9605,14286,14425,28710,12871,13454,26323
SED30002,21334,23153,44488,10188,6587,16776,2941,5502,8447,1031,1536,2572,664,571,1232,14825,14196,29023,5762,8174,13935,4.5,4,4.2,69.5,61.3,65.2,66.4,58.9,62.5,1625,1518,3140,500,857,1358,4112,5297,9400,2170,2512,4684,4284,2315,6603,221,242,458,343,476,824,4849,3040,7887,21566,23205,44765,3724,3839,7567,13909,15080,28988,10047,10620,20667
SED30003,22099,24397,46488,9946,6331,16276,2825,5654,8481,997,1540,2536,992,831,1826,14757,14354,29109,6194,8918,15114,6.7,5.8,6.3,66.8,58.8,62.6,62.3,55.4,58.7,672,664,1339,279,515,796,1993,3410,5405,1859,2934,4794,6092,4154,10250,318,433,747,388,598,987,6801,5187,11988,22223,23772,45998,4676,5214,9890,12638,13158,25797,12587,14223,26812
SED30004,22201,23688,45892,9400,6909,16307,3499,6646,10146,953,1040,1996,777,665,1438,14627,15259,29889,5887,6952,12840,5.3,4.3,4.8,65.9,64.4,65.1,62.4,61.6,62,939,1291,2229,400,795,1196,2621,4597,7222,2150,3011,5161,6212,3219,9431,260,319,579,366,508,872,6842,4044,10887,20872,21739,42612,4626,5154,9783,12417,12607,25024,11812,13087,24893
SED30005,23028,25733,48761,8182,5759,13947,3702,6012,9720,1212,1705,2912,1029,923,1953,14127,14399,28534,7218,9554,16772,7.3,6.4,6.9,61.4,56,58.5,56.9,52.4,54.5,1219,1371,2589,295,602,895,2974,4184,7157,2026,3073,5096,5225,3262,8488,261,339,601,379,648,1021,5866,4251,10111,19411,21091,40503,5471,6112,11588,10269,11109,21377,13338,14889,28230
SED30006,20373,22424,42798,7514,4800,12317,2765,4797,7562,818,1230,2042,625,520,1148,11726,11341,23070,7379,9724,17099,5.3,4.6,5,57.6,50.6,53.9,54.5,48.3,51.2,914,982,1902,253,527,784,2452,3343,5792,2060,2896,4958,5286,2429,7710,176,297,469,378,618,993,5837,3336,9171,17669,19211,36881,4463,4823,9293,10234,11174,21404,11018,11961,22982
SED30007,20880,24405,45284,8805,5464,14268,3307,7056,10368,1082,1757,2839,622,598,1220,13816,14875,28692,5992,8347,14339,4.5,4,4.2,66.2,61,63.4,63.2,58.5,60.7,1059,1166,2231,395,774,1171,3099,4793,7893,2033,3010,5042,5356,3259,8617,248,378,621,342,583,926,5946,4217,10165,19795,22251,42048,4894,5683,10573,10850,12217,23064,12532,14508,27040
SED30008,22496,24511,47013,12493,9348,21842,3141,5975,9108,1027,1678,2706,704,590,1296,17365,17597,34957,4150,6005,10160,4.1,3.4,3.7,77.2,71.8,74.4,74,69.4,71.6,2061,2280,4337,686,1194,1883,5861,7254,13114,2146,2602,4750,3847,2122,5961,174,226,390,264,434,697,4280,2770,7051,20902,22040,42940,5683,6220,11908,11498,12284,23780,13572,14571,28140
SED30009,19733,21930,41667,6797,4672,11474,2403,4677,7076,570,689,1263,951,687,1638,10723,10731,21453,7617,9804,17420,8.9,6.4,7.6,54.3,48.9,51.5,49.5,45.8,47.6,304,294,597,141,362,503,1203,2232,3436,957,1734,2689,5389,3472,8860,375,490,864,294,419,714,6054,4386,10439,18626,20078,38705,3771,4198,7968,12087,12965,25050,9100,10217,19319
SED30010,25721,27142,52862,11301,7023,18318,3314,5665,8978,1249,1685,2929,1406,1324,2738,17271,15693,32962,6596,9622,16217,8.2,8.5,8.3,67.2,57.8,62.4,61.7,52.9,57.2,559,574,1131,196,515,716,1764,2849,4616,1820,3015,4835,6636,4791,11424,523,610,1134,440,570,1008,7595,5975,13569,26244,26729,52965,5994,6503,12494,13617,13587,27210,15992,17147,33141
SED30011,24248,21144,45392,11331,6222,17553,1814,4786,6606,993,837,1827,495,421,914,14633,12269,26895,4914,6333,11241,3.4,3.5,3.4,60.3,58,59.3,58.3,56,57.2,239,339,576,119,328,448,1165,2219,3386,999,1558,2555,6758,3152,9908,214,412,623,264,375,639,7235,3939,11165,20071,18480,38553,4123,4274,8400,13119,11821,24942,9604,9692,19294
SED30012,19527,22310,41837,8271,5533,13806,3072,6165,9237,985,1524,2511,640,521,1164,12974,13745,26725,5283,7239,12519,4.9,3.8,4.4,66.4,61.6,63.9,63.2,59.3,61.1,885,1132,2015,289,681,969,2918,4415,7332,1823,2843,4669,5184,2673,7860,152,279,434,314,555,869,5656,3500,9161,18337,20146,38480,3843,4528,8370,11001,12123,23122,9983,11514,21499
SED30013,21323,21166,42490,7062,4377,11441,2274,4551,6828,738,693,1429,723,524,1255,10808,10143,20950,8821,9637,18460,6.7,5.2,6,50.7,47.9,49.3,47.3,45.4,46.4,371,439,810,218,460,679,1374,2590,3962,1244,2027,3271,6469,3042,9512,253,404,657,329,440,765,7051,3891,10937,19193,18912,38108,3805,3993,7799,12701,12168,24868,9450,9909,19353
SED30014,24404,24915,49322,8937,6597,15532,3704,6107,9809,833,854,1686,1108,831,1946,14581,14388,28973,6556,7782,14342,7.6,5.8,6.7,59.7,57.8,58.7,55.2,54.4,54.8,839,1133,1973,341,742,1082,2903,4259,7157,2024,2572,4596,5502,3119,8614,372,453,819,337,449,788,6208,4013,10222,20054,20495,40546,5337,5716,11053,12049,12249,24297,12100,12772,24866
SED30015,20766,19993,40757,9367,5079,14448,1772,4468,6249,947,789,1734,576,465,1045,12667,10807,23469,5492,6984,12479,4.6,4.3,4.5,61,54.1,57.6,58.2,51.7,55,179,222,404,91,272,364,930,2120,3048,890,1600,2494,5487,3052,8535,305,434,741,268,336,607,6056,3821,9880,19060,18328,37389,3475,3614,7094,12997,12227,25222,8234,8438,16675
SED30016,21936,24498,46438,8464,5104,13569,2989,6188,9172,1083,1587,2670,667,623,1287,13212,13490,26704,7575,9854,17427,5.1,4.6,4.8,60.2,55.1,57.5,57.2,52.6,54.7,740,872,1610,324,692,1016,2373,3817,6190,1983,3034,5011,6518,3581,10094,202,426,626,389,611,1003,7107,4616,11726,20249,22085,42328,4979,5570,10556,10626,11632,22264,13323,14823,28147
SED30017,20205,21560,41758,9681,5902,15582,2605,5377,7984,954,1409,2360,663,550,1212,13901,13238,27142,5488,7353,12842,4.8,4.1,4.5,68.8,61.4,65,65.5,58.9,62.1,508,672,1184,256,539,802,1997,3129,5130,1713,2709,4420,6435,3348,9786,287,358,643,333,532,864,7052,4244,11289,21099,21825,42924,3006,3128,6132,14249,14496,28749,8508,9161,17665
SED30018,19771,21562,41334,10270,6901,17176,2837,5493,8329,869,1500,2372,585,506,1095,14562,14404,28965,4611,6563,11174,4,3.5,3.8,73.7,66.8,70.1,70.7,64.4,67.4,1696,1664,3360,491,920,1409,4349,5614,9962,1964,2413,4381,3856,1892,5744,151,245,389,284,483,763,4287,2615,6898,20635,21847,42484,3458,3795,7253,13354,14221,27576,9430,10198,19623
SED30019,24189,25592,49788,12523,9311,21833,3624,6137,9756,1144,1778,2921,815,622,1439,18105,17848,35950,4825,6613,11440,4.5,3.5,4,74.8,69.7,72.2,71.5,67.3,69.3,2415,2405,4818,730,1260,1988,6661,7762,14425,2252,2713,4973,3419,1988,5401,192,256,450,308,426,734,3914,2667,6580,20493,21508,42007,6102,6833,12939,10844,11365,22212,14586,15813,30398
SED30020,21539,22045,43587,10666,5971,16638,2402,6091,8494,808,898,1702,550,479,1028,14424,13437,27861,5626,7237,12861,3.8,3.6,3.7,67,61,63.9,64.4,58.8,61.6,387,525,909,208,475,686,1506,2997,4503,1521,2353,3876,6415,3676,10088,285,446,737,316,444,761,7021,4571,11588,21726,22085,43813,3581,3746,7321,14667,14592,29259,9210,9801,19009
SED30021,20797,20578,41370,7354,5099,12450,2336,4213,6547,961,924,1876,906,724,1626,11546,10950,22500,6560,7280,13837,7.8,6.6,7.2,55.5,53.2,54.4,51.2,49.7,50.5,297,412,708,123,414,534,1217,2254,3474,1094,1832,2930,5537,2925,8467,450,515,963,321,361,685,6314,3799,10114,19425,19021,38438,3749,3890,7637,13199,12850,26048,8240,8436,16677
SED30022,31086,32873,63957,15903,9322,25222,4274,8782,13061,1557,2432,3989,1209,1213,2422,22943,21751,44698,6188,9243,15435,5.3,5.6,5.4,73.8,66.2,69.9,69.9,62.5,66.1,995,1150,2145,319,745,1066,2875,4701,7574,2821,4643,7463,8949,5540,14495,434,556,991,535,778,1311,9917,6882,16795,30685,31595,62280,8479,8924,17405,13346,13470,26819,22761,24110,46873
SED30023,20766,21993,42759,10446,7381,17828,3342,6019,9354,1080,1674,2756,750,530,1285,15617,15601,31223,4500,5839,10338,4.8,3.4,4.1,75.2,71,73,71.6,68.5,70,2744,2793,5540,758,1350,2108,6374,7241,13618,1800,2103,3909,2510,1362,3874,160,195,356,247,323,565,2911,1878,4791,20014,20780,40796,4816,5058,9871,12466,13037,25495,11218,11724,22947
SED30024,19068,20788,39860,7532,4529,12060,3124,5964,9090,922,1346,2267,628,498,1125,12204,12343,24545,5619,7153,12771,5.1,4.1,4.6,64,59.4,61.6,60.7,56.9,58.7,706,912,1615,274,587,865,2499,3805,6300,1736,2630,4372,5464,2670,8132,161,269,432,321,522,843,5943,3465,9409,18453,19487,37940,3335,3770,7105,11808,12280,24084,8866,9937,18809
