SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30035,20202,19992,40193,9814,5989,15801,1960,5176,7141,862,887,1749,616,470,1088,13254,12521,25784,5289,6247,11535,4.7,3.8,4.2,65.6,62.7,64.2,62.6,60.3,61.4,259,453,715,127,480,610,1085,2535,3623,1198,1994,3186,6842,3409,10252,238,377,613,263,367,635,7347,4153,11497,19855,19397,39254,3830,3998,7826,12838,12197,25031,9285,9820,19104
SED30036,26459,25661,52124,9395,6075,15466,3319,5200,8522,1075,1435,2510,1176,1111,2285,14965,13817,28782,10104,10403,20506,7.8,8,7.9,56.5,53.9,55.2,52.1,49.5,50.8,1152,1086,2236,264,510,781,2975,3799,6775,1873,2406,4278,4465,2913,7374,300,409,707,346,506,843,5108,3816,8931,23900,25212,49115,4369,4555,8926,14511,15517,30025,11723,12464,24184
SED30037,19295,20856,40148,8351,5470,13822,2235,4439,6672,890,1316,2203,892,734,1625,12373,11953,24329,5758,7673,13433,7.2,6.1,6.7,64.1,57.3,60.6,59.5,53.8,56.5,441,551,995,210,526,735,1477,2633,4106,1484,2222,3711,5634,3484,9120,329,479,812,293,442,730,6257,4410,10664,18752,19582,38336,4195,4519,8709,11053,11355,22404,10447,11357,21809
SED30038,21116,21614,42728,8932,5681,14616,2313,4719,7030,943,1419,2362,840,715,1556,13019,12534,25553,6789,7859,14651,6.4,5.7,6.1,61.7,58,59.8,57.7,54.7,56.2,357,512,863,204,536,735,1408,2511,3922,1530,2306,3838,6222,3858,10077,325,520,846,287,460,744,6831,4835,11668,20269,21069,41342,3858,4116,7977,12574,12781,25358,10109,11054,21163
SED30039,25085,26262,51343,14031,8905,22934,3100,6581,9680,1210,1817,3029,964,943,1909,19306,18247,37550,4696,7030,11727,5,5.2,5.1,77,69.5,73.1,73.1,65.9,69.4,1167,1284,2447,355,738,1093,2862,4598,7462,2397,3334,5729,6884,4083,10960,329,513,844,404,574,976,7613,5166,12780,26650,27272,53924,5722,6021,11737,13974,13998,27971,16040,16956,33001
SED30040,20303,23039,43343,8077,5012,13089,2953,5957,8912,995,1465,2454,594,498,1095,12625,12929,25554,6508,8899,15405,4.7,3.9,4.3,62.2,56.1,59,59.2,53.9,56.4,747,889,1637,334,643,987,2535,3934,6468,1805,2640,4452,5825,3189,9015,183,343,527,348,520,869,6365,4048,10406,19090,21146,40238,4317,4782,9097,11361,12345,23708,10948,12425,23376
SED30041,21247,21917,43163,9272,5937,15210,2345,5527,7873,856,946,1799,621,508,1126,13085,12921,26005,6169,7631,13801,4.7,3.9,4.3,61.6,59,60.3,58.7,56.6,57.6,568,624,1186,284,554,838,1711,3158,4867,1324,1992,3316,6377,3240,9621,265,415,675,318,384,699,6962,4035,10998,19960,20538,40495,4059,4406,8465,12782,12887,25666,9958,10838,20802
SED30042,21616,23109,44732,10596,6388,16985,2779,6004,8778,1037,1597,2632,868,707,1578,15281,14700,29981,5417,7489,12904,5.7,4.8,5.3,70.7,63.6,67,66.6,60.5,63.5,462,564,1028,269,609,883,1815,3148,4956,1892,2881,4775,6771,4142,10919,320,453,766,356,571,929,7444,5168,12610,22473,23287,45762,4187,4500,8687,14028,14229,28256,10975,11965,22945
SED30043,20804,21663,42465,8530,4934,13467,2324,4811,7136,921,1277,2195,722,598,1318,12497,11621,24119,6784,8688,15472,5.8,5.2,5.5,60.1,53.6,56.8,56.6,50.9,53.7,343,453,794,150,409,557,1163,2311,3475,1251,2130,3379,5981,3468,9449,324,520,847,325,475,801,6632,4466,11098,20722,20626,41347,3497,3842,7337,13420,13003,26423,9418,10266,19690
SED30044,24668,26035,50704,11610,6833,18448,2985,5959,8945,1129,1525,2658,990,970,1960,16719,15291,32010,6382,9158,15546,5.9,6.3,6.1,67.8,58.7,63.1,63.8,55,59.3,462,649,1111,158,516,676,1511,2789,4296,1632,2973,4604,7734,4469,12205,310,527,840,401,600,1006,8449,5593,14042,24448,25136,49588,5440,5839,11278,14074,14124,28200,13668,14870,28534
SED30045,21139,22889,44032,10263,6762,17026,2659,5438,8096,892,1470,2361,726,565,1285,14536,14236,28772,5692,7722,13413,5,3.9,4.5,68.8,62.2,65.3,65.3,59.7,62.4,987,1209,2201,408,832,1236,3147,4352,7499,1936,2699,4631,5407,2865,8277,243,345,588,303,503,811,5960,3714,9672,21296,22570,43871,3705,3960,7658,13420,14172,27593,10254,11008,21258
SED30046,23237,24624,47858,10215,6169,16382,2817,5314,8129,1008,1524,2528,968,872,1834,14996,13886,28881,6625,9101,15723,6.4,6.3,6.4,64.5,56.4,60.3,60.4,52.8,56.5,466,615,1087,188,497,688,1759,2844,4606,1683,2917,4598,6630,3923,10551,344,503,845,363,570,933,7341,4995,12335,22585,23423,46008,4720,5017,9736,13017,13417,26434,12515,13337,25849
SED30047,22435,23022,45455,10782,6522,17307,2207,5588,7797,834,773,1611,701,579,1283,14525,13467,27995,5496,7762,13252,4.8,4.3,4.6,64.8,58.5,61.6,61.6,56,58.8,429,493,925,192,458,647,1630,2975,4608,1203,1928,3129,7172,3395,10568,263,416,677,264,448,715,7699,4262,11962,20424,21063,41493,4328,4572,8898,13168,13430,26593,10164,10960,21122
SED30048,26013,27294,53310,11082,7651,18736,4687,6894,11578,1536,2320,3859,1227,1036,2265,18532,17905,36433,6523,8410,14929,6.6,5.8,6.2,71.2,65.6,68.3,66.5,61.8,64.1,4733,4375,9104,814,1281,2093,7898,8765,16665,1811,2199,4008,2122,1455,3579,213,247,460,205,349,555,2539,2059,4591,21130,21956,43083,8195,8618,16808,10426,10926,21353,17817,18560,36380
SED30049,22286,23972,46254,10247,6756,16998,3523,6134,9662,925,1417,2343,886,813,1696,15584,15115,30698,5798,8016,13810,5.7,5.4,5.5,69.9,63.1,66.4,66,59.7,62.7,2292,2366,4657,533,852,1385,5132,6219,11347,2029,2485,4510,3574,1965,5536,205,286,488,273,428,703,4053,2680,6732,22088,23428,45525,4684,4888,9574,13226,14240,27467,12109,12746,24853
SED30050,20934,23200,44138,7753,5081,12837,3203,5694,8898,1047,1535,2582,554,540,1095,12561,12849,25410,6783,8679,15462,4.4,4.2,4.3,60,55.4,57.6,57.4,53.1,55.1,943,1083,2027,361,692,1051,3001,4248,7247,1904,2868,4772,5461,2944,8407,181,332,513,367,551,923,6017,3821,9842,17452,18775,36226,4917,5551,10465,9668,10202,19872,11740,13209,24951
SED30051,22339,22332,44675,6200,3974,10173,2244,4502,6744,657,728,1389,967,697,1668,10069,9901,19977,10818,11075,21890,9.6,7.1,8.3,45.1,44.3,44.7,40.8,41.2,41,271,369,635,175,401,574,1065,2115,3177,1379,2106,3482,6722,3751,10480,318,491,804,355,497,851,7395,4744,12135,20239,20565,40804,3710,3923,7633,13023,13092,26118,9906,10459,20366
SED30052,32179,31221,63401,15399,11701,27101,5250,6877,12131,1806,2227,4034,1296,1223,2516,23753,22027,45777,5894,7059,12953,5.5,5.5,5.5,73.8,70.5,72.2,69.8,66.6,68.2,4022,3748,7772,905,1351,2257,9487,10108,19599,2831,3177,6008,3571,2190,5759,328,287,616,348,441,785,4247,2916,7163,19991,19051,39039,11730,12118,23851,7332,6800,14130,23480,23486,46964
SED30053,21298,23949,45249,9038,6086,15123,3610,6503,10109,1124,1807,2935,736,628,1371,14512,15027,29541,5551,7617,13168,5.1,4.2,4.6,68.1,62.8,65.3,64.7,60.1,62.3,1200,1394,2592,348,652,999,3622,5051,8673,2075,3080,5156,4891,2612,7503,203,277,478,363,572,937,5455,3460,8916,19096,20645,39744,5022,5910,10937,10618,11488,22106,12299,14042,26341
SED30054,20050,21143,41192,9761,6702,16457,3262,5633,8900,988,1520,2509,742,530,1266,14750,14383,29133,4557,6114,10677,5,3.7,4.4,73.6,68,70.7,69.9,65.5,67.6,2580,2622,5200,741,1224,1954,5648,6700,12348,1622,2003,3627,2741,1380,4120,172,188,357,238,335,575,3155,1900,5055,19467,20269,39732,4207,4306,8513,11815,12381,24199,10614,11003,21614
SED30055,21006,19283,40290,9741,5155,14893,1568,4863,6433,904,830,1737,486,420,904,12705,11268,23969,5712,6123,11836,3.8,3.7,3.8,60.5,58.4,59.5,58.2,56.3,57.3,156,238,395,88,331,416,746,1982,2726,837,1481,2313,6908,3039,9947,244,391,635,224,357,584,7373,3794,11166,19140,18480,37621,2816,3017,5840,13686,12781,26465,6968,7486,14459
SED30056,19503,20627,40135,9245,5732,14978,2801,5380,8181,930,1373,2299,641,496,1139,13622,12979,26597,5415,7165,12580,4.7,3.8,4.3,69.8,62.9,66.3,66.5,60.5,63.4,3030,2679,5706,647,1142,1791,4968,5923,10890,1864,2221,4086,2774,1385,4156,161,224,383,238,412,651,3176,2021,5195,21296,21963,43264,2871,3017,5892,14424,14978,29398,8676,8923,17600
SED30057,22224,24605,46832,8365,5047,13410,2903,5429,8336,987,1387,2378,1103,1006,2111,13359,12875,26232,7300,10107,17405,8.2,7.8,8,60.1,52.3,56,55.2,48.2,51.5,275,308,591,136,427,563,1193,2294,3485,1436,2682,4119,6402,4521,10926,405,564,970,375,569,945,7182,5652,12842,21537,22955,44496,4755,5321,10076,12179,12652,24825,12377,13887,26258
SED30058,20199,21635,41828,9746,6293,16040,2763,5203,7966,973,1474,2451,694,574,1265,14174,13545,27718,5393,7507,12903,4.9,4.2,4.6,70.2,62.6,66.3,66.7,60,63.2,2125,1910,4036,582,1010,1596,4638,5692,10329,1838,2418,4248,3527,1792,5323,205,229,431,317,435,755,4052,2453,6505,21029,21939,42962,3364,3588,6951,13881,14455,28337,9169,9866,19034
SED30059,22345,24726,47069,9831,6264,16089,3519,6908,10419,1105,1622,2733,749,666,1416,15206,15464,30670,5922,7946,13866,4.9,4.3,4.6,68,62.5,65.1,64.7,59.8,62.1,1009,1171,2182,351,780,1128,2991,4363,7351,2225,3307,5541,5927,3257,9184,222,328,555,359,651,1011,6505,4236,10741,22549,24019,46566,4101,4676,8779,13774,14429,28205,11446,12965,24413
SED30060,21051,22247,43296,9118,6148,15271,2725,5686,8411,783,924,1709,967,800,1770,13594,13556,27149,5570,6916,12486,7.1,5.9,6.5,64.6,60.9,62.7,60,57.3,58.6,308,442,752,198,503,698,1354,2738,4091,1428,2432,3862,6502,3749,10250,341,463,803,293,413,712,7137,4625,11761,21023,21747,42767,3744,4101,7850,13665,13906,27570,9488,10403,19900
SED30061,21539,21048,42586,9046,6011,15054,2706,5219,7934,682,809,1492,759,634,1397,13199,12673,25872,6042,6933,12979,5.8,5,5.4,61.3,60.2,60.8,57.8,57.2,57.5,975,922,1899,267,602,860,2374,3731,6101,1388,1793,3179,4715,2552,7265,303,344,646,229,327,556,5246,3226,8468,18079,18516,36601,4201,4545,8745,11147,11458,22605,10055,10578,20635
SED30062,24957,27963,52918,12205,7683,19894,3315,6961,10281,1191,1920,3113,1027,992,2015,17742,17559,35297,5947,9103,15058,5.8,5.6,5.7,71.1,62.8,66.7,67,59.3,62.9,790,880,1669,283,702,986,2625,4179,6803,2295,3453,5741,6896,4669,11560,372,589,956,398,650,1049,7657,5906,13557,25602,27212,52811,5685,6286,11972,13123,13760,26881,15818,17634,33449
SED30063,21723,21867,43592,7164,4167,11339,2181,4427,6611,799,794,1591,644,521,1167,10793,9914,20703,8909,10088,19001,6,5.3,5.6,49.7,45.3,47.5,46.7,42.9,44.8,229,337,570,149,352,503,1026,2071,3096,1157,2010,3166,5585,3258,8840,315,477,789,344,466,803,6244,4195,10437,20054,19913,39973,3580,3708,7289,13738,13515,27252,8739,9058,17799
SED30064,19604,21256,40865,7318,4229,11550,2926,5582,8506,1042,1433,2468,627,505,1130,11912,11747,23657,6457,8378,14837,5.3,4.3,4.8,60.8,55.2,57.9,57.6,52.9,55.1,545,677,1226,260,602,860,1730,3296,5027,1617,2702,4321,5998,3316,9309,278,377,655,330,491,819,6597,4191,10789,18897,20210,39111,3526,3844,7363,11483,12057,23535,9831,10808,20633
SED30065,21745,23491,45233,8775,4984,13765,3374,6629,10003,1160,1669,2831,584,562,1139,13895,13840,27739,6787,8659,15445,4.2,4,4.1,63.9,58.9,61.3,61.2,56.5,58.8,846,1024,1871,363,760,1115,2734,4323,7057,2106,3173,5277,6501,3229,9724,197,372,568,375,620,997,7079,4214,11295,21473,22423,43900,4596,5087,9688,12209,12699,24906,12437,13520,25953
SED30066,20139,21728,41863,6250,3691,9944,3306,5499,8800,1094,1443,2537,576,420,998,11222,11059,22280,7699,9412,17109,5.1,3.8,4.5,55.7,50.9,53.2,52.9,49,50.8,942,941,1882,344,709,1049,2974,4076,7050,1990,2964,4952,5258,2407,7671,199,295,489,372,591,965,5830,3297,9120,18433,19484,37918,3845,4190,8028,11696,12283,23980,9752,10540,20295
SED30067,22788,23728,46512,11364,8079,19439,3214,5522,8737,1086,1639,2723,840,660,1497,16503,15897,32401,5202,6872,12078,5.1,4.1,4.6,72.4,67,69.7,68.7,64.2,66.4,1408,1592,2998,553,931,1481,4442,5737,10180,2258,2775,5030,4740,2606,7351,248,305,550,303,448,747,5289,3359,8648,21300,21799,43105,4898,5076,9976,12401,12847,25252,12323,12691,25007
SED30068,17864,19840,37698,7668,4750,12414,2331,4809,7141,765,1146,1915,522,396,919,11291,11101,22387,5842,7929,13768,4.7,3.5,4.1,63.2,56,59.4,60.3,54,56.9,907,827,1736,330,642,966,2430,3269,5701,1920,2635,4556,4674,2389,7061,179,264,445,315,482,803,5170,3138,8309,17416,18847,36261,3196,3409,6605,10917,11787,22706,8857,9663,18525
SED30069,21636,22425,44065,10449,6378,16826,2868,5850,8712,1032,1530,2562,759,645,1403,15100,14402,29503,5673,7251,12929,5,4.5,4.8,69.8,64.2,67,66.3,61.3,63.8,941,1038,1978,418,740,1156,2850,4263,7113,2175,2800,4971,5873,3112,8986,268,379,655,357,555,914,6502,4052,10555,22812,23029,45838,3493,3669,7164,15152,15223,30373,9730,10203,19929
SED30070,21380,23164,44538,6417,3776,10199,2204,4341,6541,884,1254,2143,680,543,1227,10197,9917,20115,9964,12036,21996,6.7,5.5,6.1,47.7,42.8,45.2,44.5,40.5,42.4,366,457,820,192,441,634,1392,2312,3704,1720,2584,4309,6624,3571,10197,245,440,686,412,605,1015,7278,4610,11892,19680,21016,40696,4012,4375,8390,11462,11989,23456,11173,12360,23535
SED30071,21483,23857,45343,7860,5161,13020,2572,4921,7491,945,1341,2286,858,633,1500,12238,12056,24295,7965,10547,18510,7,5.3,6.2,57,50.5,53.6,52.9,47.9,50.3,640,781,1427,324,683,1009,1977,3278,5259,1889,2844,4729,5883,3376,9262,248,364,613,392,570,961,6528,4315,10836,19729,21388,41116,4010,4532,8543,11909,12765,24675,10818,12187,23008
SED30072,21613,23049,44664,8767,5366,14134,2589,5392,7983,951,1426,2376,710,588,1296,13013,12766,25786,7615,9365,16978,5.4,4.6,5,60.2,55.4,57.7,56.9,52.9,54.8,548,691,1242,245,581,834,1855,3118,4974,1957,3039,4993,6950,3512,10459,266,393,654,385,567,948,7592,4465,12063,20939,21879,42819,3994,4330,8321,12439,12827,25261,11239,12202,23443
SED30073,20888,21945,42831,8947,5787,14731,2418,5079,7494,778,906,1686,897,727,1622,13041,12495,25533,5891,7891,13780,6.9,5.8,6.4,62.4,56.9,59.6,58.1,53.6,55.8,450,488,932,198,426,624,1391,2663,4053,1006,1752,2754,5669,3414,9085,349,481,836,277,369,647,6297,4268,10564,19733,20577,40315,4292,4704,9000,12636,12918,25552,9818,10998,20817
SED30074,20968,23089,44055,9556,6437,15995,2901,5591,8491,943,1461,2405,766,592,1351,14167,14077,28244,6004,8213,14213,5.4,4.2,4.8,67.6,61,64.1,63.9,58.4,61,1066,1257,2320,415,807,1220,3064,4518,7579,2116,2768,4881,5022,2933,7958,218,314,528,353,480,836,5590,3729,9320,21750,23123,44878,3456,3780,7236,13671,14553,28224,10062,10933,20992
SED30075,21986,22571,44556,8986,5055,14037,2552,5323,7876,1106,1455,2566,599,516,1121,13247,12347,25593,7150,8686,15842,4.5,4.2,4.4,60.2,54.7,57.4,57.5,52.4,54.9,495,625,1112,234,512,741,1541,2896,4435,1637,2679,4316,6531,3387,9920,244,416,654,365,507,876,7144,4307,11454,21406,21794,43197,3345,3650,6993,14137,14257,28397,9353,9992,19346
SED30076,29182,29661,58839,12955,10299,23259,4881,6757,11636,1484,2048,3527,1331,1166,2497,20642,20270,40915,6402,7362,13764,6.4,5.8,6.1,70.8,68.3,69.5,66.2,64.4,65.3,3834,4112,7941,796,1316,2115,8319,9261,17575,2427,2760,5183,3243,1901,5142,250,255,506,270,367,638,3767,2523,6288,19879,19751,39635,10021,10656,20684,8207,7973,16182,20795,21612,42411
SED30077,20107,20805,40912,7965,4450,12416,2315,5010,7327,684,756,1435,538,441,980,11510,10662,22171,6809,8482,15290,4.7,4.1,4.4,57.2,51.2,54.2,54.6,49.1,51.8,293,395,686,175,359,530,1273,2343,3609,1114,1770,2887,5007,3163,8170,270,397,664,279,424,697,5554,3978,9534,18910,19335,38244,3314,3516,6830,13039,13095,26139,8095,8741,16841
SED30078,23285,25485,48772,8010,5354,13363,3933,6146,10081,1268,1789,3058,1081,898,1978,14284,14190,28479,7254,9296,16547,7.6,6.3,6.9,61.4,55.7,58.4,56.7,52.2,54.3,1326,1439,2764,309,638,944,3467,4695,8157,2278,3194,5473,4876,2656,7534,214,274,490,337,565,901,5426,3500,8928,19699,20962,40656,5677,6071,11746,10956,11792,22747,13342,14202,27542
SED30079,20584,21542,42122,10297,6360,16663,2846,5644,8486,959,1372,2333,733,627,1357,14836,14004,28839,5063,6874,11936,4.9,4.5,4.7,72.1,65,68.5,68.5,62.1,65.2,952,1086,2036,338,666,998,2797,4233,7031,2056,2678,4729,5798,2868,8668,254,303,557,327,544,875,6379,3717,10093,21882,22337,44219,3200,3373,6571,14746,14821,29572,8933,9523,18454
SED30080,22578,24435,47017,11113,7880,18989,3369,5982,9353,1173,1709,2882,819,692,1516,16477,16260,32737,4984,7044,12030,5,4.3,4.6,73,66.6,69.6,69.3,63.7,66.4,1802,1959,3764,604,1085,1688,5224,6567,11796,2020,2510,4528,4172,2279,6449,234,286,515,278,421,697,4680,2983,7668,20969,22228,43197,5088,5371,10464,12325,13163,25484,12300,13150,25445
SED30081,23346,24344,47694,9842,5963,15810,3893,5790,9680,1034,1215,2248,1017,872,1894,15788,13840,29631,6554,9531,16087,6.4,6.3,6.4,67.6,56.9,62.1,63.3,53.3,58.2,2384,2280,4669,385,624,1002,5038,5598,10639,2222,2566,4789,3359,1911,5273,199,250,449,295,432,728,3854,2598,6455,23950,24925,48873,4156,3984,8134,15055,15962,31019,11391,11447,22842
SED30082,24898,25128,50025,8261,5206,13463,4254,5915,10169,1393,1694,3085,948,757,1701,14858,13568,28420,7318,8969,16292,6.4,5.6,6,59.7,54,56.8,55.9,51,53.4,1557,1368,2928,415,628,1042,4258,4922,9179,2497,3150,5647,4645,2345,6987,166,257,426,413,577,993,5221,3180,8401,18431,18401,36833,6401,6638,13037,9856,9890,19750,14164,14431,28596
SED30083,22212,23980,46192,10779,6561,17338,3261,6524,9785,1132,1781,2918,854,800,1654,16024,15662,31691,5136,7203,12341,5.3,5.1,5.2,72.1,65.3,68.6,68.3,62,65,684,890,1568,225,593,812,2242,3582,5821,2155,3477,5628,6554,3723,10277,307,428,737,421,593,1016,7281,4744,12028,23166,24150,47318,4276,4625,8899,13147,13399,26544,12645,13777,26426
SED30084,19596,21418,41015,8764,6163,14927,2350,5183,7540,678,854,1527,833,656,1488,12625,12855,25476,5435,7232,12669,6.6,5.1,5.8,64.4,60,62.1,60.2,56.9,58.5,290,421,714,169,478,642,1211,2600,3813,1286,2078,3362,5791,3485,9275,276,402,677,277,386,661,6340,4268,10607,19262,20548,39806,3725,4181,7910,12369,13172,25541,9244,10241,19489
SED30085,24221,23926,48148,9568,6218,15784,4262,5616,9875,1247,1458,2703,1159,855,2011,16234,14144,30369,6767,8770,15540,7.1,6,6.6,67,59.1,63.1,62.2,55.5,58.9,2611,2381,4987,464,849,1311,5364,5973,11337,2191,2396,4584,3593,1857,5447,216,223,438,295,398,692,4098,2479,6575,22040,22068,44112,5401,5035,10434,13070,13512,26586,12971,12282,25253
SED30086,21134,23220,44357,8951,5771,14722,2676,5462,8139,575,776,1354,760,681,1442,12963,12696,25658,6920,9338,16260,5.8,5.4,5.6,61.3,54.7,57.8,57.7,51.7,54.6,859,954,1812,371,750,1121,2362,3750,6111,1597,2340,3937,5165,3228,8392,305,435,737,289,441,729,5754,4101,9858,20211,21650,41858,4490,4899,9391,12020,12764,24786,11349,12526,23876
SED30087,21409,25114,46522,9251,6379,15635,3075,6074,9154,612,821,1429,822,739,1560,13765,14017,27782,6545,9973,16520,6,5.3,5.6,64.3,55.8,59.7,60.4,52.9,56.4,1338,1199,2535,373,762,1136,2792,4417,7207,1604,2428,4035,5012,3518,8535,325,443,772,293,483,774,5633,4441,10072,20259,23121,43376,5096,5695,10790,11419,13187,24605,12418,14145,26558
SED30088,20741,21289,42034,9245,6688,15931,2446,5155,7604,657,802,1459,750,581,1335,13102,13219,26326,5741,6550,12288,5.7,4.4,5.1,63.2,62.1,62.6,59.5,59.4,59.5,934,1202,2133,277,687,963,2615,3998,6614,1570,2006,3580,5148,2728,7875,236,360,591,276,345,615,5650,3428,9078,18125,18419,36540,4404,4951,9356,11075,11086,22159,10267,11263,21528
SED30089,17376,16408,33780,8241,5611,13850,1293,2826,4124,834,745,1581,534,412,942,10909,9588,20495,4012,4949,8965,4.9,4.3,4.6,62.8,58.4,60.7,59.7,55.9,57.9,276,357,631,121,304,425,868,1935,2805,633,1184,1822,4711,2130,6839,206,325,528,157,227,379,5071,2681,7752,15496,14823,30319,3496,3556,7055,10052,9335,19385,7455,7754,15203
SED30090,17015,17020,34030,8321,5138,13457,1517,3868,5386,666,698,1365,497,370,866,10998,10069,21067,4214,5365,9587,4.5,3.7,4.1,64.6,59.2,61.9,61.7,57,59.4,145,279,420,103,352,455,899,2088,2987,852,1463,2310,4225,2553,6781,243,381,623,261,278,538,4725,3214,7938,16149,15945,32097,2983,3215,6198,10965,10352,21316,6957,7685,14642
SED30091,23068,24666,47732,9201,5441,14645,2992,4957,7952,972,1367,2336,1152,1076,2230,14322,12838,27160,6828,9771,16601,8,8.4,8.2,62.1,52.1,56.9,57.1,47.7,52.2,644,700,1343,183,434,623,1886,2832,4717,1624,2558,4182,5659,3735,9397,338,508,847,387,536,924,6387,4783,11168,22494,23615,46111,4513,4725,9235,13224,13740,26968,11977,12822,24801
SED30092,22089,21550,43638,10966,6422,17385,2358,6000,8354,905,974,1885,575,488,1063,14796,13881,28681,4604,5684,10290,3.9,3.5,3.7,67,64.4,65.7,64.4,62.1,63.3,410,479,889,200,466,666,1451,3019,4469,1438,2208,3645,7354,3433,10786,318,408,725,310,403,716,7982,4246,12227,19497,18841,38327,4772,5240,10016,12056,11163,23217,10863,11630,22494
SED30093,26272,26999,53265,9809,5315,15118,3373,5131,8508,1082,1299,2380,1661,1408,3072,15924,13149,29079,7884,11446,19326,10.4,10.7,10.6,60.6,48.7,54.6,54.3,43.5,48.8,444,436,876,132,341,472,1369,2044,3414,1390,2515,3902,5697,4263,9961,490,559,1056,385,574,955,6570,5398,11967,26670,27123,53798,5098,5104,10204,15576,15769,31346,13724,14119,27848
SED39494,7108,6127,13234,1003,602,1610,462,658,1119,244,247,492,466,384,851,2172,1892,4069,2898,2883,5780,21.5,20.1,0,30.6,30.9,0,24,24.7,0,171,197,369,66,101,168,494,831,1322,384,577,959,1449,778,2225,71,114,183,96,112,208,1616,1003,2617,1455,1091,2545,4166,4209,8378,948,648,1590,4429,4444,8873
SED39797,149,28,183,25,0,26,0,0,0,6,0,8,0,0,3,31,3,35,6,0,11,3.1,33.3,5.7,21.2,9.7,19.2,20.5,6.5,18.1,0,0,0,0,0,0,3,0,4,0,5,4,18,0,14,7,0,7,4,0,4,25,0,25,39,5,47,3,0,4,17,3,20,26,3,30
SED40001,19981,20068,40043,7892,5424,13315,3440,5078,8514,504,630,1142,953,791,1742,12791,11924,24717,5979,7057,13031,7.5,6.6,7.1,64,59.4,61.7,59.3,55.5,57.4,2654,2642,5296,616,799,1418,5372,5667,11033,1599,1748,3343,1993,1289,3291,128,161,291,211,293,505,2338,1748,4087,15218,15494,30717,5448,5464,10908,8201,8504,16704,11804,11901,23704
SED40002,16725,17892,34622,7498,5000,12497,3128,5168,8295,485,660,1147,688,511,1197,11797,11333,23129,4324,6042,10367,5.8,4.5,5.2,70.5,63.3,66.8,66.4,60.5,63.4,1467,1585,3051,388,660,1053,3459,4468,7921,1510,1808,3323,2950,1666,4618,155,208,364,226,309,536,3336,2188,5523,15569,16519,32084,3303,3483,6787,9325,10029,19356,8637,9121,17766
SED40003,14255,14991,29248,6738,3888,10632,2148,4778,6933,399,574,978,522,364,883,9811,9615,19427,4043,5069,9106,5.3,3.8,4.6,68.8,64.1,66.4,65.2,61.7,63.4,730,947,1676,291,486,773,2144,3121,5267,1475,1787,3259,3872,1978,5846,149,214,370,240,353,593,4264,2544,6810,15196,15837,31039,1572,1683,3260,11036,11354,22383,4936,5402,10335
