SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10011,29539,31665,61205,1022,1125,2145,2458,2526,4984,58,69,124,55,49,106,6,6,20,8,11,21,13,14,25,7,3,14,11,13,24,0,0,0,2628,2697,5327,126,133,256,65,43,113,3833,4004,7837,1249,1333,2579,34625,36997,71620
SED10012,35128,36493,71616,793,835,1624,2453,2456,4911,43,39,84,37,41,79,9,8,24,4,9,13,0,3,3,0,0,3,3,0,5,0,0,0,2561,2559,5115,260,282,547,53,56,111,3667,3733,7394,2352,2306,4660,41140,42531,83672
SED10013,51403,52933,104334,1040,1088,2125,8033,8451,16483,99,80,181,111,104,216,11,12,26,22,14,33,8,6,17,10,9,22,12,14,24,0,0,0,8299,8696,16997,234,256,497,142,124,265,9720,10163,19880,2287,2268,4562,63413,65367,128773
SED10014,32957,34500,67460,781,870,1647,3664,3649,7308,43,44,84,58,50,103,12,8,17,15,5,22,15,10,24,0,6,12,12,8,19,0,0,0,3804,3781,7591,209,205,415,96,90,191,4893,4952,9841,2671,2780,5452,40522,42229,82754
SED10015,37469,37665,75134,1257,1204,2464,4453,4288,8741,65,59,122,38,40,77,25,12,29,14,10,20,13,12,23,12,7,18,14,19,38,0,0,0,4626,4446,9075,330,337,661,85,52,136,6295,6033,12337,2818,2751,5567,46581,46458,93041
SED10016,41516,42895,84409,808,845,1659,6409,6626,13036,76,70,146,46,49,98,18,12,35,21,23,43,0,0,4,7,3,11,18,23,44,0,0,0,6601,6816,13410,421,440,861,55,67,122,7883,8165,16052,1190,1110,2296,50590,52172,102759
SED10017,33954,35108,69064,1453,1649,3101,3820,4145,7974,45,45,88,77,110,191,20,16,36,14,25,43,11,8,17,9,4,15,12,7,13,0,0,0,4020,4362,8378,93,99,190,128,122,252,5689,6233,11925,3598,2035,5637,43251,43375,86622
SED10018,30635,32202,62827,771,820,1591,3245,3635,6877,80,79,156,94,107,204,23,19,36,9,24,31,21,19,33,15,14,31,26,27,47,0,0,4,3501,3920,7427,141,144,284,78,85,171,4498,4971,9471,1399,1453,2855,36531,38619,75155
SED10019,29588,30490,60077,1792,1863,3657,2062,2174,4239,115,115,226,368,414,775,6,14,28,31,40,71,19,17,33,28,22,45,5,11,19,0,0,0,2633,2806,5439,87,99,192,97,113,208,4614,4881,9498,4178,3253,7432,38379,38624,77006
SED10020,29759,31824,61579,1434,1617,3052,3059,3320,6383,178,193,367,287,316,599,24,21,49,36,20,59,44,46,86,22,20,38,37,50,86,0,0,4,3681,3991,7671,179,210,393,143,134,278,5433,5957,11391,2442,2589,5030,37635,40365,78000
SED10021,28550,31143,59695,1475,1696,3168,5252,6075,11334,202,233,438,167,212,379,29,39,68,42,60,102,9,8,19,21,15,33,55,69,124,6,0,7,5779,6710,12492,647,748,1395,127,96,222,8021,9250,17272,2218,2456,4676,38790,42852,81642
SED10022,28187,28736,56924,1721,1903,3623,1600,1682,3286,149,133,288,113,124,241,25,18,41,15,15,30,16,24,37,6,8,11,103,92,191,0,0,0,2028,2099,4128,133,79,213,66,55,118,3945,4135,8086,3764,2918,6678,35897,35786,71682
SED10023,31641,32700,64347,1066,1145,2215,3637,3802,7449,48,53,106,64,68,128,12,4,19,21,19,43,0,0,0,5,0,11,16,19,35,0,0,0,3808,3977,7780,207,220,431,51,51,105,5139,5393,10534,1293,1334,2630,38071,39437,77508
SED10024,33666,35538,69201,871,899,1769,3110,3329,6444,65,66,130,29,27,60,9,7,19,22,18,41,0,4,8,0,3,4,24,28,53,0,0,0,3263,3488,6754,452,493,937,19,19,39,4611,4898,9505,819,991,1808,39093,41426,80514
SED10025,30703,33584,64292,1509,1674,3189,4184,4498,8681,92,116,213,77,87,168,15,21,42,24,15,38,5,8,16,9,11,14,19,30,54,0,0,0,4422,4793,9222,398,438,832,74,56,126,6404,6963,13367,1493,1764,3259,38599,42315,80915
SED10026,30308,31424,61732,1754,1968,3727,3262,3372,6629,90,75,165,147,159,306,19,20,31,17,24,41,14,11,28,20,18,39,26,18,45,0,0,0,3593,3694,7287,156,132,293,150,114,258,5658,5912,11564,4450,3659,8106,40410,40991,81410
SED10027,34015,35311,69329,623,596,1219,3250,3322,6572,50,40,88,27,18,48,13,10,27,6,5,11,5,0,3,9,7,18,7,13,11,0,0,0,3360,3416,6769,177,177,362,55,48,104,4213,4243,8456,2082,2126,4203,40313,41676,81988
SED10028,35397,37769,73171,1063,1107,2170,4117,4225,8346,89,58,147,56,61,111,21,22,47,18,15,33,0,6,12,0,3,3,13,18,35,0,0,0,4322,4413,8738,527,580,1103,65,39,106,5977,6133,12113,1156,1393,2545,42530,45304,87830
SED10029,38065,38927,76992,974,1002,1974,3099,3136,6233,73,67,143,25,23,48,9,0,15,10,10,19,7,6,15,0,0,0,11,5,10,0,0,0,3241,3246,6488,247,266,517,78,62,144,4542,4582,9118,3152,3172,6322,45756,46679,92436
SED10030,30161,32104,62261,1130,1233,2368,3715,3844,7561,67,69,132,68,94,161,6,10,23,23,16,37,10,10,20,5,11,17,4,8,8,0,0,0,3899,4064,7959,169,175,353,112,89,204,5319,5565,10880,2226,2362,4590,37703,40031,77732
SED10031,31907,32629,64536,1720,1914,3631,2439,2483,4917,73,89,161,100,89,189,13,13,30,32,24,50,10,5,15,7,9,13,484,515,998,0,0,0,3155,3229,6381,177,155,337,77,80,154,5126,5371,10503,3250,2651,5899,40290,40648,80941
SED10032,39679,38708,78388,1924,1636,3557,5598,4897,10495,150,116,263,73,74,148,45,38,80,18,20,39,21,21,41,6,11,17,27,15,47,0,0,0,5936,5185,11127,612,671,1288,149,118,262,8632,7608,16233,4253,3658,7907,52564,49964,102532
SED10033,32241,32231,64477,1043,1038,2078,3204,3375,6584,41,43,85,64,52,116,8,8,19,3,13,18,4,0,5,5,3,15,9,7,17,0,0,0,3342,3504,6847,98,104,206,100,81,178,4581,4725,9305,1743,1628,3366,38565,38582,77145
SED10034,32624,33885,66515,900,945,1851,2716,2786,5502,34,28,60,31,35,61,4,4,11,14,5,21,4,10,13,0,0,6,13,13,31,0,0,0,2821,2876,5704,147,143,292,47,47,100,3921,4020,7943,1066,1221,2287,37604,39127,76737
SED10035,38217,36455,74671,3444,3213,6658,11940,11470,23405,428,392,824,331,373,703,105,104,210,112,118,233,24,24,52,32,13,45,116,141,260,0,0,3,13087,12642,25732,1065,1014,2078,273,205,483,17880,17072,34954,3326,2933,6259,59420,56465,115882
SED10036,37318,38023,75340,812,881,1690,2966,3073,6033,88,57,143,182,106,288,39,19,58,31,27,57,10,9,26,31,20,51,40,26,74,0,0,0,3388,3340,6725,218,193,414,69,46,109,4482,4457,8935,2464,2408,4871,44266,44883,89147
SED10037,34929,35807,70732,1038,1050,2087,3523,3536,7055,52,50,100,36,53,87,22,21,36,11,11,19,0,9,11,5,8,15,17,9,31,0,0,0,3674,3688,7363,257,304,561,51,44,99,5022,5083,10104,1001,1015,2014,40957,41903,82856
SED10038,33287,34856,68141,1049,1041,2092,3297,3584,6883,76,68,145,66,67,136,8,12,20,15,12,28,11,10,22,8,7,16,63,64,128,0,0,0,3544,3829,7370,179,165,345,83,55,131,4850,5088,9945,1537,1730,3262,39672,41676,81349
SED10039,31018,32285,63299,1257,1352,2614,3175,3471,6647,88,78,164,94,95,178,7,7,16,39,25,62,10,7,20,18,19,37,60,68,125,10,5,13,3490,3767,7260,111,117,230,75,80,157,4941,5318,10262,2680,1929,4611,38631,39536,78170
SED10040,35876,36957,72836,1732,1586,3319,5557,5253,10808,72,72,144,59,61,112,15,17,37,10,11,17,23,23,43,9,9,16,17,16,39,0,0,0,5768,5455,11223,437,447,883,169,86,251,8102,7578,15675,2088,2134,4225,46067,46667,92731
SED10041,34189,36881,71073,1092,1266,2354,4205,4470,8675,73,72,148,61,64,127,20,11,31,15,13,31,13,16,30,4,3,4,28,26,48,0,0,0,4417,4678,9093,582,586,1163,60,55,108,6147,6581,12727,1048,1216,2264,41380,44682,86068
SED10042,31575,32977,64555,1015,1088,2107,3685,3952,7637,57,53,113,80,81,165,21,18,35,32,21,51,8,11,13,14,11,28,16,22,39,0,0,0,3909,4167,8071,120,138,251,143,126,265,5184,5516,10700,1782,1833,3618,38544,40324,78872
SED10043,38837,37595,76438,1592,1231,2819,3777,3367,7146,100,52,152,40,49,89,24,18,39,21,12,39,3,0,6,7,10,11,19,10,33,0,0,0,3998,3522,7520,442,414,862,134,78,205,6162,5246,11409,3605,3350,6961,48613,46193,94808
SED10044,34227,35920,70150,1335,1442,2778,4908,5014,9919,113,118,228,58,60,125,21,12,30,27,26,52,7,7,13,11,5,15,30,26,61,0,0,0,5170,5273,10443,472,526,995,62,73,130,7034,7316,14345,1637,2034,3669,42893,45266,88166
SED10045,29387,30396,59786,1177,1387,2566,2339,2522,4861,145,164,312,521,547,1073,31,19,48,38,28,71,25,18,45,20,22,38,23,20,43,0,0,0,3141,3348,6491,144,140,283,116,111,233,4584,4980,9563,3359,3403,6759,37329,38776,76111
SED10046,39186,39878,79067,802,846,1650,3667,3878,7543,54,54,108,31,47,75,16,15,28,11,12,17,0,5,13,3,9,13,12,11,22,0,0,0,3795,4027,7821,246,298,542,93,74,171,4936,5252,10185,3264,3228,6496,47390,48359,95745
SED10047,45544,46350,91897,1194,1254,2446,6722,7128,13853,65,68,131,78,83,159,21,15,43,6,10,15,8,12,18,6,6,13,16,16,36,0,0,0,6929,7339,14266,260,277,537,156,132,288,8539,9003,17540,4721,4392,9115,58807,59746,118554
SED10048,44760,46002,90767,957,1029,1987,5478,5541,11024,70,77,141,79,77,163,13,16,32,12,17,31,13,13,23,6,10,16,17,25,40,0,0,0,5697,5771,11464,294,347,637,94,72,168,7038,7218,14258,2733,2976,5714,54536,56202,110737
SED10049,34851,36714,71568,1101,1137,2233,4885,5459,10345,90,71,159,134,148,279,19,29,52,38,29,63,14,17,28,44,34,77,31,31,57,0,0,0,5248,5810,11060,114,127,247,124,129,252,6586,7201,13787,1818,1796,3616,43257,45710,88973
SED10050,31882,33302,65182,1698,1789,3489,4302,4567,8870,102,115,218,99,103,201,15,19,31,12,22,31,4,9,11,4,5,4,25,27,50,0,0,4,4566,4861,9421,527,576,1100,97,120,215,6885,7344,14234,1370,1319,2693,40140,41965,82105
SED10051,32574,34359,66930,1163,1162,2326,4871,5149,10023,79,105,185,94,103,197,12,10,21,33,21,57,0,0,3,9,3,15,33,37,73,0,0,5,5135,5440,10578,411,382,785,112,75,188,6819,7057,13877,3314,2422,5736,42714,43833,86541
SED10052,32195,34063,66259,831,866,1691,3586,3803,7385,31,28,50,53,58,113,12,17,26,9,10,19,3,4,9,9,10,9,11,14,27,0,0,0,3705,3937,7641,203,211,409,58,51,111,4792,5065,9857,1473,1533,3009,38468,40656,79123
SED10053,33573,32957,66528,1332,1368,2701,2640,2555,5200,248,193,442,252,283,540,66,59,125,90,93,183,20,30,48,43,37,81,1269,1230,2499,0,0,0,4634,4482,9119,272,266,534,102,71,168,6337,6189,12523,2631,2267,4899,42537,41419,83959
SED10054,38084,38925,77008,934,975,1909,3354,3533,6887,53,46,101,48,74,125,5,12,22,14,11,22,9,5,10,7,0,7,8,11,18,0,0,0,3498,3690,7192,223,252,475,120,84,199,4780,4994,9776,3095,3373,6466,45955,47296,93255
SED10055,37146,37577,74718,789,812,1594,3157,3296,6450,37,44,80,62,73,131,10,11,15,20,16,31,6,0,8,8,6,7,13,15,29,0,0,0,3303,3451,6751,136,133,273,58,41,100,4280,4432,8718,1563,1505,3068,42990,43516,86503
SED10056,33235,33246,66489,2151,2223,4374,1302,1351,2655,1046,1043,2089,147,136,280,44,38,75,26,37,63,3,9,15,15,15,31,29,38,67,0,0,0,2620,2667,5289,187,161,354,83,63,146,5042,5115,10154,4294,4016,8313,42573,42383,84954
SED10057,28524,30358,58884,1616,1853,3464,2824,2957,5779,66,78,141,146,131,280,9,14,23,16,28,42,12,9,17,12,21,33,15,23,37,0,0,0,3094,3261,6354,81,84,167,97,107,206,4893,5298,10192,2873,3025,5897,36290,38687,74979
SED10058,29309,30250,59557,1233,1309,2541,5033,5686,10717,180,174,356,167,170,337,31,26,51,40,28,71,30,23,53,29,35,64,68,59,124,5,4,7,5575,6209,11783,313,322,628,164,93,261,7284,7927,15216,2109,1969,4073,38694,40149,78843
SED10059,27090,24783,51865,1627,1677,3298,7978,7877,15852,307,325,631,228,231,460,64,65,131,90,112,203,23,30,57,16,11,26,102,116,223,0,0,0,8815,8769,17584,778,704,1476,155,113,272,11377,11253,22631,2898,2246,5142,41362,38283,79645
SED10060,27028,30716,57740,1432,1649,3082,5198,5956,11156,178,170,348,134,170,306,39,34,73,49,52,98,7,8,13,13,10,18,64,68,135,4,0,4,5675,6474,12153,772,843,1617,85,79,163,7964,9043,17015,1540,1770,3312,36532,41534,78062
SED10061,28203,29412,57611,2653,2795,5449,2021,2304,4322,97,82,181,434,477,911,24,24,52,30,35,63,12,8,27,12,20,34,20,24,40,0,0,0,2643,2974,5621,161,147,307,67,84,149,5524,5994,11520,4767,4825,9593,38494,40230,78724
SED10062,32296,33780,66077,771,808,1576,3269,3289,6552,38,35,75,32,33,58,9,11,21,5,12,22,5,10,12,6,0,4,12,9,19,0,0,0,3371,3398,6773,206,224,436,78,66,147,4431,4498,8931,1539,1802,3339,38265,40086,78348
SED10063,31152,32487,63645,1916,2000,3913,2790,2876,5670,89,73,162,142,144,282,18,12,31,28,24,52,5,3,9,18,18,38,24,23,56,0,0,0,3121,3180,6293,114,146,255,94,87,186,5239,5413,10656,2801,2836,5637,39202,40732,79931
SED10064,29777,31149,60930,1385,1541,2925,2322,2544,4867,105,105,212,229,246,474,16,13,25,23,22,49,4,5,12,14,20,36,21,25,52,0,0,0,2737,2990,5729,83,78,163,110,91,204,4315,4703,9019,3811,3179,6983,37905,39034,76935
SED10065,41897,41438,83333,2507,2315,4818,7117,6648,13767,275,197,478,143,164,306,39,47,82,32,38,73,9,17,23,24,16,35,38,33,69,0,0,0,7677,7156,14835,807,861,1665,150,106,263,11136,10442,21577,3004,2736,5742,56036,54619,110655
SED10066,32726,34163,66890,978,1064,2039,4183,4471,8655,25,31,57,84,69,152,15,11,23,13,13,26,6,7,17,6,0,4,15,22,35,0,0,0,4340,4624,8967,169,182,347,113,66,179,5600,5936,11538,2419,2650,5063,40745,42752,83495
SED10067,30326,31788,62113,938,970,1908,3135,3332,6462,52,59,104,45,51,99,12,8,19,7,4,6,3,5,8,0,3,0,16,12,35,0,0,0,3265,3471,6742,285,300,584,52,57,108,4539,4798,9339,1462,1659,3124,36329,38244,74574
SED10068,30809,33360,64166,1396,1476,2870,3440,3919,7365,126,140,263,183,196,385,23,14,41,39,34,68,21,26,46,16,13,33,49,41,89,3,5,7,3899,4393,8288,138,149,285,121,120,238,5553,6130,11687,2070,2152,4224,38431,41646,80074
SED10069,30132,31095,61224,1479,1579,3059,2896,2919,5820,89,81,172,149,166,319,31,27,59,19,21,40,15,17,33,38,48,89,40,33,75,0,0,0,3282,3312,6595,161,161,316,76,84,155,4996,5132,10127,2233,2192,4420,37356,38411,75768
SED10070,36592,37025,73618,928,886,1814,3463,3419,6882,74,42,116,30,29,54,4,5,12,9,4,11,3,9,9,5,3,4,10,7,15,0,0,0,3599,3517,7113,258,289,545,70,58,130,4863,4748,9605,2180,2167,4345,43632,43937,87570
SED10071,47302,48113,95416,1136,1111,2242,8019,8195,16224,114,115,231,82,79,159,16,20,38,30,31,61,3,7,17,17,13,33,18,16,35,0,0,0,8311,8479,16790,436,466,901,86,75,163,9970,10128,20099,3205,1829,5033,60478,60070,120543
SED10072,34865,35869,70730,1874,1657,3532,5671,5644,11310,115,88,203,62,79,144,24,19,40,20,18,32,12,8,19,8,5,20,21,25,48,0,0,0,5931,5882,11819,465,476,940,117,112,230,8399,8129,16523,2850,2724,5577,46110,46725,92831
SED10073,37035,38968,76002,2077,2142,4218,6335,6300,12639,170,133,301,114,115,230,40,32,70,39,33,74,16,11,28,4,5,9,32,32,70,0,0,0,6752,6671,13421,612,719,1333,104,91,191,9539,9628,19172,1866,1898,3763,48446,50494,98942
SED10074,34607,35344,69952,1018,964,1983,4201,4085,8281,105,69,177,62,53,117,19,22,42,14,9,23,7,0,10,9,5,16,27,30,61,0,0,0,4443,4282,8720,348,365,710,71,78,153,5882,5686,11566,1905,1917,3821,42391,42951,85339
SED10075,35528,37100,72627,1187,1262,2447,3511,3861,7374,58,66,125,68,71,144,3,3,10,18,19,28,8,6,19,6,5,20,35,35,72,0,0,0,3719,4080,7796,123,124,242,112,102,210,5137,5563,10702,2108,2079,4186,42776,44740,87515
SED10076,29492,30507,60000,1616,1720,3338,2899,3038,5937,97,108,207,120,136,254,18,15,32,49,43,96,18,14,35,19,25,47,103,114,216,3,3,7,3327,3497,6821,95,115,211,84,75,160,5127,5411,10536,2664,2704,5364,37281,38623,75903
SED10077,36835,37754,74588,2659,2244,4901,7248,6956,14204,227,187,422,122,114,234,34,27,59,20,19,45,35,17,42,4,6,10,55,35,86,3,0,4,7742,7368,15114,650,673,1326,237,144,378,11292,10426,21722,2558,2346,4909,50688,50526,101220
SED10078,30049,31873,61921,1163,1278,2444,5221,5634,10850,128,128,256,61,81,141,10,17,28,30,26,53,17,15,34,13,10,22,26,40,64,0,0,0,5500,5952,11458,347,369,718,129,103,233,7145,7703,14846,1766,1672,3441,38960,41248,80211
SED10079,30107,31121,61230,853,870,1727,2948,3246,6190,55,46,97,71,74,143,11,12,22,28,20,43,4,5,7,5,14,19,6,14,27,0,3,9,3128,3427,6550,100,103,200,78,59,133,4162,4453,8613,1691,1841,3534,35958,37416,73375
SED10080,30808,27928,58733,3160,3145,6310,8112,7464,15580,504,395,900,380,335,720,105,114,221,150,108,252,22,19,36,26,33,56,117,101,216,0,0,0,9412,8568,17979,1279,1225,2507,223,183,398,14072,13123,27200,3742,3021,6765,48626,44077,92698
SED10081,30296,31337,61635,1967,2099,4070,3227,3405,6628,76,61,141,213,226,441,10,7,19,15,13,28,11,16,28,14,13,25,9,12,18,0,0,0,3579,3755,7335,154,129,291,103,109,216,5807,6102,11907,3163,3184,6344,39262,40619,79886
SED10082,30711,32888,63596,904,927,1826,3421,3614,7039,52,54,100,49,70,116,7,3,10,19,19,39,8,10,18,9,15,21,15,16,32,0,0,0,3583,3805,7386,182,197,379,66,65,133,4738,4991,9727,1648,1923,3564,37090,39798,76882
SED10083,29914,31951,61862,772,892,1671,3285,3513,6793,39,43,81,58,65,121,9,8,19,14,18,32,6,10,17,5,14,12,10,12,25,0,0,0,3424,3677,7101,128,128,254,105,68,177,4436,4770,9206,1902,2187,4088,36254,38903,75154
SED10084,30453,33074,63528,1209,1330,2542,2451,2683,5139,205,235,436,1149,1273,2421,27,34,61,23,29,60,17,16,31,26,24,49,12,22,38,0,0,3,3906,4324,8232,195,226,417,153,124,279,5461,6003,11464,2619,2817,5435,38540,41895,80432
SED10085,30958,30556,61511,1947,2126,4069,2611,2661,5273,97,59,152,279,165,442,38,11,46,47,31,75,21,10,30,31,28,54,29,7,36,0,0,0,3143,2967,6109,149,112,265,102,66,165,5344,5267,10605,3225,2635,5859,39528,38454,77976
SED10086,28074,30734,58802,1590,1780,3370,4573,5403,9976,183,222,403,151,182,328,27,31,61,51,61,116,4,3,6,6,3,15,48,50,101,17,0,17,5056,5965,11022,667,748,1413,100,90,190,7418,8581,16001,2007,2306,4311,37497,41620,79115
SED10087,30956,32323,63286,1500,1738,3236,3327,3743,7066,305,348,652,364,317,682,102,106,211,45,39,87,16,20,37,41,44,87,122,124,245,4,0,6,4328,4736,9066,202,163,364,95,84,185,6125,6723,12846,2572,2527,5097,39659,41574,81229
SED10088,33862,35269,69129,933,964,1899,3789,3842,7631,48,48,95,46,51,95,10,5,9,13,13,26,0,0,7,3,5,9,14,16,27,0,0,0,3926,3979,7902,307,348,656,90,70,158,5255,5362,10613,1232,1385,2615,40346,42014,82361
SED10089,33508,34688,68197,1005,1081,2086,4913,5135,10046,102,95,197,104,117,225,10,16,33,19,22,40,25,21,48,12,19,38,32,41,75,0,0,0,5226,5476,10698,230,221,458,170,141,308,6631,6922,13556,2066,2252,4315,42206,43860,86066
