SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10074,6,20,0,705,0,0,0,4,0,3,6,4,13,20,160,212,4,0,4,0,0,0,0,0,4,37,36,99,1438,253,92,696,337,867,152,450,203,2834,226,7547
SED10075,5,38,4,476,0,0,4,3,0,4,0,8,5,34,223,285,0,0,0,0,3,0,0,0,3,54,69,141,1306,313,93,990,302,748,161,596,213,4318,347,9405
SED10076,4,76,0,478,0,0,3,5,0,8,3,3,0,50,306,381,3,4,4,5,0,3,0,0,7,95,68,186,1058,532,72,1021,135,653,112,829,166,5752,482,10812
SED10077,0,66,4,1202,3,0,7,11,4,12,0,3,7,15,269,331,5,5,3,0,3,0,0,0,0,23,57,95,2103,602,182,1142,329,1042,213,737,249,2801,381,9780
SED10078,5,18,3,1725,5,0,3,0,6,3,5,4,4,17,227,275,4,0,5,5,6,0,0,0,7,32,32,86,2820,419,94,1173,337,783,170,473,160,1998,308,8738
SED10079,10,49,0,480,3,0,0,0,3,10,3,3,4,31,238,294,0,5,0,0,0,0,4,0,0,82,64,163,1029,337,61,909,200,689,106,642,167,4714,358,9217
SED10080,24,231,4,4931,10,0,3,4,9,15,3,5,6,14,392,461,14,0,9,3,0,4,0,3,0,22,47,106,4611,752,231,1521,492,1474,294,988,227,2053,465,13106
SED10081,5,26,3,538,13,0,0,4,0,12,3,5,0,25,318,384,12,6,4,5,0,0,0,4,0,68,64,169,2023,373,60,1248,147,747,76,569,115,3004,457,8807
SED10082,6,104,0,981,0,8,3,6,3,0,0,6,5,32,215,271,6,4,0,0,0,3,0,4,6,62,43,132,1024,434,77,867,245,664,136,713,183,4348,319,9018
SED10083,12,46,0,497,0,0,0,0,3,6,6,8,3,31,194,246,4,0,0,3,0,0,0,5,3,50,40,107,1201,368,75,872,261,603,152,552,155,3373,274,7885
SED10084,5,64,0,496,8,6,0,4,0,8,3,8,5,43,315,396,5,3,3,3,0,5,0,0,0,90,81,193,1079,534,67,1121,140,656,140,789,147,4755,467,9904
SED10085,12,42,0,717,7,5,5,5,3,13,3,15,4,26,354,437,12,3,15,8,4,5,0,0,0,54,59,156,1799,389,94,1236,163,893,97,624,154,3123,476,9051
SED10086,20,403,8,3709,10,4,4,6,5,9,0,3,3,25,248,311,3,3,6,9,5,5,0,7,6,41,46,137,2787,540,100,1140,250,898,122,768,135,2050,328,9118
SED10087,0,55,0,558,6,0,4,3,7,3,0,9,5,36,348,413,12,3,5,5,0,5,0,3,4,62,61,160,1910,370,78,1320,127,728,70,603,103,2683,445,8442
SED10088,5,73,0,1237,10,0,7,0,3,9,3,5,4,21,160,223,5,5,6,0,0,3,0,0,0,36,35,90,1690,405,80,949,268,621,127,599,125,2580,229,7681
SED10089,0,21,0,539,4,0,0,3,5,0,3,7,4,24,231,284,0,0,10,4,0,0,0,0,3,37,52,100,1688,426,58,1236,160,646,105,589,99,2977,319,8304
SED10090,9,183,5,2515,0,0,9,0,4,3,0,4,3,14,218,258,9,0,0,0,5,0,0,4,0,25,32,74,2412,396,76,964,244,887,114,665,128,2605,275,8765
SED10091,15,88,0,888,7,0,0,3,3,8,8,10,3,31,252,334,4,5,11,6,4,0,0,5,4,66,44,149,1490,414,94,1156,264,831,136,698,194,3696,345,9313
SED10092,7,48,0,689,0,3,0,4,3,7,3,0,9,25,199,254,3,3,9,0,0,3,0,4,0,56,52,134,1484,393,104,1055,301,834,179,642,178,3664,300,9132
SED10093,6,31,0,398,6,3,0,4,3,6,5,4,0,35,240,313,3,0,5,3,4,0,0,5,0,59,45,133,1194,319,104,887,251,718,139,516,194,3297,332,7956
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,12,155,0,3076,12,0,5,5,4,11,7,4,0,13,383,435,4,0,3,0,0,0,0,0,0,17,38,65,4111,748,95,1723,272,1215,124,691,107,1749,439,11277
SED20207,0,16,0,897,7,0,8,6,6,8,0,0,4,9,236,287,9,0,4,5,5,0,0,3,0,38,67,142,2225,334,66,1106,202,960,68,473,106,2527,336,8395
SED20302,4,58,3,570,13,0,5,6,5,13,0,15,6,34,307,410,9,3,13,10,5,8,0,6,0,98,96,252,2296,620,114,1559,225,921,137,830,177,4271,489,11632
SED20401,0,16,0,468,3,0,3,3,4,4,0,5,3,15,131,168,3,0,0,5,0,0,0,5,4,54,30,108,1553,288,30,910,141,579,54,453,85,2136,185,6418
SED20508,11,98,3,762,3,0,0,8,3,9,4,5,3,41,289,363,7,5,4,10,3,0,0,4,0,88,49,165,1152,506,70,1109,165,661,99,849,152,4712,389,9865
SED20604,0,40,4,430,0,4,0,4,0,3,0,0,3,18,275,318,11,0,5,11,0,3,4,0,5,64,46,150,1550,431,70,1273,154,667,134,601,117,2931,369,8307
SED20704,3,29,0,413,3,6,7,5,6,4,0,8,3,30,225,291,4,4,3,4,0,6,3,0,0,56,40,119,1387,383,65,1117,152,606,87,590,115,2892,302,7707
SED20804,0,36,0,370,6,0,0,4,0,6,0,9,0,24,194,258,4,3,5,0,4,3,0,0,0,67,53,147,1124,399,55,1012,116,568,88,610,110,2850,300,7238
SED20906,3,31,0,869,7,0,0,0,0,0,0,5,0,15,144,177,6,4,0,0,4,5,0,0,0,26,27,71,1484,255,36,752,105,506,43,410,72,1870,201,5715
SED21001,4,86,0,897,4,0,0,3,9,3,0,3,0,8,190,216,3,0,0,6,0,5,0,0,0,31,33,78,1389,439,35,924,127,659,70,636,83,2658,247,7258
SED21106,16,222,5,1841,5,0,0,0,5,3,0,0,4,21,194,236,0,9,0,5,4,7,5,9,3,36,17,86,1543,381,33,825,104,626,69,605,80,1971,224,6460
SED21203,3,9,0,150,4,0,0,0,3,9,0,3,5,21,121,165,0,0,0,0,0,6,0,0,3,41,48,99,716,174,27,491,77,458,42,315,56,1976,215,4555
SED21303,4,20,0,1597,15,0,0,3,5,3,0,4,4,11,204,263,11,0,5,0,6,0,0,0,0,17,27,59,3056,521,43,1568,206,756,99,461,70,1402,252,8427
SED21401,8,106,0,825,6,3,0,6,0,9,7,3,4,18,196,241,0,3,4,4,6,5,0,0,0,67,44,122,1107,386,47,753,99,583,54,539,86,3511,281,7451
SED21503,3,3,0,455,5,0,4,5,0,9,0,6,0,25,113,167,5,0,0,10,0,5,0,0,0,47,39,109,1231,239,28,718,101,588,60,411,75,2252,190,5883
SED21608,3,25,0,414,5,0,0,5,0,11,3,10,3,21,210,267,8,0,0,4,0,0,0,3,0,54,50,134,1410,366,62,1068,141,660,83,566,142,2440,315,7249
SED21706,3,61,0,987,9,0,4,6,0,6,0,0,0,17,155,202,0,0,3,0,0,0,0,0,0,29,29,63,1370,325,24,729,105,587,49,513,71,2069,202,6054
SED21805,6,15,0,621,8,5,4,0,4,10,0,3,3,16,148,203,12,6,6,6,0,6,0,4,4,41,45,123,1923,288,52,992,172,689,69,446,91,1998,240,6948
SED21906,7,107,3,1579,0,0,3,9,0,10,0,8,0,13,197,249,7,4,3,7,3,7,0,6,0,35,34,105,2114,512,43,1188,159,648,86,638,76,1659,252,7372
SED22005,0,11,0,475,6,0,4,3,0,7,0,6,5,19,149,199,0,0,8,0,0,5,0,0,0,46,54,115,1452,348,39,869,113,630,61,503,67,2456,259,6799
SED22105,0,13,0,367,10,0,8,4,5,9,3,4,5,20,209,278,6,0,4,11,5,0,0,3,4,48,70,139,2308,362,77,1407,192,984,91,470,105,2394,342,8715
SED22201,8,20,0,534,7,0,0,4,6,3,3,0,0,21,142,188,0,0,7,0,0,0,0,3,5,47,31,93,1514,270,39,881,121,529,46,478,76,2266,196,6410
SED22305,0,17,0,165,4,4,4,4,6,16,0,11,4,14,142,202,0,0,4,0,0,3,0,0,4,45,56,122,994,325,42,616,67,666,47,382,78,2211,252,5687
SED22404,5,44,0,530,12,4,5,10,7,9,0,6,3,36,234,323,9,0,7,11,6,5,3,12,0,58,39,162,1199,490,88,1072,166,654,112,671,130,2792,332,7705
