SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED70002,45,150,40,73,14,399,214,81,549,165,173,35,1217,10,0,25,12,28,3,78,20,0,40,24,97,5,183,10,0,25,15,51,19,119,548,191,1370,658,1272,148,4195
SED70003,16,102,29,61,5,238,10,11,45,22,59,10,157,6,0,8,11,22,0,38,5,0,11,3,26,6,48,6,0,11,8,24,11,49,85,47,339,225,755,82,1527
SED70004,27,71,27,36,13,210,38,8,87,52,77,24,285,3,0,8,6,15,0,34,3,3,5,0,28,0,41,0,5,3,0,12,18,41,136,60,326,238,646,118,1517
SED70005,25,91,22,62,4,244,48,32,135,74,102,8,403,0,0,10,10,14,0,36,7,0,16,11,104,11,144,7,0,9,17,70,15,113,186,107,590,479,1435,94,2895
SED70006,50,170,39,61,9,417,194,84,338,123,144,29,906,10,3,47,4,24,4,85,28,16,56,28,76,3,202,6,0,27,10,39,29,104,524,218,1069,482,1099,131,3519
SED70007,42,105,36,95,4,318,40,35,148,75,122,11,428,5,3,8,5,24,3,47,4,0,9,19,96,0,135,6,3,12,21,82,17,133,182,140,660,597,1635,82,3298
SED70008,42,178,37,62,6,464,212,92,417,88,111,41,958,14,0,20,4,11,0,45,17,0,31,19,51,0,114,15,5,27,10,33,17,108,719,232,1328,491,916,120,3809
SED70009,27,86,18,73,16,256,8,17,30,37,61,13,159,3,4,12,5,38,4,68,0,0,9,9,75,4,96,6,0,11,10,40,27,96,99,72,307,278,966,125,1839
SED70010,30,91,31,82,4,262,32,36,112,57,113,6,358,0,0,13,5,30,0,48,3,0,17,11,77,0,105,12,0,8,6,53,30,111,148,105,478,372,1248,110,2460
SED70011,35,172,30,48,5,382,121,33,253,63,67,7,553,7,4,37,14,18,6,80,22,7,39,12,61,3,148,6,0,29,17,26,16,95,587,216,1327,496,846,94,3566
SED70012,45,132,32,41,4,327,109,42,257,72,78,18,580,20,6,23,8,28,6,81,14,3,31,22,58,3,127,10,5,29,26,42,21,129,585,220,1280,573,1055,127,3843
SED70013,31,96,47,100,10,305,23,29,72,60,88,18,291,0,0,15,8,29,0,56,4,0,19,10,139,3,181,0,0,17,19,93,16,145,125,118,510,511,1756,136,3144
SED70014,22,59,16,30,5,169,10,4,38,13,45,15,131,5,0,28,13,21,12,88,3,4,3,4,15,0,29,0,0,0,6,12,6,23,95,47,300,199,586,100,1328
SED70015,46,115,49,45,3,345,136,41,296,68,101,15,649,6,0,26,8,20,0,66,14,7,29,18,47,8,121,9,5,23,11,41,17,109,533,178,1054,457,886,95,3201
SED70016,42,109,38,54,4,297,32,36,154,65,106,16,407,3,0,12,6,11,0,28,9,3,18,15,75,4,122,5,0,28,9,48,22,110,191,121,651,362,963,107,2395
SED70017,26,129,37,79,9,329,89,45,200,109,144,15,598,0,3,7,10,9,0,29,0,0,15,13,92,6,123,6,5,20,9,51,28,113,251,111,672,447,1127,131,2737
SED70018,38,104,33,57,8,291,43,33,113,47,96,14,347,6,0,15,0,22,4,42,0,0,10,7,36,0,57,5,4,5,3,23,23,60,151,108,396,208,752,87,1702
SED70019,36,112,31,74,8,297,92,35,200,79,139,19,571,6,7,24,7,21,4,72,10,3,27,10,60,3,105,4,0,19,8,37,25,98,269,137,672,368,1075,122,2639
SED70020,30,101,39,74,8,280,24,27,76,62,82,9,276,0,3,8,4,16,0,38,0,3,10,15,137,6,172,3,0,7,30,85,24,153,142,123,580,560,1836,132,3376
SED70021,68,200,43,44,4,517,289,75,446,89,88,17,1006,13,4,35,8,15,7,77,24,6,40,15,46,9,141,24,7,37,21,37,20,136,976,277,1509,450,768,119,4093
SED70022,31,156,24,33,11,380,166,52,339,82,72,21,737,23,9,43,20,30,5,124,26,7,48,30,54,6,169,51,10,72,25,36,26,208,1137,270,2187,869,1112,196,5773
SED70023,34,125,30,64,9,319,78,36,177,66,118,18,488,8,0,12,5,23,0,50,15,0,14,22,65,6,119,9,0,17,11,49,22,108,334,139,740,451,1007,113,2779
SED70024,44,170,59,104,8,451,103,59,265,122,129,14,693,11,0,12,12,28,7,73,5,9,33,30,118,3,199,4,3,32,19,95,21,177,402,211,1168,816,1885,123,4600
SED70025,51,155,40,86,11,435,151,75,411,97,98,25,861,0,0,9,10,11,6,41,8,3,26,17,75,3,131,4,4,19,13,34,17,93,501,223,1265,556,1112,124,3780
SED79494,3,11,4,0,0,23,4,5,21,3,3,3,44,0,0,6,0,4,0,12,0,0,0,0,0,0,5,4,0,0,0,8,13,23,38,22,118,55,120,31,378
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,30,0,40
SED80001,298,1267,343,517,30,2991,562,342,1650,784,1020,120,4479,34,24,120,65,127,8,381,68,29,160,168,668,32,1117,50,7,99,78,170,77,487,3650,1788,9271,5540,9887,767,30900
SED80002,482,1904,407,518,47,4798,940,354,2035,730,848,96,4995,100,48,250,88,167,7,666,125,34,273,179,560,27,1194,137,12,189,92,156,103,684,7964,2484,13928,5254,8351,793,38763
SED80003,389,1537,205,207,43,4455,1131,283,1505,328,286,78,3605,218,63,353,81,94,14,826,184,45,269,120,206,12,835,155,15,217,55,76,91,606,12574,3316,17549,3343,3923,701,41405
SED80004,376,1391,251,276,27,3475,1588,459,2797,730,591,124,6284,99,39,217,72,103,7,537,127,35,227,160,331,14,895,129,16,176,74,105,97,596,9056,2802,14594,4548,5436,698,37137
SED80005,397,1709,414,500,58,4338,968,327,2004,815,731,111,4956,80,39,229,77,140,12,579,151,34,266,208,502,38,1196,204,27,247,99,147,173,898,9705,2442,14996,6313,7997,1050,42502
SED89494,0,3,0,6,0,13,3,0,8,5,0,0,22,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,3,24,4,49,15,42,0,138
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,18,58,12,27,3,136,9,9,43,17,28,10,118,7,0,6,3,21,3,38,0,0,8,3,36,0,48,0,0,3,10,37,17,69,86,59,297,217,662,118,1435
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
