SOSR_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR101,5624,122119,7437,135176,7778,142348,11368,161493,19070,325189,28518,372776,30251,301589,23101,354942,35587,240745,16108,292439,33639,202440,12888,248972,19165,151083,9376,179630,9696,81206,7458,98353,3141,27277,5150,35570,163949,1594001,121399,1879348,6133,114054,6611,126802,9102,134183,9157,152436,27184,328779,24903,380866,44745,294861,19958,359568,55429,234659,13989,304077,51118,197573,11354,260048,28190,160251,9728,198163,11617,93699,9398,114713,2423,43740,10339,56501,235949,1601808,115427,1953176,11758,236172,14045,261971,16881,276529,20521,313934,46249,653973,53428,753648,75004,596453,43058,714513,91016,475413,30090,596518,84756,400020,24243,509021,47357,311333,19101,377790,21314,174905,16851,213068,5565,71012,15484,92069,399895,3195808,236825,3832530
SOSR102,1335,28343,1767,31448,1690,29914,1922,33526,4121,57386,3901,65404,6401,53397,3420,63218,8947,52088,3227,64262,10285,49627,2908,62818,6890,44160,2743,53798,3730,26272,2523,32519,1083,8436,1860,11378,44490,349620,24261,418370,1570,26786,1623,29980,2190,28708,1716,32608,6531,56971,3573,67067,10812,52790,3218,66817,14677,50578,2737,67991,16497,49080,2659,68238,10140,47247,3060,60452,4221,31015,3507,38742,846,14666,3604,19113,67475,357846,25694,451009,2902,55135,3386,61418,3881,58616,3636,66135,10645,114354,7470,132466,17212,106187,6635,130034,23622,102665,5969,132254,26783,98711,5564,131061,17032,91410,5807,114242,7946,57289,6029,71267,1930,23104,5463,30494,111961,707464,49959,869377
SOSR111,265,5142,405,5812,276,4978,342,5592,796,10977,822,12602,1276,9835,729,11839,1518,9030,618,11161,1711,8476,525,10713,1257,7857,461,9580,618,4341,398,5351,181,1320,233,1737,7895,61953,4534,74382,306,5093,320,5724,447,4911,328,5687,1442,11143,752,13334,2220,9733,670,12628,2656,9005,505,12167,2845,8657,523,12026,1858,8448,502,10801,760,5328,602,6687,137,2362,477,2981,12680,64678,4677,82029,571,10235,729,11534,725,9891,670,11277,2237,22123,1577,25933,3499,19576,1394,24467,4174,18032,1120,23325,4559,17137,1045,22736,3111,16301,965,20378,1377,9666,994,12040,323,3680,709,4715,20578,126629,9206,156414
SOSR112,764,13753,1326,15845,763,12920,1636,15316,2179,27643,3632,33457,2946,23756,2936,29638,3924,22978,2486,29387,4463,23457,1873,29795,3354,22838,1656,27849,1997,13868,1379,17249,614,4660,850,6127,21004,165880,17785,204668,855,13074,1259,15182,1140,12817,1181,15136,3753,28226,2367,34351,5310,23546,1990,30854,6862,22828,1756,31444,7636,23946,1571,33159,5149,24630,1685,31469,2326,16825,1840,20989,476,8188,1610,10278,33515,174082,15265,222863,1611,26831,2586,31027,1901,25736,2818,30457,5939,55871,6001,67805,8250,47309,4932,60489,10790,45798,4239,60830,12103,47402,3446,62954,8503,47470,3348,59320,4326,30689,3223,38241,1095,12852,2459,16410,54515,339959,33049,427530
SOSR113,315,5840,613,6766,327,5021,583,5932,865,10886,1418,13168,1380,9931,1246,12557,1835,10384,1054,13273,2272,11625,981,14884,1799,12205,896,14900,987,7129,724,8843,263,2229,371,2868,10047,75248,7892,93193,345,5178,496,6018,390,4735,429,5547,1507,11201,1105,13814,2390,9944,952,13279,3021,10262,883,14165,3713,11668,836,16213,2510,12582,934,16020,1131,8159,964,10253,218,3928,841,4991,15220,77648,7429,100303,660,11011,1113,12787,713,9752,1014,11479,2372,22086,2521,26977,3771,19869,2194,25839,4854,20645,1935,27435,5986,23293,1819,31098,4309,24781,1826,30922,2117,15288,1690,19095,485,6161,1213,7856,25272,152900,15321,193489
SOSR114,336,6291,635,7265,356,5611,618,6586,924,12266,1286,14476,1418,11157,1214,13787,1889,11270,1130,14292,2288,12396,989,15678,1754,13137,1051,15942,1098,8137,847,10077,342,2717,458,3513,10414,82987,8215,101622,375,5948,598,6922,500,5674,500,6674,1711,12648,1201,15561,2563,11385,1074,15020,3199,11184,882,15260,3895,12434,995,17322,2740,13522,1002,17270,1268,9483,1141,11893,266,4541,829,5633,16507,86820,8221,111551,715,12238,1235,14190,855,11288,1120,13258,2638,24911,2483,30040,3978,22541,2283,28809,5093,22452,2010,29552,6182,24832,1983,32999,4498,26666,2052,33212,2364,17618,1986,21969,613,7255,1280,9144,26926,169811,16438,213174
SOSR115,441,8746,958,10144,477,7216,851,8544,1281,15577,1805,18668,1929,15254,1706,18881,2660,16325,1686,20666,3556,19236,1787,24580,3035,21238,1810,26088,1587,11933,1366,14889,393,3535,631,4552,15360,119055,12596,147017,554,8108,873,9539,599,6708,638,7943,2165,16082,1552,19796,3459,15397,1529,20385,4703,16018,1486,22209,6042,19323,1539,26907,4294,20789,1734,26813,1851,12735,1668,16251,321,5834,1142,7304,23988,120997,12164,157150,994,16855,1826,19681,1076,13926,1490,16491,3448,31660,3362,38468,5382,30648,3234,39268,7369,32338,3175,42877,9596,38559,3324,51481,7327,42031,3541,52903,3434,24670,3032,31139,713,9368,1773,11859,39347,240050,24762,304163
SOSR121,132,2519,279,2929,106,1940,156,2201,288,3856,391,4535,537,4188,404,5125,813,4955,430,6199,1083,5764,468,7321,836,5830,517,7184,366,2816,300,3482,100,630,137,879,4273,32505,3078,39852,138,2414,257,2804,153,1679,163,1993,519,3921,370,4811,969,4218,366,5549,1425,4817,352,6590,1747,5505,422,7684,1154,5334,426,6915,389,2652,336,3368,68,917,214,1199,6563,31445,2903,40916,269,4932,535,5735,255,3614,319,4192,811,7777,761,9347,1508,8404,767,10674,2240,9776,779,12789,2834,11275,891,14998,1994,11164,937,14096,758,5468,630,6858,177,1545,358,2080,10842,63953,5983,80771
SOSR122,72,1090,182,1346,71,950,117,1138,196,1851,249,2300,278,1971,245,2489,447,2439,305,3188,624,3253,363,4241,443,3114,320,3877,212,1472,207,1895,39,339,54,427,2387,16469,2040,20901,89,1003,158,1247,94,859,91,1053,291,1856,238,2372,410,1945,239,2585,701,2348,280,3328,993,2936,292,4223,590,2741,316,3645,197,1322,199,1710,18,467,86,575,3378,15479,1885,20745,161,2091,344,2599,171,1812,205,2187,488,3703,487,4676,685,3907,478,5073,1147,4786,587,6515,1616,6189,657,8463,1034,5855,639,7524,406,2794,403,3607,61,804,140,1000,5766,31948,3934,41640
SOSR131,852,16235,2091,19179,754,11729,1585,14066,1754,20522,3366,25644,3042,23995,3558,30595,5433,31958,3891,41279,7138,37280,4312,48733,4622,33369,3531,41527,1878,14684,1912,18477,388,3099,518,4005,25856,192878,24772,243500,1013,14510,1728,17250,913,9877,1089,11874,2756,19753,2328,24836,5215,23460,2867,31539,8791,29753,3351,41886,10825,32204,3558,46587,5931,26929,2892,35755,1926,11904,1662,15494,272,3315,625,4215,37638,171710,20104,229449,1861,30744,3817,36426,1661,21604,2678,25946,4514,40275,5697,50478,8257,47462,6431,62140,14224,61707,7238,83164,17969,69480,7864,95316,10549,60302,6426,77284,3807,26591,3575,33967,661,6416,1144,8221,63500,364578,44867,472950
