SOSR_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1816190,1868721,3684918,68715,69057,137781,250112,253806,503910,5849,5352,11196,4442,4666,9111,1185,1168,2349,1295,1276,2568,451,488,934,433,391,821,1461,1468,2930,36,11,44,265257,268620,533875,22043,23321,45363,5272,4194,9465,361286,365195,726476,118138,113424,231558,2295616,2347339,4642951
SOSR102,411927,432562,844484,13510,14266,27784,48474,52283,100752,1205,1172,2373,2095,2286,4378,232,241,473,274,276,548,181,179,358,164,199,364,993,1036,2032,9,13,22,53626,57682,111303,2262,2368,4625,1520,1224,2745,70925,75540,146464,25504,27085,52588,508356,535182,1043535
SOSR111,73564,79191,152757,2896,3147,6045,8603,9505,18100,1028,1147,2173,408,442,852,52,56,108,73,74,152,38,36,78,62,54,114,70,75,150,0,0,4,10336,11392,21735,325,374,699,282,278,560,13840,15192,29032,5020,5108,10135,92421,99498,191921
SOSR112,193032,208544,401576,11919,13226,25143,21476,23696,45172,1218,1206,2424,1086,1156,2244,168,144,310,182,188,373,100,99,200,125,119,236,317,335,658,7,5,7,24681,26940,51617,1095,1076,2166,756,695,1456,38450,41940,80388,19439,16957,36392,250918,267440,518354
SOSR113,87755,93169,180926,6515,7055,13565,7199,7737,14929,466,495,961,643,710,1349,135,113,252,80,89,171,40,51,93,80,93,171,210,216,426,5,0,8,8850,9508,18357,467,466,929,342,316,658,16171,17340,33512,8917,8474,17394,112851,118987,231836
SOSR114,97381,104390,201777,7003,7801,14806,7994,8768,16762,599,693,1295,862,969,1837,83,101,186,76,91,166,38,37,79,59,67,124,436,451,883,3,0,4,10147,11187,21335,565,537,1095,334,310,638,18041,19836,37876,9299,9389,18686,124719,133617,258334
SOSR115,140117,147140,287259,8365,9350,17715,11919,12839,24758,942,969,1916,981,1037,2013,107,114,225,147,129,272,90,97,187,95,93,187,442,465,905,0,4,4,14721,15742,30462,614,584,1190,474,390,864,24169,26066,50232,14390,13831,28219,178679,187034,365710
SOSR121,39310,39789,79100,1695,1781,3472,3448,3638,7085,165,163,329,189,225,418,25,23,45,43,56,101,13,12,21,18,13,27,83,85,162,0,3,4,3973,4217,8192,128,126,250,98,91,187,5892,6217,12109,3431,3284,6719,48637,49288,97921
SOSR122,19972,19568,39536,643,679,1324,1614,1636,3248,78,85,159,111,140,251,8,7,12,28,27,53,10,15,20,11,10,18,75,82,157,0,0,0,1934,1989,3925,66,56,122,55,53,103,2700,2780,5476,2317,2177,4490,24992,24515,49505
SOSR131,237378,224292,461664,6587,6526,13110,17447,17566,35013,954,876,1830,1437,1373,2814,154,122,275,210,154,361,84,79,157,117,78,202,685,649,1332,11,5,14,21087,20909,41993,767,736,1502,538,459,991,28979,28630,57604,27242,22766,50011,293594,275683,569283
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
SOSR201,1790936,1861199,3652138,52088,53673,105759,6724,7123,13849,242773,248406,491172,4332,4632,8960,1777,1886,3661,1739,1854,3595,1215,1261,2481,669,744,1415,962,1025,1981,8,3,10,260204,266927,527132,18325,19549,37880,4585,3759,8343,335204,343911,679110,102972,99099,202071,2229112,2304205,4533320
SOSR203,145212,156537,301753,5240,5552,10794,499,587,1090,20780,22892,43675,351,382,732,170,173,343,133,153,285,139,162,302,79,81,163,57,64,123,0,0,0,22215,24494,46705,727,846,1567,505,426,930,28689,31314,60002,9771,10132,19895,183668,197986,381653
SOSR211,43253,45003,88257,1265,1432,2701,572,569,1141,5542,5880,11425,269,243,507,73,57,123,43,44,84,33,36,74,49,35,86,30,25,47,0,0,0,6607,6887,13498,305,307,611,126,100,229,8308,8728,17031,3551,3585,7132,55109,57318,112423
SOSR212,101823,108754,210578,5256,5805,11060,568,656,1227,9676,10535,20217,260,290,553,152,158,304,79,79,160,47,74,118,61,67,126,34,33,71,0,0,0,10878,11897,22771,505,560,1063,289,277,558,16926,18542,35465,7528,7833,15356,126275,135126,261403
SOSR213,96168,102916,199086,6078,6891,12972,397,406,806,8170,8860,17032,284,303,582,96,119,217,76,83,158,57,56,108,56,48,102,39,39,79,0,0,5,9171,9911,19086,362,376,735,275,228,500,15890,17407,33297,7589,7579,15171,119655,127900,247555
SOSR214,55533,59655,115195,3453,3912,7361,232,241,477,4582,4947,9528,109,127,235,47,61,103,94,48,140,36,34,75,37,39,74,13,17,34,0,0,0,5152,5518,10670,201,184,387,151,113,264,8956,9729,18687,4785,5051,9832,69267,74436,143708
SOSR215,88001,92080,180079,4252,4712,8965,368,451,823,7309,7655,14963,213,209,417,84,81,164,62,60,119,38,45,90,35,45,79,34,31,68,0,0,0,8150,8574,16726,283,248,531,208,198,401,12888,13736,26625,7681,7839,15523,108570,113656,222224
SOSR221,24710,24865,49573,885,948,1833,118,114,228,2156,2203,4358,61,71,135,18,21,38,19,8,29,20,13,32,17,25,42,13,15,30,0,0,0,2418,2467,4887,65,61,129,49,63,115,3424,3542,6964,2277,2213,4488,30413,30615,61026
SOSR222,13276,13155,26430,422,407,826,64,80,147,1063,1141,2201,60,66,124,23,13,42,13,15,27,18,15,31,6,13,19,4,9,12,0,0,0,1260,1341,2603,59,36,90,29,27,60,1770,1815,3582,1465,1296,2757,16510,16265,32770
SOSR231,180010,170168,350178,4250,4299,8550,743,765,1514,12037,12181,24219,490,446,938,200,172,371,161,113,271,68,73,142,99,100,201,86,51,140,0,0,0,13884,13906,27787,552,506,1063,335,258,592,19020,18968,37989,20966,16162,37134,219996,205299,425293
SOSR279,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
SOSR299,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
SOSR301,862743,898630,1761367,25804,28257,54065,7832,7930,15758,5276,5456,10736,135245,143835,279074,1158,1197,2357,1042,1047,2091,573,629,1204,916,884,1799,895,894,1788,12,17,26,152946,161893,314830,9111,9551,18661,3709,3193,6901,191569,202886,394462,54841,50393,105238,1109157,1151910,2261060
SOSR302,322438,345041,667483,11831,12923,24759,6731,7658,14387,4237,4798,9038,47906,53225,101135,530,625,1150,471,540,1009,407,519,923,279,314,591,408,417,822,9,7,15,60965,68098,129065,3660,3847,7506,1731,1632,3360,78189,86496,164687,25221,25634,50858,425851,457181,883027
SOSR303,156430,165014,321439,5537,6078,11611,1514,1589,3099,1299,1411,2712,24452,27476,51931,299,314,616,323,360,683,148,147,300,422,408,836,196,202,392,0,0,0,28661,31906,60570,1232,1225,2451,803,670,1474,36233,39876,76111,18032,14935,32970,210692,219829,430518
SOSR311,92923,98291,191216,2941,3244,6185,802,872,1671,615,658,1275,13933,15522,29454,116,117,233,129,148,275,80,81,159,110,103,215,56,64,118,5,0,6,15839,17558,33404,540,564,1096,456,417,872,19776,21777,41559,9838,8469,18312,122548,128539,251086
SOSR312,36704,38633,75333,1914,2184,4101,289,304,591,264,283,544,4709,5126,9832,45,40,90,57,49,108,63,59,121,42,45,87,17,19,37,0,0,4,5488,5927,11420,188,214,401,174,140,316,7760,8474,16236,3096,2878,5976,47563,49985,97549
SOSR313,58028,60883,118910,5702,6226,11922,678,697,1375,336,355,687,6554,7328,13876,83,95,174,103,105,207,61,68,127,107,117,234,39,43,82,0,0,0,7958,8804,16764,437,371,810,300,266,564,14393,15666,30064,6182,5078,11262,78608,81626,160233
SOSR314,60974,63136,124113,4464,4968,9429,594,648,1244,348,349,695,6457,7002,13457,81,98,174,115,133,245,45,58,106,71,79,151,31,30,57,0,0,0,7735,8397,16133,468,362,836,285,240,522,12955,13969,26922,7690,6539,14230,81619,83646,165269
SOSR315,93876,95899,189776,5956,6539,12496,988,1065,2052,583,618,1198,10255,11230,21484,126,149,268,181,209,389,106,96,204,144,168,312,54,49,101,8,0,10,12440,13582,26021,445,426,865,415,337,743,19253,20876,40130,13019,9842,22862,126146,126616,252764
SOSR321,37238,37123,74358,1763,1830,3596,302,333,638,197,178,378,3688,3949,7641,42,41,78,46,43,85,31,24,57,48,50,99,16,16,31,0,0,0,4368,4642,9006,148,129,278,133,116,249,6408,6714,13127,5036,3923,8962,48679,47760,96442
SOSR322,16773,16250,33024,773,836,1608,151,148,301,67,73,140,1579,1762,3336,25,32,62,27,31,56,13,10,24,22,30,49,10,9,19,0,0,0,1893,2088,3978,47,58,110,71,45,109,2778,3026,5809,2143,1888,4030,21694,21169,42862
SOSR331,180169,169440,349605,5062,5178,10244,1458,1400,2857,694,643,1337,15941,16555,32490,135,141,276,201,210,409,94,88,187,249,236,489,60,63,124,3,0,4,18842,19332,38170,781,629,1413,568,485,1049,25252,25625,50875,25718,18462,44173,231135,213523,444654
SOSR379,39,5,47,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,109,24,130,149,28,183
SOSR399,1455,1091,2545,722,578,1295,431,462,889,277,302,586,2200,2296,4494,80,73,160,117,139,261,44,47,95,39,59,96,24,25,51,0,0,0,3220,3403,6627,166,178,343,60,50,111,4166,4209,8378,2204,1478,3681,7825,6776,14601
SOSR401,499551,522848,1022394,11366,11953,23315,2837,2507,5344,3281,2934,6212,1377,1446,2819,53662,56371,110032,602,612,1217,258,280,540,571,628,1198,283,270,555,3,0,3,62880,65050,127925,3731,3903,7634,1374,1153,2529,79345,82060,161409,24495,23505,48002,603396,628410,1231800
SOSR412,38027,40101,78129,2224,2447,4675,152,127,284,309,282,594,142,151,287,3234,3499,6734,43,36,76,25,27,53,56,54,109,13,21,25,0,0,0,3964,4195,8166,152,163,316,129,128,259,6474,6941,13411,2486,2600,5083,46988,49643,96630
SOSR413,35162,37344,72510,2352,2756,5113,145,144,286,171,156,323,110,128,238,2024,2273,4297,80,77,159,27,27,53,78,71,146,11,19,32,0,0,0,2647,2889,5539,165,162,327,106,75,186,5275,5889,11157,3721,2617,6334,44157,45849,90000
SOSR414,12299,13346,25647,675,700,1382,44,41,86,90,77,173,50,53,97,1005,1141,2149,11,18,26,9,9,17,12,14,24,0,3,4,0,0,0,1225,1351,2572,48,58,113,48,38,85,2001,2141,4147,773,794,1567,15069,16287,31362
SOSR415,45598,47315,92913,2271,2478,4753,157,148,306,286,281,564,162,177,341,3711,4015,7722,80,89,175,15,36,49,100,113,207,4,5,9,7,0,7,4516,4861,9378,202,155,359,117,103,214,7102,7597,14705,3877,3655,7530,56583,58566,115150
SOSR421,12770,13096,25864,581,640,1219,34,37,72,59,64,120,45,45,84,779,865,1643,18,27,46,8,6,14,25,22,47,0,0,0,0,0,0,965,1069,2035,40,25,68,31,28,58,1621,1762,3381,1241,1226,2472,15628,16085,31714
SOSR422,7755,7376,15127,357,355,712,37,27,58,53,61,111,26,32,56,553,549,1109,8,9,23,9,8,15,24,22,45,0,0,0,0,0,0,707,709,1422,15,19,32,11,4,15,1088,1092,2177,855,769,1619,9697,9225,18925
SOSR431,62765,57419,120189,1581,1526,3100,178,135,308,307,281,582,177,165,336,3565,3616,7181,98,106,203,31,21,54,89,98,191,16,9,24,0,0,0,4449,4426,8876,170,162,331,119,68,184,6316,6178,12488,6669,4797,11463,75747,68399,144142
SOSR479,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
SOSR499,369,226,596,148,74,225,36,41,72,42,38,81,66,63,129,499,564,1067,32,32,64,6,6,16,14,13,22,3,8,6,0,0,0,703,765,1467,41,43,86,55,32,84,947,917,1865,538,354,890,1854,1490,3345
SOSR501,805807,837814,1643619,22052,23764,45815,3289,3224,6515,3587,3571,7156,2561,2683,5239,863,840,1709,91173,97562,188737,414,464,875,659,652,1314,318,326,645,40,47,83,102898,109370,212269,8029,8383,16411,2488,2238,4726,135465,143754,279222,53384,43331,96718,994650,1024907,2019556
SOSR511,28577,30200,58779,1303,1410,2714,89,86,171,83,83,167,100,110,208,28,30,62,3285,3690,6974,26,30,57,43,39,82,8,13,22,0,0,0,3672,4075,7740,169,182,348,103,85,189,5243,5753,10994,2709,1854,4561,36522,37807,74330
SOSR512,44282,46368,90657,2546,2634,5179,187,160,348,171,171,349,213,198,411,76,74,149,5148,5597,10742,47,42,84,60,66,126,12,15,23,7,0,4,5917,6331,12242,372,306,679,199,154,355,9033,9417,18453,5364,4348,9712,58679,60140,118819
SOSR513,23091,22601,45695,2577,2784,5367,168,153,321,192,192,391,297,277,572,81,66,140,2470,2673,5144,25,29,52,77,91,162,18,8,29,3,0,3,3324,3491,6812,203,212,410,131,119,253,6239,6605,12841,4697,3954,8652,34024,33169,67190
SOSR514,10531,10960,21489,967,1020,1987,34,43,75,44,43,88,42,31,69,10,16,24,791,903,1695,9,5,8,8,9,21,0,0,0,3,5,5,945,1043,1991,142,101,244,38,39,78,2089,2204,4299,1266,1107,2373,13893,14267,28157
SOSR515,33183,33235,66418,2506,2733,5239,139,135,280,165,159,319,218,216,430,43,43,79,3519,3795,7316,30,32,61,76,91,167,10,7,17,7,4,10,4194,4484,8681,252,209,462,117,100,218,7076,7524,14599,5535,4845,10380,45791,45604,91393
SOSR521,13928,13871,27799,802,841,1653,53,42,99,48,55,99,74,65,139,29,28,54,1427,1465,2889,16,22,32,31,19,51,3,3,8,0,0,0,1679,1698,3380,84,103,188,42,41,78,2611,2681,5297,2314,2091,4399,18848,18637,37492
SOSR522,8308,8096,16404,462,457,916,26,31,55,15,26,37,34,39,70,15,22,33,681,730,1415,3,7,3,18,13,31,0,0,0,0,0,0,791,857,1644,40,28,66,19,21,40,1308,1358,2663,1223,1047,2269,10836,10497,21338
SOSR531,64829,58259,123084,1888,1844,3733,220,164,386,258,201,457,280,230,509,117,91,207,6164,5616,11775,46,37,81,92,73,168,5,8,17,0,0,4,7183,6418,13599,362,281,643,163,127,291,9603,8670,18275,14268,6759,21027,88701,73687,162387
SOSR579,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
SOSR599,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
