SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR299,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
SOSR301,1006,1811,6080,12253,3476,21766,3125,14168,957,64642,5299,19228,16105,22241,14947,16534,7230,13199,2162,116953,26476,80615,37877,31675,33812,17635,16085,21181,5253,270605,41840,82060,31087,25104,35412,12995,14674,16740,4964,264870,40495,62154,25022,23034,35266,12526,14118,16491,3784,232893,22279,35986,16662,15273,25696,9508,11773,13558,2290,153042,4964,9246,3616,3062,6137,2708,2969,3503,636,36840,702,1025,280,201,559,347,207,385,222,3927,62,48,11,5,30,23,15,16,77,271,143123,292163,136748,132849,155340,94046,70202,99240,20342,1144039
SOSR302,379,563,2773,5466,1095,9280,939,5880,472,26852,1822,4875,6437,8199,3952,6364,1736,4516,798,38690,9355,22083,15342,12408,9490,7060,4086,7353,1863,89038,14917,24018,14064,10317,11424,6093,3994,6428,1849,93107,15397,20736,12067,10773,13295,7182,4551,6942,1696,92640,9781,12958,8209,7634,10659,6059,4087,6188,1057,66628,3049,4075,1963,1548,3092,2153,1353,1841,404,19478,504,446,141,102,333,331,150,218,132,2358,28,29,7,0,22,15,3,11,53,169,55225,89785,61005,56459,53362,44534,20898,39365,8329,428960
SOSR303,215,253,1622,2718,648,4856,409,2918,256,13897,886,2685,3734,5138,2036,2766,1045,2336,379,21003,3652,11402,7844,7761,4724,3047,2413,3883,795,45530,5490,10811,6129,6105,5378,2389,2592,3484,677,43052,5810,9620,5418,5823,6065,2712,2927,3623,641,42635,3915,6472,3773,3976,4989,2217,2694,3290,459,31785,1012,1841,918,828,1198,725,729,947,144,8349,143,184,83,68,135,83,57,134,49,933,22,13,9,0,10,3,0,5,12,66,21141,43270,29527,32423,25197,18796,12872,20616,3419,207252
SOSR311,114,89,1042,1309,337,2809,265,1715,145,7829,378,1190,2089,1899,989,1351,678,1498,174,10244,1613,4711,4572,3154,2453,1638,1739,2557,416,22865,2403,4806,3818,2979,2680,1446,1881,2181,430,22622,2615,4163,3239,3069,3086,1424,2172,2354,402,22533,1862,2930,2472,2443,2505,1316,2022,2163,286,18000,503,763,504,480,596,376,471,562,98,4341,90,69,33,29,47,24,38,70,41,438,6,4,0,0,3,3,3,0,12,37,9590,18732,17768,15365,12702,10390,9265,13096,2004,108908
SOSR312,40,36,353,413,93,891,99,624,47,2602,141,279,699,571,264,483,229,573,65,3305,553,1292,1606,983,773,560,638,891,180,7474,766,1427,1420,1021,936,535,637,886,162,7796,941,1382,1344,1175,1113,555,785,957,152,8416,697,1134,954,991,992,538,818,862,117,7111,220,293,205,164,236,130,192,236,39,1715,31,24,11,16,30,12,8,20,23,176,0,0,0,0,0,0,0,0,10,17,3395,5875,6593,5347,4434,3702,3416,5055,799,38610
SOSR313,67,58,775,860,244,1803,197,1277,101,5387,272,801,1389,1081,656,846,501,1058,114,6714,1268,2974,3181,2114,1694,1181,1645,1924,302,16272,1833,2971,2602,1846,1888,956,1671,1467,316,15544,1906,2469,2120,1764,1879,1026,1666,1395,229,14452,1395,1806,1511,1277,1572,791,1431,1276,149,11200,423,484,366,230,377,232,364,336,40,2865,90,48,49,11,54,24,33,36,19,370,15,0,0,4,4,0,0,0,11,37,7266,11608,11990,9183,8363,6861,7503,8771,1296,72841
SOSR314,97,74,787,832,213,1583,219,1277,99,5189,285,603,1444,934,572,697,488,1143,131,6300,1364,2521,3022,1650,1665,896,1419,2813,353,15696,1997,2706,2588,1799,1983,854,1646,1724,360,15661,2016,2501,2340,1936,2108,1023,1694,1783,346,15748,1425,1689,1656,1330,1573,854,1512,1652,233,11927,414,498,360,299,377,224,420,422,73,3084,119,56,31,20,39,38,28,49,27,407,12,0,0,5,0,5,0,0,12,36,7740,10647,12240,8802,8527,6170,7433,10872,1623,74049
SOSR315,103,79,1081,1070,256,2064,233,1602,154,6633,275,737,1937,1478,724,945,636,1471,178,8374,1655,3264,4341,2768,2285,1263,1816,3006,392,20789,2415,3564,3807,2597,2523,1250,2188,2513,438,21294,2749,3324,3165,2887,2796,1448,2664,2679,473,22192,2207,2620,2487,2354,2428,1295,2446,2604,347,18795,754,772,597,448,658,406,652,632,142,5068,131,78,44,26,58,64,54,67,68,587,18,0,0,3,3,3,8,3,25,69,10309,14447,17464,13624,11727,8733,10697,14574,2223,103797
SOSR321,35,36,396,413,95,718,86,604,66,2454,102,281,596,460,245,323,201,450,61,2716,506,1068,1343,842,702,396,579,834,171,6435,985,1308,1322,956,913,420,733,831,179,7644,1166,1381,1230,1167,1147,573,957,1090,194,8908,992,1140,1090,946,993,558,979,1099,157,7958,340,363,237,168,283,171,268,275,59,2166,56,41,23,16,35,19,17,37,17,260,5,4,0,0,0,0,0,0,5,17,4182,5622,6241,4972,4408,3177,3829,5229,896,38556
