SOSR_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR614,61,4,3,5,65,19,0,79,0,0,0,0,0,0,0,0,0,0,0,0,269,58,9,3,339,3,6,11,347,34,0,384,47,7,0,0,57,0,0,0,58,8,0,66,77,14,0,0,99,0,0,0,99,3,0,104,9,4,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,140,24,3,0,169,0,0,0,171,10,0,181,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,143,24,3,8,170,3,0,3,170,10,0,186,28,3,3,0,31,0,0,0,38,10,0,47,0,0,0,0,0,0,0,0,0,0,0,0,164,29,3,8,205,0,0,4,212,23,0,233,62,17,4,0,80,0,0,0,82,10,0,95,62,18,3,0,87,0,0,0,90,8,0,99
SOSR615,206,7,0,9,215,67,0,283,0,0,0,0,0,0,0,0,0,0,0,3,1039,176,22,18,1258,33,10,42,1300,117,0,1420,219,20,6,0,249,0,0,0,253,14,0,260,367,46,13,0,427,11,4,12,439,19,0,455,13,3,11,0,26,0,0,0,26,4,0,35,0,0,0,4,5,0,0,0,7,0,0,8,601,72,24,9,708,9,4,18,727,38,0,763,0,6,0,0,5,6,0,4,10,0,0,10,3,0,0,0,7,0,0,4,8,3,0,13,6,4,0,0,8,4,3,5,18,3,0,18,610,76,26,13,721,13,6,21,744,39,0,785,98,19,4,5,119,3,0,3,125,46,0,169,0,0,0,0,0,0,0,0,0,0,6,6,707,91,26,9,842,19,7,26,869,84,6,960,234,29,8,11,287,0,4,8,290,23,0,311,388,53,5,6,455,0,0,0,461,25,0,484
SOSR621,61,4,0,3,64,23,0,85,0,0,0,0,0,0,0,0,0,0,0,0,371,76,17,10,477,8,0,9,479,52,0,529,92,9,0,0,105,8,0,8,105,4,0,113,114,35,4,0,159,0,0,0,165,8,0,173,7,0,0,0,4,0,0,0,4,0,0,8,0,0,0,6,6,0,0,0,6,0,0,6,208,54,4,7,279,7,0,7,279,15,0,297,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,7,0,0,7,214,54,4,7,276,7,0,7,286,15,0,301,18,6,0,0,30,0,0,0,31,21,0,50,3,0,0,0,3,0,0,0,3,0,0,4,241,57,6,8,314,7,0,7,320,38,0,356,91,16,3,0,108,0,0,3,114,9,0,125,127,29,6,0,161,0,0,0,163,18,0,180
SOSR622,24,0,0,0,24,18,0,40,0,0,0,0,0,0,0,0,0,0,0,0,136,28,9,0,178,0,0,0,177,26,0,207,42,12,0,0,53,0,0,0,53,0,0,54,41,11,0,0,47,0,0,0,47,7,0,55,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,83,21,3,0,107,0,0,0,107,5,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,27,6,0,107,0,0,0,107,5,0,117,15,0,0,0,23,0,0,0,23,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,101,26,4,0,136,0,0,0,136,17,0,151,39,12,3,0,52,0,0,0,52,0,0,51,32,12,0,0,47,0,0,0,47,4,0,51
SOSR631,396,13,9,18,407,98,3,513,6,0,0,0,6,0,0,0,6,0,17,19,2160,395,74,66,2701,30,11,49,2750,247,21,3014,537,68,20,6,637,5,3,5,644,32,0,676,642,139,26,9,814,9,3,11,820,54,0,878,25,11,6,0,43,0,0,0,43,3,0,46,7,0,0,15,28,0,0,0,28,0,0,24,1214,219,48,35,1519,13,8,15,1535,95,0,1626,15,3,0,0,12,0,0,0,18,0,0,18,11,0,0,0,16,0,0,0,16,3,0,18,28,3,0,0,25,0,0,0,33,3,0,35,1235,224,48,35,1543,15,8,19,1567,99,0,1661,179,50,20,8,261,4,4,4,267,98,3,362,0,0,0,0,4,0,0,0,4,0,5,12,1418,280,65,47,1806,18,8,27,1831,194,9,2037,604,103,11,9,725,8,4,12,737,45,0,782,761,155,34,9,952,7,3,13,968,63,0,1032
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,325,8,0,12,332,79,0,418,8,0,0,0,9,3,0,3,11,0,6,14,2295,304,75,31,2709,52,0,55,2765,176,6,2948,866,80,15,13,974,16,3,16,988,36,0,1024,371,49,15,0,441,4,0,3,441,15,0,459,29,3,0,0,34,0,0,0,34,0,0,37,7,0,0,4,17,0,0,0,17,0,0,13,1272,136,36,14,1457,18,8,23,1481,49,0,1533,10,4,4,0,18,6,0,6,27,0,0,27,9,5,0,0,14,4,10,7,24,0,0,25,25,7,4,0,32,9,10,19,45,0,0,51,1296,140,37,14,1490,29,11,43,1530,51,0,1585,133,32,0,9,174,11,0,10,182,63,0,245,0,0,0,0,0,5,0,5,8,0,5,9,1429,177,42,22,1666,38,10,54,1715,113,0,1838,1020,89,27,8,1151,24,6,23,1174,55,0,1234,409,74,19,4,504,0,0,4,505,26,3,541
SOSR712,85,3,0,6,87,34,0,122,0,0,0,0,0,0,0,0,0,0,0,0,476,70,12,8,564,11,4,15,579,51,3,632,154,17,3,0,172,0,0,0,174,5,0,179,64,12,0,0,76,0,0,0,80,8,0,85,8,0,0,0,6,0,0,0,6,0,0,9,0,0,0,6,3,0,0,0,3,0,0,0,222,26,4,0,259,0,0,3,265,12,0,272,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,3,5,4,0,6,223,26,4,0,258,3,0,5,267,14,0,282,35,0,0,0,36,0,0,0,36,32,0,62,0,0,0,0,0,0,0,0,0,0,0,0,261,29,4,3,300,3,0,5,300,40,0,340,203,10,0,0,220,3,0,7,228,5,0,235,62,10,0,0,74,0,0,0,74,7,0,77
SOSR714,16,4,0,4,20,14,0,34,0,0,0,0,0,0,0,0,0,0,11,11,90,10,6,6,112,6,0,12,121,19,10,152,20,3,0,0,22,0,0,0,22,4,0,25,0,3,0,0,10,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,25,4,4,0,34,0,0,0,40,5,0,42,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,25,4,4,0,34,3,0,3,42,5,0,44,7,0,0,3,12,0,0,0,12,11,0,19,0,0,0,0,0,0,0,0,0,0,4,4,31,4,4,3,48,3,0,3,52,10,4,67,32,0,3,0,37,0,0,0,37,6,0,35,7,0,0,0,7,0,0,0,7,0,0,7
SOSR715,62,11,3,19,85,226,7,310,0,0,0,0,0,0,0,0,0,3,11,9,188,52,7,9,264,43,9,46,310,273,16,599,60,4,0,0,67,0,0,0,67,11,0,72,16,3,0,0,19,0,0,3,21,12,0,33,0,4,0,0,9,0,0,0,9,0,0,7,0,0,0,4,4,0,0,0,4,0,0,6,79,8,3,8,94,0,0,3,96,19,0,120,0,5,0,0,4,12,0,12,16,0,0,17,3,0,0,0,3,0,3,3,5,0,0,9,3,5,0,0,10,12,3,11,19,3,0,23,85,12,5,8,107,14,0,13,123,28,0,144,19,16,3,0,38,8,0,4,46,120,0,169,0,0,0,0,0,0,0,0,0,0,0,4,105,29,3,7,147,15,3,22,167,145,0,315,70,0,0,0,74,4,0,4,80,10,0,89,15,3,0,0,25,0,4,4,26,12,0,38
SOSR721,45,13,3,11,57,156,0,210,0,0,0,0,0,0,0,0,0,0,3,3,109,50,7,8,174,15,5,18,198,193,6,392,26,6,0,0,32,0,0,0,34,6,0,40,14,18,0,0,35,0,0,0,38,10,0,39,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,42,27,0,0,68,0,4,0,68,15,0,85,0,0,0,0,0,5,0,5,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,5,6,0,0,10,42,23,0,0,70,3,3,4,79,18,0,93,23,3,0,0,23,5,0,3,31,95,0,128,0,0,0,0,0,0,0,0,0,0,0,0,61,32,0,3,99,7,4,14,112,106,0,215,32,0,0,0,32,0,0,0,32,6,0,33,14,9,0,0,24,0,0,0,22,3,0,29
SOSR722,49,13,4,20,65,120,0,189,0,0,0,0,0,0,0,0,0,0,12,9,94,48,5,10,156,36,9,46,199,167,13,378,20,4,0,0,28,0,0,0,28,6,0,38,7,15,0,5,31,6,0,6,35,5,0,40,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,28,22,4,9,61,6,0,6,68,12,0,78,0,0,0,0,0,11,0,11,10,0,0,12,0,0,0,0,0,0,4,4,0,3,0,3,0,0,0,0,0,11,4,9,9,3,0,14,25,24,4,9,61,15,4,17,75,21,0,94,19,4,0,5,38,3,3,4,41,73,0,118,0,0,0,0,0,0,0,0,0,0,0,0,53,28,3,10,95,20,8,27,119,92,0,218,9,3,0,0,20,0,0,0,20,7,0,25,10,8,0,0,13,0,0,0,19,6,0,21
SOSR731,86,12,3,12,106,122,0,230,0,0,0,4,4,0,0,0,4,0,20,26,606,77,26,18,726,33,10,41,764,159,25,946,214,14,12,0,240,0,0,0,244,8,0,251,92,20,9,0,120,3,0,3,120,9,0,131,8,0,4,0,12,0,0,0,12,3,0,13,0,0,0,3,4,4,0,4,3,4,0,10,315,39,19,0,371,5,3,10,380,21,0,403,0,0,0,0,4,9,0,9,10,4,0,12,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,9,0,9,9,4,0,16,318,39,19,0,375,15,3,18,396,24,0,416,35,6,4,4,42,7,0,6,51,97,0,148,0,0,0,4,3,0,0,0,3,0,13,11,353,49,23,6,427,19,3,22,450,120,13,577,244,12,13,0,266,0,0,0,267,8,0,281,76,27,4,0,104,0,0,0,104,9,0,120
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,1155,30,10,41,1198,178,0,1375,16,3,0,14,34,0,0,0,34,3,14,44,10480,1303,242,94,12125,134,41,174,12302,516,26,12847,3668,348,50,11,4078,40,11,45,4127,161,0,4287,1832,257,35,9,2134,26,3,26,2159,71,6,2240,122,25,29,7,178,0,0,0,181,7,0,187,12,0,0,25,36,0,0,0,36,4,3,42,5634,634,113,46,6428,66,15,77,6507,243,12,6755,40,9,0,0,43,8,0,7,52,6,0,59,41,10,0,0,50,0,4,5,60,7,0,68,80,17,0,0,94,14,0,13,112,12,0,121,5717,648,115,46,6519,79,18,91,6618,251,12,6879,540,95,9,13,661,16,7,19,676,131,0,806,13,0,0,0,19,0,0,0,19,0,10,23,6266,746,122,62,7202,90,21,116,7310,382,15,7708,4654,461,92,9,5227,41,17,55,5282,274,0,5559,2202,274,54,13,2534,27,3,29,2567,103,0,2674
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,4,0,31,0,0,0,31,0,0,31,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,3,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,9,0,0,0,14,0,0,14
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,12,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,3,39,0,0,0,39,0,0,39,13,0,0,0,14,0,0,0,14,0,0,14,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,23,0,0,0,23,0,0,23,8,0,0,0,8,0,0,0,8,0,0,8,5,0,0,0,5,0,0,0,5,0,0,5
SOSR921,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,28,0,0,0,28,3,0,32,5,6,0,0,12,0,0,0,12,0,0,12,7,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,20,0,0,0,20,0,0,20,9,0,0,0,9,0,0,0,9,0,0,9,4,4,4,0,7,0,0,0,7,0,0,10
SOSR922,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,20,0,0,0,20,4,0,26,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,5,0,3,3,9,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,7,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,5
