SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR522,45,44,45,35,17,0,231,0,31,23,39,47,32,12,0,188,52,262,251,188,177,166,64,9,1168,20,138,164,176,231,175,70,12,991,240,538,516,530,556,382,133,29,2926,77,77,50,38,43,27,5,0,322,18,27,45,46,65,46,14,3,269,337,649,614,619,655,460,150,28,3518,3,9,17,11,18,29,10,0,94,313,308,323,352,437,404,254,97,2491,735,1434,1437,1425,1613,1308,578,146,8681
SOSR531,540,564,633,436,158,21,2729,14,246,389,530,525,344,57,11,2121,565,2464,3082,3205,2603,1843,549,79,14392,324,1100,1717,2438,2773,1912,642,109,11018,2426,4476,5213,5668,5487,3198,941,118,27519,795,345,361,321,280,158,37,4,2305,139,170,340,545,608,469,172,32,2465,3360,4989,5903,6536,6371,3827,1151,148,32289,46,80,125,157,200,197,91,16,918,2257,3026,3131,3427,3252,2404,1240,246,18989,6605,12260,14884,16860,16365,10962,3884,637,82455
SOSR579,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
SOSR599,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
SOSR603,3500,2111,1621,1183,427,109,16236,79,929,1074,1028,969,700,215,34,5037,2108,9274,6430,4591,3637,3041,1224,369,30673,519,2177,2216,2542,2378,2017,1035,333,13216,2185,5364,4606,4268,3867,2547,1283,392,24510,550,554,372,266,268,158,59,20,2250,180,290,304,369,495,515,241,117,2513,2915,6202,5275,4907,4625,3224,1581,532,29274,71,204,157,130,148,162,128,44,1039,1215,1891,1343,1183,1239,1503,1462,791,10625,7117,27752,19996,16491,14618,11829,6080,2207,106100
SOSR611,796,504,422,314,139,13,3796,14,222,311,260,250,205,66,12,1340,580,2785,2064,1669,1287,933,361,98,9772,191,733,893,1101,957,755,405,117,5146,1143,2569,2163,2158,1873,1158,598,194,11852,300,325,196,130,135,70,27,12,1180,91,139,137,182,194,235,115,44,1138,1529,3036,2493,2468,2202,1460,736,248,14175,33,76,51,63,56,67,61,20,425,660,778,525,521,572,640,672,343,4708,3063,9181,7136,6585,5743,4382,2438,857,39376
SOSR612,179,137,140,77,29,3,939,8,103,101,108,89,72,29,4,521,172,885,679,508,476,387,141,29,3279,71,341,454,585,547,417,215,60,2690,687,1710,1371,1384,1327,842,373,111,7802,204,222,125,121,84,53,17,4,835,60,68,88,100,160,138,58,11,689,953,2002,1586,1609,1569,1037,448,125,9329,16,42,27,32,29,43,32,6,225,320,387,307,348,416,509,489,257,3047,1543,4130,3335,3328,3263,2536,1387,491,20025
SOSR613,34,27,43,25,11,4,221,3,25,32,34,39,33,14,0,179,44,189,201,166,171,147,50,13,988,20,80,93,160,173,137,79,23,770,190,395,387,410,446,283,147,31,2289,37,51,28,21,23,14,6,0,184,18,19,26,33,44,52,21,7,222,245,463,434,467,512,354,169,46,2701,8,9,0,12,4,13,8,0,52,110,65,93,97,116,167,158,71,876,426,906,894,960,1066,877,496,152,5782
SOSR614,72,70,58,50,18,0,334,0,31,29,34,47,43,10,0,193,41,235,245,184,196,171,70,15,1156,24,107,156,174,230,170,64,19,941,252,683,574,501,570,303,141,25,3048,50,64,40,28,16,20,3,0,231,23,19,23,27,55,45,24,9,214,321,769,642,556,643,367,170,24,3495,6,6,8,8,13,16,10,3,82,144,146,154,154,193,232,158,67,1247,537,1359,1311,1187,1377,1044,502,132,7445
SOSR615,275,235,207,205,77,20,1449,18,121,138,151,155,159,62,11,817,218,1123,1026,748,760,695,292,61,4921,82,501,623,749,828,759,338,90,3978,978,2416,2024,1925,2002,1425,610,124,11496,240,248,158,129,130,80,19,13,1017,47,101,103,158,196,198,101,32,920,1266,2763,2278,2209,2325,1699,732,166,13443,22,44,39,28,39,49,52,11,288,432,468,484,550,630,888,842,386,4679,2049,5441,4867,4674,4948,4452,2394,745,29563
SOSR621,141,135,130,116,47,5,715,0,36,69,82,74,78,12,7,353,60,335,409,388,380,339,138,19,2062,17,135,212,292,340,292,123,38,1452,226,689,643,653,773,514,209,34,3754,51,53,55,50,50,27,8,6,302,20,29,38,58,72,108,30,11,364,300,770,741,762,898,645,248,48,4418,3,12,13,18,23,25,14,3,99,176,179,164,207,292,324,266,88,1704,555,1608,1748,1884,2142,1823,848,208,10809
SOSR622,44,48,72,45,22,3,264,0,10,18,27,44,29,7,0,135,12,106,140,138,173,188,50,8,824,18,52,94,131,151,162,57,4,667,98,284,258,288,379,242,92,15,1655,22,28,25,13,27,14,3,0,131,5,0,9,30,28,40,14,0,139,129,314,297,325,436,293,110,15,1919,3,5,4,5,10,14,8,7,58,74,59,58,104,132,181,119,72,813,237,574,653,778,1016,921,371,113,4671
SOSR631,644,632,723,535,193,12,3227,12,172,260,382,456,362,72,10,1719,288,1590,2202,2097,2137,1702,485,65,10565,132,658,1195,1703,2090,1469,455,70,7771,1350,3347,3655,3998,4082,2358,698,106,19594,306,289,259,214,249,136,35,3,1490,84,146,191,284,448,308,103,10,1568,1734,3780,4108,4493,4777,2797,842,125,22660,27,33,57,80,96,100,58,16,473,874,845,962,1167,1542,1507,786,210,7895,3081,7568,9425,10560,11817,8470,2880,507,54307
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,0,0,14
SOSR699,5,5,5,5,0,0,31,0,4,5,0,7,0,0,0,20,0,25,15,13,16,8,0,0,84,4,8,3,12,13,12,3,0,52,17,41,38,35,37,16,6,0,180,10,9,4,0,4,0,0,0,34,0,0,0,4,4,0,0,0,7,23,49,43,45,42,16,6,0,221,0,0,0,0,4,5,0,0,8,44,57,54,45,60,73,8,3,342,70,148,130,130,137,108,14,3,760
SOSR703,2062,1145,831,423,112,15,7467,55,662,719,627,468,217,46,3,2799,1071,6016,4389,2525,1623,973,305,52,16953,391,1889,2070,1952,1343,690,240,34,8610,1832,4232,3721,2899,2233,1120,366,62,16477,522,349,250,144,95,71,17,4,1455,126,204,253,300,220,184,80,14,1384,2483,4793,4224,3349,2551,1378,456,81,19307,48,159,133,104,67,68,29,12,615,1484,2457,1967,1636,1225,830,427,165,10189,5610,18774,15566,11336,8111,4574,1614,359,65938
SOSR712,427,231,204,92,25,0,1434,5,137,162,126,105,45,11,0,589,133,1235,845,533,370,196,49,6,3367,49,354,389,358,313,134,44,13,1656,302,826,705,614,498,227,64,15,3251,69,64,41,24,29,5,5,0,227,26,49,61,55,59,37,12,0,290,392,933,811,694,579,263,77,18,3772,9,29,27,23,13,10,7,5,117,221,431,336,269,282,178,66,34,1822,825,3562,2993,2235,1865,927,274,68,12754
SOSR714,62,21,30,9,0,0,226,4,26,14,14,11,6,0,0,79,42,256,111,78,74,25,8,0,592,27,91,86,76,59,26,8,0,371,94,215,166,121,89,44,6,6,738,28,16,25,8,9,8,0,0,95,5,11,15,16,9,9,3,0,65,126,248,203,141,101,57,9,6,899,4,3,0,5,5,5,0,0,19,154,209,158,133,110,68,27,7,862,358,938,648,463,382,195,52,11,3053
SOSR715,93,41,31,16,4,0,298,5,38,53,45,34,16,0,0,180,41,256,221,153,107,33,7,0,821,27,94,94,133,101,19,5,0,472,110,311,328,273,209,77,9,0,1313,39,55,53,50,20,0,3,0,232,27,55,61,36,31,14,0,0,227,176,423,443,361,263,92,21,0,1777,0,6,4,6,4,0,0,0,19,375,452,340,286,214,93,17,0,1777,631,1364,1247,1014,751,272,47,6,5336
SOSR721,52,30,33,16,0,0,183,3,30,26,23,23,7,0,0,111,36,199,142,106,95,33,6,0,611,27,97,101,85,83,25,0,0,415,118,237,244,232,192,66,9,0,1100,46,54,51,44,26,3,3,0,228,14,39,32,40,23,10,0,0,157,179,333,327,319,236,82,14,0,1488,0,0,0,0,0,0,0,0,8,210,246,215,156,169,83,13,0,1083,452,949,858,716,630,246,41,3,3892
SOSR722,17,31,33,15,0,0,124,0,4,15,17,19,12,0,0,76,15,96,73,62,87,39,6,0,373,8,26,36,63,69,33,13,0,247,47,160,174,189,153,71,18,4,819,26,51,42,39,30,9,0,0,197,13,29,28,38,15,10,0,0,145,87,244,245,271,199,88,19,4,1157,0,0,0,0,0,0,0,0,4,260,234,164,156,155,113,26,9,1118,370,654,560,595,562,285,70,9,3105
SOSR731,111,97,93,54,17,0,450,8,67,88,119,85,33,7,0,406,56,447,437,392,283,205,58,5,1883,62,277,346,499,396,214,48,0,1836,532,1128,1101,1217,970,453,122,15,5548,214,126,76,77,54,34,5,0,591,39,53,80,100,77,42,10,0,409,791,1312,1261,1404,1102,528,143,17,6546,3,16,19,10,15,17,14,0,90,784,837,762,843,734,453,171,31,4631,1716,3026,3029,3356,2706,1507,455,53,15841
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,6,7,3,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,4,7,4,8,4,0,0,0,32,0,0,3,0,0,0,0,0,3,6,6,4,6,7,0,0,0,26,9,19,16,10,12,0,0,0,71
SOSR799,18,18,10,9,0,0,84,0,14,11,10,13,9,0,0,60,15,112,53,27,29,18,3,0,259,3,31,38,30,35,21,0,0,157,15,62,52,49,78,58,6,0,324,5,15,4,3,3,0,0,0,30,0,4,5,5,9,13,0,0,39,17,81,68,59,92,71,6,0,389,0,0,3,0,5,0,0,0,11,144,269,262,333,262,102,22,0,1400,183,547,451,471,441,228,30,0,2351
SOSR802,14797,9899,6673,4197,1736,398,52679,299,3268,3853,3451,2869,2216,730,87,16768,7669,25745,20601,14078,9719,7416,3501,961,89686,1941,6121,7629,7045,5499,3707,1776,553,34268,4380,9436,8001,6867,5384,3229,1723,561,39587,1024,705,522,425,362,299,108,41,3493,364,499,722,973,1131,1141,586,200,5613,5768,10643,9248,8259,6882,4670,2419,803,48693,184,396,412,285,283,285,230,94,2175,3348,4245,3209,2374,2017,2019,1657,1035,19914,19760,64847,59754,45396,33940,24509,12047,3935,264186
SOSR822,7,7,15,5,0,0,41,0,0,7,7,3,3,0,0,22,9,15,30,27,15,6,4,0,95,0,9,19,14,9,9,8,0,54,6,12,18,16,11,9,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,18,23,11,12,5,0,87,0,0,0,0,0,0,0,0,0,4,0,3,7,9,5,0,0,30,15,37,80,84,62,43,15,4,338
SOSR831,3,4,4,0,0,0,12,0,0,4,5,3,0,0,0,21,14,29,18,9,10,10,3,0,92,3,13,8,11,11,5,0,0,45,10,30,18,16,12,12,0,0,100,3,3,0,0,0,0,0,0,11,0,0,0,0,3,5,0,0,6,13,33,13,16,14,12,0,0,112,0,0,0,0,0,0,0,0,0,27,15,6,18,14,7,0,0,92,59,100,52,59,60,36,4,0,375
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,6,9,8,0,0,0,36,0,0,5,0,4,0,0,0,10,11,23,13,6,11,4,0,0,69,3,9,3,6,4,3,0,0,36,14,15,13,10,13,6,0,0,68,5,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,19,16,20,13,11,6,4,0,78,0,0,0,0,0,0,0,0,4,16,17,35,25,24,17,5,0,136,50,80,77,58,64,24,8,4,368
SOSR915,12,10,4,0,0,0,29,0,6,8,7,0,0,0,0,24,3,16,30,22,10,12,0,0,92,3,18,16,23,13,7,0,0,79,13,50,37,38,33,20,0,0,198,5,4,0,3,3,0,0,0,35,0,0,3,0,0,0,0,0,10,23,54,50,49,41,21,0,0,243,0,0,0,0,0,8,0,0,12,19,59,43,44,39,28,4,0,238,50,165,163,152,109,68,4,0,710
SOSR921,8,4,13,6,0,0,38,0,3,0,6,11,3,0,0,26,6,24,30,24,31,29,9,8,163,3,11,23,20,39,21,8,0,141,16,30,44,53,79,52,16,5,290,4,4,5,9,3,3,0,0,25,0,3,8,3,4,8,7,0,31,21,33,49,58,92,63,19,5,353,0,4,0,3,5,12,4,0,19,24,18,32,28,36,27,31,9,209,61,98,158,147,230,170,77,18,953
SOSR922,0,5,0,0,0,0,13,0,0,5,0,5,0,0,0,9,4,12,13,14,10,0,0,0,43,4,9,3,3,7,0,0,0,24,11,3,22,9,24,8,0,0,77,8,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,22,8,24,13,24,8,0,0,96,0,0,0,0,0,0,0,0,6,19,20,27,21,20,15,15,0,131,46,50,76,47,65,26,17,0,320
SOSR931,7,6,7,3,0,0,24,0,0,0,0,0,0,0,0,3,0,14,16,15,0,8,3,0,57,0,9,8,8,3,16,7,0,47,9,9,14,25,23,12,10,4,112,0,0,0,3,0,3,0,0,13,0,0,0,4,3,5,0,0,11,15,15,17,33,31,17,10,4,138,0,0,0,0,0,0,0,0,9,36,124,66,50,27,21,13,4,343,49,157,112,114,70,69,38,11,623
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,3,0,0,0,11
