SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR331,1556,2063,2019,1390,430,44,8197,78,558,1011,1402,1392,964,221,21,5645,1501,5760,8051,8326,6582,4657,1466,225,36557,1140,2937,5038,7422,7370,4547,1461,197,30107,6752,12687,14722,16613,16532,10226,3212,453,81184,1678,850,719,821,775,504,126,12,5486,453,592,915,1425,1584,1165,442,56,6636,8879,14133,16354,18853,18897,11896,3779,520,93310,106,143,203,304,397,444,203,37,1838,5172,5130,5808,7576,8004,6504,3631,893,42714,16905,29309,38020,45952,44653,30398,11198,1929,218368
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,10,0,6,0,0,0,0,14,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,16,45,64,42,5,3,0,0,170
SOSR399,85,57,57,46,5,0,369,0,35,21,29,44,33,0,0,168,91,514,200,142,202,146,33,0,1322,45,152,136,156,246,194,29,0,959,161,379,378,331,509,408,59,4,2225,51,34,26,13,30,26,0,0,183,10,29,34,32,59,46,9,0,208,221,439,436,377,593,475,68,8,2617,5,8,6,17,14,10,7,0,72,425,801,750,645,528,371,97,18,3642,799,2066,1632,1417,1684,1277,239,26,9143
SOSR401,19155,11208,7924,5520,2102,453,66474,439,4407,5712,5189,4736,3639,1115,174,25420,14280,50473,43533,29197,20171,15470,6321,1695,181133,4198,14468,18056,18681,17263,12859,5319,1485,92327,16647,33988,30766,29830,27064,17975,8696,2860,167834,2810,3286,2462,1851,1496,1020,330,92,13349,1158,1846,2567,3474,3493,3144,1617,577,17871,20616,39122,35794,35148,32056,22133,10651,3536,199049,503,1009,1043,925,917,967,717,268,6356,6839,9092,8023,7525,7263,7656,7167,4805,58366,48029,137503,131319,107878,90336,68250,33383,12419,629121
SOSR412,466,383,270,155,58,12,1807,33,233,308,322,254,200,61,9,1411,533,2054,1877,1550,925,755,313,68,8078,178,864,1210,1491,1340,916,370,94,6465,1661,3918,3266,3190,2801,1774,815,219,17649,277,411,279,190,164,116,31,3,1480,100,148,231,284,244,237,138,32,1404,2041,4477,3775,3670,3203,2133,981,258,20533,28,54,44,54,67,56,44,16,355,648,723,714,720,744,790,817,526,5686,3498,8840,8388,8179,6794,5001,2638,976,44321
SOSR413,497,532,449,404,160,23,2485,17,170,245,306,342,354,99,14,1546,378,1504,1672,1585,1248,1208,543,135,8275,130,569,790,1100,1244,1179,539,116,5673,1239,2619,2328,2475,2468,1921,940,251,14231,228,263,236,180,143,110,38,12,1210,80,143,181,233,232,300,139,42,1346,1544,3026,2746,2889,2842,2327,1125,295,16798,29,50,67,62,73,67,67,33,449,653,727,696,769,875,971,840,425,5958,2777,6443,6714,7243,7073,6510,3367,1039,41178
SOSR414,115,96,91,113,49,8,549,3,55,65,80,105,102,36,4,441,106,511,548,430,400,476,200,43,2712,36,275,330,432,496,571,255,37,2433,411,1065,998,917,915,795,392,95,5595,69,95,72,54,52,59,15,3,419,43,52,68,94,97,121,73,24,574,529,1211,1139,1072,1066,972,476,125,6589,6,16,16,22,24,34,46,11,175,157,203,217,204,257,362,393,207,2004,843,2350,2430,2324,2444,2622,1458,434,14892
SOSR415,435,353,301,237,71,11,1844,24,200,274,295,315,327,88,14,1531,414,1918,1905,1529,1223,1111,462,122,8693,169,901,1288,1543,1642,1388,585,133,7652,1779,3887,3596,3549,3398,2534,1024,297,20069,274,372,291,213,197,130,38,10,1528,94,181,235,344,355,340,159,36,1742,2147,4447,4122,4104,3959,3002,1222,342,23341,23,38,63,66,79,104,84,22,485,894,918,905,1097,1217,1484,1420,783,8712,3708,8835,8994,8982,8722,7653,3933,1431,52255
SOSR421,81,72,93,68,30,5,468,5,40,64,72,92,91,22,0,387,103,503,496,404,339,353,119,29,2348,41,181,308,438,528,382,142,41,2051,437,962,990,993,1110,749,250,58,5558,72,97,88,60,48,37,6,4,404,23,55,69,82,115,91,40,16,501,532,1117,1145,1140,1266,880,298,81,6461,3,11,15,22,19,33,26,7,141,265,248,309,351,427,508,399,255,2773,967,2202,2417,2496,2771,2318,1032,418,14628
SOSR422,41,35,56,34,15,0,236,4,26,34,32,66,35,12,0,208,53,209,182,172,174,212,67,3,1074,18,101,130,174,294,223,66,7,1018,203,524,504,579,752,536,177,29,3302,44,74,43,32,55,30,3,0,279,12,30,26,57,71,56,29,0,283,262,626,572,671,877,622,207,31,3864,3,7,8,18,14,22,6,3,86,207,172,186,285,362,388,252,80,1930,544,1192,1153,1384,1835,1540,628,132,8413
