SOSR_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR299,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
SOSR301,9257,36956,10155,13465,1187,91088,21030,9774,60973,25491,31076,3331,151670,1025,486,4452,2024,3429,259,11675,1892,828,5843,5554,17408,737,32259,3125,622,8019,4437,11105,4231,31546,99996,39715,278737,131174,255220,22730,827565
SOSR302,3343,13528,4442,5066,562,32253,7666,3363,21489,11253,13202,1569,58548,388,155,1949,1530,2728,213,6971,452,198,1786,2703,7641,367,13149,871,198,2928,2203,5043,1750,12991,25551,11513,85647,57313,113347,10170,303543
SOSR303,1725,7038,2130,3278,261,17397,3548,2069,12479,5526,8478,763,32859,104,48,420,305,688,50,1611,278,124,892,967,3927,153,6338,205,60,636,564,2093,688,4254,11072,5922,38261,22837,59324,4185,141595
SOSR311,791,3681,987,1770,112,8224,1422,843,5614,2848,5449,439,16604,13,11,82,85,281,27,507,59,39,280,451,2591,86,3512,54,24,246,233,1335,401,2295,3566,2419,16000,10084,35814,2323,70208
SOSR312,268,1174,357,702,34,2800,305,218,1348,992,1795,139,4808,6,3,42,46,111,5,215,30,15,97,171,828,19,1151,16,13,115,128,605,150,1037,1117,811,5042,3988,13726,910,25597
SOSR313,611,2642,667,1080,99,5750,671,487,2769,1649,2617,238,8433,16,13,49,55,177,11,326,34,33,159,314,1563,56,2160,31,18,159,182,916,263,1565,2221,1668,10113,7050,24286,1646,46982
SOSR314,552,2407,733,1227,85,5616,461,362,2207,1549,2585,238,7394,18,3,75,79,197,10,387,42,33,178,291,1570,52,2169,54,20,235,236,1048,343,1931,2093,1480,9611,7553,24543,1867,47143
SOSR315,758,3144,1041,1813,135,7688,667,619,3178,2426,4089,349,11329,17,7,134,89,332,32,619,56,41,216,392,2270,65,3043,41,24,258,309,1403,463,2508,2586,2132,12853,10551,35717,2818,66646
SOSR321,279,1228,361,714,52,2940,290,248,1234,972,1488,157,4383,13,12,53,49,149,13,288,13,14,80,159,847,22,1134,32,13,118,115,537,205,1022,1104,831,4718,3981,13008,1143,24786
SOSR322,93,492,156,335,33,1243,89,78,403,347,594,60,1566,8,4,27,17,53,5,108,7,5,29,46,335,6,429,5,4,33,45,239,115,434,380,275,1754,1531,5593,576,10114
SOSR331,1267,5572,2007,3280,270,13861,1537,1005,5954,3744,5665,587,18488,75,37,324,265,662,64,1422,97,70,476,672,4183,124,5631,153,82,767,735,2899,933,5574,6013,4064,27389,20771,66032,5600,129867
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,16,5,24
SOSR399,9,46,24,20,4,124,35,12,96,58,81,9,295,5,0,10,3,19,0,38,4,0,8,11,47,7,73,6,4,32,12,41,24,119,166,74,627,337,893,107,2209
SOSR401,4376,20150,5258,6232,542,47471,13085,5420,35281,13863,19149,2119,88919,565,193,2107,955,1694,153,5671,981,420,3093,2637,10136,433,17704,1207,219,2946,1568,4101,1595,11634,52807,18966,139908,63239,134136,11571,420626
SOSR412,347,1606,459,772,45,3646,368,334,1852,1111,2060,122,5847,21,5,76,48,130,6,293,26,24,117,155,976,33,1338,19,22,78,100,416,102,744,1457,1098,6368,4507,14580,844,28862
SOSR413,255,1296,326,578,50,2936,527,295,1651,915,1666,131,5178,24,20,98,49,131,18,334,35,29,117,136,745,20,1079,39,15,97,76,295,96,612,1821,1001,5893,3393,10730,840,23678
SOSR414,93,412,113,158,12,882,96,78,486,338,589,45,1621,4,4,27,12,43,0,89,14,6,39,42,286,13,400,8,3,28,36,106,53,237,356,273,1787,1356,4296,317,8388
SOSR415,361,1689,510,704,53,3660,355,283,1610,1235,2027,157,5658,8,5,85,47,144,8,300,27,25,116,147,1076,34,1427,25,14,108,114,461,165,887,1402,1045,6464,4967,16004,1179,31061
SOSR421,87,481,160,227,16,1078,88,63,389,333,514,50,1442,4,3,15,19,35,0,78,14,5,44,38,301,19,414,4,3,35,39,149,50,291,356,258,1703,1329,4495,381,8530
SOSR422,59,228,63,138,18,569,39,38,177,167,286,37,741,4,5,9,7,25,8,55,0,0,4,20,174,15,212,3,0,14,17,72,27,132,175,143,742,624,2438,278,4396
SOSR431,428,1981,640,959,90,4617,491,425,2049,1294,1972,189,6427,31,17,119,79,180,30,463,29,23,155,177,1407,42,1841,54,34,202,181,621,260,1348,2159,1533,9882,7017,21291,1982,43869
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,3,10,3,6,0,31,8,5,30,20,23,3,82,0,0,0,0,0,0,3,0,0,0,6,9,0,12,0,0,0,0,10,5,19,45,16,135,69,209,29,489
SOSR501,9981,32199,9057,13073,1560,79482,16370,7444,50383,20292,25134,3505,123130,996,408,4099,2030,3529,360,11419,1468,617,5063,4951,16673,882,29645,2823,627,7896,4340,10928,3898,30508,81356,33568,240616,115276,237069,24631,732509
SOSR511,344,1014,334,703,47,2627,334,202,1485,689,1460,119,4287,0,5,38,33,107,9,199,37,21,106,138,736,21,1058,18,10,88,86,426,127,758,1011,824,4911,3356,12470,811,23383
SOSR512,507,1677,550,1046,78,4224,559,366,2183,1190,1922,194,6417,17,4,57,68,171,21,337,37,32,129,222,1296,47,1767,28,10,116,150,603,176,1080,1739,1345,7454,5476,18662,1298,35974
SOSR513,314,1049,303,583,54,2538,294,234,1119,581,809,109,3146,16,14,52,42,82,9,216,23,13,104,145,655,31,970,45,18,145,99,497,168,978,1106,876,4864,3523,11262,952,22591
SOSR514,118,361,89,223,24,883,105,72,383,230,323,23,1135,3,0,25,26,36,3,94,4,3,33,48,250,14,357,7,9,51,49,155,45,315,381,302,1944,1283,4072,317,8303
SOSR515,339,1262,360,762,73,2991,260,250,1163,676,1158,139,3651,15,9,51,47,128,13,258,29,13,101,137,790,34,1111,24,9,103,90,472,185,879,977,869,5077,3678,13613,1183,25407
SOSR521,124,454,104,274,44,1086,75,54,370,235,379,46,1158,4,0,25,17,35,7,89,5,4,28,36,274,12,363,10,3,39,37,193,71,365,346,296,1764,1289,4659,500,8852
SOSR522,64,255,62,178,20,648,31,30,155,112,174,23,533,0,0,15,6,32,6,62,0,0,17,17,143,7,193,8,0,24,12,95,37,169,182,139,882,638,2300,241,4387
SOSR531,549,1953,641,1245,135,4902,363,308,1810,1013,1324,202,5026,29,15,161,93,279,36,609,41,16,160,233,1424,75,1950,67,24,287,251,895,345,1875,2030,1648,11167,7958,24221,2476,49508
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
SOSR599,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
SOSR603,749,3507,700,1221,111,8918,2521,1022,5258,1866,3078,353,14091,225,75,576,193,375,38,1477,302,69,511,324,1336,58,2600,245,25,344,130,466,259,1469,12477,3748,22786,8598,20085,1881,69574
SOSR611,207,1509,315,567,62,3301,874,379,2289,932,1630,153,6267,34,11,106,60,134,19,363,69,14,146,130,704,25,1088,53,3,107,59,247,103,570,2941,989,7466,3401,9873,807,25473
SOSR612,98,550,167,338,22,1300,266,138,757,473,1070,92,2800,0,4,24,15,48,4,88,21,9,51,56,410,11,555,3,5,27,21,149,74,274,746,382,2380,1662,6282,504,11957
SOSR613,30,226,46,109,3,454,43,35,184,131,274,15,692,0,0,11,0,9,0,26,0,5,15,12,102,3,140,0,0,9,8,44,9,68,158,122,693,444,1762,103,3284
SOSR614,24,168,52,147,11,461,47,49,212,179,397,44,921,7,3,29,4,46,0,86,7,3,15,30,147,0,204,4,0,8,5,53,27,102,236,132,782,575,2413,176,4299
SOSR615,144,795,213,489,35,1937,246,176,944,574,1289,118,3339,17,8,52,27,104,10,213,25,7,69,110,590,10,820,14,8,47,40,226,100,433,1051,545,3419,2349,9027,704,17093
SOSR621,64,337,64,151,15,754,105,67,298,170,291,32,973,13,3,34,25,27,0,108,15,4,31,23,177,12,262,9,7,24,24,62,31,142,523,242,1379,829,2918,285,6185
SOSR622,12,113,35,58,8,268,34,20,129,84,159,13,442,13,0,18,8,16,4,52,0,0,11,10,68,0,85,3,0,8,12,39,13,73,170,74,508,364,1187,117,2420
SOSR631,273,1436,428,765,71,3550,438,347,1674,1037,1733,182,5408,77,27,148,107,203,16,578,51,23,107,123,1030,23,1362,43,12,128,102,441,159,886,2319,1181,7453,5004,16037,1365,33352
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,9
SOSR699,0,3,0,4,0,9,6,3,10,6,5,4,30,0,0,0,0,0,0,7,0,0,0,0,4,0,7,0,0,3,0,4,0,9,17,5,42,21,87,15,181
SOSR703,529,1815,482,835,81,4771,1530,651,3422,1022,1321,233,8175,108,33,256,111,262,33,801,169,43,362,232,952,56,1811,153,41,356,206,663,253,1671,6528,2459,14399,7090,15345,1553,47375
SOSR712,123,405,110,183,26,1022,490,189,1046,356,414,72,2570,20,10,86,29,67,10,222,46,20,107,56,209,13,450,19,0,70,31,109,60,299,1298,512,2952,1422,3065,357,9608
SOSR714,20,98,22,58,4,247,73,33,171,82,111,13,484,0,0,6,4,5,0,13,0,0,8,9,43,0,65,6,5,15,7,31,24,85,213,76,543,318,709,98,1950
SOSR715,67,195,54,116,32,535,86,55,227,101,200,38,705,9,0,12,7,37,9,79,0,0,20,10,77,4,118,5,0,7,3,33,42,90,282,174,723,399,1236,205,3025
SOSR721,38,154,39,84,15,372,22,17,73,36,87,28,266,8,0,25,13,36,3,84,10,9,11,13,50,7,101,0,0,7,15,32,9,69,163,99,523,365,1094,130,2372
SOSR722,33,121,21,72,8,298,17,8,55,30,95,17,226,10,5,22,3,33,11,85,0,6,8,9,35,5,55,0,0,0,6,24,24,53,116,65,318,184,723,118,1519
SOSR731,95,295,127,258,33,909,63,77,221,164,266,34,829,6,9,46,35,107,17,224,10,9,30,39,344,15,441,5,3,35,46,222,70,385,373,357,1561,1465,5072,455,9282
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,30,0,40
SOSR799,3,11,4,0,0,23,4,5,21,3,3,3,44,0,0,6,0,4,0,12,0,0,0,0,0,0,5,4,0,0,0,8,13,23,38,22,118,55,120,31,378
SOSR802,1929,7792,1609,2001,213,19995,5174,1761,9976,3378,3469,515,24276,533,217,1153,376,635,55,2967,651,175,1192,830,2254,122,5224,673,80,929,387,648,539,3271,42897,12794,70167,24911,35435,4003,190200
SOSR822,0,7,3,8,0,34,9,4,8,7,4,3,31,0,0,3,3,0,0,6,0,0,4,0,8,0,11,0,0,0,0,0,5,6,35,17,90,44,64,8,255
SOSR831,3,4,3,4,0,23,0,0,5,0,0,0,15,0,0,5,0,6,0,16,0,0,0,0,8,0,9,0,0,0,0,0,0,0,14,12,80,44,96,8,249
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,3,0,6,0,13,3,0,8,5,0,0,22,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,3,24,4,49,15,42,0,138
SOSR915,3,16,4,10,0,41,0,0,0,4,11,0,18,0,0,3,0,3,0,8,0,0,4,0,9,0,17,0,0,0,5,10,7,20,23,19,85,71,222,31,452
SOSR921,5,16,7,6,4,49,8,11,30,14,13,8,78,0,0,4,0,7,0,17,0,0,3,0,17,0,24,0,0,0,0,20,4,26,24,20,127,100,267,48,600
SOSR922,3,15,0,5,0,28,0,0,0,0,0,3,11,0,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,3,3,14,13,14,43,19,73,16,182
SOSR931,0,9,0,3,0,18,0,0,8,0,5,0,16,0,0,0,6,4,0,10,0,0,4,3,4,0,9,0,0,4,0,4,4,9,20,7,47,28,99,11,202
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3
