SOSR_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR101,22701,22770,19461,14018,61920,92521,27449,72606,2855,336297,27936,60723,53371,38177,150187,195050,42009,91256,5541,664243,43381,24663,18895,10120,41876,48116,9759,16626,4059,217484,40331,39782,30264,16943,31235,19952,6508,8485,3232,196729,21521,39528,36603,20232,86559,63903,12225,18910,2731,302211,30133,39905,23641,10049,25880,22633,4922,8666,2237,168069,14422,14298,14401,7591,28460,21588,6145,11236,2546,120687,27465,31741,21975,8766,23786,16382,3582,5685,2936,142315,4225,3829,3265,1570,7188,6885,1181,3046,11715,42906,232114,277237,221875,127465,457091,487033,113773,236506,37858,2190950
SOSR102,3381,3793,3491,2928,10882,13896,4983,12182,397,55927,6130,11627,12472,9684,23851,26401,6774,13095,626,110660,6181,6113,5159,3694,15601,19900,4435,7148,947,69190,8854,14394,11201,7254,10342,6179,2393,2581,873,64072,3791,8770,9574,5836,17889,10571,2349,3065,443,62291,5378,13417,6736,3164,6283,4048,1035,1609,443,42106,1994,3394,2309,1494,6324,5904,2336,4357,464,28570,4736,12206,6103,3180,6728,5718,1357,2440,757,43231,722,754,551,329,1357,1214,308,591,1851,7689,41172,74466,57605,37570,99260,93829,25981,47065,6801,483747
SOSR111,309,468,543,500,1868,2381,944,2312,74,9390,890,1536,1884,1602,3691,3579,1122,2090,89,16474,500,898,880,657,3368,3809,1165,1897,158,13341,878,2777,2421,1755,2212,1261,432,575,190,12500,504,1390,1651,1117,3226,1980,483,593,75,11021,532,2889,1464,706,1436,848,242,409,90,8611,299,572,534,337,1366,1486,641,1426,112,6772,584,2646,1376,818,1664,1459,345,597,200,9682,84,159,98,71,281,223,79,132,342,1473,4583,13327,10853,7570,19113,17022,5445,10029,1325,89270
SOSR112,1039,1376,1478,1190,5032,5766,2411,6037,201,24527,2242,4613,4856,3882,10330,10427,3084,5726,317,45474,1401,2470,2218,1780,8179,8977,2540,4537,447,32551,2396,6793,5948,4453,6670,3671,1221,1700,474,33322,1180,3489,3798,2628,8233,4601,1055,1440,205,26633,1281,6661,3508,1768,3783,2333,725,1057,265,21376,664,1309,1114,738,2971,2872,1104,3189,261,14229,1564,6735,3538,2118,5227,4363,1032,1699,504,26776,257,354,264,172,736,583,141,306,1084,3897,12016,33807,26721,18730,51157,43591,13311,25696,3753,228784
SOSR113,445,713,744,553,1955,2312,829,2192,77,9828,830,1733,1893,1367,3203,3339,1023,1927,124,15446,666,1279,1041,866,3521,3939,1057,2189,253,14815,1158,3146,2651,1832,2422,1380,459,707,266,14012,534,1539,1615,1092,2887,1678,383,548,79,10354,637,2946,1643,817,1503,848,258,358,143,9161,438,609,568,332,1385,1584,683,1973,141,7707,856,3211,1567,903,1743,1321,348,666,265,10875,114,176,127,83,218,229,47,151,595,1736,5671,15359,11851,7841,18834,16628,5090,10703,1947,93937
SOSR114,481,751,766,670,2386,2965,1100,3233,117,12470,1033,1831,2034,1641,4084,4183,1357,2452,131,18750,851,1236,1160,961,3837,4469,1267,2469,247,16505,1124,3078,2889,2084,2797,1514,490,741,214,14928,647,1750,1906,1266,3622,2070,488,670,108,12532,585,3049,1654,879,1733,1128,325,528,157,10043,412,655,606,383,1513,1570,617,2050,155,7964,782,3421,1810,1134,2651,2255,523,916,285,13781,147,187,120,94,317,248,55,161,563,1897,6066,15961,12951,9119,22942,20396,6227,13225,1986,108869
SOSR115,843,1204,1220,955,3129,4025,1462,4509,185,17517,1361,3004,3245,2475,5078,5498,1651,3348,199,25865,1384,2071,1832,1398,5256,6498,1734,3489,442,24096,1808,4545,3913,2775,3736,2055,760,1103,364,21055,916,2830,2678,1892,4495,2537,588,848,155,16934,847,3761,2225,1129,2028,1363,343,600,197,12489,766,940,878,548,2190,2485,968,2970,254,12005,1290,4731,2399,1467,2902,2805,734,1337,374,18034,235,320,189,116,406,373,76,249,867,2830,9452,23408,18576,12749,29219,27630,8314,18445,3032,150819
SOSR121,237,332,368,281,886,1185,414,1359,52,5113,411,901,966,719,1478,1617,428,963,66,7542,416,595,530,445,1467,1942,457,970,127,6946,467,1302,1136,667,926,544,165,281,74,5575,264,878,873,529,1192,724,152,249,33,4904,222,1157,581,302,527,366,98,176,47,3478,180,273,230,142,600,664,245,825,64,3222,353,1298,617,379,743,698,166,360,98,4705,61,90,50,36,127,113,22,79,247,841,2608,6826,5345,3503,7943,7859,2153,5265,813,42319
SOSR122,114,191,195,125,405,597,202,737,48,2615,183,383,397,323,617,692,172,426,31,3211,159,293,268,201,669,800,226,453,64,3135,246,658,512,357,470,261,97,127,47,2772,132,412,407,257,598,378,84,117,27,2420,112,446,257,146,276,168,48,82,14,1546,117,147,122,78,269,340,136,400,47,1650,193,622,346,198,410,422,125,218,70,2596,33,45,35,16,65,60,9,32,123,415,1274,3195,2545,1712,3761,3711,1104,2581,464,20362
SOSR131,2147,4474,4607,3526,6387,12220,4322,24049,1146,62882,2456,5688,5798,4174,7200,9029,2670,6538,408,43960,2466,3596,2918,2225,7180,10003,2588,6602,662,38237,2505,5888,4679,2986,3960,2753,801,1413,489,25472,1719,5786,5524,3112,6902,4785,1007,1886,360,31073,1393,5587,2829,1389,2442,2019,532,1325,325,17847,1230,1693,1462,881,2774,3844,1469,5288,489,19128,1973,6892,3577,2128,4095,4639,1255,3282,695,28537,469,554,389,228,609,755,182,619,1639,5451,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
