SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR301,588,545,2267,3147,4351,6216,12862,17338,9240,56551,114,398,1891,2078,2380,2435,1928,1319,839,13385,5585,8593,19972,15885,12806,10488,9766,8858,6816,98776,63692,163133,349922,332404,296009,240183,182862,100183,38871,1767250
SOSR302,204,168,483,716,1021,1936,4112,5888,3398,17921,34,77,306,338,332,341,369,307,234,2338,2433,3365,8358,7031,6570,5885,5966,5765,4305,49679,22635,52637,115607,117479,118849,107481,95590,56736,20924,707933
SOSR303,174,206,509,814,956,1514,2905,4176,2291,13550,53,115,424,493,480,466,368,239,103,2756,1815,2960,5608,4495,4143,3489,2826,2244,1317,28895,13029,30122,61427,56705,56360,50352,39347,21430,7949,336731
SOSR311,89,96,250,408,643,1127,2909,4360,2253,12129,6,46,139,117,150,174,133,152,73,979,883,1152,2671,2473,2440,2257,2110,2174,1348,17508,6848,14360,31081,29992,30668,31932,28615,18189,6851,198539
SOSR312,49,40,89,147,255,487,1103,1550,821,4526,3,12,27,25,59,53,63,45,24,320,270,306,732,767,772,794,843,789,513,5788,2521,4890,10561,10879,12022,13531,13361,8018,2822,78606
SOSR313,66,49,189,237,369,598,1506,2023,996,6028,8,17,61,48,67,91,106,80,37,519,568,722,1941,1673,1465,1313,1063,886,498,10130,4482,9313,22067,20364,19169,18580,15644,8950,3129,121701
SOSR314,58,63,218,252,435,740,1683,2262,1200,6915,13,27,143,93,109,101,111,99,78,771,817,958,2371,1909,1865,1534,1391,1133,674,12656,4643,9015,21600,20813,21187,19711,16805,9776,3632,127188
SOSR315,168,105,275,429,640,1298,3215,3765,1812,11708,29,31,86,94,93,144,162,120,90,845,1055,1302,3293,2866,2840,2956,2635,2026,1179,20165,7058,12843,30463,29677,31627,34418,31499,16316,5465,199360
SOSR321,57,47,117,164,279,580,1356,1477,506,4585,3,7,27,24,31,36,70,51,21,265,461,410,1009,1022,1151,1239,1088,805,250,7433,2682,4311,9772,10890,12874,14907,12981,6406,1555,76380
SOSR322,20,15,55,73,145,360,782,819,225,2491,0,3,4,10,21,18,48,40,18,170,175,188,475,464,549,678,597,450,157,3732,1047,1966,4375,4382,5471,7285,6268,3016,702,34507
