SOSR_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SOSR101,158418,220913,59180,13406,75457,72802,16413,30432,206250,15400,189115,1729317,95698,2548914,9934,10366,3514,793,11587,6115,1730,1677,7135,1250,9393,85222,4990,132775,17899,12030,7105,1819,7739,8853,1567,3569,11850,1849,13759,92160,5214,154682,5828,3433,2513,904,2817,3370,584,1150,3669,803,4960,45231,1906,66734,30275,6599,9284,5649,20283,16135,3538,4321,12286,3869,19476,91165,7078,174189,21838,11124,5076,2133,21874,11748,3253,2964,13525,2765,23575,135499,8161,215840,15200,13329,5810,1789,22672,8609,2672,1717,9498,2224,25651,227982,8926,314746,10435,6622,6889,2141,17510,8752,2442,1712,8081,2216,25203,285285,6974,360914,9258,9756,2450,691,20821,6867,1488,972,6325,1025,14191,284682,7294,346802,6822,5608,2414,590,4073,2443,654,741,6608,644,7535,71948,2755,101076,4028,3823,1756,318,3431,2214,483,491,3683,395,4913,44161,1831,64186,131514,82696,46812,16819,132808,75101,18411,19318,82642,17039,148661,1363324,55133,1931945,4012,1707,1176,672,2520,2131,595,907,2210,599,2260,14327,192783,217797,293938,305318,107166,30900,210786,150036,35424,50660,291098,33038,340039,3106972,343614,4698656,84269,153918,34646,508
SOSR102,89633,87372,28225,7443,40062,37728,9959,19716,103358,9396,77580,480330,34763,836025,2127,1666,772,183,1180,996,271,499,1680,247,1577,9945,632,17614,9373,4002,3067,1032,4020,4277,1073,2336,4701,1072,5243,20890,1615,45638,2476,826,915,399,1265,1309,271,591,1104,339,1490,6669,425,13405,5291,1146,1446,1000,3611,2654,710,811,2170,748,2963,11476,926,24925,708,384,184,48,625,352,115,102,467,70,753,4650,216,7199,1018,932,325,62,1031,415,135,114,728,102,1206,12303,502,17082,323,255,188,44,420,213,63,57,281,54,649,8339,195,10443,422,429,123,38,714,301,66,74,327,55,573,12673,301,15191,1047,863,363,88,563,429,133,156,1155,102,1075,7055,300,11272,594,574,257,50,389,292,68,84,650,60,689,5523,222,8285,23392,11077,7645,2947,13825,11224,2905,4822,13262,2841,16211,99533,5327,171059,2291,876,575,342,1124,1061,339,591,1009,326,838,3408,39672,48089,115319,99320,36447,10734,55009,50021,13208,25123,117632,12564,94630,583273,79761,1055174,29333,46364,9410,159
SOSR111,18467,18541,5428,1348,8467,7958,1876,4129,22143,1921,15244,89382,6817,161542,318,284,126,25,188,138,43,89,279,37,242,1529,103,2732,1166,473,359,102,480,547,102,273,627,130,595,2317,175,5269,387,119,135,47,196,243,35,94,168,56,218,838,62,1878,257,63,87,44,157,154,32,42,121,35,137,551,48,1207,34,32,5,5,42,15,6,9,61,4,81,705,25,935,143,152,52,9,151,60,17,19,111,14,198,2422,110,3164,31,28,16,7,41,13,5,4,26,3,57,899,26,1098,119,88,26,13,193,64,24,18,94,5,139,3151,101,3810,132,106,53,6,68,42,13,21,146,10,111,663,28,1132,72,86,38,5,59,39,15,12,111,7,129,1356,50,1815,2653,1424,886,266,1574,1320,294,573,1738,303,1916,14436,737,23036,430,171,110,75,210,228,60,105,277,58,186,771,8030,9762,21555,20132,6431,1683,10249,9505,2227,4808,24160,2275,17339,104592,15586,194335,6040,9587,1737,40
SOSR112,50839,50233,15762,4692,23412,21683,5737,11679,56085,5457,40872,229478,20483,424813,962,699,356,86,613,478,150,237,720,110,734,4501,431,8110,3618,1385,1166,410,1569,1699,408,877,1745,430,1895,6571,546,15631,978,323,379,161,471,548,126,240,449,165,575,2447,190,5109,981,207,315,201,574,508,120,183,383,131,535,1916,211,4391,171,108,64,13,162,123,40,33,136,35,262,2467,191,3378,266,366,105,22,347,133,60,39,239,31,428,6525,278,8256,114,74,57,16,137,62,15,17,98,18,174,3023,113,3701,171,205,55,20,456,139,27,22,156,26,307,10244,257,11730,394,300,145,48,196,178,45,75,405,48,406,2137,121,3629,252,222,97,21,203,133,32,32,218,26,304,2478,113,3672,7903,3876,2739,997,4728,3993,1028,1749,4532,1017,5614,42320,2444,67608,1362,641,387,199,654,661,174,368,693,203,548,2181,26665,31968,60099,54753,18887,5889,28800,26340,6935,13788,61310,6670,47037,273981,49593,524391,15405,24520,4863,84
SOSR113,25442,21195,7369,2120,11900,10866,2930,5897,24801,2684,18184,102801,9030,192018,457,326,137,39,218,214,67,110,346,68,318,1833,148,3403,1843,713,568,201,813,922,213,456,908,247,965,3464,297,8236,529,150,181,100,256,270,56,113,229,76,326,1470,88,2868,457,111,143,67,308,226,68,78,161,59,243,1159,105,2347,43,17,16,11,41,32,4,10,31,3,42,295,35,478,179,156,42,16,162,62,30,27,126,12,197,2162,166,3007,28,30,31,5,46,18,6,0,33,3,58,818,44,1060,53,43,18,6,83,36,7,12,32,7,67,1382,40,1671,186,160,68,11,73,72,20,41,191,13,192,1400,51,2121,105,83,41,5,58,47,16,17,78,11,102,774,44,1210,3893,1803,1229,462,2054,1891,478,868,2126,506,2509,14748,1012,26401,807,423,205,144,404,380,110,226,430,109,330,1312,12700,15840,30144,23418,8803,2723,14357,13140,3524,6988,27351,3297,21021,118861,22740,234258,6918,9373,1914,33
SOSR114,27671,23536,8447,2363,12540,11947,3023,6453,24746,2882,19013,118603,9249,214733,456,374,178,30,236,213,52,107,336,64,344,2175,154,3864,1887,749,637,178,754,879,172,491,847,204,918,3550,263,8160,531,171,186,74,246,283,62,135,217,62,282,1292,101,2654,402,96,97,59,231,216,43,79,139,49,212,880,79,1881,67,34,14,5,57,28,8,7,45,5,58,434,25,661,140,127,42,7,154,79,25,31,105,23,162,2550,114,3262,38,33,20,0,39,21,9,12,32,0,59,1163,23,1369,102,71,32,11,155,81,19,11,61,5,100,2848,75,3393,173,122,63,10,79,63,18,18,140,14,169,1062,54,1704,122,85,53,14,88,65,18,22,92,20,132,1056,41,1571,3916,1867,1307,402,2041,1920,417,912,2000,452,2436,17005,925,28513,907,416,250,101,424,398,129,246,424,128,316,1499,14571,18143,32499,25823,10009,2863,15000,14265,3570,7617,27169,3460,21767,137103,24747,261391,7721,11050,2340,43
SOSR115,40705,32582,12331,3220,17792,17356,4375,9186,33654,4108,27064,167257,13222,303168,748,505,282,34,346,303,77,177,506,74,519,2864,225,5242,3248,1136,1029,309,1393,1431,324,758,1434,326,1573,5970,488,13953,892,274,278,122,426,470,79,236,360,128,507,2286,166,4626,621,140,180,93,403,359,90,103,209,83,338,1380,151,3027,76,42,18,6,57,51,10,11,40,8,62,500,39,791,206,153,61,7,177,70,18,20,123,21,188,2480,135,3327,49,36,23,9,39,27,3,13,42,3,63,1269,31,1514,72,62,25,10,98,58,16,18,41,12,63,1761,62,2151,327,206,103,22,133,111,32,46,257,28,271,1687,90,2733,170,122,87,20,92,81,17,32,129,17,143,1192,51,1852,6414,2678,2076,638,3156,2965,661,1424,3128,702,3731,21389,1434,39207,1295,553,342,184,637,617,164,351,573,170,470,2399,21812,27133,48412,35804,14748,4042,21592,20931,5191,10955,37356,4976,31261,191047,36468,369508,11453,14906,3411,63
SOSR121,9975,8654,3101,526,4346,3954,1014,2176,8828,941,6909,47417,3361,82319,196,116,74,11,77,82,20,40,133,22,110,694,40,1308,836,343,258,63,344,395,74,201,348,84,389,1646,111,3633,195,58,85,16,81,94,19,43,93,13,126,652,43,1185,126,32,50,16,81,78,16,34,50,20,76,367,22,731,20,11,8,0,10,6,0,0,13,0,13,110,6,173,61,38,17,4,32,19,7,3,36,0,54,513,33,725,12,16,5,0,10,5,3,4,8,0,20,221,8,290,24,17,0,4,28,12,0,0,11,0,12,296,11,389,80,61,27,5,32,34,6,13,69,3,78,471,19,773,40,33,24,0,16,30,3,13,36,3,51,300,17,481,1579,731,542,116,718,754,151,351,802,155,930,5271,315,9691,319,152,80,24,149,128,34,90,167,43,112,698,5412,6840,11872,9538,3723,666,5208,4838,1191,2618,9789,1132,7950,53388,9092,98845,3384,4158,1011,22
SOSR122,5503,4241,1579,307,2504,2303,547,1322,4421,549,3576,22693,1689,40591,98,67,31,4,59,52,6,29,84,9,80,419,25,767,397,165,136,39,158,175,26,90,179,37,218,767,61,1778,117,33,39,8,43,65,13,23,45,7,60,304,22,592,92,12,18,9,40,45,11,17,20,12,33,173,21,369,4,4,3,0,8,3,0,0,6,0,7,33,3,70,28,22,12,0,21,9,9,8,19,6,17,302,17,413,10,6,3,0,6,4,0,0,7,0,14,139,3,185,15,5,3,0,17,14,0,0,9,6,13,107,3,146,50,34,13,4,18,26,6,8,38,3,45,174,9,323,14,10,3,0,16,3,4,0,20,0,23,153,6,219,825,367,268,71,381,399,70,176,424,76,500,2577,165,4871,204,101,62,8,109,95,27,61,95,24,58,361,3685,4503,6532,4707,1904,385,2987,2802,644,1562,4938,651,4132,25632,5539,49959,1743,1965,473,16
SOSR131,48376,42029,16135,2062,19602,20017,4331,9581,39396,4104,34917,289434,20484,467555,973,653,381,29,406,414,89,231,633,90,665,4415,421,7802,3404,1399,1226,222,1329,1520,273,699,1602,351,1924,8865,605,18010,1081,332,437,106,463,594,114,250,430,131,656,4047,201,7169,1428,264,422,184,958,747,142,242,385,158,681,3153,299,6809,235,93,60,18,232,135,38,25,100,21,215,1432,191,2384,240,198,111,12,224,109,28,31,141,23,265,2930,279,4166,104,55,68,12,121,52,10,9,72,17,141,2060,145,2708,114,66,41,11,152,89,13,12,66,14,127,1319,80,1892,442,290,153,21,160,165,37,65,340,35,367,2592,159,4182,269,185,109,16,129,121,23,50,184,22,254,1949,93,3016,8299,3528,3000,636,4170,3947,770,1611,3948,862,5292,32759,2486,58130,1505,684,461,101,623,628,164,333,671,161,553,4294,40736,48584,58179,46237,19591,2803,24398,24589,5266,11524,44018,5128,40752,326490,63710,574269,22411,23453,7613,192
