SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
SOSR201,8783,2603,23507,11548,9020,6946,5334,7406,979,76129,115,140,183,168,144,143,166,301,36,1385,5439,7831,2989,3833,4731,2059,2161,2054,1024,32124,3680,4059,5146,3470,3661,2479,2900,3546,7981,36920,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
SOSR203,777,174,2414,1233,775,688,359,865,76,7366,4,14,13,12,13,10,8,35,0,119,264,411,230,294,266,125,163,162,69,1980,243,254,486,347,239,222,230,396,513,2929,15082,39786,19259,18755,13802,6778,5119,7734,1824,128139
SOSR211,193,55,605,355,283,208,351,241,20,2311,4,4,4,7,6,5,5,14,0,48,54,53,64,98,64,43,106,61,22,560,64,56,162,113,88,64,178,156,187,1069,3072,6561,5367,5484,3976,1723,2912,2378,601,32071
SOSR212,547,163,1672,781,616,530,234,587,52,5173,14,8,0,9,5,12,6,33,4,88,172,233,167,191,159,63,119,130,42,1276,272,184,326,224,201,183,186,382,393,2351,10891,24051,13704,11650,9083,4255,3160,5279,1293,83367
SOSR213,468,120,1586,772,544,531,263,585,70,4936,6,3,7,12,9,6,6,17,4,76,174,204,145,154,138,61,92,114,35,1108,217,149,318,215,195,150,212,345,369,2166,8425,18435,13040,11510,7830,3753,3431,5275,1192,72901
SOSR214,314,69,882,430,286,255,124,378,36,2777,0,0,4,3,5,0,9,14,0,38,91,129,67,92,70,35,72,71,24,638,113,76,221,143,110,104,129,260,189,1354,4829,9276,7081,6081,4125,2135,1708,3238,698,39167
SOSR215,529,114,1404,643,477,424,213,535,49,4387,5,3,5,7,3,3,5,18,0,48,171,190,126,161,119,48,104,107,38,1065,216,131,403,257,173,197,236,354,291,2244,8743,15205,12382,9285,6591,3206,3288,4852,1080,64636
SOSR221,118,18,323,176,121,120,42,139,12,1074,3,0,0,0,0,0,0,0,0,7,48,57,30,31,32,10,27,23,15,276,67,32,125,67,59,72,68,126,78,696,2501,4291,3388,2438,1863,912,866,1314,292,17857
SOSR222,81,9,203,82,65,51,24,87,11,625,4,0,3,0,0,4,0,3,0,10,23,33,23,29,18,10,11,16,6,176,46,24,52,37,19,22,37,52,44,339,1395,2249,1780,1314,915,476,502,802,170,9598
SOSR231,1165,173,1741,895,877,559,300,806,91,6600,22,8,9,11,8,9,6,26,6,98,575,364,245,261,247,96,186,199,77,2249,1215,327,812,430,412,350,424,694,660,5324,31773,30722,23365,14392,13381,5380,6323,9994,2443,137765
