SOSR_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SOSR299,20,15,5,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,10,22,18,34,6,8,113,21,18,18,24,18,34,6,8,150,348,566,515,464,353,228,53,3,2531,204,350,478,430,267,130,26,7,1896,575,939,1008,912,644,392,90,15,4576,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,16,13,4,0,7,0,0,0,0,26,376,588,400,308,323,158,49,11,2209,170,285,330,169,111,59,11,7,1140,556,878,730,479,429,224,58,19,3373,32,15,5,3,0,0,0,0,45,0,0,3,0,0,0,0,0,4,0,10,11,29,23,37,13,8,129,26,22,19,33,23,37,13,8,178,727,1152,909,768,671,386,104,11,4737,376,645,807,600,380,186,39,11,3041,1131,1819,1736,1393,1074,613,152,29,7946
SOSR301,1394,2817,1638,878,254,0,0,0,6976,241,651,682,534,451,0,0,0,2564,530,3255,4688,7437,8268,11334,7823,3570,46897,2167,6722,7008,8848,8973,11334,7823,3570,56438,144641,153701,146406,128506,102208,71369,35365,9145,791342,8133,11491,9020,7054,5006,3745,2683,1632,48761,154940,171915,162430,144404,116187,86446,45868,14350,896541,473,783,340,191,43,0,0,0,1824,77,195,170,134,68,0,0,0,645,145,659,972,1888,1988,1544,781,391,8376,698,1634,1484,2215,2099,1544,781,391,10848,143303,166989,161305,144172,117861,91300,49927,20527,895383,7281,9610,7357,5388,4198,3704,3671,3625,44830,151281,178233,170143,151775,124148,96551,54379,24542,951062,1872,3597,1976,1067,292,0,0,0,8806,311,842,852,675,515,0,0,0,3204,673,3909,5660,9324,10254,12871,8609,3958,55275,2862,8357,8492,11068,11068,12871,8609,3958,67284,287938,320691,307708,272681,220065,162672,85293,29675,1686727,15420,21097,16377,12440,9207,7448,6351,5262,93596,306215,350151,332576,296180,240341,182994,100251,38897,1847605
SOSR302,86,93,96,98,56,0,0,0,434,58,135,141,113,124,0,0,0,568,186,1068,1498,2295,2567,4940,3889,2069,18504,328,1300,1738,2496,2747,4940,3889,2069,19502,48481,49785,50743,50938,45019,37654,21014,5126,308765,3037,4350,3664,3441,2690,2436,1871,1178,22669,51844,55437,56143,56883,50456,45031,26774,8372,350936,24,28,21,14,11,0,0,0,104,11,41,47,37,23,0,0,0,157,47,196,302,580,650,620,306,218,2911,83,265,372,635,680,620,306,218,3172,49380,55830,57683,58375,53819,47533,27191,10014,359820,3126,4122,3323,3002,2583,2468,2500,2338,23462,52585,60215,61380,62015,57084,50621,29997,12572,386454,110,127,124,109,70,0,0,0,533,77,178,186,147,142,0,0,0,726,230,1257,1795,2879,3214,5561,4192,2280,21414,409,1559,2107,3136,3431,5561,4192,2280,22676,97854,105619,108425,109316,98841,85187,48204,15139,668586,6163,8472,6990,6444,5275,4901,4369,3517,46133,104428,115654,117521,118890,107542,95649,56766,20942,737390
SOSR303,1342,1958,818,495,129,0,0,0,4742,49,187,164,183,183,0,0,0,772,168,886,1454,2119,2361,3136,1776,757,12660,1561,3031,2442,2793,2674,3136,1776,757,18170,25073,23839,21966,22048,20035,14633,7309,1796,136702,2993,3411,2660,2384,1813,1298,739,391,15691,29626,30281,27076,27227,24522,19068,9823,2945,170562,393,448,151,52,18,0,0,0,1054,23,43,60,47,30,0,0,0,202,71,233,366,583,564,416,215,70,2520,491,728,574,683,604,416,215,70,3781,26247,27869,27033,26763,23863,18800,10464,4254,165284,2153,2589,2060,1727,1394,1089,946,685,12649,28886,31188,29667,29172,25862,20310,11627,5003,181716,1735,2406,972,545,143,0,0,0,5796,75,232,229,230,211,0,0,0,979,234,1129,1826,2700,2919,3551,1988,833,15176,2050,3761,3020,3474,3281,3551,1988,833,21953,51319,51708,49001,48817,43893,33432,17768,6044,301981,5144,6005,4718,4110,3205,2388,1689,1075,28339,58516,61474,56737,56401,50383,39374,21445,7954,352278
SOSR311,23,9,8,4,14,0,0,0,61,13,40,35,23,16,0,0,0,132,48,259,432,768,1062,1996,1381,670,6606,82,306,478,794,1091,1996,1381,670,6797,13748,13389,12658,12627,13107,10987,6359,1637,84514,1131,1502,1450,1386,1215,856,650,386,8575,14963,15196,14588,14811,15413,13837,8386,2694,99888,4,5,3,3,3,0,0,0,23,3,9,9,3,5,0,0,0,25,18,51,93,189,263,238,148,50,1058,26,64,108,201,270,238,148,50,1105,13456,14661,14366,14750,15440,13754,8758,3460,98643,1048,1175,950,926,828,799,915,651,7292,14530,15899,15420,15879,16545,14790,9823,4161,107048,23,16,17,15,17,0,0,0,78,21,47,45,27,24,0,0,0,157,67,312,523,959,1324,2237,1524,722,7663,106,372,585,997,1365,2237,1524,722,7907,27206,28046,27024,27379,28547,24747,15118,5093,183154,2185,2677,2397,2314,2038,1653,1561,1038,15869,29496,31099,30005,30685,31956,28630,18205,6854,206931
SOSR312,12,0,3,10,9,0,0,0,33,6,12,11,13,12,0,0,0,57,15,93,164,362,521,996,709,344,3217,40,105,181,383,544,996,709,344,3303,4978,4749,4682,5007,5550,5204,2802,662,33640,359,379,407,431,376,293,229,93,2574,5372,5240,5274,5819,6475,6492,3741,1107,39514,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,11,0,19,37,91,116,139,81,24,501,4,23,43,95,116,139,81,24,516,4792,4966,5241,5821,6643,6450,3917,1499,39321,295,345,330,301,310,291,287,191,2345,5091,5328,5612,6214,7065,6870,4282,1712,42184,12,4,3,10,9,0,0,0,37,15,10,17,14,12,0,0,0,66,19,110,205,455,636,1134,788,369,3713,46,128,221,480,665,1134,788,369,3817,9767,9713,9924,10826,12194,11655,6720,2163,72960,660,730,736,727,686,578,520,288,4922,10469,10567,10884,12032,13539,13363,8024,2822,81697
SOSR313,20,57,42,35,16,0,0,0,175,12,35,25,18,28,0,0,0,115,32,180,316,513,626,1057,686,307,3716,68,266,385,565,674,1057,686,307,4001,9002,9356,8455,7944,7621,6095,3294,757,52531,795,1100,936,812,698,443,276,126,5184,9864,10724,9772,9326,8991,7595,4253,1192,61719,9,18,5,3,0,0,0,0,35,4,11,6,7,4,0,0,0,21,19,40,78,121,154,130,41,34,610,28,65,89,125,158,130,41,34,667,8833,10458,9857,9195,8964,7529,4284,1641,60757,629,847,662,543,475,401,375,257,4180,9495,11362,10607,9867,9590,8059,4700,1932,65608,30,68,50,39,16,0,0,0,211,13,42,26,21,37,0,0,0,136,49,217,393,632,776,1179,728,341,4328,99,329,477,691,830,1179,728,341,4668,17831,19815,18308,17142,16586,13627,7576,2399,113290,1429,1943,1596,1355,1169,840,643,384,9366,19360,22086,20381,19187,18587,15650,8949,3127,127325
SOSR314,19,29,28,17,12,0,0,0,103,6,21,28,30,24,0,0,0,109,23,202,284,565,683,1212,742,342,4048,48,257,337,616,716,1212,742,342,4265,8808,8950,8664,8782,8186,6441,3516,896,54236,1107,1344,1045,974,832,597,416,200,6519,9968,10545,10047,10364,9732,8250,4672,1435,65017,0,10,7,3,0,0,0,0,26,0,13,10,10,3,0,0,0,31,14,39,73,133,143,108,46,24,576,14,60,90,152,150,108,46,24,633,8512,9997,9864,9883,9268,7907,4593,1784,61802,848,1016,824,800,578,557,470,393,5483,9372,11069,10779,10840,9997,8566,5109,2203,67919,23,35,33,27,8,0,0,0,131,7,36,36,33,32,0,0,0,149,34,241,359,698,824,1312,788,365,4629,59,315,434,763,865,1312,788,365,4904,17316,18944,18525,18668,17455,14345,8106,2670,116032,1958,2357,1868,1772,1410,1155,887,595,12001,19336,21617,20825,21204,19722,16817,9787,3636,132939
SOSR315,28,64,56,52,35,0,0,0,244,23,54,50,46,64,0,0,0,239,51,286,491,943,1404,2442,1334,537,7484,105,409,598,1046,1501,2442,1334,537,7966,12352,12260,11994,12990,13880,12371,6132,1354,83330,1617,2418,1911,1681,1504,1145,678,314,11277,14080,15086,14504,15711,16885,15954,8151,2209,102577,10,27,10,16,4,0,0,0,70,5,17,16,13,0,0,0,0,50,18,62,124,251,291,286,101,56,1193,36,105,152,278,295,286,101,56,1318,11959,13957,13924,14520,16135,14280,7283,2620,94679,1238,1338,1135,1134,1116,987,792,573,8321,13233,15395,15213,15934,17552,15559,8185,3254,104319,38,91,75,67,44,0,0,0,315,30,77,64,60,66,0,0,0,290,73,347,610,1192,1691,2726,1435,593,8680,140,511,747,1318,1799,2726,1435,593,9281,24320,26216,25918,27506,30016,26645,13418,3980,178012,2852,3758,3048,2815,2621,2138,1473,896,19596,27312,30481,29715,31642,34435,31515,16331,5464,206897
SOSR321,14,22,28,22,8,0,0,0,91,15,30,23,21,26,0,0,0,104,26,99,180,367,559,1009,514,178,2931,50,153,232,406,597,1009,514,178,3132,4450,3878,4356,5277,6067,5270,2563,417,32280,637,758,726,686,639,478,298,88,4304,5133,4791,5307,6372,7293,6753,3373,683,39712,8,9,8,3,0,0,0,0,22,5,6,6,11,4,0,0,0,23,7,31,55,109,146,104,43,11,499,16,44,63,119,150,104,43,11,544,4161,4482,5075,5893,6969,5730,2673,747,35728,504,463,451,486,501,408,321,114,3255,4681,4982,5588,6504,7617,6245,3035,877,39529,17,26,35,20,12,0,0,0,114,13,30,19,32,27,0,0,0,127,31,132,234,475,701,1105,555,187,3429,62,195,294,531,741,1105,555,187,3674,8605,8356,9431,11174,13030,11003,5236,1168,68009,1139,1225,1177,1174,1138,884,614,196,7552,9807,9775,10899,12880,14911,12997,6404,1556,79232
SOSR322,9,7,6,5,6,0,0,0,35,5,16,10,5,9,0,0,0,49,12,41,68,151,295,466,253,65,1345,26,62,86,163,306,466,253,65,1429,1840,1814,1817,2277,3053,2618,1185,197,14799,215,237,238,276,328,256,167,46,1759,2078,2114,2141,2708,3684,3343,1605,312,17986,0,3,0,4,0,0,0,0,14,0,7,0,3,0,0,0,0,16,10,14,27,49,50,49,21,3,217,17,22,24,55,50,49,21,3,242,1733,2019,2008,2496,3271,2651,1234,321,15733,196,223,206,214,280,235,162,65,1582,1947,2268,2245,2761,3604,2929,1416,386,17558,13,9,8,12,11,0,0,0,51,6,22,11,7,12,0,0,0,63,21,50,93,203,339,515,274,68,1563,40,84,116,217,356,515,274,68,1672,3574,3836,3828,4763,6324,5267,2422,520,30535,410,456,445,486,607,484,330,114,3334,4023,4384,4381,5469,7289,6268,3024,702,35541
SOSR331,204,160,101,96,33,0,0,0,589,28,59,63,79,94,0,0,0,321,78,369,761,1663,2392,4003,1845,627,11746,312,590,926,1841,2515,4003,1845,627,12658,21494,17122,21242,28168,31951,24792,11112,1750,157622,3015,3697,3693,4125,3752,2585,1185,320,22368,24818,21406,25861,34129,38217,31383,14142,2696,192653,46,40,19,14,7,0,0,0,123,5,16,15,34,23,0,0,0,92,29,89,207,482,517,382,117,34,1862,80,152,240,530,550,382,117,34,2086,19675,18008,23305,30162,32620,24260,10078,2142,160248,2200,2186,2337,2756,2736,2054,1025,281,15574,21960,20340,25889,33453,35907,26694,11227,2454,177913,243,199,120,109,36,0,0,0,717,37,80,79,113,113,0,0,0,422,105,456,968,2153,2910,4387,1962,659,13606,387,735,1171,2371,3060,4387,1962,659,14743,41171,35131,44543,58327,64573,49049,21195,3889,317881,5214,5877,6024,6886,6490,4636,2212,595,37942,46780,41750,51750,67583,74122,58073,25367,5145,370559
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,13,14,0,3,0,0,37,9,25,45,31,3,0,0,0,110,4,37,55,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,13,5,0,0,0,0,0,24,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,13,14,0,3,0,0,41,14,34,52,32,8,0,0,0,132,16,49,64,45,5,3,0,0,183
SOSR399,7,4,0,0,0,0,0,0,15,3,3,6,3,0,0,0,0,15,5,17,29,51,109,170,35,0,418,12,24,34,54,114,170,35,0,441,532,958,854,720,959,915,212,14,5164,178,317,311,264,220,172,34,4,1497,719,1301,1194,1042,1297,1253,283,23,7108,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,5,3,6,18,32,10,5,0,82,4,3,5,21,32,10,5,0,90,620,1044,675,692,972,759,139,18,4909,156,302,200,179,161,100,21,5,1128,777,1345,885,887,1170,870,160,25,6127,11,4,0,3,0,0,0,0,15,3,3,7,3,0,0,0,0,18,4,22,34,72,143,180,42,0,498,11,26,46,71,149,180,42,0,530,1147,1998,1519,1411,1934,1677,349,35,10072,330,616,511,445,385,278,55,11,2626,1495,2649,2077,1929,2468,2124,444,44,13234
SOSR401,581,959,566,339,125,0,0,0,2569,141,361,296,240,237,0,0,0,1270,165,1081,1635,2717,3957,6711,4166,2475,22903,887,2397,2500,3286,4320,6711,4166,2475,26745,74232,82447,76640,70217,64637,49560,26982,9062,453783,3059,4284,3622,3065,2522,1942,1491,966,20957,78175,89123,82765,76573,71483,58214,32643,12507,501480,165,246,82,55,26,0,0,0,571,43,76,88,69,29,0,0,0,300,46,215,316,696,996,823,302,309,3705,258,532,488,819,1053,823,302,309,4579,71453,85410,81513,75310,74055,63540,37861,18594,507730,2712,3474,2860,2374,2112,2118,2217,1893,19756,74421,89419,84854,78507,77213,66473,40379,20793,532069,741,1203,651,388,152,0,0,0,3142,190,435,378,310,268,0,0,0,1576,211,1291,1955,3408,4955,7538,4467,2785,26607,1146,2927,2986,4108,5378,7538,4467,2785,31319,145686,167857,158151,145527,138691,113093,64847,27659,961510,5771,7754,6483,5441,4627,4060,3708,2856,40715,152601,178542,167621,155078,148698,124690,73023,33293,1033551
SOSR412,42,101,94,60,22,0,0,0,317,12,16,14,19,27,0,0,0,92,13,86,173,297,433,675,346,206,2229,66,202,276,378,482,675,346,206,2630,5620,5646,4987,5349,5202,3946,2198,666,33613,305,319,287,308,228,224,185,118,1967,5986,6174,5552,6024,5918,4848,2729,990,38217,10,18,20,7,5,0,0,0,61,4,10,13,5,6,0,0,0,35,4,19,37,88,100,68,36,15,368,19,49,71,102,116,68,36,15,455,5450,5981,5687,6188,6009,4956,3308,1228,38812,274,293,269,246,242,235,300,265,2120,5743,6319,6021,6535,6369,5250,3642,1510,41390,55,114,117,66,24,0,0,0,373,9,22,29,20,39,0,0,0,120,18,107,209,384,536,738,377,218,2594,81,248,345,472,599,738,377,218,3088,11068,11630,10673,11538,11209,8901,5510,1898,72425,576,613,558,553,477,462,481,381,4092,11728,12493,11577,12564,12284,10096,6368,2494,79604
SOSR413,8,0,8,6,0,0,0,0,25,4,14,8,7,15,0,0,0,53,3,39,95,200,335,774,531,293,2264,13,50,112,215,354,774,531,293,2341,4522,4284,4164,4777,5128,4775,3024,785,31458,396,720,618,448,363,258,176,99,3081,4938,5052,4896,5437,5845,5811,3729,1181,36884,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,8,0,8,21,48,77,79,26,29,292,0,8,24,55,79,79,26,29,308,4384,4575,4603,5347,5914,6169,3813,1628,36432,274,253,237,278,263,296,240,157,2007,4658,4842,4866,5682,6250,6547,4081,1818,38749,8,0,9,4,0,0,0,0,29,4,13,10,12,18,0,0,0,58,7,45,117,251,409,857,553,329,2564,16,57,137,271,427,857,553,329,2648,8907,8856,8768,10124,11041,10950,6838,2408,67894,673,975,859,729,630,553,416,260,5088,9594,9891,9760,11117,12100,12358,7810,2996,75634
SOSR414,6,14,10,9,5,0,0,0,41,0,0,3,8,9,0,0,0,24,6,27,33,84,119,323,223,102,916,12,41,51,94,134,323,223,102,983,1423,1546,1455,1575,1694,1872,1222,299,11085,79,88,86,86,82,85,96,49,651,1509,1674,1592,1759,1905,2281,1544,451,12713,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,4,10,24,33,49,13,13,142,0,9,14,22,37,49,13,13,152,1403,1592,1694,1765,2075,2519,1520,563,13131,63,75,78,61,73,107,127,85,674,1468,1674,1787,1853,2187,2680,1653,658,13953,6,14,12,9,5,0,0,0,45,0,5,7,8,3,0,0,0,29,6,29,42,105,156,371,239,111,1058,11,51,63,120,167,371,239,111,1131,2822,3132,3147,3343,3764,4392,2742,862,24215,140,159,166,153,158,194,215,129,1322,2978,3346,3372,3612,4089,4964,3201,1108,26670
SOSR415,7,34,35,21,15,0,0,0,109,3,18,20,22,18,0,0,0,79,13,89,139,311,513,1138,580,371,3144,20,143,192,352,542,1138,580,371,3333,5455,5675,5543,6019,6929,6393,3664,1027,40705,446,401,407,459,485,421,348,166,3142,5918,6220,6141,6840,7954,7952,4589,1568,47182,4,11,8,7,0,0,0,0,23,4,8,7,5,0,0,0,0,23,5,15,27,81,103,106,61,47,447,13,29,38,91,111,106,61,47,494,4981,5970,6045,6770,7630,7541,4802,2142,45884,340,388,330,369,383,458,401,324,2983,5332,6395,6417,7231,8113,8108,5260,2513,49369,10,40,40,29,15,0,0,0,136,5,25,27,27,23,0,0,0,106,12,106,164,390,611,1240,637,421,3592,33,170,230,449,653,1240,637,421,3826,10430,11643,11589,12798,14552,13935,8464,3166,86587,786,794,738,830,863,876,746,494,6130,11253,12613,12559,14070,16065,16059,9856,4077,96551
SOSR421,5,5,4,6,7,0,0,0,20,0,4,6,0,4,0,0,0,20,4,17,41,94,147,307,129,107,857,8,30,49,98,161,307,129,107,894,1386,1394,1438,1654,2121,1968,996,280,11238,122,110,146,145,157,167,100,54,1005,1511,1533,1637,1901,2441,2443,1228,448,13143,0,0,7,0,0,0,0,0,9,0,0,0,3,0,0,0,0,3,0,11,11,22,26,34,12,9,114,0,8,13,27,28,34,12,9,121,1332,1526,1566,1828,2329,2166,1197,585,12536,115,98,115,130,149,163,114,112,990,1446,1632,1694,1981,2506,2365,1318,711,13648,5,8,6,6,7,0,0,0,26,0,4,6,5,7,0,0,0,25,4,28,44,116,179,338,140,112,967,8,35,62,127,185,338,140,112,1019,2719,2922,3007,3481,4454,4136,2193,870,23774,234,212,262,278,309,331,210,169,2000,2962,3167,3331,3879,4944,4809,2545,1159,26793
SOSR422,0,8,4,8,0,0,0,0,28,0,4,0,0,0,0,0,0,6,0,6,18,50,125,223,92,39,558,3,14,31,57,132,223,92,39,593,825,827,795,1065,1405,1282,655,143,6983,80,68,65,108,148,155,59,20,699,912,906,891,1228,1682,1655,805,198,8278,0,4,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,4,15,22,29,8,0,86,3,3,9,18,22,29,8,0,100,706,849,852,1054,1487,1310,670,210,7144,85,69,69,96,117,116,75,27,653,794,926,931,1172,1631,1459,754,239,7899,3,10,6,7,0,0,0,0,32,0,3,3,0,0,0,0,0,5,4,9,26,66,151,250,103,37,649,10,26,36,78,154,250,103,37,689,1532,1672,1648,2116,2888,2593,1321,357,14131,163,133,138,210,266,268,129,46,1351,1705,1832,1815,2399,3314,3111,1556,442,16171
SOSR431,42,25,13,24,12,0,0,0,129,6,15,18,15,39,0,0,0,88,11,72,171,381,641,1327,483,191,3277,61,119,205,423,685,1327,483,191,3491,7310,5762,6982,9551,11544,8739,3765,603,54247,764,793,926,990,994,772,374,89,5701,8132,6667,8119,10966,13220,10839,4625,878,63446,4,6,6,0,0,0,0,0,25,0,9,4,5,12,0,0,0,36,6,20,50,104,148,98,23,4,465,18,40,62,115,163,98,23,4,527,6399,5644,7447,9689,11016,8347,3255,733,52532,566,425,462,669,733,617,330,117,3920,6984,6110,7971,10470,11916,9060,3608,859,56981,54,38,21,29,17,0,0,0,153,6,27,26,21,48,0,0,0,129,17,93,224,495,787,1423,505,197,3740,77,152,273,542,852,1423,505,197,4022,13706,11403,14426,19234,22560,17087,7023,1334,106781,1334,1216,1391,1659,1724,1388,704,207,9621,15122,12777,16088,21437,25136,19900,8239,1738,120427
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,7,0,0,0,0,5,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,7,0,0,0,0,5,0,0,3,5,0,0,0,0,12
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,10,19,26,3,0,81,0,7,11,10,19,26,3,0,83,146,252,218,227,221,150,29,3,1243,32,67,64,60,72,39,3,0,341,182,320,289,299,311,214,40,7,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,9,0,6,0,0,13,0,0,0,16,181,243,185,141,160,121,24,10,1062,31,63,53,32,28,17,4,0,228,214,305,245,178,197,141,26,10,1306,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,7,11,9,29,26,5,0,92,0,8,11,15,29,26,5,0,95,324,489,403,376,379,270,50,14,2304,63,124,120,93,96,58,12,0,570,394,627,534,478,513,359,64,11,2975
