SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR231,58,385,7,4608,73,19,20,71,27,100,12,69,29,203,1725,2359,128,52,69,96,25,46,19,41,36,410,414,1342,10047,3665,773,8659,1109,4843,796,4697,1049,17692,2532,55871
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,156,1284,34,24705,178,35,87,121,128,169,48,91,69,455,7442,8832,122,22,92,73,42,46,6,46,53,817,979,2299,54874,9980,2209,31118,7176,22142,3355,13388,3629,66258,9195,223328
SOSR302,109,1016,20,8526,81,35,39,84,59,70,29,54,50,273,3581,4347,70,26,64,42,25,31,15,27,39,556,553,1448,17044,5840,1179,13318,2672,7896,1858,7392,1835,38435,4596,102059
SOSR303,30,186,0,3279,39,12,15,25,24,28,16,22,17,85,2389,2669,24,8,32,20,3,10,3,10,9,234,213,569,10488,1934,382,6785,819,4132,423,2981,566,13010,2807,44325
SOSR311,21,115,8,1714,19,0,12,13,13,16,4,14,9,110,1561,1778,13,0,26,9,4,11,9,9,8,243,229,556,5114,923,204,3361,402,2403,231,1793,350,12102,2001,28886
SOSR312,8,46,0,590,4,0,0,9,0,12,8,9,0,43,505,601,12,4,5,12,0,4,0,3,0,100,81,214,1572,436,116,1316,225,1031,132,805,193,5956,671,12451
SOSR313,13,54,3,1182,6,5,5,15,4,12,0,11,9,52,991,1106,13,4,11,11,9,3,0,6,4,114,118,290,3523,614,147,2275,323,1531,169,1092,230,6286,1193,17373
SOSR314,9,56,7,1074,14,11,3,16,3,17,5,18,10,64,879,1035,18,7,3,15,7,9,3,4,12,150,126,354,3528,627,165,2310,405,1611,170,1108,312,6295,1117,17640
SOSR315,28,99,10,1524,23,3,15,16,8,52,7,25,9,127,1416,1706,22,0,21,20,8,19,3,12,10,243,247,607,4874,1131,318,3239,565,2407,348,2022,513,12276,1897,29585
SOSR321,11,46,0,569,8,6,4,14,5,16,3,5,9,60,641,771,15,5,16,13,0,6,3,11,8,116,109,301,1761,496,139,1268,211,1019,144,861,238,5139,832,12104
SOSR322,3,20,0,241,3,0,0,4,0,7,0,6,3,20,292,342,10,5,8,7,0,5,0,0,4,60,83,183,857,195,68,620,93,507,70,401,91,2306,413,5611
SOSR331,52,287,12,3966,89,16,12,51,27,78,12,58,34,181,2878,3431,184,45,109,75,19,55,20,32,38,451,439,1459,11171,2872,775,7579,1127,5300,698,4020,1100,19379,3691,57703
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,84,879,19,9587,80,21,22,68,36,89,12,60,30,378,3983,4782,54,18,39,44,22,30,12,25,16,611,561,1424,24846,6493,644,18270,1794,11231,1085,9619,1295,47985,5180,128448
SOSR412,8,31,7,439,8,6,3,8,0,4,0,12,3,25,431,498,7,0,6,6,3,0,0,8,5,77,58,171,1998,434,57,1581,180,925,103,749,133,4078,563,10806
SOSR413,8,68,0,587,3,3,0,5,3,3,6,8,0,37,483,563,4,3,4,3,0,4,4,3,0,98,62,192,1404,509,68,1276,140,745,107,901,133,5338,631,11251
SOSR414,0,17,0,132,4,0,0,5,0,0,0,0,0,13,178,200,3,0,0,0,0,0,0,0,0,40,41,89,522,226,29,485,36,273,41,323,51,2317,251,4550
SOSR415,11,79,3,707,8,0,0,6,4,20,5,19,5,60,595,713,3,0,6,5,0,9,0,7,0,137,105,290,2221,697,110,1851,221,1053,151,1154,220,6702,823,15208
SOSR421,0,14,0,142,0,0,0,4,0,4,0,7,0,16,189,226,4,5,3,0,0,0,0,4,5,30,24,76,576,211,43,598,60,345,52,355,71,1745,250,4314
SOSR422,0,16,0,71,3,0,0,0,0,0,0,4,4,13,146,173,8,4,5,4,0,0,0,0,0,20,24,64,300,133,32,319,26,203,30,235,35,1186,195,2692
SOSR431,15,112,3,1309,21,3,0,15,13,28,8,21,9,57,850,1029,30,13,21,28,10,22,4,10,4,119,114,371,3399,1291,213,3239,313,1629,232,1479,297,6159,1103,19355
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,220,1410,25,24341,142,40,66,113,116,174,57,110,72,520,12951,14372,126,32,94,86,34,61,10,60,42,931,987,2452,44852,9518,1396,29806,3528,19817,1782,14594,2296,63668,14733,205986
SOSR511,10,24,4,613,7,7,0,6,3,6,5,0,0,23,539,589,4,0,0,3,0,0,0,4,0,30,33,85,1469,306,55,1224,137,772,79,570,106,2862,617,8198
SOSR512,9,66,0,1138,3,5,0,8,6,11,0,6,3,34,887,971,11,5,5,8,0,0,3,10,0,92,93,220,2642,599,111,1893,236,1119,148,926,166,4279,1065,13183
SOSR513,13,17,4,1098,8,0,6,9,6,9,0,0,0,13,593,656,6,4,3,3,0,0,0,0,0,22,49,89,2022,189,76,817,167,513,50,226,66,945,672,5732
SOSR514,4,15,0,177,0,0,0,3,0,0,0,0,0,8,225,248,3,0,0,3,0,5,0,0,0,17,20,44,432,183,27,407,43,234,33,236,48,1105,278,3033
SOSR515,9,34,0,849,7,5,7,7,10,13,0,9,4,28,807,893,0,0,10,9,4,4,0,0,0,70,77,185,1968,447,126,1310,210,848,115,573,133,3285,969,9989
SOSR521,5,11,3,260,8,0,4,0,3,8,3,6,0,19,298,348,4,0,6,3,0,0,0,0,0,36,48,99,683,180,64,507,76,415,50,288,72,1470,379,4170
SOSR522,0,6,0,128,0,0,0,3,0,0,0,3,0,14,167,188,5,0,4,0,4,0,0,0,0,30,33,75,394,103,27,234,33,200,18,171,44,867,221,2316
SOSR531,31,129,0,1905,23,10,6,25,7,24,3,18,12,50,1394,1567,55,19,29,29,4,15,3,9,6,114,129,406,3883,1296,285,3007,377,1870,239,1459,324,5496,1625,19878
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,11,126,5,1678,12,3,0,5,7,7,3,14,9,51,678,789,4,9,5,5,0,3,4,6,0,100,88,216,3944,1449,152,3198,284,1741,209,1872,259,7558,886,21554
SOSR611,5,35,0,511,4,0,0,4,3,13,0,0,3,16,298,345,3,0,0,3,0,0,0,4,0,38,44,108,1637,526,46,1407,128,689,82,729,87,3025,395,8739
SOSR612,0,23,0,184,0,0,0,0,0,4,0,3,0,18,201,240,0,0,5,0,6,0,0,3,0,39,34,88,744,232,43,694,69,434,37,387,71,2185,284,5171
SOSR613,0,0,0,50,0,0,0,0,0,0,0,3,0,15,62,82,0,0,0,0,0,0,0,0,0,11,10,31,164,62,17,190,21,121,19,125,22,827,81,1653
SOSR614,0,9,0,55,0,0,0,0,0,0,0,0,0,11,86,99,0,0,0,0,0,0,0,0,0,13,12,31,302,102,20,251,31,177,25,127,29,868,124,2047
SOSR615,3,27,0,241,4,0,0,4,0,10,3,9,0,30,283,347,5,0,0,4,0,3,0,0,5,57,72,150,1227,353,67,1043,125,607,84,689,102,3756,432,8480
SOSR621,3,15,0,116,5,0,0,3,0,6,0,4,0,18,135,170,0,0,4,0,0,0,0,0,0,24,25,51,389,167,37,342,49,203,39,274,44,1279,188,3022
SOSR622,0,10,0,51,0,0,0,3,0,0,0,0,0,3,69,78,4,0,0,0,0,0,0,0,0,12,16,28,145,59,10,155,15,108,18,139,21,593,89,1348
SOSR631,10,58,3,763,14,8,5,14,4,17,4,7,3,59,596,737,14,5,12,10,4,0,5,6,5,94,75,222,2204,975,171,2175,220,1292,202,1417,253,5298,787,14994
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,4,47,7,1528,15,0,10,12,6,14,4,5,11,15,971,1056,5,0,3,0,0,0,0,0,5,26,52,99,3821,502,119,1701,261,1118,98,513,113,1666,1069,10978
SOSR712,5,7,0,345,0,0,0,0,0,0,0,0,0,0,155,164,0,0,4,0,0,0,0,0,0,7,6,13,878,73,23,278,30,226,19,84,21,339,171,2139
SOSR714,0,4,0,55,0,0,0,0,0,0,0,0,0,0,37,37,3,0,0,0,0,0,0,0,0,0,6,9,186,15,9,63,13,38,0,13,10,72,55,468
SOSR715,0,0,0,87,0,0,0,0,3,0,0,3,6,7,44,64,0,0,0,0,0,0,0,0,0,12,9,25,254,21,14,73,22,71,3,33,15,314,56,883
SOSR721,0,4,0,65,3,0,0,0,0,0,0,0,0,8,29,42,3,0,0,0,0,0,0,0,0,7,4,11,236,13,9,72,14,66,3,29,12,279,43,780
SOSR722,0,0,0,32,4,0,0,0,0,3,0,6,3,5,32,48,0,0,0,0,0,0,0,0,0,8,14,30,124,28,12,40,10,64,6,54,15,301,48,688
SOSR731,4,12,0,330,3,5,0,0,0,4,0,6,0,16,234,269,7,0,0,0,0,0,0,0,4,25,66,114,805,118,49,329,78,294,34,138,54,784,320,3006
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,81,597,3,8995,26,4,0,25,9,24,11,4,13,81,1371,1572,15,0,12,6,4,5,0,10,4,94,114,268,14257,1990,287,6171,857,4363,357,2950,480,13603,1626,46948
SOSR822,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,19,0,0,7,8,7,0,10,0,19,0,66
SOSR831,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,6,4,6,0,3,0,7,3,51
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,24,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,34,7,5,22,6,20,0,6,3,7,14,114
SOSR921,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,37,12,4,48,3,25,9,34,4,48,7,229
SOSR922,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,5,0,9,0,4,0,26,11,76
SOSR931,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,3,5,11,0,3,0,14,4,12,9,73
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
