SOSR_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,812,87,3,905,913,219,18,14,1167,165,60,228,1396,155,6,1558,36508,5817,884,388,43599,949,271,1218,44823,2987,86,47886,6987,1758,226,187,9168,295,124,415,9582,3137,19,12741,37,14,0,43,94,0,0,0,93,13,85,189,43533,7590,1114,622,52855,1244,391,1634,54497,6142,181,60821,8992,1289,190,51,10523,193,63,257,10779,932,5,11716,7871,1800,212,40,9929,145,63,215,10140,903,14,11052,470,93,118,5,682,12,8,19,704,89,0,791,70,23,0,131,220,3,0,7,229,30,19,277,17404,3202,519,228,21354,356,134,491,21849,1956,36,23842,170,62,8,9,251,62,16,74,324,34,0,359,223,75,4,5,301,41,29,70,376,79,0,452,390,139,17,11,556,102,40,148,698,115,0,816,17800,3338,534,243,21914,462,175,636,22547,2072,39,24658,3975,1093,154,121,5341,169,54,225,5564,2516,22,8108,22,11,0,35,72,0,0,4,73,7,67,145,21794,4446,692,395
SOSR203,28,0,0,29,30,6,0,0,38,9,7,11,49,4,0,50,1915,250,47,11,2221,30,11,41,2263,137,4,2405,286,54,15,3,360,3,0,3,364,116,0,479,0,0,0,0,0,0,0,0,0,0,0,0,2203,306,66,9,2586,31,11,46,2626,251,3,2888,327,42,12,6,389,3,0,3,391,28,0,426,371,71,11,0,455,4,0,6,463,26,0,483,29,4,6,0,31,0,0,0,36,4,0,40,0,0,0,3,5,0,0,0,5,0,0,12,725,118,29,10,881,10,0,12,893,58,3,961,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,5,0,0,0,6,3,0,8,5,0,0,0,10,0,0,0,7,4,0,13,731,122,29,6,891,14,0,14,905,63,3,973,118,21,3,0,144,0,0,0,142,67,0,210,4,0,0,0,4,0,0,0,4,0,0,5,851,138,30,14
SOSR211,17,6,0,21,15,11,3,0,27,6,0,6,32,5,0,35,402,75,9,8,495,14,3,19,518,36,0,550,106,30,4,0,140,8,0,6,148,69,0,217,5,0,0,0,4,0,0,0,4,0,0,9,516,106,14,10,642,21,9,26,668,104,0,771,90,12,4,0,106,0,0,0,106,13,0,124,69,12,0,0,85,0,4,0,89,10,0,96,10,0,0,0,12,0,0,0,12,0,0,12,0,0,0,8,8,0,0,0,8,0,0,8,166,27,3,9,209,0,0,9,217,22,0,235,3,0,0,0,3,6,0,6,5,0,0,14,0,0,0,0,0,0,0,3,5,0,0,5,3,0,0,0,8,5,0,9,12,3,0,10,173,27,6,9,215,5,4,12,228,24,0,253,50,8,0,4,59,3,0,3,65,38,0,105,0,0,0,0,0,0,0,0,0,0,0,0,222,44,5,8
SOSR212,10,0,0,12,18,6,0,0,17,0,0,0,20,0,0,24,1315,169,35,9,1536,21,9,23,1559,79,0,1644,148,33,6,10,196,0,3,8,205,80,0,288,4,0,0,0,4,0,0,0,4,0,0,4,1468,205,44,19,1735,24,11,30,1766,166,4,1934,218,28,4,0,249,3,0,3,256,14,0,269,233,46,8,3,286,7,0,9,299,15,0,314,4,0,5,0,12,0,0,0,12,3,0,15,0,0,0,0,4,0,0,0,4,0,0,5,461,73,16,3,551,14,0,12,565,33,0,597,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,3,4,0,0,5,0,0,0,12,0,0,12,467,75,16,3,556,10,0,13,571,33,0,605,85,18,0,4,102,6,0,6,109,44,0,150,0,0,0,0,0,0,0,0,0,0,5,4,552,91,13,5
SOSR213,19,0,0,20,17,3,0,0,22,0,0,0,24,0,0,26,1015,158,30,15,1226,16,4,18,1246,54,0,1306,151,21,12,8,183,4,4,3,188,45,0,233,0,0,0,0,0,0,0,0,0,0,4,5,1169,181,44,22,1413,18,8,21,1434,101,7,1540,181,27,0,0,206,0,0,0,204,11,0,220,170,25,7,0,204,0,0,0,208,12,0,221,10,3,5,0,15,3,0,3,15,0,0,21,0,0,0,0,3,0,0,0,3,0,0,3,359,55,12,3,431,4,0,3,434,31,0,465,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,5,0,0,5,7,0,0,0,6,0,0,3,10,0,0,10,361,57,12,3,437,3,4,7,447,31,0,473,42,8,3,0,49,0,0,0,49,12,0,63,0,0,0,0,0,0,0,0,0,0,4,4,407,61,19,4
SOSR214,3,0,0,3,4,0,0,0,8,0,0,0,9,0,0,9,444,61,19,7,534,9,4,15,550,32,0,580,61,8,0,0,76,0,0,3,78,27,0,103,0,0,0,0,0,0,0,0,0,0,0,0,512,66,17,14,610,6,9,16,629,60,0,684,86,7,0,0,89,0,0,0,91,4,0,100,61,16,0,0,82,0,0,0,82,4,0,88,4,0,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,145,22,3,4,177,0,0,0,177,10,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,22,3,4,179,0,0,0,176,10,0,193,21,3,3,0,26,0,0,0,26,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,165,32,8,4
SOSR215,12,0,0,11,16,4,0,0,22,0,0,0,24,0,0,23,741,117,28,20,911,11,0,7,924,51,4,975,111,19,10,0,135,0,6,4,143,41,0,188,0,0,0,0,0,0,0,0,0,0,4,6,860,133,40,20,1052,9,3,18,1067,96,11,1174,105,22,3,0,131,0,0,0,131,9,0,143,135,28,4,3,168,0,0,0,168,8,0,175,10,0,7,0,14,0,0,0,14,0,0,14,0,0,0,3,6,0,0,0,6,0,0,5,253,48,13,10,323,0,0,0,323,16,0,340,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,5,0,0,3,6,0,0,0,3,0,0,0,10,0,0,7,260,53,13,10,324,0,0,0,327,22,0,346,36,5,3,0,41,0,0,0,44,17,0,63,0,0,0,0,0,0,0,0,0,3,0,3,292,55,13,3
SOSR221,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,4,224,30,11,4,261,0,0,3,269,7,0,281,27,0,0,0,28,0,0,0,32,9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,252,29,11,7,298,0,0,0,301,18,0,319,30,5,0,0,34,0,0,0,35,0,0,35,41,7,0,0,50,0,0,0,50,0,0,50,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,75,11,0,4,88,0,0,0,88,0,0,93,0,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,5,74,8,6,4,91,0,0,0,95,0,0,93,15,0,0,0,13,0,0,0,13,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,93,8,6,4
SOSR222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,17,7,0,145,4,5,5,154,5,0,157,10,0,0,0,11,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,135,13,7,0,160,4,8,4,165,7,0,172,20,3,0,0,19,0,0,0,19,0,0,22,12,8,0,0,21,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,44,0,0,0,44,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,44,0,0,0,44,4,0,47,3,0,0,0,9,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,5
SOSR231,20,4,0,22,23,4,0,0,34,0,0,0,31,4,0,34,2404,288,77,63,2835,25,6,29,2865,138,8,3011,264,57,24,7,350,7,3,7,355,90,3,449,0,0,0,0,0,0,0,0,0,0,10,12,2666,341,106,71,3188,31,5,35,3224,230,20,3470,412,46,7,0,472,5,0,5,474,38,0,514,407,76,18,8,510,3,5,3,512,30,0,537,27,4,8,0,38,0,0,0,38,0,0,41,0,0,0,3,13,0,0,0,13,5,0,14,848,128,37,19,1024,3,5,5,1033,67,0,1110,0,0,0,0,3,0,0,0,4,0,0,5,3,0,0,0,3,0,0,0,3,0,0,9,6,0,0,0,14,0,0,0,9,0,0,13,859,127,37,15,1035,3,0,10,1050,77,0,1122,125,24,0,5,150,3,0,3,155,39,0,196,0,0,0,0,0,0,0,0,0,0,4,4,983,148,34,22
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,202,24,0,232,282,46,7,12,350,44,14,49,399,49,0,451,14218,1967,600,137,16922,284,73,359,17282,1050,27,18361,2295,429,127,50,2898,94,38,124,3026,769,8,3803,16,3,0,5,27,0,0,0,26,4,17,50,16534,2399,729,199,19848,371,111,486,20336,1818,55,22210,2919,357,95,13,3386,65,22,87,3472,265,11,3748,2036,442,70,11,2556,37,15,52,2607,253,0,2859,286,54,70,3,414,12,0,10,427,39,0,466,29,0,0,26,54,3,0,3,61,5,3,64,5269,852,233,56,6411,114,39,147,6564,564,14,7145,40,15,0,0,53,18,0,18,69,12,0,84,53,15,4,0,68,8,7,21,90,14,0,103,96,28,3,3,128,22,7,33,158,22,0,185,5366,879,239,60,6541,138,45,182,6720,591,16,7326,1005,249,75,18,1345,51,20,74,1413,510,8,1935,4,0,0,3,11,0,0,0,11,0,14,24,6371,1130,313,78
SOSR302,60,11,0,70,75,16,3,0,96,17,0,17,113,25,0,135,3891,776,186,50,4895,77,12,90,4983,328,3,5318,500,143,48,8,699,23,4,20,724,204,0,931,0,0,0,8,7,0,0,0,7,0,4,9,4395,911,234,60,5602,99,16,112,5712,538,6,6258,730,122,16,7,873,7,0,9,887,63,0,951,557,172,32,3,762,19,3,26,788,77,0,862,74,17,31,0,125,4,0,4,127,9,0,134,8,3,0,10,22,0,0,0,22,6,0,27,1373,314,78,24,1788,27,11,39,1825,150,0,1980,18,0,0,0,17,5,0,6,23,5,0,28,22,3,0,0,27,4,0,4,27,3,0,32,38,3,0,0,47,12,0,11,53,8,0,63,1406,320,80,20,1829,42,8,49,1879,157,0,2040,214,69,13,10,296,15,4,14,316,128,0,444,4,0,0,0,0,0,0,0,0,0,3,10,1618,387,91,31
SOSR303,12,0,0,22,13,4,0,0,18,9,8,15,30,9,0,41,1176,171,41,15,1398,23,11,34,1432,115,5,1547,177,40,7,4,232,13,8,18,250,137,0,386,4,0,0,0,5,0,0,0,5,0,3,6,1358,214,47,15,1633,40,23,58,1686,247,9,1941,226,31,11,0,264,3,0,0,265,28,0,294,164,34,8,3,206,5,0,4,212,17,0,226,8,4,10,0,17,0,0,0,17,7,0,24,4,0,0,0,8,0,0,0,8,0,0,8,405,67,21,7,489,10,3,8,501,45,0,549,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,0,6,6,0,6,8,0,0,8,404,67,21,7,494,9,3,11,508,45,0,558,48,17,0,0,68,3,5,4,75,56,0,128,3,0,0,0,3,0,0,0,3,0,5,8,463,78,25,6
SOSR311,10,0,0,8,14,0,0,0,14,0,0,0,14,0,0,14,494,63,17,9,584,9,0,8,586,39,0,632,53,7,3,4,69,0,0,5,72,28,0,102,0,0,0,0,0,0,0,0,0,0,0,0,547,71,21,11,649,8,4,14,660,72,0,729,89,6,0,0,96,3,0,3,97,14,0,113,54,9,5,0,73,0,4,4,72,3,0,78,6,0,3,0,7,0,0,0,7,0,0,7,0,0,0,6,6,0,0,0,6,0,0,9,144,18,11,8,178,3,4,4,183,17,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,153,14,11,8,180,3,4,4,186,20,0,208,16,3,3,0,20,0,0,0,18,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,160,22,10,8
SOSR312,0,0,0,0,4,0,0,0,4,4,0,4,3,0,0,3,188,29,7,5,223,10,0,9,234,18,0,242,22,0,4,0,26,0,0,0,26,16,0,39,0,0,0,0,0,0,0,0,0,0,0,0,206,27,7,3,249,10,0,9,253,28,0,285,20,0,3,0,21,0,0,0,21,3,0,27,29,9,0,0,35,0,0,0,35,3,0,41,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,49,8,3,0,65,0,0,0,65,9,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,8,3,0,63,0,0,0,65,8,0,76,11,0,0,0,8,0,0,0,8,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,64,8,4,0
SOSR313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,31,8,3,349,0,0,0,351,10,0,361,31,5,0,0,45,0,0,0,48,18,0,63,0,0,0,0,0,0,0,0,0,0,0,0,346,38,6,11,394,0,0,6,398,29,0,426,51,6,0,0,65,0,0,0,61,5,0,65,33,7,5,0,39,0,0,0,39,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,14,0,0,101,0,0,0,102,9,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,14,0,0,101,0,0,0,102,7,0,113,11,0,0,0,11,0,0,0,11,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,94,19,0,0
SOSR314,8,0,0,8,7,0,0,0,6,5,0,5,8,0,0,8,373,48,24,6,445,13,4,11,458,26,6,487,48,15,0,0,57,3,0,5,63,21,0,85,0,0,0,0,0,0,0,0,0,0,0,0,415,57,23,7,501,14,3,16,521,44,6,571,60,5,4,0,70,0,0,0,70,5,0,74,29,12,0,0,35,0,0,0,41,3,0,46,4,3,0,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,4,88,19,8,0,116,0,0,0,114,11,0,128,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,89,19,8,0,121,0,0,0,117,12,0,131,9,5,5,0,12,0,0,0,11,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,103,16,9,0
SOSR315,7,0,0,9,6,0,0,0,8,0,0,0,12,4,0,11,452,56,18,10,529,7,3,10,541,33,0,582,62,9,0,0,78,0,0,3,78,34,0,115,0,0,0,4,5,0,0,0,5,0,0,8,513,71,16,11,613,10,5,14,622,73,0,702,85,9,0,0,95,0,0,4,101,5,0,109,36,7,3,0,51,0,0,0,51,5,0,56,0,0,4,0,8,0,0,0,8,0,0,11,0,0,0,3,3,0,0,0,0,0,0,0,127,20,8,4,161,3,0,7,164,10,0,178,0,0,0,0,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,6,0,0,5,130,19,13,4,164,3,0,7,170,16,0,185,21,6,0,0,28,0,0,0,28,11,0,42,0,0,0,0,0,0,0,0,0,0,0,0,149,23,11,4
SOSR321,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,9,192,32,4,7,236,0,0,0,237,16,0,255,21,0,0,0,28,0,0,0,31,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,222,36,10,7,265,5,0,5,263,34,0,296,25,0,0,0,25,0,0,0,27,5,0,23,21,6,0,0,29,0,0,0,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,0,0,55,0,0,0,57,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,0,0,55,0,0,3,55,0,0,63,5,0,0,0,11,0,0,0,11,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,52,8,0,0
SOSR322,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,59,6,0,0,65,0,0,0,65,0,0,67,3,0,0,0,11,0,0,0,11,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,65,9,0,4,77,0,0,0,77,11,0,85,6,0,0,0,7,0,0,0,7,0,0,12,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,19,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,19,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,3,4,0
SOSR331,8,0,0,13,12,0,0,0,18,0,0,0,18,7,0,23,1264,187,63,12,1528,15,3,14,1544,109,4,1653,173,17,8,9,202,7,0,4,205,49,0,252,3,0,0,0,3,0,0,0,3,0,4,6,1441,207,63,17,1730,16,3,25,1755,160,11,1919,240,27,4,4,278,0,0,0,279,18,0,293,161,36,6,3,208,0,0,0,209,27,0,239,21,5,8,0,35,0,0,0,38,0,0,36,6,0,0,3,11,0,0,0,11,4,0,11,429,72,23,12,534,6,0,6,539,48,0,580,4,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,5,8,0,0,0,8,4,0,4,12,0,0,13,431,72,23,12,539,3,0,3,546,46,0,594,65,8,4,0,83,0,3,8,86,26,0,110,0,0,0,0,0,0,0,0,0,0,5,5,502,78,26,19
