SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOSR221,6,9,7,11,23,51,73,78,33,294,4,0,5,23,62,200,279,203,51,826,142,448,567,589,707,742,463,172,112,3933,3,0,8,17,18,66,94,74,49,327,185,180,243,290,480,597,515,264,154,2902,4013,1640,1804,1968,2037,2160,1530,521,129,15813,461,250,199,321,309,403,368,214,159,2689,5079,2636,3016,3431,4032,4990,4478,2240,1002,30906,13,44,110,298,801,1820,2607,1576,613,7881,841,521,648,768,843,943,951,440,134,6085,13,6,23,77,171,493,839,551,165,2335,4,0,0,6,9,14,63,167,213,483,21,40,64,152,367,794,1162,635,179,3417,12,10,28,59,184,627,1161,876,419,3370,13,7,16,33,41,106,206,168,62,657,13,8,13,48,119,390,609,434,111,1743,289,696,866,969,1154,1281,891,314,153,6613,8,0,8,33,52,150,241,190,89,778,443,304,374,470,810,1138,987,489,242,5256,8050,3626,3790,3999,4146,4370,3113,1079,232,32390
SOSR222,3,0,0,12,17,34,43,35,19,158,0,0,3,11,39,111,144,85,35,431,74,258,279,371,356,396,221,52,42,2045,0,0,4,7,14,37,44,44,35,183,102,82,108,194,270,371,245,96,46,1523,2075,923,999,990,1128,1222,731,275,65,8410,262,185,142,170,208,252,176,117,55,1570,2649,1522,1631,1872,2212,2803,2187,1106,414,16396,8,21,64,161,434,999,1293,745,261,3993,443,295,345,416,410,565,494,194,45,3215,3,0,20,33,115,278,436,245,84,1216,0,0,0,0,0,9,28,64,83,188,6,17,28,67,177,429,593,312,87,1720,13,5,11,33,111,353,609,377,187,1694,3,6,6,15,38,60,106,72,41,335,9,7,9,25,85,223,353,183,70,953,160,395,457,557,609,696,452,115,51,3490,5,0,7,8,26,92,121,108,56,421,247,188,191,279,461,638,493,207,76,2781,4091,1955,2057,2121,2362,2484,1539,567,120,17309
SOSR231,33,38,53,69,175,327,423,331,147,1610,34,26,57,119,368,940,1356,703,184,3784,737,2674,2909,3272,3956,3809,2066,609,207,20234,8,13,42,62,188,333,463,390,143,1644,1040,1097,1411,1934,2940,3779,2943,1185,439,16776,27958,14213,11126,13835,17580,17010,10288,3005,612,115639,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,74,198,652,1712,5052,11633,14505,7764,1983,43580,4835,3863,3609,4608,5454,6014,5105,2140,403,36040,68,106,180,493,1515,3452,5242,2992,641,14708,8,10,12,7,41,112,344,686,483,1693,135,256,368,772,2111,4584,6216,3346,733,18530,129,141,154,332,1255,3885,6906,4530,1382,18714,78,75,88,131,352,715,1079,791,287,3598,72,46,109,254,683,1961,3009,1771,415,8318,1545,4230,4467,5181,6713,6708,4079,1244,320,34490,18,28,65,117,376,804,1312,1082,315,4107,2466,2129,2212,3136,5120,7191,5894,2389,772,31306,56769,31396,23592,28490,36181,35319,22275,6906,1268,242190
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14
SOSR299,0,0,0,6,7,10,5,3,0,32,0,6,3,10,12,18,15,3,3,69,21,145,182,162,145,84,25,5,0,772,0,0,0,6,9,9,5,0,0,30,26,37,64,77,69,64,37,10,3,386,243,199,318,153,95,122,52,15,3,1197,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,0,15,38,51,107,123,109,37,12,490,76,93,133,123,117,85,44,20,3,684,0,0,6,17,26,42,40,15,0,148,0,0,0,4,7,0,4,7,0,23,0,0,8,27,70,56,54,17,0,229,0,4,6,19,39,58,66,27,9,234,0,4,3,12,22,15,14,6,5,70,0,4,10,13,42,38,34,7,0,154,44,240,305,321,317,167,60,17,6,1470,0,0,0,5,19,13,12,10,0,68,71,64,124,139,152,126,71,15,5,769,483,423,679,408,297,283,150,36,9,2768
SOSR301,156,227,517,742,1009,1375,1855,2179,1431,9470,393,229,403,773,2069,4264,6165,5008,1985,21290,5204,25491,29816,24086,21825,16318,9551,4852,3043,140186,61,76,186,396,885,1468,2163,2283,1477,8994,8209,10092,14701,16415,17844,17630,14685,8819,5382,113777,175016,98434,113111,106045,83962,56245,32077,12104,3258,680260,15889,11252,12531,11072,9491,7364,5470,3685,2878,79634,213865,151281,178233,170143,151775,124148,96551,54379,24542,1164925,365,1674,5340,10821,23051,37802,47353,33492,14034,173937,27014,27039,33382,32256,27816,22297,18423,9768,3102,201101,420,670,1691,3763,8016,13208,17981,13357,4773,63871,34,32,76,83,225,573,2207,5490,6206,14930,691,1676,3503,7611,15224,23083,26414,16334,4593,99119,824,919,1473,2702,7304,15640,24675,21444,10358,85336,374,443,865,1326,2016,2957,4188,4368,2460,19010,865,491,800,1515,3711,7879,11455,9553,3439,39707,11444,38840,46902,39744,36426,27380,16859,8239,4256,230104,131,159,349,742,1778,3327,5032,5048,2580,19141,21015,18060,23698,27331,30691,31157,26026,15052,7841,200878,352872,210133,232968,214820,170111,111971,61181,22732,5613,1382402
SOSR302,43,68,116,207,291,487,772,1037,774,3802,117,69,114,227,626,1798,3014,2505,1012,9480,1849,7301,7962,7412,7452,6317,4209,2293,1461,46257,20,25,46,145,301,560,1003,1173,770,4041,2603,2960,4076,4858,6029,6904,6408,4100,2423,40351,60774,35312,39754,39554,36659,28193,18963,7674,1791,268682,6272,4733,5413,5009,4878,4388,3515,2445,1631,38284,74916,52585,60215,61380,62015,57084,50621,29997,12572,461370,160,527,1540,3716,8605,16184,23693,18203,7230,79862,9264,8057,9469,10172,9492,8155,8012,4767,1565,68958,129,221,524,1289,3023,5826,9215,7248,2564,30044,11,11,16,46,85,262,1058,2945,3280,7717,260,549,882,1672,3667,6472,9297,6971,2168,31926,251,275,388,761,2103,5568,10794,10800,5323,36264,121,126,223,387,638,997,1713,2146,1337,7687,273,147,252,488,1187,3104,5478,4840,1806,17570,4077,11078,12183,12240,12434,10575,7361,3969,2127,76044,53,57,96,258,637,1311,2366,2728,1413,8923,6666,5376,6407,7985,10226,11938,11402,7244,3763,71014,122689,73107,79381,77767,71988,53997,35786,14643,3286,532643
SOSR303,22,55,71,129,228,337,457,475,307,2086,55,42,58,154,411,962,1296,994,360,4335,952,4304,4957,4470,4224,3436,1979,1022,536,25884,21,22,40,74,196,358,454,524,350,2049,1434,1680,2296,2787,3296,3466,2764,1696,979,20406,32402,18781,19189,17526,15450,11151,6641,2576,732,124450,3895,2899,3191,2808,2552,2112,1478,944,493,20378,40456,28886,31188,29667,29172,25862,20310,11627,5003,222171,58,314,1008,2098,4780,8589,10407,7310,3037,37599,4865,4571,5360,5016,4717,4358,3500,1911,552,34859,76,113,258,679,1478,2751,3951,2753,944,13011,10,9,21,25,39,182,563,1333,1340,3522,116,308,632,1378,3109,4730,5481,3382,923,20055,175,190,274,573,1466,3318,5125,4398,2031,17552,72,95,140,227,425,719,1025,950,504,4153,125,85,134,310,765,1762,2580,1962,634,8367,2137,6539,7736,7331,7260,5981,3675,1760,744,43152,38,38,64,160,369,742,1109,1096,568,4187,3636,3080,3805,4569,5712,6160,4991,2961,1440,36366,65127,39305,39399,34454,30674,22241,12847,4817,1206,250081
SOSR311,19,32,52,79,102,220,376,517,294,1684,49,22,59,117,337,907,1316,1036,354,4191,665,2425,2774,2571,2604,2496,1584,899,490,16512,3,12,33,60,157,259,394,474,281,1679,914,875,1238,1484,1798,2241,1913,1322,753,12538,17653,8957,9429,8706,8000,6765,4392,1942,552,66408,2300,1486,1516,1370,1404,1277,1040,879,459,11719,22786,14530,15899,15420,15879,16545,14790,9823,4161,129830,51,195,564,1375,3128,6133,8718,6801,2683,29644,3382,2708,3124,3122,3011,3127,2866,1763,450,23551,34,68,166,353,784,1801,2839,2331,839,9213,6,5,4,10,35,111,408,1001,1030,2614,91,210,382,787,1836,3245,4316,3077,904,14852,100,119,187,357,1002,2403,4281,4061,1927,14433,35,52,96,134,212,468,789,987,510,3295,105,46,111,222,639,1689,2528,2051,672,8062,1394,3843,4274,4153,4343,4172,2914,1590,719,27404,16,27,59,107,291,536,927,1012,498,3468,2411,1692,1996,2448,3110,3978,3538,2316,1143,22628,35474,19175,19449,17591,15865,13325,8453,3790,1001,134131
SOSR312,4,18,17,31,39,98,170,206,116,689,14,14,14,60,162,374,581,422,119,1763,274,996,1119,1084,1175,1149,808,363,237,7202,0,0,7,19,50,109,197,208,104,698,369,341,485,632,824,1037,960,632,386,5679,6324,3126,2988,2997,3018,2864,2033,895,223,24471,839,411,454,484,488,498,409,305,169,4058,8254,5091,5328,5612,6214,7065,6870,4282,1712,50437,8,61,248,576,1330,2753,4097,3018,1107,13191,1274,991,1218,1241,1232,1415,1438,794,231,9843,19,19,45,148,307,782,1479,1104,351,4251,4,3,5,8,10,76,172,361,456,1097,48,77,150,289,703,1412,1894,1238,357,6156,35,35,61,130,366,982,1919,1778,749,6054,19,29,42,50,84,190,361,408,197,1375,36,21,34,108,299,741,1154,871,249,3525,594,1558,1789,1803,1957,1983,1488,649,323,12147,7,7,10,38,101,217,403,411,197,1394,968,684,782,1037,1406,1893,1740,1106,569,10188,12500,6796,6340,6122,6161,5566,4039,1716,397,49639
SOSR313,12,13,34,51,80,119,194,214,112,830,31,13,23,63,196,444,623,423,132,1953,530,1500,1828,1690,1574,1377,778,371,168,9796,6,4,16,36,67,160,205,211,115,810,698,521,825,998,1077,1272,1022,582,310,7303,13304,6056,6899,6067,5098,4061,2595,1059,261,45409,1656,909,1074,965,884,759,553,352,227,7375,16998,9495,11362,10607,9867,9590,8059,4700,1932,82601,36,103,375,811,1725,3336,4453,3157,1189,15186,2475,1796,2236,2188,1816,1767,1523,815,243,14862,23,45,126,253,503,993,1492,1087,355,4875,0,3,4,10,18,73,168,450,488,1210,79,117,268,586,1125,1789,2192,1422,396,7970,74,65,147,199,526,1357,2090,1838,850,7140,34,20,61,88,151,250,435,410,194,1638,65,36,43,120,346,812,1198,855,260,3736,1158,2385,2819,2688,2534,2251,1433,654,250,16171,13,14,29,56,122,313,460,448,204,1645,1742,991,1322,1588,1811,2152,1805,1018,448,12860,26630,12842,14022,12101,10297,8072,5077,2120,457,91623
SOSR314,15,18,22,34,76,116,186,207,131,805,23,10,20,57,180,447,590,420,141,1896,410,1372,1627,1656,1629,1372,844,399,271,9568,4,6,11,29,73,142,207,193,96,754,593,539,739,942,1210,1293,1041,657,349,7359,12879,5926,6826,6149,5524,4230,2682,1201,310,45733,1933,1071,1189,1095,1087,808,695,456,317,8652,16640,9372,11069,10779,10840,9997,8566,5109,2203,84562,34,88,331,840,1932,3520,4688,3348,1321,16107,2283,1637,1962,2161,2012,1829,1600,819,228,14530,36,44,91,223,553,1057,1626,1153,359,5128,5,0,0,9,18,72,225,523,523,1373,50,118,210,530,1160,1891,2373,1565,441,8342,72,60,98,196,569,1387,2232,1902,944,7462,33,37,40,79,159,248,433,448,231,1703,51,25,44,112,341,873,1179,884,290,3811,901,2122,2445,2567,2659,2268,1563,740,387,15658,9,10,21,53,141,289,492,471,185,1679,1516,1041,1179,1542,2105,2267,1910,1177,536,13280,25880,12643,13914,12437,11316,8619,5372,2263,570,93016
SOSR315,13,22,34,75,141,251,385,372,212,1507,31,19,38,95,330,874,1180,741,213,3526,655,1870,2359,2337,2555,2621,1629,681,388,15083,3,9,18,57,131,242,385,343,192,1390,869,653,1104,1376,1831,2358,2000,1058,623,11868,18444,8437,9379,8762,7938,7198,4860,1828,468,67312,2522,1585,1634,1490,1584,1509,1225,782,476,12807,23621,13233,15395,15213,15934,17552,15559,8185,3254,127941,55,163,519,1290,2954,6495,8957,5684,1983,28100,3246,2207,2776,2867,3035,3318,3132,1493,383,22460,43,49,171,355,825,1845,3069,2020,599,8980,3,0,7,10,38,147,407,832,867,2322,91,168,378,803,1810,3520,4453,2586,602,14399,107,121,165,301,995,2510,4346,3335,1381,13268,47,41,71,140,271,526,847,785,356,3085,103,43,76,208,619,1677,2541,1727,453,7438,1435,3030,3608,3739,4283,4545,3147,1326,572,25682,17,20,39,101,244,569,972,814,348,3125,2184,1339,1772,2289,3224,4352,3822,1988,952,21922,37110,17972,18910,17424,16301,14269,9806,3708,867,136366
SOSR321,4,5,13,17,42,108,134,150,77,550,10,6,13,22,105,377,431,278,66,1303,231,618,744,798,919,1082,555,199,81,5216,0,0,15,17,46,108,153,127,78,539,323,241,322,493,675,984,755,339,135,4265,6616,2985,3036,3238,3321,3156,2036,708,142,25231,1099,585,564,563,635,690,530,308,93,5079,8667,4681,4982,5588,6504,7617,6245,3035,877,48190,16,65,157,458,1200,2836,3588,2042,601,10961,1136,810,862,1016,1156,1383,1185,590,111,8254,19,23,44,126,378,793,1203,723,174,3474,0,0,3,0,12,45,122,221,209,625,21,62,130,312,744,1354,1815,955,197,5597,42,52,70,130,398,1085,1796,1263,417,5253,15,14,31,34,94,229,342,309,141,1203,24,13,28,55,219,700,968,663,143,2802,465,995,1133,1299,1620,1860,1125,392,116,9004,4,4,17,33,81,253,368,292,124,1187,778,486,512,830,1229,1836,1502,681,215,8070,13580,6487,6073,6360,6682,6266,4252,1558,260,51523
SOSR322,7,0,7,10,14,32,73,72,27,242,10,0,7,16,47,170,173,141,34,595,81,252,277,282,402,445,283,85,29,2131,4,0,4,11,25,51,67,55,22,244,115,100,122,172,256,431,317,146,50,1710,2924,1276,1449,1305,1389,1532,932,351,68,11231,540,221,267,258,294,339,278,141,49,2387,3828,1947,2268,2245,2761,3604,2929,1416,386,21390,8,32,63,166,536,1330,1715,1011,233,5091,438,278,346,407,515,620,559,243,35,3445,13,9,17,44,153,387,581,353,65,1619,0,0,0,0,4,19,52,110,103,289,12,22,60,149,376,751,901,507,89,2865,26,24,41,60,168,529,809,596,166,2423,4,8,15,21,34,79,170,148,47,524,26,7,14,32,109,348,423,318,62,1338,176,384,436,470,708,815,546,176,42,3773,4,0,3,18,38,122,178,139,53,557,292,176,205,309,502,826,633,296,97,3345,5802,2779,2919,2627,2826,3134,2061,713,134,23007
SOSR331,28,25,50,88,182,332,448,385,161,1703,53,33,48,138,457,1271,1572,863,174,4608,814,2499,2710,3304,4068,4008,2094,617,152,20274,15,10,26,77,166,380,507,427,147,1757,1112,1044,1381,2096,3061,3992,2869,1224,326,17100,29777,14677,12529,15374,18510,16626,9567,3062,488,120625,4168,2676,2568,2982,3598,3578,2597,1216,256,23639,37565,21960,20340,25889,33453,35907,26694,11227,2454,215473,72,250,670,1953,5611,12364,14712,7754,1731,45116,4545,3353,3417,4642,5608,6198,5000,2091,391,35241,88,92,190,540,1721,3675,5168,2974,571,15014,8,7,8,16,61,172,420,734,510,1950,133,243,400,862,2442,5322,6436,3394,553,19779,149,164,175,422,1513,4359,6995,4843,1279,19898,58,58,98,184,392,741,1117,955,352,3949,119,87,89,289,916,2650,3562,2153,407,10264,1742,4011,4240,5341,6968,7341,4341,1337,292,35614,21,28,56,146,351,871,1382,1133,334,4318,2864,2167,2260,3528,5507,7750,5941,2471,626,33132,60504,31951,25994,31185,37933,34591,20710,6862,1025,250753
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,10,0,0,0,0,42
SOSR399,0,0,3,0,8,14,16,0,7,52,0,0,7,6,23,63,61,8,5,173,25,165,216,170,181,179,104,6,6,1047,0,0,0,5,10,17,14,8,3,61,21,59,86,87,109,176,115,11,0,670,490,364,652,343,312,422,304,47,0,2934,124,199,380,267,232,217,127,28,5,1578,680,777,1345,885,887,1170,870,160,25,6807,3,7,33,80,160,444,484,117,13,1341,87,109,187,160,137,194,172,25,5,1078,0,6,4,19,45,106,163,45,3,390,0,0,0,0,0,8,11,8,6,44,0,0,20,32,74,163,204,70,6,579,0,5,9,24,49,165,249,80,13,591,0,0,7,7,13,21,40,10,3,115,0,3,11,17,45,116,139,31,3,376,68,248,363,339,327,333,202,25,6,1912,0,0,0,10,18,38,44,18,8,143,65,107,137,162,204,318,253,33,3,1281,990,705,1300,787,642,893,711,136,10,6171
SOSR401,119,133,226,323,448,718,1129,1199,972,5267,138,90,154,375,1032,2410,3569,2951,1474,12177,2041,11281,14187,11796,11291,10306,6711,3711,2887,74207,31,37,87,165,437,831,1298,1628,1352,5866,3840,4623,7159,7985,9312,10905,9620,5863,4261,63563,85778,50714,59318,54076,43894,35454,22631,9311,2841,364019,6458,4671,4913,4755,4645,4226,3389,2448,1573,37083,102799,74421,89419,84854,78507,77213,66473,40379,20793,634871,183,753,2607,5477,12467,24162,32887,25444,13315,117295,13237,13001,16317,15883,13972,13482,12171,6899,2716,107685,210,281,684,1636,3645,7462,11596,8639,3826,37988,10,25,34,62,133,434,1530,4106,5947,12277,356,864,1961,4539,8884,15106,18866,12742,4985,68308,360,388,649,1191,3712,9162,15530,14473,9016,54475,277,283,421,614,951,1617,2489,2557,1724,10938,351,213,356,701,1837,4467,6732,5626,2668,22944,4146,17143,22450,19763,19479,17503,11544,5977,3978,121988,71,65,161,329,949,1976,3256,3479,2383,12666,9852,8389,11269,13242,16082,19253,16991,9941,6258,111284,172469,109151,124258,110645,89928,69837,42552,17320,4982,741145
SOSR412,4,8,19,18,50,73,113,122,76,489,8,10,10,52,132,284,358,319,108,1296,210,1072,1367,1098,1105,983,583,330,176,6921,0,4,11,24,48,77,115,163,97,535,381,384,621,668,789,868,721,483,255,5164,6887,3542,3542,3328,3395,2623,1653,781,183,25934,699,420,414,409,400,441,306,262,158,3506,8762,5743,6319,6021,6535,6369,5250,3642,1510,50153,10,78,259,576,1298,2308,2809,2358,1025,10722,1510,1307,1645,1445,1379,1281,1088,726,214,10597,23,22,60,131,296,666,941,814,290,3240,4,3,0,0,15,43,139,398,382,996,45,87,169,318,827,1457,1774,1243,425,6348,49,41,68,121,340,869,1356,1356,676,4877,25,21,33,45,83,179,237,244,138,998,29,27,34,85,236,516,697,626,215,2470,437,1680,2115,1781,1802,1624,996,515,247,11213,6,8,11,32,94,190,276,337,184,1142,936,736,1001,1109,1378,1578,1258,804,396,9191,13908,7625,7548,6768,6765,5224,3215,1350,353,52757
SOSR413,8,12,15,30,38,80,132,127,89,521,5,7,16,28,107,263,392,344,133,1309,160,838,913,847,939,930,660,330,151,5762,0,4,4,16,49,86,131,145,82,520,234,293,413,486,679,829,781,490,280,4482,5915,2901,2859,2734,2963,2711,2269,990,270,23602,723,374,374,367,417,387,393,271,156,3473,7480,4658,4842,4866,5682,6250,6547,4081,1818,46229,11,74,204,397,1034,2157,3328,2732,1172,11110,1167,1009,1098,1069,1146,1265,1267,748,237,9019,13,24,46,127,273,589,1110,961,329,3463,0,4,5,5,14,38,147,385,446,1048,35,66,142,293,635,1310,1793,1368,470,6114,20,32,62,100,295,779,1499,1548,777,5108,17,14,22,50,79,158,274,264,146,1026,19,18,30,54,195,463,746,662,268,2463,335,1308,1428,1381,1571,1577,1163,578,223,9563,3,12,10,25,86,190,299,350,174,1141,688,542,658,788,1156,1473,1446,896,416,8063,11746,6217,5948,5613,5914,5376,4223,1906,487,47426
SOSR414,3,3,4,5,13,21,35,45,31,150,8,3,5,12,35,64,149,102,46,420,64,259,372,333,348,345,285,145,93,2243,0,0,0,6,12,14,52,60,45,195,100,106,152,184,250,306,348,188,102,1735,1997,926,966,1024,952,987,904,425,100,8271,193,90,118,119,115,133,159,119,55,1102,2485,1468,1674,1787,1853,2187,2680,1653,658,16437,3,19,61,147,341,743,1402,1156,476,4354,380,308,390,351,399,404,488,303,92,3119,6,4,8,33,80,203,453,371,118,1273,0,0,0,0,4,6,65,165,173,414,8,27,42,84,204,336,646,528,174,2056,8,15,11,37,78,253,654,637,335,2032,3,5,11,14,27,43,78,92,53,328,7,5,4,17,64,111,273,218,99,806,127,405,556,504,572,573,500,265,128,3639,0,0,0,10,28,45,134,151,83,449,257,191,228,267,404,524,593,338,150,2954,3974,1987,2104,2095,1973,1869,1692,848,167,16700
SOSR415,3,15,17,31,47,67,120,146,98,551,10,8,7,37,130,329,462,411,168,1563,217,866,1159,1054,1219,1200,831,495,351,7389,0,6,19,20,42,92,131,200,143,643,345,317,540,639,821,1040,951,587,482,5722,7871,3401,3861,3752,3725,3459,2785,1258,392,30503,824,416,489,446,542,551,574,432,253,4520,9775,5332,6395,6417,7231,8113,8108,5260,2513,59145,32,58,249,581,1411,3090,4420,3393,1550,14780,1479,1170,1346,1478,1479,1723,1591,942,350,11554,24,24,48,134,351,814,1375,1194,451,4421,0,0,0,6,15,55,194,547,722,1530,40,73,142,330,771,1638,2433,1708,639,7774,43,28,48,112,378,1060,1986,1938,1011,6604,14,22,29,54,102,193,300,336,179,1224,23,17,31,74,245,653,969,841,309,3171,437,1339,1822,1704,1994,2023,1541,828,478,12171,6,6,24,30,83,228,367,444,241,1419,893,627,865,1051,1412,1933,1821,1032,712,10348,15540,7563,8147,7637,7599,7013,5506,2348,657,62006
SOSR421,3,3,3,6,13,26,35,33,27,145,7,0,4,7,26,70,140,84,46,389,63,212,272,259,311,349,206,90,85,1851,0,0,3,3,9,23,44,37,46,166,85,66,106,150,222,299,261,139,123,1449,2067,937,1023,986,1051,1076,866,340,97,8446,227,131,124,159,169,200,188,125,94,1418,2579,1446,1632,1694,1981,2506,2365,1318,711,16230,5,14,53,157,386,956,1234,860,441,4104,364,285,336,357,362,471,459,224,90,2948,8,3,12,29,87,227,428,293,130,1208,0,0,0,0,0,10,60,124,213,417,6,17,33,82,187,464,688,459,165,2097,4,16,13,32,106,303,572,484,306,1839,4,6,12,11,22,55,88,92,47,333,7,3,13,7,47,155,276,190,90,789,109,320,422,442,504,621,386,171,121,3103,0,0,3,8,21,77,107,93,74,376,207,134,173,239,379,576,493,256,177,2646,4145,2026,2067,2007,2120,2169,1696,636,168,17035
