SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR101,165,22,31,34,134924,135176,4653,259,178,58,156344,161493,114465,4413,5747,229,247917,372776,231391,10443,17482,510,95121,354942,194765,12565,27333,1386,56386,292439,167306,10787,31532,3295,36041,248972,127197,7199,22007,6919,16299,179630,70154,2951,8968,10245,6038,98353,20996,579,1870,10530,1594,35570,931091,49233,115145,33211,750667,1879348,253,29,24,30,126464,126802,10601,694,426,58,140652,152436,154181,7488,9116,398,209688,380866,237241,14482,25270,1587,80997,359568,193048,15915,41309,4790,49014,304077,158845,12273,45628,13843,29453,260048,113383,7198,33250,29744,14586,198163,49979,2213,14257,42847,5409,114713,9937,422,3663,40062,2420,56501,927470,60711,172952,133366,658680,1953176,423,47,57,62,261383,261971,15255,959,599,120,297002,313934,268645,11908,14867,631,457601,753648,468624,24921,42753,2093,176118,714513,387813,28483,68645,6173,105399,596518,326157,23063,77165,17143,65500,509021,240581,14392,55256,36667,30884,377790,120131,5168,23227,53100,11449,213068,30929,1003,5535,50594,4012,92069,1858560,109941,288097,166577,1409348,3832530
SOSR102,22,3,5,10,31404,31448,501,24,13,22,32967,33526,17367,882,866,36,46246,65404,36098,2496,3739,148,20740,63218,36689,3594,7869,408,15710,64262,37265,3057,10289,1098,11108,62818,35473,2284,8817,2561,4657,53798,21882,954,3919,4236,1535,32519,6193,167,695,3929,393,11378,191476,13475,36210,12451,164762,418370,28,5,5,8,29930,29980,976,72,30,12,31518,32608,23300,1645,1476,102,40545,67067,38611,3576,5605,385,18637,66817,37938,4367,11270,1161,13258,67991,37823,3798,14675,3679,8268,68238,33319,2280,12724,8558,3567,60452,17027,716,5637,14095,1267,38742,3271,115,1382,13851,497,19113,192297,16571,52796,41856,147493,451009,44,14,6,18,61333,61418,1480,92,37,36,64487,66135,40666,2527,2343,138,86798,132466,74705,6076,9348,530,39377,130034,74626,7959,19136,1574,28965,132254,75087,6855,24966,4780,19382,131061,68791,4568,21540,11118,8224,114242,38902,1672,9551,18333,2804,71267,9466,282,2071,17784,892,30494,383770,30043,89008,54308,312254,869377
SOSR111,12,3,0,0,5789,5812,117,11,3,0,5465,5592,3758,228,230,6,8382,12602,6537,563,761,24,3956,11839,6227,700,1436,73,2726,11161,6400,574,1747,197,1785,10713,6408,407,1494,467,800,9580,3760,141,591,629,238,5351,1007,27,112,550,44,1737,34231,2651,6370,1941,29184,74382,0,0,0,5,5717,5724,230,28,11,3,5418,5687,4958,414,347,37,7581,13334,6886,844,1144,96,3659,12628,6508,856,2117,264,2423,12167,6524,757,2693,682,1373,12026,5969,442,2240,1547,608,10801,2924,126,927,2502,207,6687,523,11,175,2195,80,2981,34527,3478,9653,7316,27063,82029,17,5,8,4,11505,11534,350,34,8,6,10885,11277,8716,644,574,42,15960,25933,13427,1398,1904,118,7620,24467,12737,1557,3555,335,5149,23325,12925,1336,4444,875,3157,22736,12375,849,3738,2013,1402,20378,6684,268,1517,3126,445,12040,1531,32,280,2745,121,4715,68760,6129,16026,9260,56247,156414
SOSR112,23,3,0,8,15805,15845,421,28,18,7,14842,15316,10062,597,457,33,22314,33457,15963,1276,1678,59,10661,29638,15726,1653,3761,187,8055,29387,16926,1625,5020,554,5668,29795,17956,1252,4533,1389,2723,27849,11822,515,1974,2024,907,17249,3414,97,384,1994,237,6127,92317,7055,17824,6252,81215,204668,20,9,7,3,15145,15182,687,72,17,20,14344,15136,12483,1025,795,68,19988,34351,16443,1885,2585,210,9731,30854,16017,2233,5461,650,7086,31444,17613,2041,7212,1814,4477,33159,16979,1302,6509,4491,2189,31469,9230,402,2757,7707,892,20989,1839,69,684,7318,371,10278,91307,9034,26015,22282,74224,222863,39,13,7,11,30954,31027,1109,98,27,28,29186,30457,22549,1616,1242,95,42301,67805,32401,3161,4262,273,20389,60489,31739,3891,9222,842,15143,60830,34538,3671,12235,2364,10145,62954,34940,2559,11040,5884,4910,59320,21055,920,4734,9732,1802,38241,5262,166,1067,9310,609,16410,183626,16091,43837,28535,155439,427530
SOSR113,5,8,4,6,6746,6766,143,8,3,9,5767,5932,3280,247,218,13,9409,13168,5936,599,771,24,5226,12557,6479,819,1864,109,4000,13273,8161,811,2584,295,3039,14884,9457,748,2551,727,1414,14900,5861,264,1103,1154,467,8843,1566,47,183,955,114,2868,40889,3552,9282,3282,36192,93193,3,0,0,0,6011,6018,249,24,4,8,5260,5547,4229,439,331,30,8783,13814,6499,877,1178,77,4650,13279,6950,995,2512,296,3409,14165,8587,979,3461,947,2234,16213,8936,642,3168,2332,935,16020,4479,180,1343,3899,350,10253,882,41,312,3643,120,4991,40827,4169,12314,11232,31760,100303,15,11,4,3,12760,12787,394,31,7,9,11031,11479,7509,688,547,44,18197,26977,12443,1474,1943,95,9876,25839,13431,1812,4382,400,7414,27435,16751,1789,6045,1243,5278,31098,18395,1388,5721,3065,2352,30922,10340,443,2448,5052,814,19095,2445,89,496,4597,235,7856,81717,7723,21588,14514,67949,193489
SOSR114,8,3,0,3,7243,7265,152,14,6,6,6414,6586,4426,252,197,11,9586,14476,7640,566,780,16,4788,13787,7626,853,1787,93,3938,14292,8706,878,2775,315,3008,15678,10189,745,2725,812,1480,15942,6802,276,1211,1257,537,10077,1918,37,195,1203,161,3513,47463,3622,9675,3712,37148,101622,5,3,4,10,6904,6922,263,25,8,8,6370,6674,5663,454,336,22,9081,15561,8065,924,1259,105,4671,15020,7912,1049,2594,314,3380,15260,9294,1060,3616,1051,2295,17322,9790,664,3219,2644,952,17270,5382,197,1414,4487,412,11893,963,36,308,4121,201,5633,47341,4408,12765,12759,34276,111551,10,8,7,16,14148,14190,412,39,16,11,12786,13258,10088,705,529,35,18675,30040,15708,1489,2043,123,9457,28809,15538,1906,4382,410,7321,29552,18002,1932,6387,1360,5306,32999,19977,1411,5947,3445,2428,33212,12179,474,2617,5746,953,21969,2882,73,507,5327,359,9144,94807,8034,22436,16470,71423,213174
SOSR115,8,0,0,7,10121,10144,209,11,5,3,8309,8544,5454,305,232,10,12667,18668,10045,788,1072,49,6927,18881,10831,1277,2488,182,5892,20666,13879,1368,4093,504,4743,24580,16669,1256,4450,1321,2399,26088,9776,492,1864,1934,821,14889,2506,89,290,1486,185,4552,69375,5588,14500,5499,52059,147017,7,5,0,0,9526,9539,368,33,0,3,7541,7943,7080,597,466,42,11617,19796,10844,1232,1592,142,6579,20385,11581,1595,3665,415,4954,22209,14949,1470,5347,1519,3617,26907,15651,960,4812,3700,1688,26813,7584,308,1886,5956,516,16251,1240,46,380,5449,191,7304,69298,6248,18143,17237,46224,157150,11,7,0,10,19649,19681,578,49,9,10,15850,16491,12535,897,702,55,24280,38468,20882,2025,2666,190,13506,39268,22412,2873,6156,593,10844,42877,28830,2835,9436,2024,8361,51481,32320,2219,9259,5023,4084,52903,17362,802,3750,7896,1339,31139,3746,132,669,6935,379,11859,138672,11841,32639,22733,98284,304163
SOSR121,5,0,0,0,2926,2929,33,0,0,0,2154,2201,1344,73,75,3,3042,4535,2861,208,304,10,1738,5125,3583,296,684,56,1576,6199,4355,403,1188,134,1235,7321,4767,341,1153,340,582,7184,2325,117,419,444,181,3482,472,11,55,290,47,879,19760,1455,3878,1281,13482,39852,0,0,0,0,2802,2804,96,3,3,0,1895,1993,1798,119,109,4,2778,4811,3219,255,393,22,1661,5549,3912,378,920,107,1275,6590,4660,374,1397,384,871,7684,4269,251,1157,882,344,6915,1660,60,396,1152,102,3368,238,8,61,863,28,1199,19861,1454,4431,3432,11748,40916,7,0,3,0,5721,5735,129,8,5,0,4050,4192,3141,193,181,11,5813,9347,6081,463,698,35,3401,10674,7495,674,1598,167,2852,12789,9015,774,2585,513,2108,14998,9033,594,2315,1220,932,14096,3985,177,817,1593,280,6858,717,19,113,1153,70,2080,39617,2906,8317,4706,25229,80771
SOSR122,0,0,0,0,1350,1346,25,0,0,3,1110,1138,609,45,37,0,1611,2300,1268,139,137,10,939,2489,1605,192,423,22,954,3188,2247,263,734,90,911,4241,2267,233,734,224,415,3877,1152,80,269,264,127,1895,208,15,41,136,23,427,9377,967,2367,755,7436,20901,0,0,0,0,1249,1247,37,6,0,0,1005,1053,808,62,66,12,1435,2372,1407,119,202,20,839,2585,1805,214,487,75,759,3328,2341,234,785,238,623,4223,2074,132,682,513,254,3645,799,35,187,628,53,1710,105,0,40,415,7,575,9378,801,2448,1896,6221,20745,0,0,0,0,2592,2599,67,11,0,6,2112,2187,1416,108,101,8,3045,4676,2671,258,334,35,1778,5073,3402,403,912,97,1708,6515,4590,494,1519,328,1535,8463,4342,360,1413,736,667,7524,1950,121,459,898,182,3607,319,21,78,549,34,1000,18757,1770,4817,2648,13659,41640
SOSR131,24,0,5,5,19139,19179,284,17,13,7,13755,14066,7667,407,348,10,17202,25644,18172,1125,1538,80,9682,30595,26519,1766,4130,229,8631,41279,31394,2119,6996,776,7449,48733,28154,1836,6323,1712,3494,41527,12949,583,2092,2028,826,18477,2273,92,273,1194,177,4005,127439,7944,21717,6041,80359,243500,15,0,0,0,17235,17250,500,22,10,3,11341,11874,10018,540,499,44,13747,24836,20806,1127,1843,171,7603,31539,28693,1696,4468,639,6397,41886,32059,1723,6396,1805,4608,46587,24508,1004,4716,3813,1716,35755,8743,236,1484,4594,440,15494,978,33,197,2899,106,4215,126319,6384,19610,13962,63177,229449,37,8,5,5,36370,36426,785,36,21,8,25097,25946,17681,947,847,52,30949,50478,38979,2254,3380,250,17277,62140,55206,3461,8599,865,15022,83164,63458,3844,13382,2577,12052,95316,52664,2841,11039,5526,5211,77284,21690,815,3578,6624,1268,33967,3251,123,471,4094,286,8221,253755,14325,41324,20006,143538,472950
