SOSR_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR222,713,0,0,0,0,0,0,118,831,541,36,16,3,0,0,0,91,685,445,117,92,21,8,0,0,67,755,273,182,222,91,29,5,0,69,871,193,126,293,172,53,14,9,66,931,151,120,324,167,63,12,16,76,939,178,133,337,192,89,29,15,96,1060,188,121,370,264,92,22,9,87,1154,213,112,451,277,127,43,22,97,1340,176,141,475,353,126,53,23,131,1464,135,95,400,290,132,46,26,96,1226,89,60,309,247,104,45,27,73,963,57,40,219,156,93,36,29,66,688,30,15,81,99,67,39,23,62,416,22,26,68,86,69,39,49,65,414,3393,1320,3669,2414,1062,384,244,1268,13745
SOSR231,11023,42,3,0,0,0,4,1555,12624,7288,415,129,26,5,0,0,895,8759,5174,1298,958,342,64,5,11,797,8653,2948,1815,2509,1235,334,54,37,817,9745,1863,1419,3721,2386,727,179,92,926,11318,1596,1246,4176,2745,959,272,133,988,12112,2000,1466,4939,3295,1174,302,178,1121,14484,2228,1642,5704,4008,1444,359,233,1283,16892,2316,1577,5934,4188,1661,464,260,1365,17764,2082,1423,5676,4492,1900,504,263,1397,17743,1578,1168,4833,3970,1731,476,262,1290,15311,1030,845,3806,3213,1536,463,217,1070,12180,510,398,2062,1856,1036,368,269,826,7320,232,204,838,1030,655,298,257,489,3998,145,139,568,616,561,251,305,441,3033,42010,15093,45848,33412,13781,4001,2527,15252,171931
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SOSR299,142,3,0,0,0,0,0,86,229,187,28,8,3,0,0,0,94,321,218,29,41,13,10,0,4,148,450,145,41,33,27,8,9,7,162,425,86,39,41,28,17,4,10,182,416,53,23,34,23,10,4,7,162,321,41,26,33,12,13,0,5,106,238,53,19,41,24,13,6,5,88,242,30,17,45,41,8,0,0,63,212,31,24,55,38,14,4,0,56,217,20,13,27,16,5,5,0,51,141,9,5,29,14,4,0,0,23,74,5,3,9,11,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
SOSR301,64338,477,48,12,0,3,12,4948,69837,68885,4208,1696,380,70,24,25,6150,81441,60150,10951,6950,2420,668,196,95,6280,87716,39109,19049,17880,6234,2120,679,409,5041,90517,21874,17430,29690,11115,3485,1187,893,4490,90166,14251,12941,29495,12899,4314,1460,1206,3408,79982,12756,11782,29009,13946,4699,1619,1335,3173,78320,11248,10586,27238,13834,4859,1590,1267,2837,73452,9385,8759,23783,13205,4765,1575,1164,2590,65219,7423,7248,21040,13239,5054,1575,966,2393,58927,5645,5852,18136,11962,4858,1429,879,2214,50970,4248,4361,16433,11194,4667,1439,931,2311,45582,2872,2702,10521,8149,3745,1326,959,2121,32396,1802,1428,5604,5390,3190,1391,1117,2071,21986,1800,1732,5242,5064,3411,1791,1816,3683,24542,325780,119498,242774,129057,49913,17272,13062,53702,951062
SOSR302,23305,90,7,0,0,0,0,2093,25492,23020,1160,380,54,8,3,4,2462,27087,20084,3718,2196,552,129,24,12,2526,29239,13206,6556,6375,2021,514,118,35,2148,30975,7186,5900,10871,3960,1093,274,170,1910,31358,4817,4906,11590,4950,1514,378,235,1628,30020,4529,4976,12342,5529,1717,449,254,1678,31474,4716,4556,11696,5562,1738,473,271,1530,30537,4372,4135,10883,5505,1868,486,212,1529,28996,3852,3615,10450,5990,2008,545,244,1380,28091,3112,3020,9892,5705,2023,496,198,1315,25757,2628,2598,9754,5687,1967,510,231,1488,24857,1694,1631,6296,4433,1729,492,252,1512,18039,972,901,3398,2921,1524,565,326,1349,11955,889,1038,2802,2629,1587,704,552,2359,12572,118370,48788,108931,55496,19429,5515,3010,26913,386454
SOSR303,12613,151,20,0,3,0,0,1310,14099,11565,1173,395,99,18,6,5,1525,14789,9245,2371,1658,622,199,59,30,1540,15732,5582,3009,3359,1405,482,182,143,1306,15462,3459,2601,4636,2223,810,290,252,1194,15469,2355,2013,4672,2443,982,376,332,1019,14201,2405,2098,4815,2668,1087,366,384,968,14786,2223,1956,4808,2728,995,393,362,905,14384,1977,1667,4408,2665,1087,354,295,821,13279,1720,1434,4156,2724,1205,362,254,735,12579,1273,1088,3657,2508,1061,348,250,653,10848,930,894,3193,2216,1028,339,217,638,9460,611,527,2084,1688,841,320,264,621,6952,359,278,1105,1098,743,313,275,502,4668,355,347,867,1034,767,397,429,806,5003,56675,21610,43838,26129,11307,4095,3503,14556,181716
SOSR311,6558,93,11,0,0,0,0,675,7345,5298,744,316,72,9,5,7,723,7181,4086,1402,1152,409,126,35,15,681,7917,2243,1525,2181,973,339,94,58,580,7986,1336,1292,2687,1421,513,182,134,554,8118,1044,928,2469,1471,574,241,149,430,7306,1022,983,2620,1651,661,248,170,507,7859,1010,974,2829,1629,687,228,161,500,8016,980,918,2815,1854,757,273,168,472,8247,928,817,2868,2004,817,273,160,449,8298,734,722,2683,1831,776,248,161,460,7615,696,636,2420,1735,765,232,141,547,7171,457,401,1715,1378,696,294,164,544,5653,312,250,980,950,624,285,242,533,4169,298,226,770,813,643,327,358,725,4161,26998,11919,28525,18190,7986,2954,2095,8378,107048
SOSR312,2419,34,3,0,0,0,3,243,2705,1712,282,149,34,3,0,0,196,2385,1286,466,410,169,44,18,7,213,2609,734,528,753,353,118,42,23,168,2721,494,451,931,513,185,66,54,184,2871,384,387,938,493,226,76,78,159,2738,428,408,1001,592,275,116,87,174,3076,451,431,1033,583,290,96,91,160,3132,458,420,1161,795,288,107,71,182,3485,413,387,1199,878,343,93,65,199,3581,402,335,1210,845,352,117,67,191,3519,327,299,1205,798,351,117,52,209,3350,219,205,840,617,305,127,90,180,2575,118,105,405,441,253,131,81,183,1710,116,108,327,377,269,137,143,243,1712,9966,4836,11579,7481,3318,1236,899,2875,42184
SOSR313,4217,66,10,0,0,0,5,448,4754,3358,612,278,56,13,0,0,411,4740,2671,1023,909,392,125,33,10,471,5630,1530,1015,1523,758,304,88,57,449,5737,832,790,1852,1094,399,154,96,384,5589,648,624,1626,1068,430,174,128,322,5017,605,629,1562,992,472,183,157,293,4896,605,542,1635,1105,463,174,131,311,4973,531,531,1649,1087,514,165,97,282,4858,480,415,1625,1166,530,147,109,268,4730,441,381,1426,1054,448,147,97,243,4241,330,288,1265,969,462,160,85,255,3820,240,196,760,697,398,151,118,236,2794,136,103,419,449,310,123,132,225,1906,138,94,328,374,322,186,194,303,1932,16758,7324,16887,11262,5185,1883,1413,4903,65608
SOSR314,4331,52,8,0,0,0,0,583,4973,3223,435,214,39,11,0,0,467,4394,2670,917,847,275,103,12,10,575,5405,1509,1033,1519,706,257,78,41,516,5663,812,771,1906,1077,392,119,100,456,5630,633,599,1754,1014,480,156,116,393,5148,625,620,1813,1134,469,171,137,430,5402,634,624,1937,1092,448,167,108,430,5438,620,515,1733,1196,479,171,120,362,5198,501,425,1619,1220,505,150,84,294,4797,443,423,1527,1170,463,143,84,317,4563,331,295,1292,1071,463,141,97,318,4005,225,209,821,775,416,165,104,281,2994,142,122,450,541,296,159,142,267,2120,149,116,372,440,336,199,193,401,2203,16847,7155,17810,11755,5101,1843,1321,6096,67919
SOSR315,5970,130,14,3,0,0,0,871,6984,4321,749,332,74,15,4,3,752,6247,3473,1340,1173,492,183,54,20,808,7542,2083,1338,2080,1046,383,150,69,705,7855,1277,1066,2339,1472,624,228,157,657,7824,962,928,2261,1484,664,240,243,603,7388,1076,907,2434,1563,651,287,248,640,7817,1098,1006,2543,1599,688,287,247,642,8115,1085,956,2802,1849,827,299,190,697,8706,1040,865,2816,2041,954,293,232,601,8846,893,760,2697,1880,907,308,174,587,8196,643,562,2375,1843,876,258,190,617,7362,372,341,1439,1165,729,248,194,545,5030,207,168,700,749,495,205,204,413,3152,187,200,582,593,475,261,311,646,3254,24694,11312,26594,17853,8472,3124,2477,9786,104319
SOSR321,2175,40,4,0,0,0,0,395,2619,1391,236,118,37,9,0,0,273,2059,1048,423,437,169,58,11,8,255,2400,657,403,671,342,159,56,23,271,2582,449,392,851,529,226,88,81,261,2873,404,315,851,518,234,97,66,232,2720,394,424,1000,586,287,95,92,256,3132,489,386,1066,654,276,119,90,294,3372,511,404,1245,728,345,125,81,289,3730,484,387,1257,835,400,109,84,331,3886,356,298,1076,803,391,108,84,238,3362,241,235,908,748,325,120,63,245,2882,130,129,557,483,258,104,73,225,1954,62,63,236,226,173,88,79,155,1084,46,57,142,168,162,97,80,118,877,8836,4187,10410,6826,3299,1216,906,3850,39529
SOSR322,804,22,8,0,0,0,0,139,975,612,146,63,31,8,0,0,122,972,434,209,181,98,38,9,10,127,1096,290,196,286,147,75,29,26,120,1176,190,168,275,201,103,42,35,111,1123,184,154,316,167,103,46,48,102,1122,186,149,372,242,104,57,58,121,1283,203,168,442,268,132,74,67,122,1480,224,208,501,353,176,44,65,170,1740,223,189,569,430,179,59,57,142,1861,160,136,495,380,165,49,45,149,1578,108,120,426,324,161,51,50,129,1349,63,69,221,229,141,55,50,96,921,34,20,101,112,72,32,39,84,497,14,12,63,84,62,36,49,64,386,3734,1977,4310,3052,1520,593,579,1797,17558
SOSR331,11230,78,0,0,0,0,0,1587,12901,6881,698,274,43,6,0,9,1138,9058,4685,1677,1394,498,145,30,8,1147,9591,2715,1780,2913,1494,501,124,46,1183,10753,1907,1618,4067,2422,877,292,171,1159,12502,1659,1472,4456,2828,1122,335,247,1272,13387,1930,1730,5286,3379,1371,399,317,1443,15867,2246,1704,5935,3816,1586,487,305,1512,17584,2238,1773,5957,4148,1802,566,345,1586,18400,1944,1548,5491,4280,1943,531,323,1450,17504,1374,1234,4600,3589,1740,571,295,1300,14715,914,875,3738,3085,1510,498,268,1091,11978,518,483,2041,1880,1056,410,280,771,7432,233,217,776,934,657,307,227,438,3789,117,139,447,531,420,235,266,290,2454,40593,17023,47384,32917,14733,4789,3104,17366,177913
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,28
SOSR399,210,4,0,0,0,0,0,66,291,288,31,16,3,5,0,0,139,493,411,57,28,29,11,0,3,224,762,253,51,67,33,19,7,6,149,582,100,48,88,48,27,8,8,130,454,79,46,59,47,25,18,13,139,425,87,55,60,52,27,12,4,116,408,94,61,92,58,27,15,12,114,484,87,47,151,87,31,11,10,102,521,79,58,216,122,59,20,12,92,652,50,43,159,130,54,12,8,77,535,22,17,129,71,30,14,3,41,330,12,9,40,29,9,8,4,19,124,6,0,11,8,0,5,5,10,37,0,0,3,6,0,3,0,3,25,1770,525,1137,733,317,128,80,1441,6127
SOSR401,31307,147,18,3,0,0,8,2247,33732,35777,1579,600,108,20,5,6,2597,40690,31648,5617,3106,913,248,61,28,2453,44072,19924,10153,9293,2826,732,231,139,2043,45351,10734,9131,15810,5360,1510,485,363,1721,45107,6920,6751,15606,6173,1767,595,492,1449,39749,6293,6193,15374,6429,1945,657,554,1407,38841,6411,6050,15581,7074,2049,598,516,1385,39662,6303,5525,15298,7158,2313,689,488,1298,39061,5630,5049,15045,7502,2474,689,429,1339,38152,4455,4359,13928,7091,2309,626,382,1317,34468,3353,3462,13263,7139,2304,610,386,1492,32005,1947,1907,8979,5830,2070,607,397,1426,23169,1168,1196,5268,4573,2287,767,537,1417,17211,1275,1646,5333,5082,2918,1340,1111,2088,20793,173151,68776,152512,73255,24924,7949,5836,25670,532069
SOSR412,2634,27,0,0,0,0,0,226,2892,2316,243,91,13,4,0,0,185,2851,1787,603,446,154,33,10,5,181,3210,920,643,849,368,107,36,22,172,3114,523,524,1097,577,172,51,35,163,3142,364,398,1043,621,202,75,40,139,2876,409,424,1212,664,229,81,53,142,3211,412,434,1300,666,241,77,53,146,3327,381,403,1233,665,260,72,53,149,3218,321,320,1220,745,265,87,44,151,3156,248,253,1085,673,251,54,36,125,2735,191,214,1009,615,233,67,27,156,2518,130,146,665,607,237,88,44,176,2098,72,75,371,397,261,109,86,180,1541,63,78,310,343,195,147,126,235,1510,10777,4777,11930,7106,2707,954,616,2525,41390
SOSR413,2188,21,0,0,0,0,0,222,2438,1731,214,93,12,5,0,0,168,2223,1286,372,347,140,26,9,0,175,2360,747,506,648,302,94,46,13,132,2478,445,386,818,441,163,64,45,155,2509,331,291,880,465,178,72,28,112,2359,344,348,1044,538,215,58,54,168,2763,415,349,1044,618,207,73,49,140,2917,417,324,1101,633,235,93,50,151,3005,389,366,1269,668,253,83,49,169,3249,406,329,1231,717,258,58,38,162,3202,297,305,1313,822,277,77,42,215,3344,183,187,844,666,270,95,61,175,2485,105,71,433,463,247,81,58,139,1592,124,120,389,434,337,143,117,155,1818,9400,4186,11466,6926,2758,947,615,2450,38749
SOSR414,707,3,0,0,0,0,0,62,771,571,62,19,0,0,0,0,48,700,476,156,103,39,8,5,0,62,850,255,162,245,91,28,4,5,38,824,152,139,358,163,57,21,11,44,954,135,137,292,158,50,13,13,32,836,148,115,323,177,59,23,9,33,889,139,113,378,202,62,22,9,42,968,162,120,376,203,78,19,5,46,1009,170,124,447,256,93,28,7,52,1174,163,154,519,295,91,16,9,66,1311,153,127,569,329,88,25,14,73,1370,89,56,356,268,94,27,10,78,982,57,26,172,200,100,35,22,66,676,25,39,148,151,112,56,43,76,658,3406,1528,4301,2536,919,303,147,818,13953
SOSR415,2499,19,5,0,0,0,0,294,2819,2014,215,91,16,5,0,0,172,2513,1665,555,462,169,34,11,0,221,3123,914,637,904,434,124,35,20,207,3269,514,501,1226,641,191,57,34,200,3361,379,390,1095,680,215,74,51,164,3055,399,438,1256,705,247,90,41,227,3401,526,476,1411,798,285,78,54,203,3833,546,420,1444,825,308,96,57,241,3925,479,421,1558,1007,337,108,46,235,4195,406,366,1618,999,372,79,40,285,4166,303,290,1561,1029,353,78,36,282,3939,234,176,1001,820,379,112,64,279,3075,140,130,510,594,360,123,91,249,2190,163,115,496,573,453,215,161,331,2513,11181,5141,14649,9296,3667,1161,686,3574,49369
SOSR421,683,9,0,0,0,0,0,84,777,543,41,19,0,0,0,0,64,674,421,133,134,33,6,0,0,52,783,224,160,232,134,32,10,6,55,856,123,135,280,186,64,10,6,64,875,99,92,283,186,80,23,5,58,821,147,102,351,189,68,31,8,66,952,110,126,361,221,87,25,20,75,1025,141,123,464,294,91,21,22,80,1226,142,145,449,274,113,36,20,96,1276,113,104,451,300,131,29,17,88,1230,100,68,397,304,111,33,15,99,1132,52,44,230,257,99,27,15,70,791,24,31,105,149,92,43,20,63,527,37,29,113,161,118,70,82,96,711,2941,1346,3876,2688,1090,357,241,1113,13648
SOSR422,352,3,0,0,0,0,0,73,427,243,55,19,4,5,0,0,44,366,203,76,78,23,6,0,3,39,422,118,93,136,71,29,3,7,50,507,75,66,141,84,34,11,3,27,445,58,60,161,112,32,11,10,47,482,83,47,161,97,52,10,11,62,537,101,68,182,160,44,15,12,52,636,93,83,279,187,47,23,10,66,788,115,87,290,174,71,17,12,73,841,93,66,291,165,84,9,10,65,778,63,54,243,141,67,23,14,74,678,30,23,147,119,57,18,8,53,464,16,5,68,68,48,17,21,35,287,8,16,41,54,36,27,29,36,239,1652,803,2229,1447,632,185,152,798,7899
SOSR431,3583,22,0,0,0,0,0,469,4075,2413,144,65,19,0,0,0,260,2908,1595,480,377,130,36,8,3,247,2877,861,565,868,487,153,25,16,262,3238,566,456,1367,869,289,82,32,248,3911,459,413,1421,997,348,79,77,266,4062,557,475,1716,1165,367,91,59,358,4787,701,564,1996,1353,496,115,80,385,5685,744,587,2071,1373,523,140,81,414,5932,694,555,2085,1407,560,152,93,436,5982,523,414,1823,1222,494,150,61,384,5064,298,306,1456,1020,400,119,56,346,3999,177,137,748,654,290,94,55,231,2383,54,68,305,346,199,75,55,127,1227,47,37,158,206,159,67,60,127,859,13268,5217,16464,11245,4308,1188,726,4556,56981
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,83,8,0,0,0,0,0,22,112,64,4,5,0,0,0,0,21,95,79,23,16,0,0,0,0,36,153,52,21,17,18,3,3,5,40,149,23,13,22,13,12,0,0,51,137,17,10,10,12,8,5,0,42,101,15,10,7,17,6,3,4,24,80,20,10,17,15,4,0,3,25,99,15,11,33,16,0,7,0,16,97,12,9,34,29,7,0,0,16,106,6,10,27,18,8,0,0,9,83,3,0,20,10,8,0,0,9,58,0,0,7,0,0,0,0,0,15,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,5,10,398,135,214,160,59,21,18,307,1306
SOSR501,53482,283,20,4,0,0,11,4093,57892,54687,2906,1036,238,26,3,10,4633,63540,47857,9454,5837,1803,449,107,46,4966,70520,33053,17772,17359,5613,1610,418,232,4365,80424,18385,15603,28253,10331,2881,838,514,3771,80585,11765,11064,27512,11791,3440,1028,709,2797,70109,10136,9930,26580,12461,3723,1155,790,2756,67538,9544,9318,26053,12399,3899,1217,828,2611,65867,8313,7846,23824,12684,4266,1156,801,2433,61322,6693,6611,21823,12996,4514,1241,683,2163,56717,5258,5571,19816,12187,4319,1138,683,2169,51141,3684,4215,17561,10909,4074,1080,621,2338,44473,2226,2378,10789,8144,3340,994,629,2202,30707,1410,1430,6177,6138,3353,1150,778,2208,22639,1390,1474,5439,5700,3767,1665,1473,3652,24562,267884,105860,238085,123391,43655,13199,8800,47161,848032
SOSR511,2161,18,0,0,0,0,0,153,2329,1437,237,67,16,0,0,0,133,1888,1141,440,302,112,41,11,3,179,2225,685,508,757,311,87,36,11,147,2532,392,406,1002,477,135,44,25,113,2589,279,343,954,491,187,53,30,113,2449,288,286,997,524,188,61,31,105,2473,282,328,1000,548,203,59,25,118,2574,259,226,913,574,206,46,30,116,2368,207,201,925,635,250,78,43,116,2459,159,125,766,583,206,65,47,119,2067,137,125,735,505,206,57,29,108,1909,69,61,412,374,188,63,29,104,1309,40,50,222,238,151,75,39,94,913,26,34,143,226,177,98,74,158,942,7558,3371,9198,5613,2233,753,437,1868,31028
SOSR512,3082,32,0,0,0,0,0,371,3487,2237,327,113,23,4,4,3,328,3044,1801,607,527,172,47,14,4,347,3521,1077,704,987,450,156,42,19,300,3746,672,561,1345,699,260,74,55,312,3976,471,477,1303,735,296,97,68,275,3722,523,473,1436,817,306,97,78,251,3976,546,496,1410,853,343,100,78,280,4104,482,390,1249,908,360,113,61,282,3853,417,360,1318,913,401,123,79,273,3885,328,276,1251,898,343,84,53,239,3469,240,212,1008,827,340,100,47,242,3024,146,138,662,573,285,107,55,189,2168,90,77,340,440,311,113,89,183,1641,80,111,297,396,339,170,140,251,1776,12191,5256,13250,8704,3800,1238,833,4119,49404
SOSR513,1488,27,0,0,0,0,0,301,1813,1163,177,67,14,0,0,3,265,1686,1407,403,338,121,38,13,0,406,2720,982,592,765,342,117,36,14,464,3308,574,458,974,511,186,55,34,412,3199,370,288,736,443,198,60,42,292,2430,304,260,714,426,172,52,47,281,2258,281,234,595,392,177,57,50,269,2054,198,190,536,388,147,66,39,209,1772,132,132,429,339,151,57,35,162,1436,102,92,305,229,117,33,29,105,1012,47,47,262,176,98,31,20,79,760,26,28,159,150,69,28,20,69,547,18,11,70,71,50,23,22,46,320,15,12,51,49,56,33,32,51,300,7098,2947,6012,3646,1566,551,381,3420,25619
SOSR514,647,10,0,0,0,0,0,88,744,392,47,22,6,0,0,0,63,533,384,113,102,34,10,0,0,66,709,326,166,209,111,34,12,7,75,930,183,186,377,180,46,14,5,92,1084,161,132,383,184,74,21,11,68,1039,120,142,395,204,66,15,15,72,1027,124,114,332,167,68,23,13,65,908,108,102,301,193,69,29,11,66,869,91,84,318,254,87,25,15,54,927,84,64,298,214,94,33,11,59,855,44,58,279,228,79,25,15,56,788,43,37,145,147,64,25,11,72,544,24,10,59,81,48,25,12,47,307,17,12,59,70,56,38,27,66,346,2742,1260,3281,2079,790,272,150,1018,11600
SOSR515,1994,36,7,0,0,0,0,402,2441,1476,245,121,23,4,0,0,332,2191,1382,509,422,183,56,7,3,352,2917,939,544,772,399,136,43,17,402,3251,524,439,967,566,204,64,42,380,3180,378,349,958,540,234,64,67,320,2908,365,325,877,531,255,85,68,322,2833,363,372,951,600,216,94,82,322,3005,377,275,930,636,269,103,55,297,2942,290,233,952,717,317,97,59,249,2922,245,207,865,604,294,99,57,248,2616,160,170,738,575,292,65,45,235,2281,96,72,419,384,209,61,56,182,1485,46,40,226,267,204,73,45,157,1061,49,48,175,230,193,98,86,190,1077,8682,3868,9374,6272,2883,955,689,4393,37107
