SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR101,..,376008,376008,448974,47046,496023,271514,14655,286167,281013,6177,287192,118017,2252,120269,67762,1249,69004,1187279,447385,1634660
SOSR102,..,109944,109944,127642,10768,138415,58645,3037,61678,58342,1073,59421,23405,328,23730,10146,164,10305,278177,125311,403488
SOSR111,..,20614,20614,23493,1876,25374,10975,340,11312,10206,104,10309,4432,42,4472,2097,14,2107,51200,22981,74180
SOSR112,..,61433,61433,65292,5260,70555,27163,1072,28238,24398,348,24739,11050,134,11181,5586,70,5662,133491,68322,201813
SOSR113,..,28817,28817,31355,2342,33695,11818,425,12245,10489,157,10640,4608,59,4663,2291,19,2309,60549,31818,92372
SOSR114,..,31406,31406,34636,2300,36936,13221,349,13568,11977,112,12090,5588,40,5635,2516,25,2538,67933,34234,102169
SOSR115,..,42161,42161,51028,3335,54363,18220,449,18668,16547,134,16684,7649,36,7693,3681,37,3719,97126,46157,143285
SOSR121,..,9131,9131,13324,804,14128,4913,81,4995,4855,31,4890,2369,12,2378,1166,6,1176,26627,10062,36690
SOSR122,..,5697,5697,6804,477,7280,2475,40,2512,2064,17,2077,1013,0,1016,553,3,556,12914,6232,19148
SOSR131,..,38519,38519,71007,3637,74646,26508,435,26944,27224,162,27382,15399,56,15455,9678,41,9712,149805,42853,192660
SOSR179,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,..,418583,418583,473097,47656,520757,266304,16098,282404,279673,7035,286706,105611,2412,108021,51121,1117,52237,1175801,492909,1668713
SOSR203,..,45455,45455,46496,4169,50666,21360,1309,22665,19873,586,20462,8113,172,8284,3264,107,3375,99109,51798,150904
SOSR211,..,9455,9455,11022,888,11908,6714,138,6856,6227,36,6261,2904,10,2913,1955,0,1960,28817,10529,39352
SOSR212,..,27227,27227,31844,2122,33967,14246,536,14779,14514,197,14713,6107,67,6175,2508,56,2563,69211,30210,99425
SOSR213,..,29614,29614,32258,2067,34326,13358,324,13688,12452,100,12551,5540,38,5579,2274,30,2303,65885,32171,98057
SOSR214,..,19532,19532,20992,1190,22190,7099,181,7279,6295,52,6345,2823,19,2842,1142,25,1167,38354,20995,59350
SOSR215,..,27059,27059,30468,1683,32146,10892,227,11120,10844,51,10894,4813,23,4837,2015,27,2038,59031,29064,88095
SOSR221,..,7485,7485,8734,486,9216,2915,28,2938,2820,11,2832,1317,0,1319,528,0,527,16307,8011,24321
SOSR222,..,3864,3864,4619,273,4895,1581,29,1608,1498,12,1510,647,5,652,272,3,275,8617,4190,12809
SOSR231,..,31273,31273,56910,2484,59395,20277,312,20594,21337,99,21431,11106,28,11138,5362,27,5393,114997,34223,149218
SOSR279,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,..,197737,197737,244861,28517,273380,132671,7743,140415,131232,2608,133832,53077,867,53938,28591,362,28959,590436,237832,828265
SOSR302,..,79683,79683,110230,11984,122215,50073,3022,53093,48676,1047,49723,18362,243,18600,8402,120,8520,235731,96093,331829
SOSR303,..,45355,45355,50607,5393,56001,23582,1149,24735,20711,333,21047,8707,81,8791,5018,41,5063,108635,52356,160993
SOSR311,..,27214,27214,32514,2745,35258,13091,485,13573,11990,132,12123,5273,27,5300,2851,16,2870,65717,30628,96341
SOSR312,..,12097,12097,14103,1149,15253,4984,163,5146,4301,21,4323,1881,4,1888,1010,0,1011,26278,13443,39721
SOSR313,..,15291,15291,19445,1567,21018,8235,280,8515,8102,67,8171,3764,15,3776,2174,16,2186,41713,17236,58955
SOSR314,..,15120,15120,19389,1486,20876,8468,313,8783,8368,118,8486,3851,50,3902,2138,36,2178,42219,17128,59355
SOSR315,..,24629,24629,31869,2535,34408,12176,306,12478,11221,80,11306,5466,47,5512,3581,12,3589,64317,27601,91922
SOSR321,..,9067,9067,12837,874,13710,4615,100,4720,4254,21,4281,2089,5,2099,1389,0,1389,25194,10069,35262
SOSR322,..,5036,5036,6088,468,6563,1879,39,1921,1505,9,1511,812,0,815,633,3,636,10911,5561,16473
SOSR331,..,29779,29779,56579,3254,59827,21280,443,21725,21057,89,21146,10831,41,10869,6977,33,7006,116723,33631,150350
SOSR379,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR399,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,..,137372,137372,148004,12986,160990,72892,3923,76809,70107,1287,71392,25366,403,25773,11519,258,11772,327875,156232,484112
SOSR412,..,11967,11967,12751,803,13549,5552,104,5657,5029,27,5060,2004,6,2008,863,6,863,26192,12911,39103
SOSR413,..,11532,11532,12836,727,13560,4615,118,4741,4124,29,4156,1671,11,1674,766,11,779,24018,12423,36441
SOSR414,..,4005,4005,4994,237,5236,1593,41,1631,1397,13,1408,544,3,548,268,9,276,8799,4313,13105
SOSR415,..,14256,14256,16856,890,17752,5567,109,5673,5298,35,5334,2347,13,2360,990,10,1005,31063,15309,46376
SOSR421,..,3931,3931,4654,248,4900,1399,29,1429,1388,11,1393,624,0,630,308,0,309,8371,4223,12593
SOSR422,..,2674,2674,2918,168,3089,817,10,822,678,0,675,332,0,332,220,0,220,4965,2850,7812
SOSR431,..,11530,11530,19890,890,20780,6768,84,6852,7195,23,7214,3686,14,3700,1688,6,1696,39222,12548,51767
SOSR479,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,..,190056,190056,228914,19008,247920,118499,5376,123871,122607,1801,124404,47193,568,47760,20934,263,21196,538147,217069,755215
SOSR511,..,7338,7338,9284,633,9918,4046,107,4155,4096,28,4131,1682,6,1688,747,15,758,19856,8126,27979
SOSR512,..,12771,12771,14701,1044,15741,6117,199,6317,5796,40,5833,2522,10,2530,1243,3,1248,30377,14066,44443
