SOSR_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR414,4221,2885,1245,83,8434,3372,284,12092,190,28,39,0,255,462,14,726,22,9,4,0,36,16,3,57,211,34,46,0,294,478,16,789,3,0,0,0,15,79,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,79,0,93,7,0,0,0,4,14,0,28,12,0,0,0,15,33,0,48,0,0,0,0,0,0,0,0,4,4,0,0,8,9,0,10,19,9,0,3,28,51,3,86,18,7,0,0,25,24,0,49,4475,2933,1302,89,8799,4005,305,13105
SOSR415,13945,10866,4319,345,29479,11283,925,41686,679,161,260,20,1119,2152,76,3346,38,11,7,0,56,39,3,103,708,167,272,24,1178,2197,77,3450,93,29,33,10,163,511,23,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,13,93,31,31,10,161,515,23,702,72,9,9,3,89,123,13,227,21,6,7,0,31,43,7,83,7,4,0,0,10,9,0,23,10,13,0,0,29,29,3,60,107,33,17,3,162,205,21,391,44,30,10,0,83,61,4,147,14906,11125,4652,379,31063,14256,1055,46376
SOSR421,4057,2942,1037,86,8127,3472,251,11845,74,23,26,0,125,260,10,391,5,0,0,0,7,3,0,11,78,24,26,0,126,263,10,405,13,0,4,0,22,77,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,4,0,23,77,0,102,38,3,0,0,42,66,23,130,8,3,0,0,8,12,0,23,3,4,0,0,8,4,0,8,11,8,4,0,22,18,0,41,61,12,3,0,82,98,26,204,12,5,0,0,19,24,4,43,4218,2986,1076,90,8371,3931,294,12593
SOSR422,2542,1526,687,79,4823,2464,163,7451,29,12,7,0,49,96,3,148,0,0,0,0,0,0,0,7,32,12,7,0,50,98,3,152,10,0,5,0,11,37,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,0,10,37,0,52,11,3,0,0,18,31,0,48,7,0,0,0,15,12,6,26,0,0,0,0,5,0,0,3,7,5,3,0,18,16,0,35,29,11,4,0,47,61,0,109,13,10,0,0,22,18,0,45,2621,1561,704,78,4965,2674,173,7812
SOSR431,18333,16371,3491,334,38529,10844,983,50354,85,98,19,3,202,109,7,321,23,6,3,0,39,13,0,50,109,107,21,3,245,124,8,373,3,3,3,0,9,19,0,29,6,0,0,0,7,39,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,0,0,16,8,0,20,17,12,4,0,36,66,0,104,63,21,5,0,102,168,10,275,71,7,14,6,99,142,8,251,8,9,3,0,20,19,0,41,29,25,4,0,61,29,0,94,177,69,33,6,277,361,20,664,88,35,5,0,134,133,14,286,18721,16591,3555,353,39222,11530,1023,51767
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,155978,227894,66818,6595,457290,108218,17371,582882,17323,11597,8236,1061,38215,37207,3607,79026,8458,5333,2960,520,17267,11466,2225,30958,25778,16931,11192,1576,55482,48674,5829,109986,3918,1674,1229,262,7085,10779,1024,18883,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,177,138,65,13,392,323,21,735,15331,4954,3204,791,24282,31403,3725,59408,185,27,33,4,245,589,19,851,248,17,38,7,303,614,12,927,18,8,0,0,25,34,0,66,108,47,18,8,179,132,39,355,558,97,96,17,761,1372,65,2198,158,113,56,10,333,384,23,744,197803,249984,81371,8993,538147,190056,27014,755215
SOSR511,7124,7945,3060,203,18335,4887,655,23878,523,159,279,22,982,1708,79,2775,132,55,39,0,226,179,30,438,652,213,323,23,1208,1889,109,3206,82,33,26,4,148,292,17,450,10,8,13,5,35,65,5,104,4,0,0,0,5,8,0,15,17,4,0,0,21,12,0,32,0,0,0,0,0,5,0,9,119,39,39,8,204,387,18,610,36,0,5,0,46,90,0,133,28,3,0,0,32,55,0,90,0,0,0,0,0,7,0,12,4,0,0,0,3,3,0,12,69,6,9,0,84,157,0,238,13,6,0,0,17,27,3,50,7975,8209,3430,237,19856,7338,790,27979
SOSR512,11543,11470,4554,375,27935,9199,1090,38228,839,380,391,49,1664,2681,140,4488,222,119,55,3,401,273,32,712,1056,500,453,57,2063,2956,175,5195,55,22,27,7,116,244,14,378,0,0,0,0,0,13,0,15,12,0,0,0,12,13,0,20,0,0,0,0,0,0,0,0,13,10,6,0,27,22,3,55,82,30,36,7,151,289,24,461,41,3,5,0,47,77,0,133,83,3,8,0,104,187,0,287,5,3,0,0,12,5,0,18,7,11,0,0,23,18,0,42,145,27,11,0,181,287,5,473,19,14,8,0,37,45,5,88,12846,12038,5057,434,30377,12771,1292,44443
SOSR513,4569,6990,2032,174,13776,3383,579,17733,415,367,233,32,1050,980,72,2101,178,121,54,0,356,264,44,665,591,491,287,36,1405,1245,118,2764,119,47,30,0,200,331,31,565,46,7,10,4,62,78,5,148,32,17,4,0,53,58,6,114,32,10,5,0,40,85,6,137,0,0,0,0,4,4,0,12,229,84,44,3,360,556,48,967,90,20,7,0,116,107,5,232,12,3,0,0,12,25,0,42,0,0,0,0,5,14,0,20,16,7,3,0,28,10,6,43,119,37,14,3,165,146,17,328,30,15,3,0,50,69,3,127,5541,7619,2385,217,15765,5400,761,21923
SOSR514,2759,2725,1186,77,6738,2392,317,9451,98,77,43,3,225,280,23,530,45,32,18,0,95,55,6,162,147,114,59,4,321,336,30,689,33,9,3,0,48,82,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,9,3,0,57,89,3,141,12,0,3,0,14,14,0,30,5,0,0,0,5,16,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,22,28,17,60,6,7,3,0,14,15,5,37,2958,2853,1259,85,7150,2859,376,10381
SOSR515,8949,8616,3206,267,21036,7449,757,29247,399,164,178,21,764,1363,69,2185,55,33,11,3,107,109,14,231,458,199,187,23,870,1468,79,2415,69,24,31,3,127,226,15,367,8,3,0,0,13,12,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,76,32,36,3,145,239,15,397,136,26,13,0,172,225,9,409,30,3,0,0,39,72,0,113,6,6,0,0,17,13,0,31,24,24,0,0,48,22,3,73,201,57,18,5,273,331,14,623,36,25,4,0,71,91,0,159,9720,8924,3451,299,22399,9580,868,32849
SOSR521,3831,3116,1465,155,8574,3654,309,12540,89,33,61,18,195,325,14,543,7,9,3,0,19,30,0,54,97,42,61,18,216,360,14,589,16,13,7,5,42,99,3,146,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,22,11,7,5,40,111,5,153,62,7,8,0,75,95,3,175,6,7,3,0,10,16,0,23,0,0,0,0,4,10,0,15,9,10,3,0,25,24,4,54,82,14,17,0,118,146,8,267,19,4,7,5,28,66,3,100,4049,3189,1564,177,8983,4335,343,13658
SOSR522,2073,1661,828,112,4679,2153,162,6988,41,13,18,3,77,140,6,223,3,0,0,0,12,3,0,11,48,13,18,3,86,142,7,233,12,5,3,0,15,38,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,3,0,15,40,0,55,36,8,0,0,49,79,3,129,3,0,0,0,9,11,0,17,3,0,0,0,0,5,0,7,12,6,0,0,16,8,0,21,58,13,4,0,77,95,6,174,21,4,4,0,27,54,3,83,2210,1707,855,116,4880,2478,180,7539
SOSR531,18027,16237,3399,345,38005,9207,877,48095,105,90,33,0,231,82,7,323,15,10,3,0,26,5,0,36,121,99,31,0,261,90,12,357,8,7,7,0,30,33,4,65,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,35,18,8,0,55,34,4,92,44,32,8,5,89,68,6,163,267,59,32,5,365,443,30,838,112,18,8,5,139,201,6,347,47,34,13,3,90,74,8,169,43,29,14,6,89,36,9,132,470,135,63,13,680,748,55,1485,198,124,32,10,363,261,16,635,18858,16632,3533,376,39395,10371,964,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,17703,18414,8350,743,45204,15265,2634,63101,543,246,281,33,1089,1758,178,3026,688,309,226,37,1257,973,236,2464,1227,555,501,67,2348,2728,413,5489,1300,557,543,64,2461,3033,394,5882,252,62,39,15,375,568,91,1035,162,35,43,11,254,276,63,593,14,0,0,0,12,16,0,31,38,18,15,4,67,53,9,128,1766,674,640,92,3170,3946,552,7664,11,3,4,0,15,30,0,40,18,0,3,0,27,34,0,65,0,0,0,0,0,0,0,0,46,27,13,0,80,51,26,158,71,30,19,0,121,116,22,263,35,23,15,0,76,83,6,163,20802,19690,9524,904,50921,22140,3625,76686
SOSR611,7329,7253,3549,314,18450,6730,998,26181,392,171,238,24,830,1342,103,2279,250,148,102,9,510,310,69,890,643,324,341,34,1342,1648,178,3166,446,153,230,18,848,1618,123,2589,17,15,8,0,40,65,6,112,8,0,0,0,8,18,5,31,6,0,0,0,4,3,0,9,24,8,11,0,45,57,7,107,498,178,254,17,950,1761,140,2846,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,20,9,9,0,34,50,13,97,22,8,9,0,44,51,13,106,20,6,0,0,28,37,4,67,8514,7767,4154,369,20807,10224,1333,32366
SOSR612,4687,3960,2390,155,11198,4671,465,16333,245,56,181,12,493,1146,39,1679,53,17,33,9,96,190,15,301,290,66,212,21,593,1337,58,1985,8,6,5,0,20,55,3,80,0,0,0,0,4,42,0,43,8,0,3,0,16,30,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,11,10,0,40,125,4,171,17,0,3,0,23,46,0,73,14,5,8,0,29,24,0,60,0,0,0,0,0,3,0,3,7,3,5,0,17,9,3,28,40,9,12,6,69,87,10,163,4,0,0,0,10,10,0,22,5055,4046,2629,184,11905,6228,537,18667
SOSR613,1506,1110,601,41,3264,1259,95,4614,78,18,61,6,157,407,4,571,6,4,5,0,11,12,0,21,80,24,60,6,163,419,4,590,6,0,0,0,6,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,5,19,0,26,6,0,4,0,12,25,0,39,10,3,5,0,10,16,0,31,0,0,0,0,0,0,0,0,4,4,0,0,7,8,0,19,23,7,8,0,30,49,6,89,0,0,0,0,6,4,0,8,1616,1145,664,44,3465,1755,105,5328
SOSR614,1937,1495,886,57,4373,1782,126,6285,37,9,24,5,79,230,12,318,4,0,0,0,14,23,0,35,41,11,30,5,89,254,12,356,9,6,7,0,26,48,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,6,7,0,26,51,3,79,5,0,0,0,10,15,0,19,4,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,3,3,5,4,13,3,0,15,12,7,5,4,19,22,0,45,0,0,0,0,0,6,0,8,1996,1518,928,66,4510,2113,143,6771
SOSR615,7815,5917,2905,196,16833,6817,532,24187,203,54,94,11,359,856,24,1243,49,28,21,0,99,40,6,143,253,88,109,15,458,898,29,1386,135,31,57,6,221,363,19,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,12,133,30,58,6,230,366,19,613,27,5,7,0,37,97,5,137,11,3,3,0,22,27,0,45,0,5,0,0,9,4,0,9,23,12,5,6,44,29,0,83,62,26,20,5,110,161,6,276,12,10,0,0,30,23,3,51,8275,6075,3090,223,17663,8266,592,26520
SOSR621,2861,2088,809,64,5814,2373,178,8375,24,7,13,0,48,144,4,190,14,12,3,0,28,9,0,34,40,13,13,0,72,150,4,225,16,4,4,0,21,48,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,16,0,4,0,24,54,0,81,8,0,4,0,13,32,0,52,10,3,0,0,16,18,0,29,0,0,0,0,0,0,0,3,4,3,0,0,15,12,0,24,24,10,4,0,35,61,5,103,14,3,0,0,19,21,0,38,2948,2125,832,61,5971,2656,195,8823
SOSR622,1280,848,333,27,2489,1061,80,3625,11,0,3,0,18,25,0,37,0,0,0,0,0,0,0,0,11,0,3,0,18,26,0,38,0,0,3,0,3,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,20,0,25,0,0,0,0,0,9,0,9,8,0,0,0,9,14,0,23,4,0,0,0,4,0,0,5,4,0,0,0,10,5,0,12,18,0,0,0,21,26,0,44,3,6,0,0,10,8,0,16,1319,854,342,29,2540,1143,75,3758
SOSR631,14302,11710,3236,246,29491,8565,802,38858,50,30,10,0,90,29,4,121,15,9,5,0,23,11,0,37,64,37,12,0,119,40,4,160,5,10,5,0,19,28,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,15,7,0,24,16,16,5,0,40,33,3,78,42,9,6,0,62,91,9,162,35,11,7,0,44,44,3,91,6,4,0,0,15,14,0,25,7,7,3,0,17,3,0,21,95,29,10,0,140,149,15,297,32,24,3,0,54,48,5,109,14500,11822,3261,246,29836,8837,825,39495
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,6006,10404,3287,277,19969,3462,1113,24542,557,439,337,53,1380,1193,123,2701,558,415,294,35,1298,704,184,2187,1114,857,631,89,2686,1891,304,4886,912,702,414,67,2091,1666,273,4029,469,403,131,25,1034,727,162,1919,887,584,271,44,1799,1110,351,3253,881,352,106,24,1374,949,271,2592,3,3,0,0,11,14,0,22,3158,2048,927,168,6299,4466,1055,11815,94,20,4,0,123,111,7,240,17,6,0,0,32,38,0,73,6,0,0,0,11,19,0,32,7,7,0,0,16,3,4,19,130,34,13,5,176,173,7,355,22,4,10,0,39,79,3,124,10429,13343,4862,537,29176,10068,2486,41727
SOSR712,1330,1994,742,72,4138,943,330,5410,361,329,170,30,882,688,77,1647,191,155,100,16,461,310,66,838,548,485,267,42,1345,999,137,2483,78,28,19,4,123,201,14,345,3,0,6,0,11,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,81,39,22,3,138,222,15,372,31,6,0,0,39,60,0,98,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,11,0,0,0,0,3,6,0,10,34,7,9,0,50,71,0,123,23,18,12,0,54,70,4,127,2018,2540,1048,125,5729,2297,491,8519
SOSR714,325,455,198,25,1006,256,101,1368,62,34,38,3,140,139,19,300,34,25,11,0,69,50,8,126,98,57,47,3,208,194,25,428,11,5,11,0,22,28,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,0,21,25,4,53,3,0,5,0,3,6,0,10,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,9,0,5,0,7,8,0,19,6,0,0,0,9,23,0,34,443,517,264,33,1255,511,132,1897
SOSR715,548,1347,552,107,2553,489,86,3122,52,107,30,0,199,93,8,296,7,7,0,0,13,26,3,40,57,108,30,0,204,122,17,344,18,15,11,4,50,75,4,124,0,0,0,0,0,0,0,0,4,5,4,0,11,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,19,13,4,57,85,4,140,0,0,0,0,0,5,0,3,6,5,0,0,7,9,0,15,0,0,6,0,4,3,0,11,4,0,0,0,3,4,0,7,12,6,6,0,17,24,0,38,5,0,3,0,14,21,0,35,647,1483,608,111,2847,739,101,3684
SOSR721,403,893,382,67,1749,324,26,2099,91,107,77,15,284,265,10,569,0,0,0,0,0,0,0,0,90,107,77,15,289,267,10,571,53,12,11,0,78,96,4,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,12,11,0,78,96,4,174,15,0,3,0,14,24,4,45,0,0,3,0,3,3,0,8,0,0,0,0,0,5,0,5,3,0,0,0,0,0,0,0,20,3,4,0,30,33,4,63,13,4,0,0,21,38,9,61,582,1017,479,84,2161,754,53,2967
SOSR722,406,861,490,90,1844,419,54,2316,29,54,33,5,118,54,4,174,0,6,0,0,3,0,0,3,28,53,33,5,121,60,4,182,3,12,11,0,30,13,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,0,31,18,0,43,14,6,0,0,26,28,4,55,0,0,0,0,3,3,0,5,0,0,0,0,3,4,0,9,0,0,0,0,0,6,0,5,24,6,0,0,38,33,7,76,13,3,0,4,20,23,3,43,474,933,545,99,2051,546,64,2661
SOSR731,2449,3146,900,120,6610,1493,250,8354,15,19,3,0,41,26,0,76,3,4,0,0,7,0,0,7,17,22,3,0,50,26,0,79,4,3,8,0,17,10,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,6,3,8,0,18,16,0,34,96,23,10,4,140,141,6,286,17,10,3,0,31,57,0,88,28,15,3,5,54,54,7,114,10,0,0,0,4,0,0,8,151,49,21,5,233,252,19,506,73,38,13,0,124,108,6,238,2693,3260,955,126,7037,1892,275,9202
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,28206,44685,11250,979,85123,17645,3363,106123,3066,2268,1618,148,7101,6096,546,13741,4069,3449,1673,240,9433,4432,1301,15163,7137,5714,3293,387,16532,10529,1845,28906,1330,666,432,46,2473,2745,409,5628,2147,882,428,112,3571,3476,697,7745,4037,1181,569,143,5928,5810,904,12642,2047,538,258,88,2929,2697,578,6206,115,62,28,3,214,198,26,442,9675,3330,1726,391,15117,14932,2612,32669,5,3,5,0,10,29,0,45,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,3,5,0,0,8,3,4,12,25,15,14,6,57,94,11,163,45,38,16,0,105,85,15,202,45091,53774,16302,1767,116933,43285,7841,168058
