SOSR_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR314,15384,16529,6551,551,39012,10818,1639,51468,709,309,438,52,1507,2231,168,3909,276,135,150,15,584,560,84,1225,989,445,587,62,2084,2794,259,5140,263,132,215,25,640,897,67,1604,22,4,9,0,32,36,6,76,29,7,6,0,38,34,0,65,0,0,0,0,0,0,0,0,26,16,7,5,50,30,0,79,340,157,229,26,757,989,74,1824,145,13,23,0,186,301,21,513,27,3,4,4,44,67,6,115,11,3,0,0,23,19,4,48,28,12,17,0,63,31,3,98,219,45,46,0,308,421,36,769,35,20,8,0,56,93,5,155,16964,17187,7420,644,42219,15120,2009,59355
SOSR315,26277,23083,9982,832,60167,19073,2552,81789,706,324,396,42,1465,2050,116,3634,374,203,158,12,744,575,84,1400,1078,527,555,54,2209,2618,199,5030,504,199,251,29,983,1682,143,2809,33,7,5,3,51,55,5,115,9,0,0,0,8,10,0,20,0,0,0,0,0,0,0,0,28,9,6,0,40,46,0,85,567,213,268,39,1082,1789,151,3030,251,39,32,3,324,507,28,861,83,12,21,0,117,191,8,317,39,19,4,3,64,63,3,133,43,21,15,0,79,59,4,147,416,96,70,10,585,825,49,1462,163,65,36,4,272,316,28,611,28504,23979,10904,935,64317,24629,2981,91922
SOSR321,11094,8964,3765,372,24192,7913,927,33031,140,88,82,11,314,363,20,701,41,17,13,0,75,62,7,142,180,101,99,11,388,424,29,842,87,46,56,7,199,297,19,522,0,4,4,0,7,0,0,11,3,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,19,10,4,0,31,13,0,49,104,62,64,10,240,323,24,579,120,19,13,0,154,175,9,340,21,7,11,0,40,90,8,135,27,20,3,0,47,43,0,95,18,13,10,0,40,32,0,74,193,51,36,0,283,343,12,640,58,22,15,3,92,68,9,168,11626,9199,3970,399,25194,9067,1003,35262
SOSR322,5143,3350,1727,163,10379,4284,489,15157,53,38,47,4,136,173,4,321,16,9,11,0,35,54,4,96,68,46,53,7,172,230,12,416,35,17,23,4,82,186,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,39,18,23,4,79,186,4,280,99,10,7,3,123,166,6,291,44,4,6,0,55,70,4,122,11,3,4,0,12,22,0,44,19,6,3,0,25,18,3,52,174,23,22,0,217,271,9,502,30,15,7,0,56,57,6,121,5455,3454,1827,175,10911,5036,525,16473
SOSR331,52513,47764,12200,1118,113597,27389,3660,144641,325,286,82,6,703,240,34,979,67,51,19,5,137,58,6,203,387,345,101,10,844,300,41,1186,123,35,34,3,195,166,8,364,0,5,0,0,4,6,0,8,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,6,91,60,24,0,176,111,9,299,217,100,58,5,381,287,17,681,440,100,54,9,605,756,49,1414,145,55,44,3,252,387,27,669,104,59,44,3,209,190,14,415,64,46,21,5,140,53,10,200,756,266,159,22,1205,1384,109,2692,379,250,66,12,699,420,24,1146,54251,48716,12585,1165,116723,29779,3853,150350
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,95228,123518,44472,4177,267394,75047,11472,353909,12684,8166,6857,843,28558,29944,2580,61080,6108,4615,2807,406,13937,7821,1781,23541,18795,12782,9668,1252,42493,37771,4360,84626,5841,3123,2154,425,11540,16431,1551,29531,1003,297,221,78,1602,2389,339,4326,1600,394,263,104,2353,2770,478,5604,1047,203,116,69,1436,1746,500,3677,69,54,25,4,154,97,15,267,9556,4067,2786,675,17084,23434,2888,43409,97,18,18,0,134,225,5,375,47,4,6,0,63,188,4,256,0,0,0,0,3,0,0,0,98,79,46,5,220,169,44,431,239,103,73,9,418,585,61,1066,204,171,97,13,489,533,84,1103,124027,140636,57089,6126,327875,137372,18857,484112
SOSR412,9015,9371,3921,251,22552,6986,674,30213,1270,661,1075,83,3091,3720,209,7022,50,20,37,4,107,86,17,207,1318,680,1113,86,3199,3810,224,7224,161,65,102,19,351,1052,39,1434,10,0,0,0,10,29,0,39,7,0,0,0,7,11,0,18,0,0,0,0,0,0,0,0,3,5,0,0,12,3,0,18,184,71,101,17,370,1088,43,1505,11,3,0,0,17,26,0,52,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,6,18,4,3,0,25,40,0,73,17,17,10,0,41,45,0,89,10556,10138,5139,354,26192,11967,945,39103
SOSR413,10215,8003,3723,299,22233,8494,722,31451,519,233,444,45,1243,1999,109,3348,91,39,30,0,169,100,7,275,611,272,478,44,1408,2100,118,3624,97,34,62,10,207,742,35,985,17,0,0,0,20,23,3,45,3,0,0,0,5,5,0,16,0,0,0,0,0,0,0,0,0,5,0,0,11,7,0,19,122,37,71,10,250,777,34,1059,23,4,0,0,28,56,3,86,17,0,9,0,21,32,12,62,0,0,0,0,0,0,0,0,5,9,3,0,21,12,0,31,46,10,11,0,64,97,18,181,34,15,8,0,59,63,0,122,11029,8342,4290,353,24018,11532,891,36441
