SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR399,531,361,668,479,360,521,461,89,8,3482,74,94,168,172,182,249,297,77,4,1322,16,20,36,58,55,106,168,37,0,496,0,0,6,19,36,79,109,30,4,282,89,120,211,245,267,433,572,149,10,2090,136,238,421,469,419,341,224,40,3,2284,753,719,1301,1194,1042,1297,1253,283,23,7861,505,383,690,382,355,473,345,49,0,3179,51,146,196,157,187,268,215,48,3,1266,9,44,62,65,77,130,111,25,9,518,0,6,18,19,43,86,79,15,4,267,54,196,279,236,298,486,402,90,17,2057,124,199,380,267,232,217,127,28,5,1578,680,777,1345,885,887,1170,870,160,25,6807,1035,747,1356,859,713,999,803,137,5,6662,127,241,363,329,367,516,510,124,11,2587,20,65,97,118,127,234,280,65,9,1011,0,0,23,41,78,166,179,50,12,549,145,309,491,483,567,918,973,240,29,4146,255,435,800,739,648,553,354,67,9,3862
SOSR401,91271,60844,67432,59706,49882,38328,22836,9236,2580,402126,9757,10738,13315,14285,15791,18785,18526,10542,3723,115447,554,1219,2145,2651,4050,6554,8462,6152,2652,34436,36,103,290,592,1462,3255,5384,4864,2622,18596,10346,12056,15749,17521,21300,28588,32369,21558,8989,168481,7037,5272,5945,5533,5389,4568,3009,1842,938,39540,108662,78175,89123,82765,76573,71483,58214,32643,12507,610146,88732,53214,62861,58327,48433,40242,26177,10828,3642,392457,7045,13800,16902,16376,17288,20098,20742,13643,6405,132286,531,2550,4173,4227,5580,8011,10029,7663,4639,47391,28,186,575,1174,2560,4639,6142,5806,4535,25650,7608,16529,21648,21775,25427,32748,36907,27111,15575,205326,6458,4671,4913,4755,4645,4226,3389,2448,1573,37083,102799,74421,89419,84854,78507,77213,66473,40379,20793,634871,180008,114068,130290,118033,98318,78576,49011,20065,6224,794589,16797,24537,30210,30659,33077,38875,39262,24186,10122,247735,1088,3764,6309,6876,9633,14561,18494,13811,7285,81827,65,285,872,1768,4019,7891,11519,10674,7149,44249,17954,28587,37392,39300,46725,61336,69279,48669,24564,373808,13504,9946,10854,10289,10036,8794,6402,4285,2512,76619
SOSR412,7430,4301,4229,3673,3671,2902,1768,661,203,28828,1049,1042,1219,1117,1311,1646,1477,854,268,9987,71,161,211,246,375,627,757,539,196,3180,4,8,30,64,161,348,538,500,220,1878,1126,1208,1463,1426,1849,2616,2777,1891,688,15042,802,480,475,452,507,400,303,182,103,3695,9357,5986,6174,5552,6024,5918,4848,2729,990,47572,7188,3734,3824,3617,3707,2953,1892,890,220,28029,818,1321,1596,1436,1488,1724,1600,1139,467,11592,56,248,426,427,639,746,851,720,318,4445,0,21,63,136,290,504,601,631,343,2579,869,1591,2091,1997,2428,2975,3051,2486,1130,18617,699,420,414,409,400,441,306,262,158,3506,8762,5743,6319,6021,6535,6369,5250,3642,1510,50153,14615,8024,8053,7291,7383,5860,3659,1550,419,56859,1866,2362,2820,2553,2803,3367,3079,1996,735,21574,125,409,640,678,1019,1375,1612,1257,519,7626,9,27,93,199,449,852,1136,1128,563,4456,1994,2799,3553,3426,4270,5591,5825,4377,1815,33655,1500,900,885,858,913,838,614,442,261,7205
SOSR413,6160,3483,3222,3051,3213,2928,2201,1052,245,25551,795,759,814,876,1147,1499,1850,1179,371,9292,46,122,145,167,323,558,830,725,231,3146,4,13,21,46,136,331,551,558,229,1900,848,899,986,1091,1608,2392,3228,2457,833,14336,724,559,844,746,615,526,381,217,104,4732,7737,4938,5052,4896,5437,5845,5811,3729,1181,44620,6081,3052,3038,2961,3266,3039,2545,1120,344,25449,635,985,1071,1099,1294,1639,1996,1323,581,10628,39,215,310,327,476,702,983,762,397,4213,3,25,50,113,237,480,625,597,339,2473,676,1230,1430,1536,2007,2821,3607,2685,1317,17309,723,374,374,367,417,387,393,271,156,3473,7480,4658,4842,4866,5682,6250,6547,4081,1818,46229,12243,6527,6259,6015,6478,5966,4746,2171,587,51003,1431,1747,1885,1977,2433,3135,3848,2505,951,19916,81,342,455,493,801,1262,1814,1487,628,7355,9,39,75,163,374,815,1175,1152,567,4367,1522,2127,2416,2631,3611,5216,6837,5144,2145,31645,1452,938,1218,1116,1031,918,774,491,260,8205
SOSR414,2093,1109,1184,1121,1087,984,870,460,84,8985,287,255,316,283,378,512,741,440,131,3346,12,33,43,65,100,182,346,303,112,1202,0,0,12,19,42,95,203,243,92,703,299,288,366,362,527,786,1297,989,336,5253,156,113,122,115,140,133,117,98,34,1025,2542,1509,1674,1592,1759,1905,2281,1544,451,15259,2065,979,1035,1126,1050,1113,1030,466,117,8980,214,330,415,402,458,542,828,539,186,3913,8,61,92,121,145,253,421,302,150,1543,0,10,21,30,94,143,241,226,151,907,228,394,528,542,692,939,1489,1066,479,6364,193,90,118,119,115,133,159,119,55,1102,2485,1468,1674,1787,1853,2187,2680,1653,658,16437,4149,2089,2212,2241,2144,2097,1898,929,206,17962,505,583,732,678,838,1055,1573,982,316,7253,24,94,136,177,250,436,768,606,261,2754,0,10,28,44,133,235,443,469,240,1602,532,684,897,907,1219,1725,2786,2054,814,11614,351,202,236,230,251,268,278,217,94,2127
SOSR415,8063,4360,4477,4121,4170,3929,3028,1212,303,33660,1079,897,1018,1149,1436,2134,2399,1406,483,11990,66,117,186,249,439,765,1192,842,316,4171,5,8,29,66,167,477,799,732,319,2604,1143,1017,1234,1461,2043,3377,4392,2977,1118,18761,815,542,508,561,628,643,537,394,152,4786,10020,5918,6220,6141,6840,7954,7952,4589,1568,57207,8128,3561,4112,4055,4060,3839,3091,1400,470,32709,779,1142,1396,1365,1743,2192,2492,1599,713,13422,48,206,350,426,597,920,1174,1049,549,5319,0,8,46,131,293,617,778,783,526,3182,826,1357,1793,1913,2634,3728,4444,3433,1788,21918,824,416,489,446,542,551,574,432,253,4520,9775,5332,6395,6417,7231,8113,8108,5260,2513,59145,16191,7916,8586,8177,8227,7774,6115,2610,762,66362,1853,2032,2411,2506,3182,4329,4889,3006,1195,25411,115,320,540,674,1034,1685,2368,1896,867,9488,5,20,78,192,458,1090,1575,1506,852,5778,1974,2370,3028,3379,4672,7102,8833,6407,2908,40676,1635,959,1003,1002,1173,1189,1109,830,411,9304
SOSR421,2172,1133,1082,1064,1161,1209,924,324,78,9146,235,215,264,302,391,667,720,365,121,3277,20,30,33,64,104,211,378,221,96,1158,0,0,0,18,38,136,209,193,101,694,250,240,301,383,531,1013,1309,779,308,5131,236,143,153,183,205,221,209,120,56,1524,2658,1511,1533,1637,1901,2441,2443,1228,448,15796,2133,979,1080,1051,1147,1198,958,363,120,9031,211,282,328,372,432,672,661,431,222,3616,14,50,90,91,167,270,322,222,134,1356,3,0,13,25,56,173,233,172,140,819,229,335,428,492,658,1106,1220,824,496,5789,227,131,124,159,169,200,188,125,94,1418,2579,1446,1632,1694,1981,2506,2365,1318,711,16230,4300,2111,2162,2116,2306,2404,1885,691,195,18178,443,503,593,680,822,1332,1386,799,340,6893,37,75,125,153,275,482,696,442,228,2511,3,0,14,44,94,305,443,362,236,1514,480,578,728,868,1192,2116,2529,1609,806,10912,456,276,274,340,379,421,395,243,151,2939
SOSR422,1195,677,624,581,692,791,580,230,46,5423,137,125,167,171,272,429,471,232,62,2067,7,14,26,31,75,164,255,149,40,758,0,0,4,10,48,105,182,110,34,499,143,135,202,218,390,700,907,493,134,3326,145,102,82,89,147,191,169,77,15,1020,1486,912,906,891,1228,1682,1655,805,198,9764,1132,531,596,556,643,696,545,220,58,4986,101,141,196,201,255,438,425,219,78,2061,8,28,39,73,114,201,220,135,36,856,0,4,4,16,45,119,133,95,36,448,111,166,246,284,412,762,779,448,157,3367,163,91,82,86,114,175,133,80,26,948,1406,794,926,931,1172,1631,1459,754,239,9305,2325,1210,1221,1139,1339,1479,1125,457,106,10406,241,263,369,377,526,867,902,450,142,4132,14,35,71,105,189,368,470,284,79,1614,3,3,9,31,90,225,313,208,74,947,257,308,443,506,805,1465,1685,941,292,6694,313,192,172,173,255,364,303,153,41,1965
SOSR431,10545,6054,4676,5400,7042,7037,4384,1407,243,46790,1156,1074,916,1371,2056,3267,3232,1502,248,14816,51,88,122,221,460,1094,1457,766,168,4435,0,12,22,36,177,531,788,507,132,2196,1212,1171,1054,1625,2697,4890,5474,2771,550,21443,1148,911,931,1091,1229,1293,983,452,88,8122,12910,8132,6667,8119,10966,13220,10839,4625,878,76352,10122,5015,4065,5289,6462,6289,3815,1186,235,42481,839,1150,1189,1567,2150,2967,2695,1133,240,13931,53,181,258,396,685,1086,1175,556,149,4543,6,11,44,96,274,563,589,375,123,2084,900,1344,1490,2057,3103,4609,4465,2070,517,20558,1046,628,557,619,908,1016,777,355,108,6012,12066,6984,6110,7971,10470,11916,9060,3608,859,69044,20666,11075,8747,10688,13506,13321,8198,2592,473,89271,1996,2220,2105,2944,4204,6233,5924,2641,490,28752,102,272,381,613,1146,2183,2637,1315,318,8970,12,27,65,128,446,1090,1374,884,254,4272,2115,2518,2546,3688,5797,9501,9936,4836,1066,42002,2193,1536,1484,1713,2129,2310,1766,801,197,14130
SOSR479,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SOSR499,133,89,150,130,113,106,63,17,0,801,23,40,64,41,55,67,55,7,4,350,6,12,11,16,23,12,24,5,0,116,0,0,0,3,6,18,22,9,0,67,31,52,78,59,88,103,96,18,6,537,42,43,97,94,96,101,53,7,0,538,208,182,320,289,299,311,214,40,7,1873,127,92,137,78,67,83,45,11,5,647,26,50,62,55,40,40,31,7,0,308,4,27,24,19,14,17,24,0,0,129,0,3,9,11,11,21,17,3,0,76,27,85,99,83,60,73,70,11,3,518,42,37,73,79,46,37,22,3,0,345,197,214,305,245,178,197,141,26,10,1506,262,181,283,211,181,196,108,24,3,1444,50,87,126,96,92,107,84,11,3,664,7,38,37,36,39,29,50,6,4,248,0,7,16,12,25,42,36,10,0,143,56,136,174,140,154,177,166,31,12,1047,84,79,166,178,144,138,77,11,0,882
SOSR501,168518,97229,108126,107514,87340,63454,36583,13771,3307,685849,16156,16418,20089,22225,24016,27259,26805,14636,4647,172250,888,1717,2727,3689,5434,8243,11422,8365,2977,45451,40,125,320,714,1663,3722,6425,6229,2703,21933,17081,18254,23130,26627,31111,39219,44654,29222,10327,239638,13576,9974,13693,13094,11827,8957,5474,3198,1742,81543,199184,125463,144955,147237,130284,111637,86701,46197,15377,1007026,163170,86548,106635,106781,86180,65151,40888,15173,4635,675166,11874,22167,27260,26759,27687,29744,28986,17847,7708,200031,769,3620,5654,6143,7854,10579,12764,9583,5007,61978,47,290,697,1396,2835,5191,7267,6689,4359,28754,12688,26076,33605,34301,38369,45519,49015,34117,17078,290765,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,331693,183779,214763,214296,173514,128607,77472,28948,7944,1361012,28033,38585,47347,48986,51698,57006,55787,32480,12353,372279,1659,5334,8381,9835,13288,18825,24188,17943,7980,107429,77,419,1009,2105,4495,8913,13690,12915,7065,50693,29766,44333,56738,60927,69482,84736,93669,63339,27404,530400,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348
SOSR511,6161,3082,3065,3255,2890,2395,1423,544,128,22947,917,649,706,823,934,1106,1155,582,172,7036,57,75,147,134,257,406,504,370,118,2064,0,8,20,40,80,172,321,263,99,1021,975,731,873,998,1271,1688,1979,1212,387,10119,624,461,628,627,586,476,290,145,67,3896,7763,4269,4567,4882,4750,4551,3690,1901,584,36962,5964,2766,3019,3265,2952,2389,1529,629,161,22670,602,920,1078,1053,1200,1260,1211,716,266,8318,36,165,229,290,399,546,583,377,169,2802,5,12,38,87,146,279,374,299,209,1441,651,1101,1339,1435,1743,2085,2170,1388,645,12564,595,353,403,339,357,354,281,195,133,3003,7208,4218,4762,5039,5044,4828,3978,2221,942,38239,12129,5848,6081,6519,5845,4784,2951,1172,290,45611,1523,1570,1787,1873,2133,2368,2373,1296,440,15353,102,238,373,430,656,954,1086,749,282,4870,6,21,58,133,227,452,693,560,311,2457,1626,1831,2214,2435,3014,3773,4152,2600,1030,22680,1217,810,1025,970,940,821,566,342,204,6899
SOSR512,9335,5011,5052,4842,4656,3820,2407,933,220,36273,1165,970,1080,1273,1421,1843,1773,1018,344,10894,60,113,149,181,395,631,845,621,223,3227,4,11,29,32,150,329,524,482,240,1792,1232,1093,1258,1486,1963,2804,3149,2120,815,15914,1326,834,1109,1077,990,871,548,310,110,7165,11900,6935,7417,7407,7607,7498,6098,3357,1143,59351,9247,4325,4584,4890,4685,3856,2525,1043,302,35465,794,1238,1534,1514,1746,1939,1947,1246,514,12466,64,225,338,378,611,764,893,681,405,4366,3,15,46,135,242,466,592,511,359,2380,856,1477,1916,2030,2605,3166,3432,2442,1283,19212,1284,732,764,776,788,713,540,322,193,6118,11392,6534,7268,7697,8081,7735,6500,3805,1776,60792,18586,9337,9635,9728,9344,7674,4929,1974,523,71738,1962,2207,2612,2786,3165,3783,3724,2266,860,23362,124,341,486,561,1006,1394,1740,1306,628,7589,8,24,73,169,392,795,1118,992,608,4176,2092,2571,3179,3515,4566,5976,6582,4557,2095,35121,2610,1565,1867,1856,1776,1584,1084,630,302,13283
SOSR513,6551,2677,3736,3888,2928,1861,751,213,47,22649,587,385,598,696,763,857,495,252,53,4697,27,49,83,101,155,244,219,138,43,1055,0,4,11,21,42,124,148,100,42,481,611,441,693,817,959,1224,854,499,137,6231,1243,704,943,963,847,633,215,104,19,5684,8401,3815,5376,5664,4739,3721,1823,814,207,34557,6422,2358,3999,3661,2520,1646,682,243,45,21577,442,511,925,920,852,729,557,250,94,5280,19,69,169,201,219,273,212,159,67,1390,0,6,25,39,91,133,116,120,57,600,468,585,1122,1157,1167,1135,881,531,222,7263,1120,559,914,811,627,425,212,89,35,4786,8012,3503,6031,5635,4315,3205,1774,860,300,33632,12975,5030,7731,7550,5449,3504,1435,459,92,44224,1028,895,1527,1615,1622,1583,1044,506,148,9975,50,119,250,303,373,516,430,294,114,2445,3,11,38,54,130,254,262,227,100,1077,1080,1020,1812,1971,2127,2359,1737,1027,363,13497,2357,1260,1859,1778,1476,1054,425,193,56,10472
SOSR514,2357,1072,1121,1251,1158,892,673,239,54,8818,261,212,203,286,303,371,507,255,67,2473,10,20,35,57,84,133,218,109,48,707,3,0,4,15,28,73,125,111,26,388,276,235,244,361,417,581,848,474,141,3574,339,194,220,238,258,191,130,71,31,1674,2967,1491,1583,1850,1829,1670,1657,777,226,14058,2259,864,1068,1386,1156,927,643,239,63,8609,201,224,336,386,407,449,496,270,109,2874,17,31,63,113,140,167,220,151,77,981,0,7,8,28,60,98,148,94,47,491,213,260,405,525,609,713,861,521,233,4355,339,152,162,209,164,152,135,83,45,1444,2817,1276,1637,2123,1933,1797,1645,849,346,14412,4615,1935,2190,2638,2317,1824,1316,478,118,17428,462,434,542,677,716,820,996,526,181,5351,25,52,98,170,225,302,436,262,119,1689,3,7,12,46,83,173,275,202,78,882,489,489,652,884,1023,1298,1719,993,377,7924,679,339,386,443,419,346,267,153,79,3116
SOSR515,7543,3480,4011,3800,3670,2935,1927,678,161,28214,769,626,713,841,1054,1467,1401,736,217,7826,40,74,102,164,285,472,659,467,148,2414,0,6,22,40,85,277,389,352,122,1301,811,709,838,1050,1425,2213,2450,1559,482,11539,1399,751,901,913,904,784,560,305,109,6626,9751,4949,5755,5755,5998,5946,4934,2547,755,46388,7185,3033,3991,3775,3248,2860,1852,655,193,26793,567,737,1084,1116,1247,1426,1422,845,341,8782,46,164,253,326,424,583,723,453,213,3172,3,15,28,73,214,368,407,293,171,1572,611,915,1364,1512,1875,2376,2553,1592,724,13533,1235,686,814,804,705,628,495,294,155,5812,9029,4637,6169,6095,5835,5868,4901,2538,1077,46132,14728,6513,8006,7571,6924,5799,3778,1337,359,55008,1336,1365,1798,1955,2295,2895,2822,1583,556,16613,81,238,358,487,710,1055,1375,914,361,5588,4,24,49,114,300,642,799,649,289,2876,1422,1627,2200,2569,3303,4591,5007,3150,1215,25074,2634,1445,1711,1713,1609,1416,1053,593,264,12442
SOSR521,2827,1376,1385,1368,1472,1379,865,322,83,11082,335,222,301,334,463,687,693,355,104,3490,12,27,36,75,122,244,336,200,57,1115,0,3,5,22,39,132,255,152,41,650,353,252,341,433,619,1063,1281,706,203,5252,521,240,341,337,421,416,276,153,38,2743,3704,1870,2075,2137,2513,2859,2418,1177,320,19079,2678,1193,1478,1442,1337,1237,796,323,86,10577,220,304,390,434,545,684,666,358,131,3738,15,52,84,130,194,282,325,177,85,1333,0,3,15,33,83,176,219,144,68,753,237,359,487,600,824,1146,1215,681,287,5825,510,245,306,290,311,318,234,165,59,2444,3415,1795,2271,2332,2473,2706,2245,1169,436,18844,5506,2565,2867,2815,2812,2613,1661,641,167,21656,557,523,692,768,1013,1372,1359,710,230,7229,26,83,117,208,315,530,658,378,141,2446,0,9,21,51,122,311,476,299,113,1405,588,613,831,1030,1445,2213,2495,1386,490,11081,1024,488,652,632,734,737,513,322,98,5192
SOSR522,1624,889,919,776,780,731,518,175,40,6454,139,126,138,205,250,374,423,212,47,1916,13,14,22,32,75,143,189,115,37,641,0,0,4,10,34,78,139,104,23,397,153,142,171,249,362,590,746,429,111,2955,337,156,174,178,205,219,166,86,28,1548,2114,1187,1263,1202,1348,1543,1432,688,176,10961,1613,876,888,754,690,696,420,181,49,6163,96,151,204,227,262,372,346,210,55,1919,4,12,49,70,111,155,191,105,24,726,0,4,8,28,56,107,121,71,26,410,94,170,257,321,430,638,654,377,113,3054,359,147,151,145,137,189,146,84,39,1406,2070,1197,1292,1218,1262,1517,1225,648,201,10626,3230,1764,1807,1529,1472,1425,942,355,92,12617,231,278,340,431,508,750,765,422,107,3837,17,31,72,103,183,300,381,221,60,1363,0,5,12,32,94,185,258,172,56,805,251,310,421,569,787,1231,1403,815,223,6012,703,307,325,319,348,409,317,169,63,2958
SOSR531,11108,6582,5895,6870,8149,7731,4640,1451,224,52664,1129,969,987,1396,2168,3141,3169,1351,255,14557,50,89,127,210,476,967,1294,719,154,4087,4,18,11,34,140,386,617,455,103,1774,1187,1077,1125,1641,2781,4486,5081,2525,514,20409,1539,1718,3039,2985,2806,2246,1326,530,104,16293,13828,9381,10059,11495,13733,14468,11045,4509,841,89366,10531,5059,4827,6079,7167,6792,3801,1131,180,45567,761,1094,1219,1658,2291,3083,2560,1121,286,14071,42,169,230,372,644,1023,1049,552,150,4245,0,14,28,68,230,424,552,357,115,1794,804,1274,1480,2095,3168,4532,4168,2031,548,20103,1422,937,1002,1135,1351,1340,952,404,74,8615,12755,7272,7309,9310,11683,12660,8919,3563,805,74281,21641,11648,10719,12958,15314,14526,8439,2580,412,98228,1884,2061,2208,3052,4463,6221,5730,2475,543,28629,99,262,356,580,1120,1982,2344,1272,309,8331,7,32,43,101,368,812,1169,815,217,3564,1988,2352,2608,3737,5949,9017,9252,4558,1064,40517,2959,2652,4040,4116,4157,3589,2279,937,177,24904
SOSR579,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
SOSR599,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
SOSR603,13554,8455,13143,8465,6721,5439,3608,1425,373,61191,1624,1892,2268,2304,2451,2949,2934,1714,550,18682,129,288,392,471,676,1003,1375,1007,377,5716,3,33,50,103,252,491,867,759,359,2923,1755,2207,2714,2879,3379,4445,5176,3484,1286,27324,1313,948,1280,983,943,772,581,369,135,7337,16626,11613,17136,12326,11047,10655,9363,5279,1795,95846,13127,7126,11917,8260,6771,5884,4031,1701,525,59346,1254,2711,3065,2914,2984,3303,3521,2259,993,23010,120,568,800,781,998,1356,1690,1283,702,8292,3,47,100,224,449,801,1079,979,615,4302,1379,3323,3966,3922,4432,5468,6282,4517,2309,35603,1183,850,1009,820,758,697,633,464,243,6659,15696,11300,16898,12997,11958,12048,10946,6683,3084,101610,26689,15587,25066,16722,13496,11319,7637,3124,903,120534,2880,4607,5336,5219,5435,6256,6455,3965,1546,41695,249,849,1195,1256,1674,2365,3059,2294,1077,14010,11,78,156,326,699,1292,1944,1737,979,7219,3134,5533,6682,6803,7812,9909,11458,8000,3595,62927,2499,1796,2290,1800,1702,1474,1208,838,386,13993
