SOSR_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR679,0,0,4,4,7,0,0,0,0,19
SOSR699,129,215,228,198,203,199,163,31,3,1377
SOSR703,24754,14774,23991,19618,15409,12042,7784,3088,749,122207
SOSR712,5219,2666,4759,3916,3131,2837,1581,570,169,24855
SOSR714,1373,743,1208,857,675,612,347,129,30,5980
SOSR715,4419,2954,3181,2730,2090,1467,606,147,29,17625
SOSR721,2979,2094,2255,1775,1515,1137,505,120,26,12403
SOSR722,2993,1901,1957,1557,1381,1108,648,187,28,11762
SOSR731,6715,4556,4862,4771,5154,4426,2704,856,123,34172
SOSR779,0,15,23,22,19,17,0,0,0,99
SOSR799,446,276,661,573,591,579,318,49,7,3500
SOSR802,82666,60266,77465,69135,55949,45186,35529,19303,7174,452670
SOSR822,130,75,49,96,100,73,58,30,6,615
SOSR831,90,121,115,61,75,72,52,9,5,605
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR899,50,148,108,104,77,78,34,10,4,605
SOSR915,273,99,202,206,209,181,150,26,4,1355
SOSR921,269,151,126,209,228,344,258,129,38,1739
SOSR922,162,71,76,102,69,129,57,40,11,707
SOSR931,114,87,173,125,158,119,119,66,15,976
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,4,0,0,3,0,0,0,11
