SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,50571,45830,96398,134868,125948,260819,36983,36623,73607,24587,24226,48817,196805,187115,383920,83960,79326,163288,39117,39219,78335,31319,30570,61887,154667,149348,304015,8877,8781,17658,11438,16528,27962,15915,7960,23873,21084,33014,54099,235,225,459,57551,66508,124056,68159,78431,146585,24272,28015,52287,9091,10148,19234,21351,31614,52964,345,334,681,123206,148544,271748,181119,215447,396572,11442,11020,22455,14049,18838,32888,291,256,550,25777,30113,55889,124103,118223,242323,733045,746072,1479116
SOSR102,12434,11236,23672,31545,28766,60316,7515,7261,14782,4129,3899,8034,43255,39998,83249,21632,20860,42497,6716,6806,13526,4484,4567,9053,32885,32271,65161,1477,1802,3277,1323,2167,3488,5324,3078,8403,4639,7492,12126,63,60,124,12822,14594,27412,9390,12817,22207,3795,4973,8768,1599,2301,3899,4242,8013,12257,39,46,83,19061,28152,47213,31931,42790,74724,916,1008,1924,1668,2701,4371,34,33,67,2622,3748,6360,25196,26515,51711,148320,156560,304873
SOSR111,2326,2257,4584,5383,5175,10561,2062,2078,4140,1082,1030,2113,8534,8293,16824,3713,3712,7427,1475,1519,2994,985,1024,2012,6174,6271,12444,329,406,733,320,479,798,963,686,1653,986,1678,2662,15,15,27,2607,3264,5875,729,1390,2113,395,696,1097,197,339,535,750,1426,2177,3,3,6,2072,3850,5923,4693,7126,11814,224,206,428,331,576,904,15,11,27,567,791,1364,4954,5040,9993,27244,29775,57022
SOSR112,5939,5390,11333,14134,13323,27457,4625,4718,9353,2654,2605,5265,21444,20677,42122,9448,8886,18337,4114,4424,8543,2779,2960,5740,16356,16290,32645,720,843,1564,618,1190,1805,2311,1683,3996,2309,4353,6663,29,28,62,5991,8097,14090,2116,3779,5890,1225,1943,3172,519,917,1437,1990,3826,5821,8,19,28,5860,10487,16344,11864,18607,30473,511,522,1036,746,1239,1984,26,17,45,1280,1783,3067,19215,16623,35838,76108,79370,155476
SOSR113,2438,2220,4659,6809,6479,13285,1574,1513,3095,760,712,1472,9157,8717,17875,4932,4787,9719,1190,1214,2401,664,713,1378,6792,6720,13519,274,326,601,235,467,701,1026,684,1709,946,1833,2786,14,12,33,2500,3325,5823,464,807,1273,296,683,985,141,279,422,580,1389,1967,10,9,16,1490,3170,4658,3997,6494,10493,166,153,318,310,568,881,16,12,32,496,731,1224,8603,8060,16659,31481,32943,64422
SOSR114,2879,2722,5600,7396,7048,14449,2433,2376,4812,811,880,1688,10664,10316,20978,4834,4542,9379,1976,2197,4173,799,788,1590,7618,7546,15162,279,341,619,226,452,677,1104,884,1993,971,1997,2964,26,13,33,2603,3677,6280,636,1365,2004,278,705,984,169,403,576,693,1527,2227,8,17,21,1793,4016,5814,4409,7701,12113,177,215,395,315,599,914,11,20,31,509,832,1341,9068,9027,18094,35148,38139,73288
SOSR115,3975,3672,7646,10837,10099,20938,2468,2528,4998,1295,1329,2621,14623,13982,28606,7277,6840,14120,1851,2034,3889,1423,1513,2937,10563,10397,20958,456,437,895,289,616,908,1604,1075,2678,1363,2574,3939,25,20,42,3734,4722,8459,687,1418,2108,353,884,1239,210,448,658,904,2213,3119,7,19,23,2169,4974,7145,5907,9711,15623,268,253,524,368,828,1194,17,14,23,651,1089,1742,13880,13282,27162,49603,52137,101742
SOSR121,1064,1009,2075,2963,2815,5774,757,706,1466,440,422,863,4165,3950,8116,1998,1941,3929,646,722,1371,531,515,1045,3175,3181,6355,82,119,200,81,142,224,464,276,740,361,717,1082,8,8,20,1002,1266,2264,257,419,679,92,254,340,62,116,170,239,658,895,0,7,9,650,1449,2096,1651,2714,4365,82,73,155,126,226,350,5,8,14,217,307,524,3304,3194,6496,13572,14358,27930
SOSR122,441,404,847,1551,1335,2885,233,247,485,166,175,333,1954,1762,3711,923,944,1869,292,285,575,193,162,357,1411,1393,2803,38,57,94,29,66,98,208,107,321,166,331,497,5,6,10,447,570,1018,93,188,285,39,88,128,34,61,98,94,275,364,4,4,6,267,616,882,713,1192,1900,41,29,68,41,102,147,0,0,0,84,130,214,2274,2093,4362,6874,6965,13844
SOSR131,5340,4972,10313,14844,13429,28270,5527,5199,10725,3438,3191,6629,23830,21831,45661,10012,9671,19686,5224,5104,10334,4348,4508,8858,19607,19305,38909,610,728,1336,309,648,956,3105,1556,4666,1686,3375,5060,49,41,94,5759,6346,12104,2115,3428,5539,508,1138,1648,483,845,1327,1108,3277,4388,26,29,52,4239,8710,12954,10017,15070,25085,411,423,833,552,1109,1658,23,20,45,988,1559,2544,26714,22150,48869,86483,84886,171375
