SOSR_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
SOSR222,..,9,0,9,0,9,..,104,33,138,0,138,..,17,0,17,0,17,..,36,0,36,0,41,..,78,0,76,4,82,..,52,5,64,0,64,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,17,0,17,0,20,..,17,0,18,0,18,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,73,0,72,0,75,..,102,0,100,3,105,..,10,0,16,0,16,..,7,3,9,0,9,..,6,0,9,0,9,..,12,5,12,0,12,..,15,0,13,0,13,..,0,0,0,0,0,..,20,0,23,0,23,..,3,0,3,0,3,..,15,0,15,0,13,..,4,0,4,0,4,..,17,5,17,0,17,..,65,0,66,0,69,..,12,0,12,0,14,..,60,3,61,0,61,..,20,13,31,0,31,..,157,15,169,5,179,..,84,8,92,0,92,..,3
SOSR231,..,38,20,63,0,63,..,982,510,1498,17,1511,..,397,45,450,4,451,..,433,26,461,7,466,..,1030,20,1055,13,1068,..,897,110,1005,17,1021,..,39,3,40,0,40,..,41,0,46,0,46,..,154,13,167,4,169,..,31,6,30,0,30,..,539,94,631,3,629,..,117,8,122,0,122,..,108,10,113,0,118,..,13,0,10,0,10,..,1033,128,1156,11,1170,..,2395,194,2582,33,2614,..,199,17,215,0,213,..,100,53,151,0,151,..,45,15,61,0,66,..,334,54,384,0,390,..,78,9,87,4,92,..,59,10,66,0,66,..,243,23,265,3,265,..,100,8,109,4,108,..,161,22,187,3,192,..,83,20,106,5,110,..,271,36,309,0,309,..,447,13,460,6,469,..,139,18,155,4,162,..,362,19,381,6,386,..,314,103,416,7,423,..,1263,154,1415,23,1440,..,530,29,562,9,570,..,79
SOSR279,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
SOSR299,..,12,0,12,0,12,..,99,51,148,0,146,..,3,5,7,0,7,..,14,0,19,0,19,..,25,0,27,0,27,..,23,0,27,0,27,..,3,0,3,0,3,..,4,0,4,0,4,..,33,5,35,0,35,..,5,0,5,0,5,..,14,0,16,0,16,..,15,0,17,0,17,..,10,0,15,0,15,..,8,0,8,0,8,..,98,5,100,0,100,..,30,4,33,0,41,..,3,0,6,0,6,..,6,0,8,0,8,..,5,3,11,0,11,..,10,0,10,0,10,..,3,0,3,0,3,..,17,4,21,0,25,..,7,0,7,0,7,..,5,0,5,0,5,..,11,0,12,0,12,..,6,0,11,0,11,..,8,5,16,0,16,..,18,4,21,0,21,..,11,3,12,0,16,..,10,0,10,0,10,..,13,0,17,0,17,..,51,9,57,0,61,..,40,7,48,0,48,..,6
SOSR301,..,2152,705,2854,12,2869,..,67999,18936,86936,757,87692,..,1866,239,2103,18,2123,..,5901,254,6159,72,6232,..,6200,179,6380,99,6477,..,6532,708,7238,49,7290,..,3073,202,3272,23,3298,..,6616,463,7079,64,7146,..,16046,652,16696,134,16831,..,6553,429,6986,63,7050,..,19966,1955,21924,272,22195,..,5650,226,5874,36,5917,..,5447,432,5877,49,5930,..,2925,124,3050,30,3081,..,66278,4488,70762,687,71455,..,8190,813,9002,78,9081,..,6594,803,7397,61,7461,..,1560,592,2146,16,2163,..,11202,3627,14831,120,14948,..,769,94,861,0,868,..,7718,380,8105,76,8177,..,5704,869,6573,60,6633,..,3027,262,3287,31,3317,..,6283,526,6807,98,6901,..,4074,473,4552,46,4595,..,13353,1319,14672,158,14825,..,3071,462,3528,22,3553,..,7350,205,7555,72,7627,..,3223,244,3464,41,3505,..,10799,277,11073,66,11136,..,2703,97,2803,30,2831,..,24077,819,24897,205,25101,..,17012,1806,18819,183,19001,..,5210
SOSR302,..,370,123,497,3,495,..,13037,3703,16743,128,16875,..,1024,135,1162,7,1168,..,2813,126,2938,26,2969,..,3245,105,3350,32,3381,..,1642,150,1789,11,1796,..,524,27,549,0,554,..,1321,109,1430,19,1445,..,1994,96,2087,7,2093,..,1792,84,1875,20,1891,..,3463,280,3741,57,3794,..,581,20,596,4,599,..,778,30,809,6,812,..,368,7,380,0,379,..,10816,650,11464,111,11576,..,3013,192,3207,33,3233,..,5398,948,6344,48,6395,..,180,32,212,6,214,..,3227,1069,4296,33,4331,..,386,44,430,4,432,..,1466,111,1574,26,1599,..,1117,121,1236,9,1248,..,1290,98,1387,6,1397,..,5868,422,6291,92,6380,..,1788,215,2000,12,2016,..,692,43,737,8,740,..,1098,181,1272,10,1286,..,1738,46,1788,12,1795,..,979,62,1041,13,1054,..,2456,59,2522,12,2536,..,691,30,720,6,734,..,5872,198,6068,41,6110,..,5629,454,6085,67,6146,..,494
SOSR303,..,144,33,182,0,182,..,3092,829,3925,44,3959,..,141,12,158,0,158,..,914,54,972,14,986,..,1380,37,1408,14,1424,..,527,58,584,4,594,..,274,10,286,0,289,..,465,32,499,0,502,..,864,35,897,9,909,..,1548,482,2038,28,2065,..,1833,178,2012,31,2043,..,674,24,703,0,702,..,305,17,321,5,329,..,169,9,171,0,171,..,6131,797,6929,79,7006,..,1435,150,1586,14,1603,..,2332,319,2649,19,2669,..,97,18,115,0,115,..,1099,352,1451,12,1461,..,21,0,18,0,18,..,1633,101,1734,25,1760,..,262,41,298,3,301,..,219,21,243,0,246,..,525,75,597,0,607,..,267,36,299,0,297,..,284,21,303,5,308,..,105,9,115,0,115,..,1424,47,1472,16,1489,..,426,28,455,6,461,..,2122,75,2200,22,2221,..,467,21,483,3,489,..,4441,172,4613,49,4658,..,1255,96,1346,13,1366,..,473
SOSR311,..,50,21,70,0,70,..,1181,506,1694,13,1704,..,48,6,55,0,55,..,219,13,229,4,238,..,520,26,541,3,551,..,102,7,109,6,108,..,242,12,256,4,258,..,184,12,195,0,200,..,430,9,444,8,450,..,485,36,529,8,527,..,509,45,555,9,566,..,271,19,291,4,297,..,152,10,162,4,163,..,76,7,81,0,81,..,2349,159,2509,35,2545,..,371,28,393,3,399,..,178,32,214,4,217,..,21,6,26,0,26,..,241,74,313,0,320,..,11,0,11,0,11,..,622,47,665,8,675,..,68,17,86,6,87,..,92,3,95,0,96,..,239,59,293,4,295,..,135,11,147,0,147,..,80,13,93,0,93,..,46,4,51,0,51,..,950,33,980,4,986,..,98,14,110,0,114,..,1426,45,1469,19,1493,..,264,56,323,5,329,..,2741,146,2886,27,2916,..,307,26,334,5,338,..,261
SOSR312,..,5,0,5,0,5,..,233,76,309,7,312,..,28,4,28,0,28,..,113,5,116,5,118,..,209,8,219,4,229,..,63,13,77,3,75,..,46,3,51,0,51,..,42,0,43,0,49,..,131,8,141,6,144,..,57,5,61,0,61,..,147,12,154,4,158,..,54,0,58,0,58,..,64,5,68,0,69,..,29,7,35,0,35,..,583,38,621,10,635,..,135,4,140,0,142,..,75,5,79,6,82,..,45,10,54,0,54,..,42,14,50,0,50,..,9,0,9,0,9,..,115,4,127,0,122,..,28,0,31,0,31,..,61,7,68,0,73,..,28,3,35,0,35,..,48,9,59,0,59,..,39,0,39,0,42,..,21,0,23,0,22,..,391,22,408,3,420,..,65,7,72,0,76,..,454,20,474,5,476,..,61,4,64,0,64,..,970,53,1023,11,1031,..,166,7,175,3,180,..,122
SOSR313,..,15,6,27,0,23,..,513,209,722,4,726,..,42,6,45,0,46,..,224,12,239,7,244,..,300,14,316,4,317,..,71,3,75,0,75,..,34,0,34,0,34,..,69,12,78,0,82,..,223,10,229,5,236,..,92,5,97,0,98,..,357,25,380,0,390,..,131,4,138,8,144,..,100,10,112,0,112,..,34,7,41,0,41,..,1034,68,1110,13,1122,..,167,18,189,4,191,..,113,9,121,0,127,..,46,12,60,0,60,..,95,40,134,3,136,..,8,0,8,0,8,..,178,23,197,6,200,..,28,3,36,0,36,..,102,5,110,0,111,..,84,12,94,0,98,..,79,7,80,0,86,..,186,22,201,0,205,..,31,0,31,0,31,..,607,24,631,9,641,..,93,0,92,0,90,..,693,21,711,8,723,..,166,5,167,0,169,..,1550,58,1601,21,1625,..,306,27,335,7,335,..,84
SOSR314,..,22,27,49,0,49,..,850,528,1376,11,1388,..,64,6,77,0,77,..,251,14,262,3,267,..,362,9,367,5,369,..,116,8,128,0,131,..,32,10,42,0,42,..,222,33,258,0,258,..,227,18,243,0,246,..,96,6,105,0,105,..,818,105,927,11,941,..,76,8,84,0,83,..,100,11,105,0,106,..,20,3,25,0,25,..,1597,191,1786,17,1804,..,774,147,918,16,937,..,194,47,245,3,249,..,18,3,18,0,18,..,129,75,207,0,212,..,3,0,3,0,3,..,117,16,129,7,134,..,41,8,50,0,50,..,67,4,73,0,73,..,97,11,109,0,113,..,103,17,122,0,122,..,70,14,84,0,85,..,41,4,41,0,41,..,373,18,397,0,399,..,154,8,162,3,161,..,527,21,548,3,553,..,137,17,156,5,157,..,1195,63,1255,12,1268,..,421,42,456,5,463,..,57
SOSR315,..,17,4,24,0,24,..,505,164,670,10,688,..,54,4,61,0,62,..,367,18,387,5,391,..,587,16,595,6,598,..,134,18,147,4,154,..,21,6,23,0,23,..,56,4,56,0,56,..,144,5,150,0,150,..,151,22,170,4,175,..,239,42,282,3,291,..,53,0,57,0,57,..,37,4,40,0,40,..,5,0,5,0,5,..,706,80,785,8,794,..,686,101,791,6,800,..,195,28,219,3,225,..,36,10,45,0,45,..,147,83,234,0,234,..,7,0,7,0,7,..,120,4,125,0,125,..,47,0,44,0,44,..,82,8,89,0,86,..,167,35,206,3,204,..,138,16,158,0,156,..,88,36,128,7,132,..,40,4,38,0,38,..,715,32,747,6,756,..,110,14,124,0,126,..,653,30,685,14,695,..,233,18,252,0,254,..,1710,99,1808,21,1828,..,705,34,736,11,745,..,39
SOSR321,..,3,0,7,0,7,..,134,30,162,5,167,..,22,0,20,0,20,..,137,4,144,3,147,..,261,7,265,6,270,..,37,6,40,0,40,..,10,3,15,0,15,..,20,0,16,0,16,..,42,0,48,0,45,..,23,0,29,0,29,..,68,15,82,0,82,..,13,0,13,0,13,..,19,0,19,0,19,..,14,0,14,0,14,..,211,20,227,0,228,..,138,14,149,0,149,..,78,5,81,0,81,..,8,0,7,0,7,..,28,11,43,0,43,..,3,0,3,0,3,..,19,0,18,0,18,..,12,0,12,0,12,..,33,3,32,0,32,..,60,5,66,0,69,..,29,5,34,0,31,..,14,0,14,0,14,..,13,3,12,0,12,..,151,3,152,3,155,..,22,0,21,0,21,..,166,4,175,0,171,..,36,7,42,0,42,..,372,17,391,3,395,..,106,4,113,6,116,..,15
SOSR322,..,0,0,0,0,0,..,43,12,47,0,51,..,11,0,11,0,11,..,42,0,42,0,39,..,97,0,100,0,100,..,18,0,18,0,18,..,3,0,3,0,3,..,3,0,3,0,3,..,26,0,26,0,26,..,15,0,15,0,15,..,32,5,37,0,37,..,6,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,80,6,91,0,91,..,125,29,157,3,161,..,27,0,29,0,26,..,0,0,5,0,5,..,3,0,9,0,9,..,9,0,9,0,9,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,17,0,15,0,15,..,4,3,10,0,10,..,3,0,3,0,3,..,7,0,7,0,7,..,43,0,43,0,43,..,32,0,32,0,33,..,55,0,55,0,55,..,7,0,13,0,13,..,137,3,137,0,142,..,52,0,52,0,52,..,0
SOSR331,..,32,18,57,0,57,..,852,241,1094,13,1106,..,165,11,175,5,177,..,602,16,614,7,623,..,1425,38,1458,13,1475,..,167,14,177,5,178,..,17,0,24,0,24,..,27,0,27,0,27,..,189,17,201,0,201,..,28,4,34,0,34,..,328,35,362,11,367,..,72,6,80,0,80,..,70,12,78,0,78,..,32,3,33,0,33,..,759,65,828,9,833,..,1138,77,1216,13,1233,..,345,35,374,3,378,..,111,54,163,0,163,..,101,38,138,0,138,..,15,7,22,0,22,..,163,9,175,0,177,..,33,4,31,0,34,..,179,9,184,0,185,..,189,24,215,0,215,..,181,35,212,0,212,..,121,15,137,7,147,..,77,19,98,0,95,..,352,16,370,5,374,..,144,13,158,0,158,..,497,18,519,5,526,..,160,31,188,0,187,..,1152,77,1228,14,1244,..,698,38,739,8,742,..,54
SOSR379,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,15,0,18,0,18,..,0,0,0,0,0,..,0
SOSR399,..,5,0,5,0,5,..,100,45,146,0,148,..,4,0,4,0,4,..,95,0,95,0,95,..,67,0,71,3,71,..,15,0,15,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,11,0,15,..,0,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,15,0,17,0,17,..,0,0,0,0,0,..,48,8,56,0,60,..,57,0,57,0,57,..,15,4,19,0,19,..,0,0,0,0,0,..,17,14,30,0,30,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,10,0,10,..,8,0,8,0,8,..,25,0,25,0,25,..,10,0,10,0,10,..,10,4,10,0,10,..,3,0,3,0,3,..,10,5,12,0,12,..,22,3,23,0,23,..,12,0,12,0,12,..,15,0,15,0,17,..,54,3,63,0,61,..,141,10,150,0,150,..,0
SOSR401,..,1195,383,1581,7,1585,..,33383,8374,41760,359,42114,..,2231,303,2538,25,2562,..,2113,84,2195,27,2219,..,3782,107,3893,47,3940,..,17116,2765,19884,121,20002,..,2595,150,2738,16,2757,..,6689,529,7219,68,7284,..,9144,376,9520,60,9585,..,7635,1711,9350,95,9442,..,16772,1566,18340,222,18560,..,3666,188,3852,34,3894,..,4370,354,4725,58,4788,..,1659,78,1740,12,1751,..,52531,4955,57484,574,58058,..,18690,2861,21555,152,21712,..,1835,147,1976,24,1999,..,2904,1384,4292,31,4325,..,2821,713,3531,21,3555,..,509,50,557,4,562,..,4344,250,4595,39,4637,..,4219,1007,5230,40,5263,..,4162,547,4709,26,4736,..,2280,193,2467,16,2484,..,2838,433,3271,24,3293,..,171,13,183,0,183,..,3327,773,4102,19,4116,..,3648,92,3737,32,3771,..,1448,108,1554,6,1563,..,5112,157,5263,33,5299,..,1592,87,1678,24,1703,..,11799,435,12238,99,12333,..,5979,622,6597,63,6663,..,2949
SOSR412,..,22,0,24,0,24,..,312,82,397,3,400,..,66,13,72,0,75,..,96,3,100,0,107,..,217,8,220,5,228,..,183,19,203,0,205,..,30,0,32,0,32,..,29,4,28,0,28,..,105,5,108,0,108,..,45,0,42,0,42,..,197,12,211,4,217,..,106,0,109,0,109,..,94,6,97,0,97,..,23,0,25,0,25,..,618,37,655,4,656,..,403,29,435,5,440,..,79,7,82,3,86,..,25,0,25,0,25,..,23,3,24,0,24,..,11,4,17,0,17,..,61,5,66,0,72,..,53,5,54,0,54,..,74,4,77,5,82,..,59,4,60,0,62,..,44,0,46,0,46,..,0,0,0,0,0,..,45,3,47,0,49,..,259,10,273,0,271,..,33,0,38,0,38,..,263,7,272,3,276,..,75,0,76,0,76,..,627,19,650,3,657,..,165,21,185,0,185,..,70
SOSR413,..,8,3,8,0,8,..,316,170,486,5,488,..,105,3,111,0,109,..,116,11,122,3,124,..,270,3,278,0,279,..,140,16,160,4,169,..,32,0,32,3,32,..,30,3,30,0,30,..,67,0,64,0,67,..,55,0,54,0,54,..,235,19,255,4,257,..,46,5,53,0,55,..,72,0,75,0,70,..,5,0,9,0,9,..,533,32,564,10,572,..,333,34,364,0,369,..,51,0,55,0,52,..,12,3,13,0,13,..,34,0,34,0,34,..,3,0,7,0,7,..,32,3,35,0,35,..,10,4,15,0,15,..,50,3,55,0,55,..,25,11,27,0,29,..,59,6,69,0,69,..,3,0,6,0,6,..,12,0,17,0,17,..,206,7,216,4,218,..,39,0,43,0,39,..,348,16,364,4,368,..,110,20,122,3,125,..,701,41,750,10,754,..,90,4,95,3,102,..,40
SOSR414,..,7,13,21,0,19,..,91,68,161,6,169,..,4,3,3,0,3,..,19,9,33,3,35,..,138,9,142,3,146,..,25,0,22,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,14,0,13,0,13,..,12,0,13,0,13,..,5,0,10,0,10,..,0,0,0,0,0,..,38,8,39,0,39,..,52,6,57,0,59,..,36,0,32,0,36,..,12,11,17,0,17,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,31,5,35,0,35,..,14,0,12,0,12,..,11,0,11,0,11,..,19,4,25,0,25,..,5,0,5,0,5,..,77,0,75,0,78,..,18,5,17,0,17,..,55,0,58,0,58,..,69,19,85,0,85,..,213,23,235,0,241,..,24,0,31,0,31,..,6
SOSR415,..,11,8,22,0,22,..,287,87,378,16,390,..,67,6,77,5,83,..,74,9,78,0,83,..,283,9,295,4,299,..,509,110,620,6,630,..,15,0,15,0,15,..,22,3,25,0,25,..,72,6,77,0,74,..,56,7,62,0,68,..,496,90,588,8,594,..,125,4,132,0,132,..,57,9,66,0,66,..,15,0,17,0,17,..,855,123,977,18,994,..,409,44,456,6,460,..,55,3,61,0,57,..,39,22,61,0,63,..,42,9,50,0,50,..,11,0,8,0,8,..,52,4,55,0,53,..,22,5,29,0,29,..,70,9,78,0,81,..,30,4,37,0,38,..,37,6,44,0,44,..,0,9,9,0,9,..,42,12,48,0,48,..,223,14,240,0,236,..,56,7,58,3,63,..,222,6,228,0,228,..,151,29,178,3,183,..,652,58,709,3,712,..,115,6,125,0,125,..,45
SOSR421,..,0,0,0,0,0,..,62,18,75,4,82,..,0,0,0,0,0,..,25,0,25,0,25,..,70,3,75,0,82,..,19,0,21,0,22,..,7,0,7,0,7,..,4,0,3,0,3,..,3,0,3,0,3,..,21,0,21,0,21,..,27,0,29,0,29,..,6,0,6,0,6,..,8,0,8,0,4,..,0,0,0,0,0,..,78,4,88,0,86,..,52,3,51,0,51,..,11,0,11,0,11,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,29,0,29,..,5,4,10,0,10,..,15,3,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,60,5,61,0,61,..,11,0,12,0,12,..,55,3,57,0,57,..,17,0,24,0,24,..,136,12,154,0,154,..,10,0,10,0,10,..,0
SOSR422,..,0,0,0,0,0,..,18,0,24,0,18,..,5,0,5,0,5,..,12,0,12,0,12,..,38,5,39,0,39,..,12,0,20,0,20,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,26,0,26,0,26,..,27,0,27,0,27,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,15,4,14,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,24,0,24,0,24,..,12,0,12,0,15,..,42,0,45,0,47,..,9,0,10,0,10,..,4
SOSR431,..,9,3,13,0,13,..,205,69,274,0,280,..,49,7,51,0,51,..,144,4,151,0,149,..,419,15,429,6,432,..,697,117,810,8,817,..,14,0,11,0,11,..,28,0,28,0,32,..,33,5,37,0,37,..,25,6,29,0,29,..,240,67,307,7,317,..,11,0,9,0,9,..,0,0,0,0,0,..,10,0,10,0,10,..,358,75,434,5,444,..,603,74,679,8,691,..,44,4,46,0,46,..,96,54,146,0,146,..,17,0,21,0,22,..,10,4,12,4,15,..,11,0,11,0,11,..,26,7,32,0,32,..,87,10,90,3,97,..,29,4,38,6,36,..,70,5,70,4,74,..,9,4,9,0,9,..,44,11,54,0,54,..,114,0,117,0,121,..,61,8,65,0,65,..,126,3,131,0,135,..,63,47,113,0,113,..,372,64,429,3,436,..,137,4,142,0,142,..,27
