SOSR_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,9,33,4,0,6,34,34,65,134,7641,3097,565,11301,245,225,470,11766,4739,115,16611
SOSR822,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,9,6,0,19
SOSR831,0,0,0,0,0,0,0,0,0,7,3,0,6,0,4,4,8,5,0,19
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
SOSR921,0,0,0,0,0,0,0,0,0,23,24,4,53,0,0,0,53,10,0,64
SOSR922,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,3,9,4,0,15
SOSR931,0,0,0,0,0,0,0,4,5,7,3,0,11,0,0,0,11,17,4,27
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
