SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR101,336297,664243,217484,196729,302211,168069,120687,142315,42906,2190950
SOSR102,55927,110660,69190,64072,62291,42106,28570,43231,7689,483747
SOSR111,9390,16474,13341,12500,11021,8611,6772,9682,1473,89270
SOSR112,24527,45474,32551,33322,26633,21376,14229,26776,3897,228784
SOSR113,9828,15446,14815,14012,10354,9161,7707,10875,1736,93937
SOSR114,12470,18750,16505,14928,12532,10043,7964,13781,1897,108869
SOSR115,17517,25865,24096,21055,16934,12489,12005,18034,2830,150819
SOSR121,5113,7542,6946,5575,4904,3478,3222,4705,841,42319
SOSR122,2615,3211,3135,2772,2420,1546,1650,2596,415,20362
SOSR131,62882,43960,38237,25472,31073,17847,19128,28537,5451,272591
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,234,500,279,334,236,171,253,419,77,2511
SOSR201,317061,630357,268429,237562,293250,189209,128895,176135,45239,2286127
SOSR203,19774,42051,25114,25506,21249,16900,10719,19196,2962,183465
SOSR211,4268,7034,7376,6977,6236,4480,5980,5722,1071,49147
SOSR212,14859,25561,17852,15745,15078,11535,7241,13597,2207,123674
SOSR213,11814,19655,17034,15334,12799,10227,7701,13837,2027,110423
SOSR214,6811,9912,9430,8311,6697,5573,3785,7970,1200,59685
SOSR215,12178,16212,16128,12503,10739,8114,7028,11905,1926,96731
SOSR221,3561,4557,4400,3271,2986,2218,1880,3176,502,26552
SOSR222,2014,2396,2349,1839,1493,1106,1167,1899,296,14558
SOSR231,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
SOSR279,0,4,0,0,0,0,0,4,0,15
SOSR299,174,334,250,227,143,129,177,308,49,1797
SOSR301,143123,292163,136748,132849,155340,94046,70202,99240,20342,1144039
SOSR302,55225,89785,61005,56459,53362,44534,20898,39365,8329,428960
SOSR303,21141,43270,29527,32423,25197,18796,12872,20616,3419,207252
SOSR311,9590,18732,17768,15365,12702,10390,9265,13096,2004,108908
SOSR312,3395,5875,6593,5347,4434,3702,3416,5055,799,38610
SOSR313,7266,11608,11990,9183,8363,6861,7503,8771,1296,72841
SOSR314,7740,10647,12240,8802,8527,6170,7433,10872,1623,74049
SOSR315,10309,14447,17464,13624,11727,8733,10697,14574,2223,103797
SOSR321,4182,5622,6241,4972,4408,3177,3829,5229,896,38556
SOSR322,1957,2160,2565,2102,1748,1211,1916,2533,466,16667
SOSR331,41538,28588,31392,19497,23291,13610,18392,26301,4555,207163
SOSR379,0,10,0,0,0,0,0,17,0,29
SOSR399,290,488,386,429,275,208,319,732,98,3219
SOSR401,70595,143421,75934,79822,79448,51114,33035,55991,10343,599698
SOSR412,4836,7509,6954,6321,5259,4529,3998,5105,794,45310
SOSR413,4276,7124,4915,5551,3791,3566,2291,4937,613,37053
SOSR414,1535,1983,2057,1775,1457,1265,868,2146,222,13312
