SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR415,6444,7355,7772,6478,5468,4324,3963,7245,980,50029
SOSR421,1960,1897,2207,1740,1501,1111,1165,1999,277,13849
SOSR422,1008,932,1131,956,733,511,665,1206,149,7295
SOSR431,18693,10107,9399,6799,7246,4527,4628,9308,1434,72129
SOSR479,0,0,0,0,0,0,0,0,0,8
SOSR499,66,123,106,76,64,57,66,141,27,724
SOSR501,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOSR511,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
SOSR512,5538,9043,10153,7132,6074,5015,5732,6442,859,55980
SOSR513,3650,5275,6712,3668,3933,2299,3428,3374,761,33096
SOSR514,1405,1890,2397,1579,1189,1135,1060,1754,208,12611
SOSR515,4076,5486,7664,4846,4235,2896,4925,5578,856,40565
SOSR521,1823,1888,2544,1784,1522,942,1964,2116,335,14926
SOSR522,1099,1006,1210,1009,761,440,936,1055,206,7723
SOSR531,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOSR579,9,33,83,9,10,0,31,98,6,277
SOSR599,107,257,272,223,150,77,213,292,33,1614
SOSR603,11452,23906,11618,13539,12205,8022,3979,8428,1668,94821
SOSR611,4113,7934,4839,5499,4354,3728,2491,4218,635,37810
SOSR612,1722,2853,2750,2890,2053,2017,1529,2752,327,18895
SOSR613,518,812,770,784,548,485,420,685,94,5122
SOSR614,690,928,1232,1097,808,618,539,858,142,6913
SOSR615,3015,3992,4188,3742,3100,2495,2336,3530,521,26908
SOSR621,1206,1640,1478,1151,1042,764,710,1333,202,9520
SOSR622,471,594,610,460,414,284,340,499,85,3760
SOSR631,9188,8211,7948,5479,5224,3406,3850,6313,1033,50648
SOSR679,0,0,0,0,0,0,0,5,0,12
SOSR699,24,50,48,39,27,21,37,50,11,309
SOSR703,8280,14866,8906,10020,9119,4654,3284,4979,1228,65347
SOSR712,1594,3368,1627,2353,1650,817,468,926,350,13148
SOSR714,308,556,371,549,330,157,115,225,83,2698
SOSR715,513,1165,555,874,521,226,230,371,182,4632
SOSR721,470,758,464,772,357,175,209,340,93,3650
SOSR722,337,638,235,574,240,155,118,345,89,2728
SOSR731,2286,2104,2543,1602,1829,729,1093,1764,317,14269
SOSR779,0,18,9,5,0,0,4,26,0,56
SOSR799,54,107,49,62,46,19,31,107,22,500
SOSR802,44172,77965,23759,27051,36048,15159,5994,12315,5253,247706
SOSR822,62,96,42,29,46,13,13,21,10,335
SOSR831,132,58,49,29,37,9,0,30,6,352
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR899,28,51,25,30,27,21,5,19,0,216
SOSR915,90,91,124,108,82,10,71,90,18,686
SOSR921,146,111,171,138,125,95,36,92,19,939
SOSR922,64,54,42,50,28,6,11,44,0,299
SOSR931,50,39,53,38,42,20,21,42,10,329
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,4,0,0,0,0,0,0,0,3
