SOSR_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR101,307815,51663,77310,1106,296,438192,353541,69727,114015,807,561,538646,121101,54257,269770,3413,1352,449894,17649,16734,22777,13,103,57281,2601,3940,8438,42,92,15117,29218,9632,31697,873,420,71835,5939,1981,4679,327,224,13143,961,452,1420,30,18,2882,177475,86996,338779,4695,2212,610161,9459,5068,11439,167,125,26256,10329,2976,7630,152,314,21413,858616,216434,549172,6931,3506,1634660
SOSR102,111226,15570,9165,1358,123,137438,116679,10779,6836,199,82,134577,40107,15213,19228,667,200,75415,7235,5611,4279,14,28,17165,957,1273,1147,12,21,3413,12159,3126,3157,167,93,18696,1826,567,417,303,43,3164,313,141,149,13,0,614,62596,25924,28388,1177,375,118463,3037,2873,1561,65,36,7579,3300,1128,841,80,80,5428,296840,56282,46789,2885,700,403488
SOSR111,19650,1971,703,303,34,22655,23217,1227,359,17,12,24842,9674,4415,1922,53,30,16087,1641,631,299,6,3,2569,534,361,189,0,3,1083,2428,625,286,25,12,3379,564,89,34,116,17,818,78,51,27,5,0,155,14915,6167,2750,196,69,24097,830,575,108,15,13,1535,656,216,117,28,31,1049,59275,10156,4039,553,151,74180
SOSR112,60570,5228,2141,500,109,68557,57091,2149,924,46,52,60262,27003,8628,6960,214,102,42906,4354,1464,969,0,11,6798,1346,1232,731,15,10,3324,7884,1261,904,71,45,10164,1170,258,231,220,48,1933,218,145,85,7,4,465,41976,12977,9875,527,222,65587,1919,1541,603,25,67,4152,2200,540,339,58,121,3252,163753,22449,13883,1155,574,201813
SOSR113,29850,3293,1175,624,69,35013,23461,1666,440,60,22,25649,10190,3971,2193,80,26,16471,2047,818,406,0,6,3278,691,520,309,5,9,1533,3827,823,453,61,27,5188,834,139,89,346,56,1457,118,77,19,3,0,222,17709,6349,3468,503,126,28152,961,492,283,31,32,1801,1183,301,121,119,39,1770,73160,12096,5490,1329,291,92372
SOSR114,33966,2775,983,479,124,38323,28517,1335,486,70,50,30456,11520,4128,2196,138,35,18021,2091,416,223,0,4,2730,729,493,184,0,9,1415,4244,816,444,58,45,5608,854,172,73,151,37,1281,124,83,35,5,0,252,19561,6101,3153,353,138,29300,1036,608,193,49,34,1911,1473,400,139,126,36,2180,84551,11222,4952,1066,378,102169
SOSR115,54729,2548,714,1125,191,59308,42033,1036,358,170,61,43656,14965,3062,1840,209,44,20130,1731,339,188,15,9,2284,764,382,156,6,7,1315,7082,661,470,112,44,8364,1240,226,169,227,52,1911,191,45,38,8,3,283,25979,4718,2861,574,170,34293,2125,850,116,66,55,3216,2186,262,135,122,111,2810,127051,9406,4181,2057,585,143285
SOSR121,15033,269,100,413,46,15864,12965,160,66,42,29,13260,2613,350,197,19,12,3193,199,51,26,0,3,280,142,63,35,4,4,241,1773,101,82,42,20,2011,293,30,26,87,10,440,55,10,4,0,5,72,5073,605,359,153,48,6242,489,47,61,21,14,633,631,28,16,26,6,698,34194,1108,603,651,141,36690
SOSR122,8309,52,42,211,36,8649,6168,41,19,27,13,6264,1193,69,52,8,4,1327,162,17,5,0,0,188,161,35,25,0,4,230,1170,17,36,19,7,1251,235,19,20,50,11,337,28,0,4,0,0,40,2954,157,143,82,34,3366,306,19,11,6,7,348,418,9,12,46,29,520,18155,281,224,379,112,19148
SOSR131,88102,440,199,1245,560,90545,64348,296,113,263,172,65193,9025,187,104,38,71,9423,148,9,9,0,10,172,362,17,8,0,4,400,10874,79,123,193,134,11400,2879,36,26,263,116,3326,188,3,0,15,6,216,23484,327,264,524,342,24935,7982,65,102,197,159,8507,3225,21,22,136,85,3491,187132,1151,692,2365,1315,192660
