SOSR_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR101,0,9,13,131,163,667,1797,1468,557,4806,0,19,104,632,318,598,521,288,149,2633,7,42,242,1109,598,476,349,135,61,3026,45,312,7593,16766,668,423,170,32,0,26006,25,120,157,747,397,356,681,629,352,3454,274,2054,4481,13021,6928,5733,3342,1428,422,37683,7,37,89,989,846,1385,1555,779,288,5972,162,1568,1265,7271,1449,770,406,100,23,13007,0,18,67,294,541,387,236,114,52,1701,137,1525,3420,21214,8794,8580,5970,1523,521,51684,11,57,88,1996,814,993,1282,558,459,6260,7,225,462,1183,1076,968,532,170,29,4655,12,119,228,1445,1092,1455,1356,973,384,7059,120,846,870,2022,953,867,793,283,90,6846,97,849,1442,5894,3930,2758,2023,1086,374,18462,51,422,816,4924,2432,2519,1650,815,334,13967,47,201,338,4004,1017,724,777,116,18,7243,53,391,1003,10592,2572,1364,697,147,25,16844,24,175,167,1751,1575,1355,956,494,115,6613,416,1481,1484,5021,1534,1165,777,313,86,12289
SOSR102,0,0,3,12,18,85,287,194,58,666,0,0,5,35,16,46,47,17,15,176,0,7,24,115,26,21,26,10,9,242,0,13,138,783,15,14,5,0,0,971,0,17,23,117,93,144,428,384,173,1370,38,212,421,1802,1444,1433,1137,555,178,7215,0,13,25,264,341,610,793,473,163,2681,16,71,38,303,27,25,26,6,4,520,0,11,23,90,118,105,51,15,3,416,19,206,310,1824,816,903,616,157,34,4876,0,8,9,203,104,103,210,114,86,830,0,3,8,40,34,36,19,3,3,145,3,41,75,234,291,562,674,545,245,2671,3,41,42,117,76,63,46,19,0,416,13,121,203,828,479,370,292,131,43,2481,0,22,47,217,96,76,52,29,12,545,3,20,8,132,39,20,15,0,4,253,6,103,179,969,443,218,66,18,0,2011,0,7,8,89,137,110,68,63,7,487,45,149,212,756,282,260,206,76,14,1997
SOSR111,0,0,0,0,4,7,18,14,0,39,0,0,3,9,0,5,4,0,0,17,0,14,42,128,24,15,9,6,0,238,0,25,62,146,0,3,0,0,0,243,0,0,3,8,13,21,77,79,32,243,7,47,70,279,207,212,160,83,12,1080,0,0,0,0,3,6,0,0,0,8,0,8,10,41,4,8,4,0,0,75,0,0,5,13,27,21,8,0,0,71,4,42,62,346,165,176,86,27,0,916,0,0,0,17,12,10,27,6,14,82,0,5,7,12,10,4,8,0,0,40,0,3,9,27,27,62,59,56,25,274,0,8,6,12,8,6,5,0,0,37,5,33,40,118,97,44,38,20,7,405,0,9,5,60,11,7,11,0,0,103,0,6,3,71,8,0,0,0,0,85,4,25,35,129,62,28,12,4,0,298,5,0,0,3,0,3,3,0,0,17,0,23,20,99,26,30,31,6,0,239
SOSR112,0,0,0,5,9,16,57,39,14,133,0,0,0,11,9,24,7,3,0,66,0,5,15,106,27,7,11,0,0,175,5,38,133,1048,21,20,11,0,0,1269,0,0,8,49,32,62,213,180,76,620,11,121,175,695,503,596,539,282,105,3026,0,0,0,4,6,12,8,0,0,35,7,39,32,209,19,6,7,0,0,326,0,0,12,29,55,36,36,6,6,177,16,151,191,1048,361,356,230,52,6,2412,0,0,4,45,25,35,51,26,27,224,0,13,25,34,31,21,12,3,0,139,3,18,21,93,80,181,243,214,80,922,0,18,17,31,30,23,30,9,0,150,10,58,94,308,185,120,132,77,16,1007,5,42,30,192,57,40,29,14,6,416,5,5,17,217,15,11,3,0,0,275,3,30,41,345,158,91,37,0,0,711,12,4,7,22,26,9,12,0,0,85,12,64,75,247,128,126,116,54,10,829
SOSR113,0,0,0,5,5,11,51,32,7,111,0,0,0,7,0,14,10,5,0,33,0,0,0,8,0,0,0,0,3,19,0,4,15,123,0,3,0,0,0,149,0,0,4,45,21,34,97,97,33,334,3,56,70,348,285,283,258,122,31,1453,0,0,0,4,4,4,6,3,0,24,0,6,4,17,3,4,5,0,0,29,0,3,6,17,25,23,8,0,0,82,11,44,62,431,170,177,122,41,8,1065,0,0,0,18,14,16,22,10,8,89,0,0,0,6,3,5,3,0,0,17,0,4,8,36,30,92,136,102,44,448,0,12,3,18,12,16,6,3,0,72,0,14,25,124,70,51,55,39,10,392,0,7,0,18,10,7,7,5,0,58,0,0,0,36,3,6,0,0,0,44,0,24,35,172,104,45,24,0,0,407,0,0,0,9,4,4,0,0,0,18,10,28,37,147,57,46,70,21,9,418
SOSR114,0,0,0,4,3,15,37,21,8,92,0,0,3,4,0,4,3,0,0,21,0,0,0,8,5,4,0,0,0,15,0,7,24,186,6,3,4,0,0,221,0,0,8,29,13,39,139,103,36,360,6,57,64,332,266,319,297,128,36,1502,0,0,0,9,4,3,4,0,0,23,7,6,8,51,0,3,0,0,0,79,0,0,6,23,34,20,15,0,0,97,11,83,77,454,183,159,111,11,8,1094,0,0,0,33,9,11,16,14,6,82,0,0,4,13,5,0,0,0,0,27,0,5,11,32,32,92,128,97,30,428,0,12,0,12,17,18,11,4,0,80,5,28,45,157,90,53,71,40,8,498,0,15,11,66,18,10,7,3,4,127,0,0,4,66,3,0,0,0,0,80,5,17,20,157,93,58,16,3,0,363,0,0,0,10,10,0,8,0,0,21,0,24,32,127,41,48,67,21,4,368
SOSR115,0,0,0,6,6,32,76,50,15,189,0,0,0,10,0,15,18,3,4,43,0,0,0,14,4,6,0,0,0,32,0,3,14,127,0,0,0,0,0,148,0,0,7,39,37,66,214,131,48,540,7,51,83,464,381,527,447,190,47,2192,0,0,0,3,3,6,10,0,0,29,0,0,5,30,5,0,5,0,0,45,0,5,10,28,45,43,22,3,0,157,3,56,47,402,157,189,155,23,3,1044,0,0,0,13,12,23,31,14,13,114,0,0,4,15,3,4,0,0,0,28,3,11,9,57,72,130,210,173,46,711,0,3,9,18,13,17,15,8,0,86,4,23,46,172,127,88,106,52,12,617,0,4,10,43,19,15,16,0,4,106,0,3,4,91,7,10,0,0,0,111,0,16,28,190,99,52,18,7,0,406,0,4,0,8,7,8,4,0,0,30,3,55,35,189,90,93,127,54,11,653
SOSR121,0,0,0,0,0,6,20,13,0,44,0,0,0,4,3,5,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,13,0,0,0,0,0,15,0,3,0,11,16,14,47,32,10,134,0,19,25,107,107,139,124,47,4,574,0,0,0,0,3,0,0,0,0,3,0,4,0,6,3,0,0,0,0,13,0,0,0,9,13,6,7,0,0,36,0,7,8,95,36,60,43,11,4,262,0,0,0,10,8,4,9,0,3,30,0,0,0,5,0,0,0,0,0,6,0,0,3,13,25,43,55,34,9,184,0,3,0,0,7,8,7,0,0,21,0,5,9,43,37,27,27,9,0,171,0,0,0,10,0,4,4,0,0,15,0,4,0,14,0,3,0,0,0,28,0,7,3,37,26,10,9,0,0,85,0,0,0,0,0,0,0,0,0,4,4,8,8,57,34,29,36,6,5,189
SOSR122,0,0,0,0,3,3,10,7,0,18,0,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,10,0,0,0,10,5,14,27,3,3,63,6,8,3,54,60,90,69,23,0,299,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,3,3,14,8,0,0,0,29,0,3,6,54,22,29,26,7,0,151,0,0,0,3,0,6,0,5,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,4,9,23,19,14,0,68,0,0,0,0,0,0,0,0,0,7,0,0,7,22,15,12,19,4,0,82,0,0,0,0,5,4,0,0,0,3,0,0,0,33,0,0,0,0,0,30,0,0,7,14,14,13,4,0,0,54,0,0,0,0,0,0,0,0,0,4,0,0,8,25,17,19,22,11,0,94
SOSR131,0,0,3,24,35,143,265,150,21,643,0,0,0,4,6,10,13,7,0,38,0,0,0,10,8,6,8,4,0,32,0,0,6,20,4,0,0,0,0,30,0,4,21,89,90,128,289,138,32,781,10,68,121,606,697,868,645,186,29,3225,0,0,0,12,8,16,8,8,3,56,0,3,0,34,9,16,7,0,0,67,0,0,8,23,88,94,25,3,0,245,7,45,41,390,208,224,129,18,4,1075,0,0,0,43,27,46,54,14,5,188,0,0,10,13,8,8,3,0,0,37,0,8,18,63,100,218,221,113,23,760,0,21,12,26,38,48,25,7,0,171,4,43,66,269,254,186,147,47,7,1037,0,0,0,32,23,13,22,15,0,105,0,8,5,88,21,15,19,3,0,161,3,27,31,227,115,72,24,4,0,506,0,0,0,15,17,6,3,3,0,44,13,61,74,296,151,232,211,54,12,1102
