SOSR_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOSR222,0,0,0,6,4,0,0,0,0,8,0,0,0,0,4,0,4,0,0,13,0,0,0,3,3,0,0,0,0,3,0,0,3,53,24,36,34,18,10,172,34,126,136,298,186,240,183,118,45,1357,739,1914,1522,3496,2212,2803,2187,1106,414,16396,0,0,0,0,0,0,0,0,0,0,1442,3545,2707,5513,3528,4319,3500,1582,518,26650,0,0,0,4,0,0,0,0,0,10,0,0,0,5,0,4,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,7,0,0,3,0,0,16,0,0,0,13,4,16,10,0,0,41,0,0,0,4,3,3,0,0,0,16,0,5,3,28,3,3,0,3,0,51,0,0,0,0,3,7,0,3,0,18,0,0,0,0,0,3,7,4,0,15,3,13,19,112,143,281,302,176,40,1086,0,0,0,5,0,0,0,0,0,7,0,5,0,9,8,0,0,0,0,29
SOSR231,0,3,16,90,48,33,12,3,5,205,0,0,3,19,23,44,43,20,6,157,0,3,9,35,16,33,15,3,0,114,12,53,61,461,360,429,395,277,67,2103,550,1792,1550,3397,2584,3029,2399,1260,378,16936,9524,25643,21383,41823,31378,35508,27492,11317,3033,207104,0,0,3,28,7,3,6,0,0,51,18061,48396,40639,68999,50770,56558,44157,17407,3940,348928,0,0,4,17,9,3,4,0,0,37,0,0,0,18,8,11,16,13,5,75,0,3,0,28,8,6,7,0,0,54,0,10,16,51,26,16,8,0,0,129,10,20,22,145,113,115,72,19,3,530,0,4,6,44,38,30,19,0,0,135,3,35,56,236,145,135,62,24,7,705,0,0,0,27,36,115,158,116,31,484,0,0,3,21,7,21,48,19,0,120,24,217,346,1113,1783,3414,3393,1671,372,12330,0,5,9,45,47,38,40,7,0,198,0,10,18,100,38,42,42,18,0,271
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,5,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,53,15,9,4,0,0,120,64,147,167,608,169,104,55,13,7,1339,189,361,556,1604,479,429,224,58,19,3915,0,0,4,6,0,0,0,0,0,8,251,367,607,1490,623,532,330,73,13,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,5,0,0,21,0,0,4,5,3,0,0,0,0,18,0,0,10,22,11,4,6,0,0,57,0,0,0,0,0,4,3,0,0,12,0,0,6,0,0,0,3,0,0,5,3,6,7,52,21,42,20,15,0,170,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12
SOSR301,40,325,929,4025,2473,1821,1170,366,172,11319,3,56,118,283,237,201,205,156,52,1308,3,50,235,978,528,441,233,58,15,2543,297,2270,3868,15702,5492,4283,3324,1824,779,37844,2486,5600,6326,15416,5185,4245,3691,3003,2288,48241,67049,146817,151281,348374,151775,124148,96551,54379,24542,1164925,31,328,650,2336,556,231,92,35,10,4266,128753,254903,225745,402509,181734,147273,113681,61824,24128,1540554,21,187,211,1314,313,164,71,15,4,2307,0,9,55,901,445,580,334,126,24,2479,23,185,424,4115,534,164,68,23,3,5539,11,63,119,560,392,317,229,73,25,1800,115,418,452,2398,1000,675,430,172,62,5714,23,72,103,707,330,269,213,113,16,1846,181,1883,5844,19711,4991,4380,3050,1075,462,41593,0,6,15,351,221,447,374,332,109,1862,23,190,219,492,145,148,200,131,41,1600,390,3781,6596,16438,14705,16459,12792,9708,3230,84093,16,181,590,3850,2143,1869,1226,488,111,10466,30,180,249,1492,474,419,265,162,57,3327
SOSR302,7,59,135,527,187,94,50,14,6,1077,0,35,64,181,141,118,144,100,37,815,3,9,84,286,181,162,111,33,13,876,66,505,804,4606,1928,1667,1541,1035,428,12586,931,2371,2755,6939,2905,2709,2518,2078,1347,24556,22176,52742,52585,121594,62015,57084,50621,29997,12572,461370,0,5,18,74,37,16,6,0,0,153,42806,92127,79031,141384,73972,66362,59399,33512,12168,600761,0,20,37,213,72,25,10,7,0,388,0,5,9,330,169,247,143,63,10,984,17,148,390,4538,328,101,61,16,4,5614,7,25,37,82,40,44,15,3,4,259,50,226,254,1480,547,397,333,153,33,3470,7,17,40,438,133,94,73,67,10,872,53,581,944,4304,1351,1216,658,244,91,9441,0,0,4,130,102,205,272,261,91,1064,8,37,36,125,68,108,195,148,68,792,189,2008,3423,8560,7714,8778,8201,6480,2351,47702,0,30,86,467,274,258,183,82,31,1414,14,79,96,744,219,213,177,129,44,1704
SOSR303,0,31,45,229,94,49,32,9,0,484,0,3,6,45,31,41,28,13,7,181,0,10,71,163,81,79,36,17,3,465,60,400,644,1977,824,639,450,315,85,5388,715,1592,1905,4283,1682,1434,1125,852,489,14072,12175,28289,28886,60860,29172,25862,20310,11627,5003,222171,0,21,40,86,19,9,6,0,0,187,22964,49843,46203,82232,39644,35926,28226,15014,5620,325682,4,16,26,120,30,12,5,0,0,225,0,0,0,15,8,11,6,6,4,47,6,16,47,329,65,13,11,6,0,493,0,11,15,53,24,6,10,0,0,119,16,58,78,443,161,159,102,54,9,1083,0,4,7,107,22,8,11,13,0,182,17,103,132,832,335,243,134,54,29,1870,0,0,0,12,18,36,40,43,13,168,9,32,49,64,14,19,20,13,5,219,33,348,591,2169,1920,2688,2417,1638,481,12278,0,25,73,244,122,120,76,30,12,705,0,21,30,254,83,76,65,27,12,569
SOSR311,0,13,37,161,56,30,21,0,0,315,0,0,5,19,12,18,19,24,5,100,0,8,30,91,61,55,24,4,3,271,19,76,61,450,217,219,223,158,54,1477,335,880,905,2035,954,889,863,823,444,8140,6669,16116,14530,31322,15879,16545,14790,9823,4161,129830,0,9,11,22,6,0,0,0,0,42,12820,29491,25050,45943,23229,24551,21660,13081,4986,200816,3,16,13,116,32,19,0,0,0,195,0,0,0,8,0,3,3,3,0,14,0,11,41,128,65,16,7,0,0,271,0,4,3,7,9,0,0,0,0,29,3,26,13,167,51,66,52,30,10,420,0,0,0,14,6,5,10,3,0,39,6,63,68,465,139,100,44,14,10,916,0,0,0,10,5,14,15,24,15,73,5,19,3,44,8,9,10,5,0,102,19,177,266,745,823,1384,1645,1494,428,6982,0,18,41,146,63,79,31,29,0,406,0,3,13,42,22,22,18,24,8,155
SOSR312,0,3,5,21,14,0,5,0,0,56,0,0,3,5,5,16,17,8,0,53,0,4,3,24,14,15,12,3,0,73,7,33,29,152,96,108,105,68,29,622,103,291,267,662,348,353,355,301,158,2845,2420,5835,5091,10943,6214,7065,6870,4282,1712,50437,0,5,5,0,4,0,0,0,0,9,4603,10558,8939,16720,8938,10176,9685,5619,2013,77256,0,3,3,23,10,8,3,0,0,42,0,0,0,0,3,5,0,0,0,13,0,0,0,13,3,0,0,0,0,25,0,7,0,18,11,0,0,0,0,45,4,15,9,57,34,28,24,7,5,185,0,0,0,7,5,6,4,0,0,20,4,13,12,50,44,23,22,8,4,171,0,5,0,10,7,9,8,12,3,48,0,10,0,20,0,0,6,0,3,39,4,90,144,351,470,833,1040,757,251,3933,0,3,15,45,30,22,19,8,0,138,0,0,0,19,8,16,20,13,4,84
SOSR313,0,3,15,69,12,5,0,0,0,117,0,0,0,6,5,16,9,10,3,65,0,6,21,76,47,23,9,5,0,191,7,38,72,365,155,125,119,85,24,991,245,601,542,1457,558,519,447,364,243,4969,5188,11806,9495,21966,9867,9590,8059,4700,1932,82601,0,0,6,7,3,0,0,0,0,15,10187,21714,16470,31896,14577,14101,11996,6568,2283,129783,0,0,0,20,5,0,0,0,0,20,0,0,0,5,4,0,0,0,0,9,0,5,10,46,10,5,0,6,0,82,0,9,0,22,4,7,0,0,0,43,10,14,16,112,32,27,34,8,7,268,0,0,0,48,6,0,3,0,0,66,0,10,21,154,43,38,17,3,0,281,0,0,0,0,7,9,10,17,3,46,3,7,0,15,3,0,5,0,0,36,14,66,138,603,531,868,833,706,204,3963,0,16,19,149,54,43,24,8,0,314,0,3,11,46,26,26,20,15,3,145
SOSR314,0,4,8,64,24,18,5,3,0,119,0,0,5,19,19,14,9,10,0,73,0,4,11,39,35,19,12,4,0,125,10,50,74,514,176,167,134,98,45,1271,300,824,717,1766,820,644,616,421,285,6389,4912,11731,9372,21845,10840,9997,8566,5109,2203,84562,0,3,0,14,4,4,0,0,0,25,9382,21262,15839,30133,15456,14423,12221,6829,2433,127972,0,8,10,31,3,0,0,0,0,55,0,0,0,12,6,0,9,3,0,21,0,3,11,56,10,4,0,0,0,89,0,6,0,8,0,3,0,0,0,19,0,22,11,85,36,40,35,21,3,250,0,0,3,34,3,5,7,0,0,47,3,26,48,345,66,36,18,3,4,548,0,0,0,6,5,5,13,21,9,66,0,9,3,19,4,0,9,6,0,43,6,127,259,715,826,1007,1018,753,238,4948,0,11,16,76,34,43,18,9,0,205,0,4,26,91,14,21,14,8,0,183
SOSR315,3,16,17,92,19,20,9,0,0,171,0,0,5,28,18,25,16,23,4,116,0,4,9,49,38,38,17,5,5,163,5,45,99,574,213,240,212,126,45,1551,385,1025,1047,2517,1222,1306,1106,757,394,9754,7100,16522,13233,30612,15934,17552,15559,8185,3254,127941,0,0,0,4,3,0,0,0,0,6,13599,30836,23326,45906,23927,25437,23029,11290,3817,201178,0,0,0,18,3,0,0,0,0,25,0,4,0,8,0,5,0,0,0,17,0,0,31,86,42,16,4,0,0,180,0,6,5,20,3,0,0,0,0,39,0,12,16,126,60,76,62,28,8,385,0,4,7,117,8,13,10,0,0,163,4,13,12,159,55,41,18,18,5,323,0,0,0,4,8,17,21,26,3,85,0,0,0,0,7,8,15,5,0,41,12,145,291,920,1029,2006,2068,1465,385,8313,0,10,13,84,63,51,28,13,4,264,0,4,9,93,36,46,33,23,14,261
SOSR321,0,4,0,16,8,3,7,0,0,39,0,0,0,3,8,13,7,0,0,33,0,0,9,14,9,19,15,0,0,61,0,13,14,131,86,123,111,63,7,549,177,425,412,914,534,577,489,316,91,3937,2430,6231,4681,10573,6504,7617,6245,3035,877,48190,0,0,0,3,0,0,0,0,0,3,4706,11727,8524,16416,9896,11110,9384,4324,1118,77203,0,3,0,6,4,0,0,0,0,15,0,0,0,0,0,4,3,0,0,3,0,3,6,20,11,4,4,0,0,42,0,3,4,5,0,4,0,0,0,15,4,7,3,47,27,24,34,13,3,164,0,0,0,5,7,0,0,4,0,16,0,7,0,30,16,21,12,3,0,85,0,4,0,3,4,9,6,3,0,28,0,0,0,0,0,0,4,6,0,8,7,56,86,349,440,898,902,620,108,3478,0,5,9,34,15,23,16,5,0,111,0,0,4,33,11,16,15,10,0,90
SOSR322,0,0,0,6,0,0,0,0,0,12,0,0,0,0,4,0,3,0,0,10,0,0,3,7,3,11,7,0,0,33,0,4,11,51,28,50,26,19,0,188,90,222,169,438,239,320,255,140,44,1912,1181,2644,1947,4512,2761,3604,2929,1416,386,21390,0,0,0,0,0,0,0,0,0,0,2174,4854,3540,7021,4323,5587,4784,2164,493,34937,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,6,0,21,0,0,0,0,0,0,5,0,0,6,0,6,4,18,4,20,14,7,0,71,0,0,0,11,0,0,0,0,0,18,0,0,0,20,4,4,9,0,0,36,0,0,0,0,0,4,5,6,0,13,0,0,0,0,0,0,0,0,0,3,0,5,25,114,149,335,288,177,46,1131,0,0,0,13,16,7,9,0,0,38,0,0,3,10,3,4,0,5,3,33
SOSR331,3,6,8,110,68,39,22,3,0,260,0,0,5,32,27,47,54,18,7,192,0,11,16,75,98,81,50,11,0,337,9,62,113,732,423,561,433,207,45,2592,691,2031,1846,4347,2925,3145,2347,1149,247,18719,10221,27340,21960,46226,33453,35907,26694,11227,2454,215473,0,0,0,6,0,0,0,0,0,14,19443,51373,40251,73093,51524,55143,42604,17803,3602,354830,0,0,4,9,4,0,0,0,0,18,0,0,0,8,7,10,4,0,0,28,0,6,11,92,31,10,3,0,0,161,0,6,11,42,38,22,3,4,0,130,7,46,42,212,155,179,133,48,10,829,0,0,4,51,14,12,13,4,0,97,0,21,29,151,80,76,41,24,5,433,0,0,0,12,14,40,46,38,16,169,0,3,6,10,0,0,24,16,0,49,10,259,568,1495,2333,3854,3364,2032,341,14246,0,5,25,106,84,90,49,15,9,381,0,6,22,170,53,86,68,35,7,442
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,24,0,0,9,18,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,14,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,6,3,0,0,7,5,9,27,119,12,12,14,0,0,195,32,60,156,487,171,163,99,20,3,1183,229,457,777,2230,887,1170,870,160,25,6807,0,0,0,0,0,0,0,0,0,5,414,737,927,2462,1193,1608,1380,268,26,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,24,8,9,0,0,0,46,0,0,0,35,0,0,0,0,0,37,0,0,4,49,4,4,0,0,0,69,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,38,142,70,169,167,59,9,657,0,0,0,6,4,0,0,0,0,16,0,0,18,52,0,5,7,0,0,81
SOSR401,29,260,895,3020,1841,1606,978,257,144,9029,0,28,54,145,140,233,193,142,64,1003,0,31,76,247,122,84,45,9,5,616,148,1319,2186,7532,3027,2471,2240,1688,955,21560,941,2023,2388,5909,2471,2378,2422,2104,1350,21996,32582,70220,74421,174274,78507,77213,66473,40379,20793,634871,47,611,1539,3818,1103,522,190,41,9,7878,63217,122593,112518,213750,103752,95125,74806,38709,16305,840784,33,241,219,1286,273,67,24,10,3,2162,0,9,28,706,376,498,318,133,41,2115,8,104,75,1491,127,46,27,7,6,1882,22,110,227,1137,759,609,436,150,48,3482,46,146,163,738,349,316,201,73,10,2032,3,18,22,251,133,135,109,59,12,742,103,1075,3817,12468,2779,2133,1570,510,202,24654,0,10,13,352,247,477,576,549,244,2451,24,171,140,493,134,128,233,181,66,1577,149,1617,3602,7687,9436,17095,13640,9855,4553,67626,6,35,63,387,221,196,137,56,14,1108,12,71,62,477,196,214,126,72,46,1280
SOSR412,0,5,0,25,8,6,0,0,0,49,0,0,4,7,8,25,19,19,3,86,0,3,7,24,10,15,5,0,0,66,0,32,55,169,87,87,103,71,36,629,106,253,238,556,270,294,243,265,160,2391,2688,6074,5743,12339,6535,6369,5250,3642,1510,50153,0,0,0,0,0,0,0,0,0,0,5299,11395,10337,20000,9888,8677,6878,3988,1466,77941,0,0,0,14,0,0,0,0,0,18,0,0,0,6,4,8,3,3,0,24,0,0,0,20,10,0,8,0,0,37,0,0,0,14,3,6,0,0,0,31,0,8,17,36,22,28,13,9,0,135,0,0,0,6,8,7,4,3,0,28,0,13,13,100,30,26,10,3,0,195,0,0,0,0,3,14,13,42,7,77,0,3,6,12,5,4,3,3,0,43,4,69,169,435,743,1728,1299,1000,427,5882,0,0,5,21,9,7,0,5,0,40,0,0,0,9,16,4,14,5,3,51
SOSR413,3,14,11,57,14,6,0,0,0,108,0,0,3,10,9,11,19,7,4,62,0,0,8,3,12,6,7,0,0,39,8,21,33,188,71,64,85,52,32,544,95,270,226,531,311,318,329,249,141,2475,2196,5294,4658,9711,5682,6250,6547,4081,1818,46229,0,0,5,7,0,0,0,0,0,11,4291,9677,8526,15986,8989,9422,9295,5513,2035,73729,0,4,0,25,0,0,0,0,0,33,0,0,0,4,0,3,0,0,0,14,5,4,0,12,3,0,0,0,0,18,4,0,0,9,0,5,0,0,0,19,0,4,11,29,27,19,19,5,5,106,0,0,0,0,0,0,0,0,0,6,6,31,23,161,51,30,11,5,0,314,0,0,0,5,7,15,27,26,12,89,0,6,0,14,0,0,0,0,0,25,4,68,114,257,452,988,1181,965,363,4392,0,4,3,16,5,7,0,0,0,40,0,6,4,16,3,14,7,7,4,63
SOSR414,0,0,4,18,4,3,0,0,0,32,0,0,0,8,0,10,6,5,0,29,0,0,0,3,0,3,0,0,0,18,0,5,3,44,13,33,28,17,16,161,21,83,52,175,83,86,133,125,57,823,755,1729,1468,3459,1853,2187,2680,1653,658,16437,0,6,21,76,28,20,6,0,0,149,1488,3165,2658,5413,2888,3082,3624,2143,722,25191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,5,0,0,0,0,13,0,0,6,11,5,0,0,0,0,22,0,3,5,10,6,0,10,0,0,37,0,0,0,0,0,0,0,0,0,0,0,11,8,65,19,17,4,0,0,116,0,0,0,3,0,0,10,3,0,11,0,0,0,3,0,0,0,0,0,6,0,19,34,119,179,443,613,519,157,2084,0,0,4,6,0,0,0,0,5,11,0,0,0,4,5,6,5,4,0,24
SOSR415,0,6,13,46,33,16,8,4,0,126,0,0,4,4,14,18,8,13,3,66,0,0,0,19,4,7,3,3,0,40,0,11,29,166,60,76,85,71,41,528,140,351,284,781,454,476,540,410,233,3674,2979,6797,5332,12806,7231,8113,8108,5260,2513,59145,0,3,18,49,38,20,0,0,0,127,5696,12639,9925,20422,11235,12052,12064,6895,2836,93770,0,0,0,11,0,0,0,0,0,18,0,0,0,6,0,3,5,8,0,18,0,0,0,26,0,5,0,0,0,33,5,4,6,23,0,9,3,0,0,53,0,5,4,30,14,19,20,3,3,100,0,3,0,3,0,6,0,0,0,12,0,14,12,107,37,25,15,0,0,198,0,0,0,0,7,26,21,30,10,85,0,0,0,0,0,0,10,4,0,15,6,70,158,388,746,1642,1423,1102,415,5949,0,0,4,20,11,4,3,6,0,44,0,0,0,18,13,10,8,0,0,52
SOSR421,0,4,0,0,4,0,0,0,0,8,0,3,0,0,4,4,4,0,0,19,0,0,0,0,3,0,0,0,0,3,0,3,8,46,22,19,16,12,11,138,43,121,96,238,157,188,189,121,81,1235,793,1789,1446,3328,1981,2506,2365,1318,711,16230,0,0,0,5,0,0,0,0,0,5,1505,3342,2642,5379,3121,3792,3647,1846,845,26117,0,3,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,5,8,10,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,3,3,22,0,7,4,0,0,35,0,0,0,0,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,3,0,9,29,89,188,488,402,285,104,1591,0,0,0,4,0,4,0,0,0,7,0,0,0,12,0,0,0,0,0,18
SOSR422,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,9,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,20,19,10,0,69,24,61,55,136,100,133,142,78,32,758,437,967,794,1856,1172,1631,1459,754,239,9305,0,0,0,0,0,0,0,0,0,0,846,1845,1540,3116,1951,2531,2220,1092,308,15451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,15,0,0,0,0,3,0,6,6,0,15,0,0,0,0,0,0,0,0,0,0,0,4,22,37,89,263,297,154,40,899,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,10
SOSR431,0,0,13,79,57,46,28,0,0,225,0,0,3,7,17,24,20,13,0,84,0,4,6,13,13,12,8,0,0,53,0,10,22,134,103,133,118,69,22,615,183,478,464,958,796,913,765,351,128,5042,3386,8678,6984,14077,10470,11916,9060,3608,859,69044,0,6,0,20,3,0,0,0,0,32,6411,16805,13415,24064,17337,19076,14467,5517,1037,118118,0,0,5,3,0,0,3,0,0,13,0,0,0,4,0,3,4,0,0,13,0,0,0,20,0,0,0,0,0,28,0,3,4,42,25,12,21,0,0,109,0,4,8,61,27,31,37,7,0,169,0,0,4,10,0,3,5,6,0,16,0,5,9,59,24,26,21,0,0,153,0,0,0,5,4,15,33,23,0,76,0,0,0,3,0,0,4,5,0,19,6,77,175,446,918,2204,1749,887,205,6667,0,0,0,19,17,9,6,0,0,56,0,0,4,29,20,21,20,6,0,103
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6,4,0,0,0,40,10,23,32,106,28,26,17,0,0,245,56,139,214,542,178,197,141,26,10,1506,0,0,0,0,0,0,0,0,0,6,104,202,271,758,327,324,222,40,3,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,27,25,48,34,10,5,154,0,0,0,0,0,0,0,0,0,4,0,0,3,9,6,0,0,0,0,11
