SOSR_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,8,16,62,19,11,8,5,0,133,92,183,205,568,186,144,55,21,4,1460,203,412,703,1772,666,698,404,104,32,4997,0,0,0,7,0,0,0,0,0,7,266,402,764,1804,880,940,674,162,30,5912,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,21,0,0,0,0,0,3,0,0,0,5,0,0,7,13,3,6,0,0,0,26,0,0,0,9,0,0,0,0,0,17,0,4,4,49,12,12,5,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,7,5,5,0,0,0,0,13,3,3,20,94,28,86,53,19,0,318,0,0,3,12,7,0,3,0,0,23,0,0,9,31,9,4,0,0,0,56
SOSR201,126,990,3617,17649,11148,9088,5447,1600,767,50431,4,35,64,376,257,300,256,186,86,1568,9,68,313,1248,432,231,119,39,3,2466,588,4176,7229,34847,14557,12666,10939,7269,3601,95861,4786,10115,10631,31502,10847,9079,8366,6795,4601,96724,130496,269664,275116,724258,300286,252467,198500,120121,58840,2329751,125,1670,3874,11991,3253,1612,650,189,47,23407,249073,456048,390627,702743,329025,257877,175606,94687,40930,2696611,42,574,808,5592,1183,557,319,46,6,9125,6,35,142,2777,1373,1964,1142,624,162,8227,33,201,345,3752,579,262,116,41,6,5342,57,393,1532,5744,3172,2624,1789,655,193,16159,122,529,546,3683,1512,932,503,204,47,8074,21,124,168,2245,1558,1350,1265,724,118,7569,584,7234,20361,73538,22107,21086,13244,4705,2294,165138,8,25,60,1397,1244,2678,3010,2915,959,12297,55,650,1033,2951,1201,2000,2590,1810,694,12976,574,5086,7298,26887,19570,22679,19355,14748,5791,121993,19,185,589,4105,2281,2002,1110,447,118,10847,45,282,444,3376,988,692,579,282,160,6863
SOSR203,4,15,61,248,65,50,19,5,3,462,0,3,8,18,15,33,34,26,13,147,0,8,18,71,24,15,13,3,3,152,32,176,244,922,389,425,427,381,181,3176,447,942,1158,2582,1089,1001,1009,890,489,9610,11275,22903,24358,54401,23981,23437,20876,12629,6406,200267,0,55,143,332,99,36,9,8,0,683,21693,42166,41012,80255,36888,35141,29426,16130,7220,309928,0,24,29,208,33,18,3,0,0,313,0,0,4,117,59,131,69,53,10,446,0,17,9,125,23,9,3,0,0,180,0,7,13,40,18,12,7,3,0,99,11,31,40,214,87,63,50,19,7,514,0,3,0,30,19,7,10,5,0,87,15,148,265,1223,309,256,186,63,12,2477,0,8,6,103,111,247,314,355,144,1292,11,36,38,108,19,27,22,21,5,291,26,337,416,1294,1153,1741,1859,1344,554,8728,0,9,23,104,39,30,22,3,0,237,3,15,17,106,32,35,25,6,10,255
SOSR211,3,29,17,265,65,25,17,0,6,432,0,0,3,3,5,9,4,6,0,34,0,4,11,34,16,6,3,0,0,72,19,181,356,980,381,257,200,137,48,2571,211,603,413,1100,388,288,254,171,67,3495,4652,8719,6625,18060,6478,5722,4900,2255,780,58179,0,10,12,56,9,4,0,0,0,98,8657,14198,10036,20228,8397,7268,5942,2425,747,77903,0,56,27,321,52,9,0,3,0,486,0,0,6,82,36,52,18,11,7,204,0,3,0,22,5,3,0,0,0,32,0,9,4,34,6,3,0,0,0,51,0,4,3,34,16,16,4,0,0,83,0,0,7,40,30,23,31,18,0,158,0,8,17,149,66,55,36,7,4,335,0,0,3,31,24,68,66,66,28,290,0,16,53,50,19,17,39,11,3,215,12,39,53,241,272,510,505,337,100,2057,6,13,26,170,72,48,7,3,0,347,0,0,3,14,9,15,10,5,0,56
SOSR212,0,21,29,201,57,51,27,6,4,394,0,11,3,21,17,16,15,14,0,102,0,0,4,50,21,18,3,0,0,99,25,150,188,730,301,273,254,173,96,2176,325,864,706,1927,815,876,860,700,474,7553,7762,16814,14524,35610,17225,16943,14981,8611,4177,136657,3,73,214,410,174,104,33,7,0,1015,14936,30876,25306,50902,26043,25059,21248,11236,4545,210153,0,12,19,78,28,6,8,0,0,157,0,0,0,23,3,11,6,4,4,52,0,0,0,65,14,6,3,0,0,96,3,6,3,40,13,8,9,0,0,83,5,31,17,150,70,41,31,10,3,361,0,0,4,37,26,15,11,3,0,97,5,38,89,553,141,121,60,21,5,1035,0,0,0,33,19,65,54,60,24,252,0,29,14,51,11,16,32,13,9,176,14,225,219,910,830,1346,1421,1027,389,6365,0,12,26,130,61,29,16,4,0,279,0,12,6,65,38,35,6,8,3,180
SOSR213,0,22,20,160,47,33,12,0,0,292,0,0,0,11,12,22,29,15,8,104,0,7,9,50,24,20,6,0,0,112,10,66,76,422,202,238,244,179,85,1523,316,750,645,1641,770,824,899,787,519,7158,7398,15001,12995,31443,15658,16290,15650,10056,4820,129324,0,13,7,64,19,13,14,0,0,131,14233,28208,23691,48257,24355,24588,22124,12907,5391,203751,0,3,4,40,9,8,0,0,0,67,0,0,0,29,10,21,24,5,0,95,0,9,3,42,3,5,5,0,0,69,0,4,0,24,13,0,0,0,0,45,12,16,18,100,51,47,36,23,0,292,0,3,3,23,18,18,9,10,0,88,0,64,60,394,122,84,50,18,0,795,0,0,3,22,30,60,76,68,21,274,0,11,10,27,0,15,19,22,5,112,12,133,209,733,816,1484,1791,1480,492,7140,0,3,14,82,42,31,9,0,3,196,0,3,7,41,18,27,20,8,7,132
SOSR214,0,0,12,52,21,7,3,0,0,99,0,0,0,0,3,13,21,14,3,51,0,0,3,11,3,3,10,0,0,35,0,36,29,185,118,120,139,112,48,793,154,464,346,974,503,644,756,635,416,4900,3619,7720,6604,15832,8788,10424,11496,7159,3524,75164,0,0,0,4,5,0,0,0,0,12,6965,14479,12268,24200,13673,15586,16336,9572,4000,117075,0,3,4,37,3,3,0,0,0,47,0,0,0,12,3,10,6,0,0,40,0,0,0,12,4,0,0,0,0,23,4,6,13,20,7,3,0,0,0,50,4,7,6,51,28,43,22,7,0,171,0,0,0,7,6,9,11,19,0,42,3,16,88,166,59,51,40,5,3,440,0,0,0,6,12,32,38,34,11,139,0,0,0,12,4,5,25,25,5,82,16,63,106,390,406,930,1408,1108,424,4842,0,0,5,37,23,14,11,0,0,92,0,5,6,29,15,17,13,6,3,91
SOSR215,3,9,8,118,33,43,15,5,0,231,0,0,0,8,15,27,29,14,6,111,0,0,8,28,7,7,10,0,0,66,5,35,32,284,184,209,223,157,65,1206,305,763,607,1694,1003,1044,1125,844,499,7878,5995,13320,10172,25537,14035,16302,15740,9321,4441,114859,0,0,6,10,8,3,0,0,0,26,11712,25224,18874,40230,21685,24502,23169,12554,5169,183115,0,0,0,22,3,0,0,0,0,28,0,0,0,7,5,5,7,3,3,28,0,0,0,42,7,4,0,0,0,56,0,8,8,52,16,14,8,10,0,115,0,16,6,108,53,49,43,10,3,286,0,0,0,18,21,11,9,10,0,67,3,15,19,146,56,60,25,13,4,340,0,0,0,10,16,30,43,43,15,156,0,0,7,15,0,13,33,19,0,86,15,107,191,729,890,1739,1951,1489,469,7573,0,5,7,55,45,25,17,7,3,173,0,3,7,48,12,22,39,10,4,148
SOSR221,0,0,0,15,0,3,0,0,0,23,0,0,0,3,6,11,9,3,0,31,0,0,4,3,3,0,0,0,0,20,0,7,13,66,53,57,53,31,15,291,59,210,161,447,269,385,330,222,157,2235,1571,3514,2636,6448,4032,4990,4478,2240,1002,30906,0,0,0,0,0,0,0,0,0,0,2987,6693,4925,10462,6382,7584,6859,3221,1165,50276,0,0,0,9,5,0,0,0,0,11,0,0,0,0,0,4,0,0,0,6,0,0,0,4,3,0,0,0,0,13,0,5,0,7,0,0,0,0,0,8,0,0,0,18,8,15,15,6,0,63,0,0,0,4,4,11,3,3,0,27,0,4,3,30,8,15,9,6,0,76,0,0,0,4,4,14,14,10,0,50,0,0,3,5,0,6,4,0,0,12,3,44,31,191,233,608,648,386,121,2267,0,0,6,10,4,15,10,0,0,41,0,0,0,13,4,4,5,7,0,38
