SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR222,110,137,245,1690,1901,3589,0,0,0,126,137,267,0,0,0,2579,2794,5370,21,37,61,92,88,179,26,40,66,14,8,24,156,156,310,0,0,4,38,47,83,57,66,131,369,373,748,19,21,40,18,39,52,662,858,1519,283,312,591,12,10,22,6168,6898,13067,21,31,53,45,43,85,19,10,28,4,0,7,8,13,20,44,72,116,58,81,144,8394,7601,15990,65,53,120,37,58,90,8491,7713,16199,1743,1487,3228,16656,16396,33052
SOSR231,1177,1556,2731,21593,23323,44914,8,8,11,2219,2379,4600,117,123,235,40618,40165,80782,393,438,837,1703,1477,3182,490,581,1064,199,206,399,1539,1652,3181,42,33,71,513,506,1019,1334,1409,2744,4767,4662,9433,242,280,523,435,450,888,10576,11514,22091,4436,4768,9203,158,174,328,91376,94148,185530,345,271,618,1041,867,1908,177,164,347,21,13,32,356,272,629,424,687,1104,795,970,1766,101147,89092,190238,599,475,1073,252,391,646,102000,89955,191956,24883,19168,44051,221807,207104,428903
SOSR279,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,24,3,27,36,6,38
SOSR299,64,63,128,160,162,322,0,0,0,21,25,46,0,0,0,401,371,772,6,9,12,40,35,74,3,11,17,16,7,22,0,9,16,4,6,10,13,15,30,13,20,30,45,29,68,9,5,21,0,6,3,62,66,129,114,101,212,10,4,11,922,872,1797,49,29,78,104,100,211,15,8,21,0,0,4,13,3,15,25,23,48,39,24,68,1584,1297,2880,18,12,28,15,14,25,1614,1323,2937,2361,1494,3854,5170,3915,9089
SOSR301,19180,26712,45889,96667,116591,213262,20,32,50,21710,24347,46055,554,554,1103,200939,230850,431789,1167,1461,2623,11163,11736,22896,4236,5444,9684,6023,6570,12587,6940,8940,15884,1442,1456,2892,5970,6721,12688,14559,17374,31936,20565,23363,43930,1580,2132,3714,3703,4487,8187,30286,40900,71192,33655,39561,73211,2006,2287,4295,463191,544800,1007985,25971,24078,50053,23658,22281,45942,1061,1096,2158,109,145,257,10563,9226,19795,4144,5454,9594,14816,14828,29644,490220,454892,945114,4380,3462,7844,1652,2823,4468,496250,461173,957430,78836,69959,148797,1122973,1164925,2287896
SOSR302,4478,7073,11551,48198,59892,108085,16,14,27,5469,6125,11592,58,50,109,72911,86517,159421,517,646,1169,3405,3726,7129,1866,2356,4219,1624,1677,3300,2603,3330,5930,385,344,736,1467,1700,3169,5404,6545,11947,8138,9753,17890,440,576,1013,718,897,1616,11598,15804,27401,12388,15022,27411,479,518,999,177689,215465,393151,4665,4134,8808,3525,3265,6787,842,898,1743,29,25,56,1867,1530,3401,1205,1760,2961,3102,3323,6424,199908,191618,391529,1402,1025,2431,840,1575,2414,202150,194219,396370,33972,32991,66956,430423,461370,891797
SOSR303,2148,3176,5326,21995,26857,48844,3,0,4,2387,2752,5137,162,148,312,42074,48958,91032,503,692,1194,981,1045,2028,803,1149,1950,384,483,864,1855,2380,4232,169,191,365,851,1031,1881,2904,3546,6449,4513,5187,9704,330,451,781,742,917,1652,6047,8245,14294,6349,7686,14031,215,265,486,93275,111967,205239,2536,2368,4905,1617,1511,3131,145,156,304,42,61,107,991,871,1861,1859,2152,4008,2891,3083,5973,87623,80933,168561,648,517,1167,304,430,732,88578,81877,170452,21935,18031,39963,213132,222171,435301
SOSR311,878,1303,2182,14881,18038,32927,0,0,0,1961,2390,4356,124,125,249,23199,27191,50393,158,195,358,210,236,448,544,798,1340,276,302,580,1144,1439,2587,41,46,87,540,585,1121,1448,1801,3258,2915,3203,6123,280,411,694,411,535,944,5617,7546,13159,3233,3654,6885,208,230,440,57214,68729,125938,1058,952,2015,691,569,1259,37,42,76,17,9,26,268,230,492,278,528,808,560,768,1330,51121,47046,98174,314,218,531,166,230,390,51599,47499,99098,11833,9964,21798,123868,129830,253701
SOSR312,296,515,809,6009,7176,13184,0,0,0,897,987,1892,89,106,194,7375,8398,15768,116,142,261,118,133,251,269,361,626,124,129,254,398,552,952,10,8,14,281,282,566,655,796,1451,1212,1392,2609,98,155,253,61,110,169,1783,2443,4222,1268,1535,2811,57,56,113,20820,24764,45583,289,282,571,183,168,350,11,22,34,4,7,8,68,64,132,119,202,320,198,271,467,21983,20496,42482,147,117,270,90,149,237,22221,20769,42987,4010,3657,7670,48034,50437,98469
SOSR313,421,654,1075,9086,11144,20232,0,4,4,1303,1457,2762,164,149,313,14387,16427,30816,154,188,340,168,146,313,457,633,1085,297,322,623,905,1090,1996,9,15,21,377,455,830,1069,1182,2248,1972,2129,4101,164,234,393,231,278,507,3193,4314,7511,2609,2987,5596,85,96,184,36625,43244,79870,360,351,715,278,261,538,37,24,60,22,20,43,171,174,349,173,327,500,369,523,894,33757,31050,64801,206,158,360,127,177,303,34088,31375,65461,7486,6175,13658,79658,82601,162262
SOSR314,449,758,1207,9819,11379,21193,0,0,5,1245,1340,2589,17,26,41,14400,16629,31029,127,180,300,227,270,496,447,613,1059,187,229,413,780,969,1747,22,22,45,242,263,505,1099,1288,2389,1976,2149,4130,141,193,325,347,409,754,3005,3815,6820,2137,2461,4596,182,165,348,36396,42398,78796,477,400,880,556,417,971,25,32,57,7,7,14,487,399,893,228,341,566,725,749,1473,34527,31768,66297,195,168,364,123,222,344,34846,32155,67002,9081,7644,16724,82553,84562,167109
SOSR315,642,999,1643,16773,18988,35759,0,0,0,1779,2017,3801,209,233,440,21528,23985,45514,214,273,487,264,286,556,605,843,1448,217,240,459,1619,1912,3536,11,9,25,588,619,1203,1390,1691,3083,2695,2845,5542,224,309,536,404,522,920,5326,6576,11902,3099,3569,6667,239,285,528,57180,65217,122394,348,331,683,225,181,407,49,48,94,168,162,337,154,121,269,343,555,899,671,840,1508,52746,48351,101098,341,282,622,169,322,487,53254,48963,102211,15211,11363,26576,127573,127941,255514
SOSR321,231,405,638,7204,7956,15160,0,4,4,580,683,1266,35,39,81,7549,8337,15888,88,109,197,92,96,183,262,353,619,79,102,178,875,959,1836,3,4,3,269,272,543,521,612,1135,1109,1044,2156,127,160,285,154,194,346,1930,2393,4324,1239,1358,2590,100,96,195,22215,24774,46987,102,104,203,88,64,155,17,16,38,27,24,53,47,34,83,134,238,374,207,296,510,20111,17734,37843,127,98,226,97,117,217,20337,17953,38293,5970,4563,10534,49160,48190,97351
SOSR322,83,145,226,3518,3730,7245,0,0,0,226,248,471,9,8,10,3586,3805,7391,27,32,55,62,47,105,83,120,201,26,35,58,342,415,759,0,0,4,59,69,128,557,677,1235,527,477,1003,45,52,96,70,85,155,978,1089,2070,536,576,1115,46,39,85,10688,11517,22208,34,30,60,24,24,47,8,5,7,11,11,26,15,19,37,49,91,138,81,121,198,8176,7078,15260,51,46,95,55,61,118,8278,7186,15463,2711,2364,5079,21912,21390,43299
SOSR331,1231,1790,3023,31427,32800,64228,3,5,3,3377,3453,6833,105,109,207,40786,40129,80915,441,470,911,465,447,917,1196,1384,2576,421,422,844,4003,3988,7987,21,10,32,874,808,1681,2214,2415,4636,5871,5338,11216,401,459,858,942,1011,1956,11020,12084,23102,7249,7381,14629,609,642,1253,111426,113360,224779,327,259,588,382,323,705,105,117,224,31,14,43,203,181,382,596,903,1497,832,1094,1927,87554,75244,162797,569,476,1047,339,551,892,88465,76273,164733,30340,22256,52592,233099,215473,448574
SOSR379,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,11,4,17,110,28,135,149,28,183
SOSR399,42,80,126,650,592,1245,0,0,0,59,64,125,0,3,7,757,748,1504,0,0,4,32,19,46,13,30,43,16,15,31,23,39,62,0,0,6,28,28,58,70,76,147,132,133,268,18,20,37,19,26,53,200,188,385,197,205,398,16,10,26,2238,2198,4435,28,16,46,39,38,76,8,9,14,0,0,0,5,8,18,27,48,75,36,57,91,3084,2724,5804,43,26,72,31,34,68,3161,2785,5943,2313,1617,3935,7861,6807,14670
SOSR401,13196,16848,30038,37224,47680,84902,8,3,11,8930,10338,19272,229,251,474,98835,114543,213377,955,1423,2377,18782,20036,38820,1699,2224,3920,944,1074,2022,7647,10037,17678,980,949,1929,2189,2599,4785,6439,7667,14102,3519,4156,7672,747,1091,1840,883,1069,1952,19399,27748,47146,15149,18090,33236,1228,1369,2594,225768,272346,498111,19461,17173,36630,20216,18018,38232,445,492,939,65,54,119,8513,7360,15871,2916,3680,6599,11493,11097,22590,280510,263344,543854,2333,1685,4015,916,1570,2483,283758,266595,550353,35813,32297,68113,610146,634871,1245011
SOSR412,247,363,611,3350,4223,7568,0,0,0,823,965,1790,98,107,205,5754,7101,12849,93,111,207,281,268,551,177,239,418,101,116,215,1234,1561,2796,22,18,40,152,171,324,605,696,1300,653,833,1487,127,159,290,58,87,143,1799,2643,4440,1146,1334,2476,69,98,163,16547,20720,37266,243,197,434,201,169,374,23,10,33,4,6,8,92,87,178,163,274,438,256,361,623,26446,24886,51335,161,126,290,84,140,217,26687,25152,51841,3362,3186,6548,47572,50153,97725
SOSR413,214,343,553,3300,4110,7411,0,0,0,591,659,1251,14,29,38,5333,6337,11672,105,165,275,211,216,424,206,318,517,53,53,105,1154,1548,2706,12,5,12,143,146,290,528,687,1215,346,372,722,112,162,276,92,106,198,2361,3377,5734,1120,1274,2391,106,107,211,15781,19677,35455,164,131,295,185,171,355,35,31,68,14,9,26,138,119,257,104,185,289,258,310,573,23298,22116,45416,137,113,252,72,144,214,23514,22370,45876,4473,3204,7674,44620,46229,90848
SOSR414,132,183,313,1205,1570,2772,0,0,0,197,195,395,0,0,0,1243,1596,2836,60,83,147,38,44,85,83,105,183,31,38,69,912,1135,2044,3,4,9,54,53,109,232,269,500,185,192,375,18,25,40,18,28,49,984,1384,2368,398,480,876,41,54,97,5704,7242,12945,35,14,50,207,112,317,4,7,12,0,0,0,10,5,12,31,70,106,41,74,112,7988,7649,15630,50,52,105,34,54,89,8068,7755,15825,1069,1059,2123,15259,16437,31700
SOSR415,342,484,821,4254,5259,9513,0,0,0,518,615,1136,13,8,20,6184,7188,13375,151,236,389,667,573,1246,176,247,424,58,72,131,2937,3690,6621,11,0,10,196,185,381,524,645,1172,450,484,928,101,127,228,99,120,222,3796,5139,8931,1299,1443,2746,88,92,182,21525,26126,47654,200,165,363,323,188,512,11,18,27,18,20,32,316,284,602,117,209,323,452,506,956,29347,27029,56373,184,131,315,86,125,212,29618,27290,56902,4738,4369,9107,57207,59145,116347
SOSR421,52,95,150,1225,1447,2678,0,0,0,180,191,371,0,4,4,1557,1794,3357,18,21,36,37,31,73,54,71,127,21,30,48,682,826,1512,0,0,3,43,57,104,126,168,290,140,139,281,17,21,36,23,37,58,1456,1829,3282,385,399,785,40,31,71,6010,7109,13114,30,32,66,41,31,75,0,3,9,16,20,25,16,7,24,33,65,97,67,87,155,8020,7364,15385,43,36,82,20,45,65,8089,7446,15533,1509,1427,2932,15796,16230,32033
SOSR422,46,54,106,707,774,1479,0,0,0,113,128,242,3,9,10,933,961,1896,13,19,36,33,19,53,21,36,55,9,17,25,448,474,918,0,0,0,17,18,36,63,71,136,85,79,165,8,14,24,8,16,26,713,911,1623,303,306,612,5,10,18,3492,3857,7352,36,12,43,23,15,33,0,0,4,71,65,136,0,0,0,26,39,59,94,101,199,4958,4243,9204,21,15,45,26,19,46,5001,4288,9285,1063,970,2037,9764,9305,19066
SOSR431,526,631,1158,5494,5986,11482,0,0,0,865,892,1756,7,12,15,8089,8120,16209,168,193,364,755,673,1422,165,215,376,86,86,178,4496,4497,8990,0,0,0,183,138,324,719,782,1509,729,656,1384,89,93,188,152,144,291,5477,5688,11165,1953,1950,3904,285,271,555,29721,30394,60114,136,71,206,214,147,361,24,29,57,48,42,90,153,148,306,158,268,427,358,464,820,36604,30850,67449,232,139,368,116,160,273,36944,31151,68091,8428,6169,14594,76352,69044,145402
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
SOSR499,19,19,38,96,79,169,0,0,0,12,10,21,0,0,0,135,142,274,0,0,0,12,6,19,4,3,8,5,0,5,14,22,35,0,0,0,6,5,5,14,16,26,6,14,15,0,5,6,3,11,18,52,53,106,33,39,74,0,3,8,407,395,796,6,10,18,19,16,33,0,0,0,0,0,0,0,3,10,15,19,31,18,21,34,836,682,1521,7,5,19,9,12,24,857,700,1560,550,342,893,1873,1506,3377
SOSR501,22179,30176,52350,88773,110675,199448,20,17,33,15296,17401,32695,613,597,1213,187550,213104,400651,2262,2873,5135,11225,12218,23439,3398,4439,7836,2109,2426,4539,1871,2387,4252,1619,1587,3211,5757,6690,12446,10628,12621,23245,12831,14435,27262,874,1304,2178,2001,2490,4489,12451,17513,29960,32306,38105,70404,1106,1294,2402,392690,462168,854864,25488,24028,49512,32257,30369,62626,2592,2790,5381,63,54,119,9449,8469,17916,3679,5050,8727,13191,13575,26763,440683,409148,849837,3481,2544,6028,1392,2310,3705,445561,414004,859568,73073,59620,132692,1007026,1036733,2043762
SOSR511,204,385,589,3990,5195,9182,0,0,0,751,786,1531,0,0,0,5968,6970,12934,71,119,192,112,133,246,209,317,528,158,190,350,79,97,180,17,14,26,141,169,307,250,303,554,413,465,882,50,89,140,99,109,206,551,806,1365,1158,1337,2497,57,61,118,14080,17160,31240,229,208,438,312,312,617,11,23,36,3,4,8,80,67,148,104,169,270,187,236,425,18374,17386,35755,113,75,193,54,77,128,18539,17537,36076,3399,2373,5773,36962,38239,75196
SOSR512,377,740,1116,6073,7554,13624,0,0,0,1091,1159,2241,56,55,113,9392,10700,20091,248,302,553,116,115,229,293,419,714,165,199,364,168,236,400,12,4,20,309,389,695,503,612,1117,755,855,1615,90,130,219,270,283,552,1110,1601,2705,1957,2364,4328,61,64,123,22657,27047,49704,401,346,746,560,508,1064,23,19,39,9,9,25,111,100,205,140,235,379,262,340,601,28488,26330,54818,156,107,266,77,142,215,28719,26579,55293,6360,5206,11565,59351,60792,120142
SOSR513,300,555,855,2447,2738,5189,0,0,5,462,517,986,0,5,5,5338,5765,11105,50,74,127,106,110,212,164,211,370,98,96,198,100,120,212,13,5,13,148,184,332,225,288,512,259,295,555,17,40,57,101,126,219,382,514,894,891,1024,1919,45,37,81,10844,12148,22997,335,278,611,464,387,856,22,22,41,29,35,69,44,44,91,78,88,169,156,168,329,17007,15566,32571,82,58,143,33,51,82,17123,15673,32794,5319,4398,9721,34557,33632,68192
SOSR514,101,129,233,1392,1750,3148,0,0,0,127,157,288,67,78,140,2007,2297,4304,55,67,125,42,45,85,100,113,211,16,19,31,23,40,62,4,3,6,30,31,55,49,60,106,96,105,203,20,25,47,25,36,66,221,341,555,228,317,543,14,6,17,4522,5481,10000,46,38,84,49,53,102,7,3,13,0,6,6,18,6,26,41,57,96,60,64,128,7635,7194,14829,30,30,61,24,46,72,7688,7277,14963,1583,1370,2949,14058,14412,28471
SOSR515,280,509,794,4568,5464,10032,0,0,0,752,873,1626,0,0,5,6558,7361,13918,134,168,303,116,130,246,236,314,550,79,80,157,117,144,263,14,11,21,303,353,648,220,283,502,551,521,1071,58,69,128,172,200,364,810,1101,1917,1173,1347,2521,29,45,76,15898,18462,34361,157,139,290,448,378,826,17,17,37,58,45,106,38,28,71,121,221,339,214,300,515,22842,20683,43524,133,83,215,51,85,137,23033,20846,43877,6342,5480,11824,46388,46132,92523
SOSR521,99,196,295,2139,2468,4610,0,0,0,268,257,525,149,133,275,2603,2714,5319,53,71,120,31,28,60,85,106,188,33,48,81,44,56,100,3,4,9,173,229,398,184,237,417,248,246,492,28,40,66,66,96,167,417,543,962,570,631,1200,17,20,34,7110,7927,15036,35,35,68,36,23,59,9,15,26,75,84,156,11,8,20,49,82,134,138,173,313,8820,7935,16758,38,31,67,26,44,65,8883,8003,16884,2773,2474,5246,19079,18844,37925
SOSR522,42,58,101,1194,1244,2436,0,0,0,126,142,263,6,4,5,1777,1923,3694,66,61,122,14,4,16,20,45,68,17,12,24,98,109,203,8,4,10,151,163,314,60,49,112,108,113,224,17,14,27,136,157,288,202,250,453,442,499,937,3,8,21,4433,4794,9229,19,13,38,27,21,51,0,0,0,98,111,207,4,11,15,21,25,50,127,144,271,4444,3920,8367,23,12,36,17,22,41,4491,3959,8446,1817,1634,3447,10961,10626,21588
SOSR531,523,709,1234,10551,10937,21489,0,0,0,1191,1196,2385,39,38,77,12314,11817,24137,282,283,560,265,180,446,293,367,653,99,99,199,281,325,613,4,0,9,502,488,994,424,430,849,1113,1064,2177,67,88,159,332,337,671,1775,1841,3618,2675,2707,5384,72,80,150,32268,32290,64561,164,81,245,288,201,485,48,42,87,217,183,397,50,33,81,190,283,472,455,493,945,39125,31776,70900,205,144,348,116,166,275,39437,32081,71524,16184,8385,24568,89366,74281,163652
SOSR579,5,3,11,16,3,20,0,0,0,8,0,8,0,0,0,70,11,77,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,112,14,124,4,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,21,144,0,0,0,0,0,0,123,21,144,196,23,227,455,58,514
SOSR599,27,16,48,212,179,396,0,0,0,25,26,50,0,0,0,306,315,617,0,5,4,3,4,8,3,7,10,8,9,9,8,10,20,0,0,0,17,10,25,21,21,45,30,28,62,6,5,10,6,9,10,37,49,92,88,89,178,3,0,7,772,780,1550,17,8,23,33,27,57,10,7,14,0,4,5,0,5,6,16,18,30,17,24,40,1412,1177,2591,21,11,30,9,9,23,1452,1197,2652,2311,1361,3674,4639,3416,8055
SOSR603,1249,1622,2875,11522,15202,26722,0,0,0,648,731,1375,105,100,210,12699,15584,28288,73,109,184,827,859,1686,163,233,390,171,193,354,173,230,399,100,111,210,242,309,554,708,840,1553,981,1246,2227,121,155,276,133,181,311,1326,2236,3563,1712,2047,3759,114,153,265,31813,40519,72326,3551,2849,6401,1696,1248,2947,95,86,179,7,6,11,856,636,1494,311,425,739,1174,1066,2239,49422,47901,97327,386,295,683,101,202,305,49914,48394,98314,6355,5822,12175,95846,101610,197451
SOSR611,494,559,1055,4783,6370,11154,0,0,3,597,676,1275,74,92,170,4483,5387,9872,79,84,163,107,117,226,164,209,371,74,99,176,54,81,134,35,26,61,251,288,536,370,440,808,761,867,1631,76,130,209,55,65,115,861,1328,2190,1085,1301,2390,53,61,111,13969,17624,31591,1072,901,1974,660,502,1163,35,37,67,0,0,3,240,171,418,217,250,467,455,429,890,19662,19176,38837,156,107,268,50,74,118,19868,19360,39222,2615,2375,4991,39168,41778,80943
SOSR612,151,224,377,2347,3052,5404,0,0,0,431,490,923,151,151,300,2254,2917,5174,43,68,112,40,49,84,104,134,235,67,87,148,37,48,86,3,3,8,110,131,242,220,295,518,229,303,536,52,79,122,49,60,107,625,972,1600,568,711,1277,8,14,23,7334,9566,16896,262,215,473,143,85,224,9,12,18,0,0,4,81,51,134,59,100,159,142,152,298,11739,11532,23273,73,45,118,27,35,66,11840,11611,23455,1554,1564,3119,21432,23428,44860
SOSR613,20,43,62,752,976,1728,0,0,0,149,170,312,9,14,25,683,876,1559,8,23,29,3,9,12,29,34,62,3,10,17,10,9,18,0,0,0,15,20,37,109,135,251,145,165,305,21,39,60,12,14,32,246,348,590,164,210,372,0,6,6,2358,3054,5409,27,22,52,5,11,15,0,0,0,0,0,0,7,7,12,9,13,25,16,23,42,3096,3072,6165,16,10,26,0,13,10,3110,3097,6206,496,443,941,6037,6688,12723
SOSR614,36,57,91,1218,1495,2710,0,0,0,101,136,239,4,7,15,1006,1220,2224,8,3,8,14,18,31,28,41,71,13,9,20,19,27,42,0,0,0,19,20,35,45,57,104,62,59,121,18,24,42,16,16,26,200,297,491,124,152,274,6,10,10,2894,3583,6482,22,25,41,11,12,24,0,0,5,0,0,0,4,0,4,7,37,45,16,37,50,4413,4189,8605,28,18,44,12,19,31,4451,4223,8679,707,672,1380,8144,8610,16757
SOSR615,122,221,351,4786,5896,10675,0,0,0,436,547,980,141,168,303,3582,4326,7907,50,64,112,54,64,117,157,198,357,106,110,218,53,64,116,3,0,7,135,162,297,291,320,612,575,661,1236,54,79,132,74,105,177,756,1238,1997,888,1031,1922,34,51,86,12165,15096,27260,216,170,383,139,95,231,7,10,16,6,3,8,57,35,83,71,128,203,131,169,299,16035,15331,31366,76,69,149,45,73,121,16160,15478,31632,2379,2315,4699,31321,33552,64877
SOSR621,61,79,139,1890,2122,4017,0,0,0,70,74,145,6,3,7,1206,1416,2626,4,12,17,25,17,41,49,70,118,29,28,57,15,25,46,0,0,0,33,34,63,54,72,123,198,186,381,17,21,33,28,27,55,273,357,629,233,268,497,13,17,28,4140,4750,8891,62,43,105,22,13,36,4,3,10,0,6,11,3,3,12,22,47,74,34,60,92,5660,5180,10846,37,27,64,14,23,41,5715,5235,10948,922,811,1730,10961,10997,21957
SOSR622,40,48,85,716,775,1486,0,0,0,50,42,91,5,0,6,494,538,1029,7,10,8,5,9,14,16,17,35,11,18,27,14,11,23,0,0,0,16,20,32,28,23,49,89,74,165,5,9,14,6,12,19,154,191,351,100,96,198,0,6,6,1713,1849,3563,13,3,17,10,13,21,0,0,5,0,0,0,0,0,0,17,33,45,17,33,45,2424,2203,4629,9,3,15,3,18,26,2434,2233,4664,438,407,842,4659,4578,9236
SOSR631,217,348,566,7977,8416,16391,0,0,0,592,573,1168,91,91,174,6004,6254,12261,67,78,139,94,93,185,258,316,572,154,155,310,95,135,230,0,0,4,219,238,462,386,400,787,827,805,1636,82,93,169,150,155,306,1443,1563,3010,1602,1646,3247,83,68,150,20131,21076,41203,156,113,262,190,92,279,38,41,74,0,7,10,28,17,48,142,256,400,172,283,454,29205,25400,54604,202,154,359,102,119,224,29510,25675,55182,5015,4324,9337,55419,51943,107361
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,3,0,3,13,0,19
SOSR699,3,7,12,42,49,94,0,0,0,4,3,10,0,0,0,56,44,102,0,0,0,0,0,0,0,6,8,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,4,6,8,0,0,0,7,8,19,23,28,51,0,0,0,155,152,300,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,6,8,10,368,312,677,3,0,4,0,6,8,371,314,685,222,137,356,758,616,1377
SOSR703,1533,2246,3779,3064,3474,6540,0,0,0,722,836,1562,0,0,0,10733,12088,22817,51,63,114,2095,1982,4076,146,200,344,121,154,274,267,337,606,80,73,155,324,377,698,662,845,1505,496,506,1004,48,56,103,153,189,340,1123,1476,2597,1232,1440,2675,49,42,99,21360,24137,45504,2771,2418,5189,1612,1224,2842,45,39,85,39,56,94,506,447,954,215,261,473,756,767,1522,25632,23803,49444,185,126,313,66,134,196,25889,24063,49949,7612,5729,13341,61583,60623,122207
SOSR712,151,217,366,589,671,1264,0,0,0,281,320,604,5,4,8,2009,2239,4254,15,20,40,43,27,67,16,22,40,85,95,183,476,673,1149,16,18,32,59,67,128,210,271,482,136,126,261,12,23,30,60,91,144,281,404,690,386,413,802,21,27,47,4720,5505,10222,346,281,626,145,113,263,16,21,36,14,20,29,202,171,370,44,54,98,260,245,505,5308,5224,10536,44,23,70,17,25,41,5369,5274,10648,1065,1125,2187,12075,12776,24855
SOSR714,33,48,80,182,181,361,0,0,0,56,76,135,0,0,0,455,502,955,5,3,7,8,13,20,10,12,26,4,8,7,17,17,32,3,0,6,16,23,40,52,54,110,27,21,47,4,3,11,17,20,42,45,57,111,73,108,182,3,0,4,988,1095,2086,117,90,208,44,23,67,3,3,8,0,0,0,21,16,43,12,8,15,36,27,61,1255,1217,2477,4,5,10,0,7,7,1262,1220,2484,532,461,990,3009,2971,5980
