SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR522,8847,8560,17404,2952,1677,4635,780,1620,2399,376,316,688,369,271,644,4479,3885,8369,3320,3790,7112,8.3,7.1,7.7,50.7,45.4,48.1,46.5,42.2,44.4,99,136,231,48,138,188,403,761,1168,403,593,991,1948,975,2926,133,185,322,107,169,269,2192,1328,3518,8308,8096,16404,1308,1358,2663,5976,5768,11746,3028,3136,6167
SOSR531,75535,61530,137066,33138,15383,48517,7933,16981,24913,3526,2834,6357,1505,1144,2649,46098,36343,82437,19531,19560,39083,3.3,3.2,3.2,61,59.1,60.1,59,57.2,58.2,1230,1502,2729,557,1555,2121,5448,8944,14392,4658,6358,11018,19452,8066,27519,918,1386,2305,984,1488,2465,21348,10939,32289,64829,58259,123084,9603,8670,18275,47928,42673,90602,23289,21308,44601
SOSR579,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
SOSR599,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,19.5,26.5,28.8,27.5,21.1,23.5,22.1,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
SOSR603,79218,85913,165131,31502,20435,51942,13744,23768,37508,2246,3123,5369,3581,3093,6673,51073,50424,101497,24703,31861,56557,7,6.1,6.6,64.5,58.7,61.5,59.9,55.1,57.4,7592,8642,16236,1758,3279,5037,13782,16892,30673,5841,7373,13216,15324,9181,24510,868,1381,2250,959,1549,2513,17159,12116,29274,75073,80626,155700,14892,15382,30274,48889,53047,101941,36580,38708,75281
SOSR611,32220,35084,67303,13058,7880,20932,5123,9641,14767,906,1204,2111,1429,1102,2531,20511,19826,40342,10061,13694,23751,7,5.6,6.3,63.7,56.5,59.9,59.2,53.4,56.2,1916,1885,3796,490,855,1340,4010,5763,9772,2162,2988,5146,7225,4631,11852,429,755,1180,393,747,1138,8045,6126,14175,31021,33270,64295,5656,6059,11719,19986,21321,41311,14867,16169,31039
SOSR612,17512,19567,37076,6596,3894,10485,2268,4921,7189,595,624,1218,751,583,1338,10207,10023,20231,6362,8562,14923,7.3,5.9,6.6,58.3,51.2,54.6,54,48.2,51,451,486,939,171,350,521,1284,2002,3279,1007,1682,2690,4671,3132,7802,292,547,835,257,434,689,5217,4111,9329,17067,18550,35618,2966,3401,6369,11322,12313,23632,7614,8596,16208
SOSR613,5030,5771,10800,1728,969,2701,606,1438,2042,180,194,375,159,138,297,2672,2741,5415,2050,2738,4789,5.9,5,5.4,53.1,47.5,50.1,50,45.1,47.4,94,128,221,61,117,179,358,631,988,270,497,770,1426,869,2289,57,122,184,71,147,222,1553,1141,2701,4968,5500,10461,623,776,1398,3496,3754,7245,1843,2260,4105
SOSR614,6611,7173,13783,2501,1329,3828,786,1790,2577,241,266,512,249,194,442,3776,3576,7360,2415,3166,5570,6.6,5.4,6,57.1,49.9,53.4,53.4,47.2,50.2,150,177,334,57,128,193,431,728,1156,339,603,941,1915,1130,3048,74,154,231,72,146,214,2060,1433,3495,6579,6940,13521,920,996,1918,4431,4632,9064,2678,2940,5619
SOSR615,25639,28202,53837,9749,5296,15050,2970,7007,9978,866,1014,1886,889,746,1638,14475,14074,28547,9674,12583,22260,6.1,5.3,5.7,56.5,49.9,53,53,47.3,50,687,764,1449,256,563,817,1777,3141,4921,1548,2425,3978,7233,4270,11496,335,686,1017,318,606,920,7882,5553,13443,24989,26860,51853,4061,4417,8479,16392,17318,33711,11153,12491,23644
SOSR621,9179,9263,18445,3345,1701,5044,1234,2491,3722,368,391,756,261,216,478,5198,4796,9995,3380,3914,7296,5,4.5,4.8,56.7,51.8,54.2,53.8,49.5,51.6,340,374,715,112,245,353,801,1266,2062,603,848,1452,2505,1246,3754,113,187,302,156,203,364,2777,1643,4418,8837,8878,17719,1275,1308,2587,6128,6086,12213,3514,3685,7197
SOSR622,3979,3945,7925,1321,659,1977,499,990,1484,126,169,294,118,100,216,2062,1918,3975,1627,1752,3384,5.6,5.2,5.4,51.7,48.6,50.2,48.8,46,47.4,130,133,264,40,90,135,339,485,824,272,392,667,1078,574,1655,38,90,131,61,77,139,1179,742,1919,3715,3655,7364,550,568,1115,2576,2509,5092,1523,1559,3084
SOSR631,46159,43220,89376,18448,9283,27731,6578,12616,19193,1871,1852,3725,1300,1010,2304,28197,24764,52957,14973,15865,30840,4.6,4.1,4.4,61.1,57.3,59.3,58.3,55,56.7,1445,1781,3227,558,1163,1719,4097,6469,10565,3259,4514,7771,13254,6341,19594,491,999,1490,601,969,1568,14345,8312,22660,45829,42864,88696,5296,5284,10587,33296,30516,63809,15624,15604,31225
SOSR679,13,0,19,10,0,12,0,0,0,0,0,0,0,0,0,10,0,12,0,0,4,0,0,0,73.3,50,70.6,73.3,50,70.6,0,0,0,0,0,0,0,0,3,6,0,6,5,0,5,0,0,0,0,0,0,5,0,5,8,0,9,3,0,3,3,0,8,6,0,5
