SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR214,598,533,264,141,192,81,30,1845,336,356,197,123,135,36,17,1204,383,343,198,110,137,40,14,1226,4463,4335,2480,1691,2077,551,170,15766,29,31,19,11,10,0,0,109,5804,5600,3160,2089,2561,714,234,20162,18,64,44,30,37,23,4,226,77,138,87,75,89,17,9,488,23,61,59,47,72,19,6,283,931,1502,977,736,872,229,70,5309,48,58,43,36,21,0,0,209,1093,1823,1210,921,1083,285,90,6510,6898,7420,4373,3011,3643,1001,325,26671
SOSR215,579,583,328,223,300,97,50,2151,592,670,443,283,302,93,40,2417,616,655,385,214,254,68,17,2211,8057,8195,4614,3002,3563,974,313,28723,45,49,33,29,15,4,0,178,9878,10141,5809,3747,4432,1238,425,35683,52,79,52,52,61,23,5,321,101,194,159,102,122,32,15,730,61,111,81,69,84,18,11,444,1430,2087,1483,1136,1246,273,83,7743,77,85,60,36,21,10,3,293,1721,2563,1836,1395,1540,353,121,9530,11607,12701,7641,5141,5971,1590,546,45213
SOSR221,99,117,67,49,56,26,10,424,132,192,92,62,98,16,12,610,131,156,88,41,68,24,0,515,2220,2281,1398,899,1012,260,101,8167,17,15,6,5,9,0,0,54,2598,2757,1655,1060,1239,325,126,9766,8,15,12,14,19,4,0,61,26,54,44,26,34,3,0,185,19,25,25,25,27,11,4,134,276,473,332,241,266,47,21,1667,14,11,18,10,6,0,0,56,342,571,425,309,347,61,30,2092,2946,3329,2079,1369,1590,389,158,11860
SOSR222,50,61,28,18,26,9,0,198,49,76,62,33,39,4,8,271,91,95,51,28,30,4,5,301,1019,1110,711,484,530,164,44,4049,14,14,12,7,4,0,0,48,1218,1360,858,570,630,177,57,4874,7,7,6,3,5,4,0,23,20,28,15,20,13,4,3,102,4,5,8,9,12,0,5,42,182,266,200,157,139,42,3,995,10,11,3,8,4,0,0,36,216,323,231,199,173,51,9,1201,1433,1679,1092,772,806,230,71,6078
SOSR231,638,826,555,408,567,247,110,3362,704,978,700,479,677,247,92,3885,1066,1207,736,511,617,201,99,4428,13779,16699,11376,7869,9764,2892,1045,63419,77,138,64,43,33,4,0,365,16264,19849,13430,9310,11667,3588,1352,75461,34,63,66,43,53,26,15,297,97,190,143,126,117,54,19,747,52,91,89,80,98,31,26,456,1316,2172,1590,1203,1417,357,143,8193,79,58,45,39,29,11,4,266,1579,2574,1934,1484,1709,470,203,9960,17841,22424,15365,10794,13375,4064,1558,85421
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,34272,37492,20765,12822,16427,8009,4021,133815,11672,11419,6733,4292,5401,2155,786,42465,12287,11465,6315,3767,4748,1933,743,41244,53375,54070,33229,21804,27400,10948,4092,204924,484,550,273,150,107,23,9,1605,112089,115000,67318,42843,54084,23063,9644,424048,3068,5203,3751,2894,4028,1896,1031,21870,2577,3570,2324,1698,2070,678,285,13206,1355,2407,1833,1244,1573,579,273,9257,11037,16301,11053,8017,9553,2792,1239,59993,747,728,393,278,179,44,17,2384,18784,28214,19359,14127,17405,5988,2838,106724,130869,143216,86674,56975,71491,29052,12490,530772
SOSR302,8237,9452,5760,3710,4848,1862,935,34800,4799,4739,2666,1737,2088,680,260,16970,4896,4962,2790,1669,2017,687,247,17276,19309,20399,12570,8454,10569,3355,1191,75855,172,167,98,52,41,10,3,551,37408,39717,23893,15621,19561,6593,2648,145444,690,1435,1164,932,1282,485,247,6229,945,1469,1014,708,904,253,110,5402,592,1123,817,566,776,219,98,4185,3431,5655,4161,3099,3871,1026,460,21698,197,223,148,81,63,9,5,732,5849,9907,7300,5382,6896,1993,923,38251,43257,49625,31197,21005,26451,8588,3568,183691
SOSR303,3296,3833,2116,1374,1847,590,248,13310,1343,1376,820,541,695,147,51,4973,1687,1696,956,615,761,152,42,5901,12022,12126,7578,5020,5846,1220,399,44204,64,79,71,35,21,0,3,274,18412,19112,11540,7577,9166,2113,743,68660,341,609,443,343,468,184,96,2480,344,550,381,264,332,75,34,1981,226,495,405,283,336,59,27,1830,3484,4944,3303,2534,2685,462,168,17577,174,192,108,82,24,0,0,594,4567,6789,4638,3507,3846,788,324,24460,22979,25900,16178,11086,13012,2896,1073,93125
