SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR401,17395,18522,9506,5814,7781,4731,2820,66562,3840,3963,2388,1622,2188,1181,642,15819,4548,4130,2276,1398,1804,908,521,15594,29524,29126,17214,11496,14339,6495,3414,111607,190,185,107,72,40,18,9,615,55500,55920,31486,20410,26152,13328,7400,210188,1255,2168,1618,1221,1769,1072,796,9896,859,1343,899,651,925,405,263,5331,478,847,662,485,612,293,179,3564,5770,8781,6198,4510,5334,1936,1039,33568,295,318,202,160,92,25,11,1106,8666,13451,9582,7020,8724,3725,2287,53464,64163,69370,41067,27431,34877,17051,9691,263651
SOSR412,375,472,278,178,258,98,48,1700,249,258,181,101,138,38,16,979,244,244,125,94,111,33,24,874,3331,3281,1975,1352,1539,383,141,12000,4,18,9,12,4,0,0,43,4198,4271,2567,1731,2053,550,233,15601,32,52,40,28,69,26,15,260,77,91,66,44,72,8,6,370,30,65,48,25,60,21,9,257,870,1211,839,599,684,185,63,4445,42,31,21,17,14,8,0,131,1053,1443,1015,712,889,248,92,5465,5251,5714,3582,2447,2943,797,324,21063
SOSR413,297,289,168,114,145,43,30,1092,189,195,128,85,132,27,13,776,198,218,133,77,114,40,18,795,2614,2688,1730,1120,1394,312,112,9970,21,9,10,7,6,0,0,53,3321,3402,2170,1412,1783,433,174,12688,22,23,31,15,25,12,8,135,47,73,65,38,51,15,3,299,19,57,33,26,31,8,5,184,762,1129,793,550,597,99,21,3963,35,38,21,10,7,0,0,120,890,1326,941,646,710,131,44,4692,4208,4728,3110,2052,2492,568,220,17380
SOSR414,91,99,60,39,48,9,6,363,52,58,43,26,50,14,6,249,109,92,45,42,37,11,3,337,1022,973,603,385,437,104,44,3565,15,8,4,5,3,0,0,35,1282,1231,752,501,575,144,62,4554,10,6,13,8,6,0,0,47,15,32,23,17,19,4,0,119,4,25,14,11,22,5,0,72,154,261,200,162,181,58,10,1024,6,7,3,3,5,0,0,29,196,333,249,196,229,74,11,1286,1479,1561,999,695,811,213,71,5839
SOSR415,305,342,208,119,179,62,34,1251,212,225,166,125,143,44,20,934,306,271,162,90,106,36,17,981,3816,4128,2413,1532,1767,418,130,14195,14,33,18,12,4,0,0,83,4654,4996,2961,1875,2211,558,190,17445,11,32,28,33,38,10,7,148,50,73,40,25,47,16,0,256,26,55,41,34,59,10,0,224,847,1191,781,600,634,109,30,4189,33,38,34,21,13,0,0,144,970,1393,920,704,795,138,37,4969,5624,6385,3885,2587,3001,698,231,22407
SOSR421,54,51,40,24,26,13,6,222,50,70,36,21,31,11,4,225,63,55,35,15,29,9,8,221,1109,1145,700,446,502,124,57,4086,11,11,8,8,0,0,0,35,1288,1338,827,517,590,157,76,4793,0,3,0,0,5,7,0,18,10,12,13,11,12,0,3,73,0,3,5,11,11,3,3,47,167,269,179,141,155,37,5,949,4,14,9,6,3,0,0,44,190,306,218,168,185,49,12,1126,1476,1646,1042,681,775,206,92,5919
SOSR422,14,16,11,6,10,0,0,62,19,28,20,9,10,0,3,90,29,21,14,11,15,4,0,94,627,581,359,263,235,32,13,2103,7,4,6,4,3,0,0,19,708,648,404,293,270,37,15,2373,0,0,0,3,4,0,0,12,9,6,9,8,7,4,0,36,4,4,5,3,3,0,0,24,118,206,143,87,96,13,3,656,3,6,3,5,5,0,0,27,134,225,155,101,112,17,3,752,835,873,559,394,381,51,25,3120
SOSR431,188,238,204,151,227,93,47,1146,209,325,187,143,199,72,28,1174,382,379,188,135,158,60,33,1350,4888,6092,4001,2662,3068,671,255,21634,43,37,26,10,14,5,0,137,5709,7071,4602,3105,3671,911,370,25442,12,18,31,9,24,10,0,101,27,43,46,33,36,9,8,200,10,34,30,23,28,4,7,142,483,759,547,407,465,106,33,2799,18,31,10,11,15,0,0,86,551,891,673,491,565,121,41,3341,6261,7967,5278,3592,4238,1033,415,28779
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,39645,41531,23074,14642,19395,10409,6112,154814,11824,11042,6147,4031,5108,2136,1033,41318,12525,11671,6139,3961,4640,1860,963,41751,41513,39557,23818,15529,18579,6874,3195,149058,437,441,265,157,77,25,16,1415,105948,104240,59444,38312,47798,21308,11311,388355,2565,4551,3436,2586,3741,1909,1344,20129,1997,2965,2048,1466,1760,639,349,11224,1317,2224,1526,1197,1444,520,326,8562,7510,11194,7635,5668,6418,1785,1000,41204,488,546,327,169,124,42,21,1713,13875,21474,14976,11075,13496,4890,3044,82833,119817,125718,74414,49390,61289,26197,14355,471189
SOSR511,605,635,440,288,355,57,24,2405,333,301,170,118,131,18,10,1078,339,358,186,121,155,13,7,1183,2210,2472,1391,965,1178,108,48,8376,10,22,10,6,0,0,0,54,3495,3784,2204,1505,1826,208,87,13096,56,62,53,46,72,9,4,302,72,114,67,53,56,9,0,377,49,90,49,43,67,4,0,320,552,782,562,406,434,42,9,2786,22,16,10,14,0,0,0,71,756,1064,747,565,637,64,15,3850,4249,4849,2953,2067,2461,269,98,16945
SOSR512,825,957,566,394,453,72,37,3297,414,455,274,151,219,25,3,1539,571,538,289,194,220,16,0,1837,3578,3554,2141,1486,1592,137,30,12517,22,28,13,3,5,0,0,68,5408,5530,3286,2229,2482,243,74,19252,47,103,81,50,85,10,3,388,91,129,111,68,77,7,7,496,60,109,95,75,92,9,0,428,816,1231,867,649,652,45,16,4272,36,57,23,21,8,0,0,153,1056,1624,1175,857,921,72,25,5729,6462,7156,4463,3086,3405,321,95,24983
SOSR513,791,788,426,261,335,56,22,2679,366,325,150,86,79,12,0,1014,491,488,204,108,101,8,0,1398,2440,2502,1361,828,721,38,19,7908,31,33,6,8,4,0,0,80,4124,4129,2146,1291,1236,121,38,13085,51,72,59,43,56,10,5,304,45,75,41,27,33,0,0,217,46,77,45,42,33,4,4,250,436,645,415,296,288,17,9,2103,29,41,22,6,11,0,0,112,606,912,584,410,414,40,18,2983,4727,5035,2732,1702,1655,154,54,16063
SOSR514,176,170,100,65,76,5,0,592,129,141,87,44,60,0,0,463,153,194,98,54,45,5,5,552,829,925,535,337,357,35,5,3029,8,3,3,3,0,0,0,21,1298,1438,823,506,541,45,12,4659,4,22,10,9,19,8,0,71,7,42,39,29,25,5,0,151,16,30,28,18,19,0,0,120,175,289,200,144,186,8,0,1004,11,17,7,12,5,0,0,47,218,404,286,203,257,16,4,1393,1523,1835,1106,708,797,63,13,6046
SOSR515,586,577,333,200,275,24,17,2013,351,360,201,130,128,11,9,1186,468,455,228,135,127,21,0,1433,3007,3092,1687,1070,1050,109,20,10032,23,36,22,19,12,0,0,113,4441,4514,2473,1563,1589,159,46,14775,30,55,38,36,52,7,3,221,56,115,77,46,51,0,0,351,48,79,52,36,52,8,0,275,587,910,605,429,408,32,14,2974,42,49,29,26,5,0,0,149,763,1206,800,562,571,48,14,3969,5199,5717,3268,2126,2163,208,59,18745
SOSR521,173,182,101,62,88,5,8,612,130,124,67,43,49,8,3,418,184,140,67,40,44,4,0,476,1056,1052,653,374,353,26,3,3519,7,21,16,4,0,0,0,56,1542,1520,901,529,535,48,15,5090,8,12,14,5,6,3,0,55,24,32,17,17,18,6,0,115,13,26,20,18,14,0,0,94,351,452,325,204,198,8,0,1549,24,18,16,14,0,0,0,71,422,542,396,260,244,16,5,1879,1967,2068,1295,788,778,63,17,6970
SOSR522,48,60,24,11,22,6,6,186,45,49,23,20,13,0,0,151,73,72,37,18,19,0,0,223,710,750,446,250,201,18,7,2385,11,12,8,3,3,0,0,35,883,951,543,311,258,27,9,2977,8,3,4,0,7,0,0,12,14,25,11,8,5,3,0,66,0,18,10,7,6,4,0,49,242,320,175,127,90,10,4,966,8,15,6,8,4,0,0,36,263,374,207,145,111,19,6,1129,1151,1322,750,452,367,45,13,4104
SOSR531,401,527,445,304,427,126,81,2313,402,530,381,275,335,59,35,2007,681,778,486,293,350,77,34,2698,4288,5310,3421,2058,2158,386,169,17792,29,42,28,20,9,3,0,140,5802,7188,4766,2951,3277,644,314,24949,30,52,50,35,42,0,9,227,46,99,64,59,62,12,3,345,44,72,54,33,56,10,0,270,466,702,540,361,367,51,15,2509,27,40,21,23,7,0,0,111,613,959,729,513,526,72,30,3456,6419,8151,5496,3465,3804,716,348,28403
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,1852,1302,628,339,482,194,115,4914,496,560,367,249,298,124,58,2155,541,561,337,198,224,100,38,2004,5056,5227,3286,2180,2622,957,380,19704,23,24,25,6,9,0,0,90,7971,7677,4635,2969,3645,1377,583,28855,106,161,119,89,118,44,36,676,105,173,122,89,147,54,23,718,42,102,74,45,84,32,24,404,1366,2009,1406,1053,1183,369,162,7548,66,67,45,24,19,8,0,231,1688,2511,1772,1298,1543,506,251,9575,9662,10185,6408,4274,5191,1886,834,38428
SOSR611,588,520,249,123,187,87,34,1796,161,188,134,74,104,33,12,701,167,194,125,71,99,22,5,684,2269,2309,1417,947,1178,372,102,8587,7,5,10,0,0,0,0,29,3197,3219,1931,1210,1572,508,151,11795,36,53,48,43,62,23,9,281,35,63,46,34,68,27,3,276,23,43,42,37,39,11,9,193,687,969,654,467,511,118,46,3442,35,29,14,12,7,3,0,99,816,1157,804,583,688,186,65,4298,4010,4374,2732,1795,2264,700,218,16090
SOSR612,131,130,56,38,45,11,3,418,48,65,36,20,49,7,4,229,84,62,43,35,31,6,0,260,1385,1310,871,577,675,168,41,5036,9,7,5,6,3,0,0,30,1664,1571,1008,678,799,198,52,5970,12,7,3,4,10,0,0,33,18,35,31,18,22,5,5,134,3,18,23,22,19,0,4,85,531,715,486,354,379,77,18,2553,27,33,26,11,5,0,0,104,593,799,571,410,431,83,28,2907,2257,2375,1577,1085,1232,283,76,8884
SOSR613,14,16,10,3,4,5,0,51,21,20,15,15,9,3,0,83,22,13,14,21,18,0,0,85,365,429,215,129,213,35,19,1408,0,7,8,3,0,0,0,18,416,493,255,166,245,46,18,1641,0,4,0,3,0,0,0,16,5,3,5,3,8,3,4,31,4,4,3,3,4,0,0,17,91,144,105,76,106,14,4,549,4,7,0,0,0,0,0,16,105,161,113,89,128,19,12,619,516,657,370,259,371,65,27,2263
SOSR614,22,17,0,3,9,6,0,51,40,32,24,12,18,7,0,134,37,31,19,9,15,0,0,100,531,537,365,225,231,41,11,1940,5,8,0,0,0,0,0,9,626,625,405,251,273,48,9,2238,0,3,0,0,0,0,0,3,8,15,9,13,11,4,0,61,6,6,10,4,8,4,3,36,207,247,175,125,125,19,13,899,4,8,8,5,4,0,0,28,223,272,197,152,142,32,13,1028,843,896,604,401,420,77,19,3267
SOSR615,162,136,64,39,54,10,5,472,141,137,63,53,72,19,4,487,137,141,80,34,54,14,4,462,2152,2157,1276,872,943,222,58,7684,11,13,14,10,9,4,0,56,2603,2592,1497,1001,1131,270,72,9156,3,10,9,11,10,9,0,54,44,54,51,35,35,5,3,229,16,35,18,21,22,11,3,116,487,825,539,372,408,88,22,2747,19,29,22,14,4,0,0,82,575,949,633,446,484,115,28,3235,3172,3540,2130,1451,1611,378,103,12391
SOSR621,32,41,25,20,31,13,9,161,30,66,36,23,29,6,5,203,65,68,41,26,22,8,4,239,670,666,433,291,306,62,29,2466,5,4,6,5,0,0,0,22,799,849,541,368,388,89,43,3083,0,0,0,0,3,4,0,8,9,14,12,14,7,0,0,52,4,3,3,5,9,4,4,28,133,232,149,106,98,23,9,749,12,7,13,10,4,0,0,34,158,251,173,127,113,32,6,867,956,1101,724,493,508,118,54,3945
SOSR622,4,11,13,7,0,5,0,46,10,14,6,9,7,0,6,42,16,26,15,6,6,0,0,73,245,270,181,132,141,23,8,1000,0,0,4,0,0,0,0,5,277,325,208,153,152,30,10,1167,0,0,0,0,0,0,0,11,0,8,10,5,3,0,0,22,3,6,3,0,4,0,0,14,55,74,41,36,44,8,5,259,3,5,0,4,0,0,0,8,67,98,48,43,52,12,7,324,341,426,263,197,207,40,21,1487
SOSR631,151,178,120,84,125,21,18,706,214,280,172,123,155,36,23,1000,280,334,199,120,142,43,12,1134,3482,3961,2622,1789,2014,490,140,14503,22,23,27,15,7,3,0,92,4155,4772,3141,2126,2441,594,196,17434,8,13,14,14,22,8,5,85,35,51,43,42,32,9,0,211,18,48,32,18,27,5,6,152,433,666,513,381,450,79,23,2539,20,32,25,21,9,0,0,108,514,808,620,475,548,105,32,3094,4662,5582,3767,2603,2989,703,225,20526
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,2203,1956,980,608,819,310,139,7009,411,448,263,151,186,33,15,1505,751,645,328,189,233,41,11,2195,3334,2958,1626,1067,1047,171,81,10277,24,31,12,7,6,3,0,87,6721,6041,3205,2016,2290,560,246,21070,140,206,138,111,141,53,37,830,106,135,83,54,66,20,5,468,85,148,103,59,86,10,10,499,658,1084,653,498,453,60,25,3426,75,64,24,16,4,0,0,189,1064,1629,1006,744,752,143,76,5414,7792,7671,4214,2756,3042,701,320,26492
SOSR712,491,437,213,85,120,23,8,1374,101,96,48,27,29,3,0,299,136,92,54,23,29,4,0,335,644,616,369,225,260,38,3,2156,8,5,5,0,0,0,0,13,1376,1246,678,367,437,65,12,4183,30,44,35,27,19,8,0,164,13,27,19,12,16,0,0,85,13,14,8,10,11,0,0,58,219,281,207,129,126,12,4,968,11,8,4,3,0,0,0,32,285,375,270,180,171,20,4,1305,1661,1619,952,547,603,85,15,5483
SOSR714,77,53,17,9,16,0,3,181,15,8,8,3,0,0,0,35,23,25,8,5,0,0,0,58,206,195,122,59,54,0,0,639,8,9,9,4,0,0,0,24,327,296,168,75,75,0,3,938,3,7,3,0,6,4,0,14,3,6,0,6,0,0,0,12,0,5,3,3,4,0,0,13,47,100,70,45,22,0,0,287,10,9,7,3,3,0,0,25,64,123,80,55,35,6,0,362,394,420,246,128,104,6,3,1305
SOSR715,68,61,22,16,17,0,0,179,27,23,13,7,0,0,0,63,33,32,12,11,10,0,0,97,796,907,566,293,286,37,4,2891,12,5,4,4,0,0,0,29,933,1035,616,326,309,38,7,3260,0,3,4,0,3,0,0,9,0,0,4,0,0,0,0,10,3,3,4,3,0,0,0,15,292,369,241,168,97,13,5,1191,5,4,9,3,0,0,0,21,306,386,255,174,108,11,5,1251,1238,1417,878,505,411,51,12,4512
SOSR721,28,21,10,7,6,0,0,74,19,12,10,0,6,0,0,40,28,23,6,6,4,0,0,70,648,575,362,202,146,16,5,1953,4,0,0,4,0,0,0,12,721,635,392,219,158,19,5,2151,0,7,0,5,0,0,0,14,0,5,0,3,0,0,0,10,0,3,0,6,6,0,0,10,185,278,172,110,69,10,0,826,0,0,0,3,0,0,0,13,186,297,175,123,69,11,0,861,909,933,568,341,231,31,5,3014
SOSR722,13,7,4,3,0,0,0,34,6,7,4,4,0,0,0,19,13,10,5,0,7,0,0,33,565,627,368,215,109,7,0,1892,12,10,3,6,0,0,0,26,605,658,385,222,111,7,0,1997,0,0,0,0,0,0,0,4,0,8,0,0,3,0,0,9,0,4,0,0,0,0,0,5,231,294,201,127,51,0,0,909,7,6,7,0,0,0,0,23,243,310,212,128,57,0,0,950,850,966,594,354,173,7,4,2943
SOSR731,57,65,39,19,50,9,3,236,64,49,27,24,28,3,5,207,139,106,68,36,37,4,3,390,1242,1450,881,534,456,54,18,4638,16,12,14,7,3,0,0,49,1513,1687,1028,620,569,70,27,5515,5,6,10,3,0,0,4,28,7,13,6,3,5,0,0,35,0,19,15,12,5,3,0,51,248,357,244,150,107,7,0,1124,24,13,13,8,5,0,0,57,283,409,283,174,121,7,5,1290,1795,2100,1313,795,695,80,32,6807
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,7344,7458,3750,2120,2561,1422,685,25334,1807,1935,1140,761,982,418,203,7237,2216,2195,1300,763,960,396,200,8031,11539,12031,6929,4294,5489,2008,936,43215,57,57,39,13,8,11,3,186,22959,23676,13154,7947,9991,4252,2020,84002,434,759,494,325,542,283,170,2998,312,481,298,234,328,110,48,1813,140,289,232,166,232,96,59,1209,1451,2472,1716,1198,1614,511,247,9216,107,72,35,25,21,5,3,254,2440,4071,2765,1944,2732,1012,526,15484,25399,27747,15921,9891,12726,5260,2545,99486
SOSR822,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,9,0,6,0,0,0,0,0,7,20,38,26,12,19,10,0,124,0,0,0,0,0,0,0,0,23,46,30,17,22,8,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18,23,48,31,18,24,8,0,164
SOSR831,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,5,0,0,0,0,4,26,15,9,9,9,0,5,65,0,0,0,0,0,0,0,0,26,18,8,10,9,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,13,6,0,0,0,0,0,0,3,10,5,5,4,0,0,0,19,41,18,15,15,13,3,4,102
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,10,24,12,10,6,0,0,58,14,12,10,3,0,0,0,46,17,13,8,9,9,0,0,61,24,25,15,4,9,0,0,82,0,0,0,0,0,0,0,0,68,82,42,28,23,0,0,239,0,3,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,5,0,0,0,0,0,7,6,7,6,3,13,0,0,33,71,90,46,31,33,0,4,271
SOSR921,10,6,0,5,0,0,0,27,11,13,9,0,5,0,0,38,3,4,6,5,3,0,0,32,34,32,16,13,11,0,0,100,0,0,0,0,0,0,0,0,60,59,33,20,21,3,0,193,3,4,7,3,3,0,0,16,0,4,0,4,0,0,0,11,0,0,0,0,0,0,0,7,3,7,6,3,5,0,0,18,0,0,0,0,0,0,0,8,5,14,15,8,12,0,0,60,65,76,50,35,36,3,0,254
SOSR922,0,0,0,0,0,0,0,3,4,8,7,5,0,0,0,26,9,0,0,0,0,0,0,9,26,29,17,12,3,0,0,91,0,0,0,0,0,0,0,0,40,50,26,13,3,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,16,42,53,29,17,3,0,0,147
SOSR931,0,3,0,0,0,0,0,10,0,4,0,0,0,0,0,10,5,5,3,3,5,0,0,22,9,18,5,0,7,0,0,45,4,0,3,0,0,0,0,9,23,27,15,5,12,0,0,87,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,16,4,0,0,0,0,0,0,5,7,4,8,3,0,0,0,24,30,37,20,9,16,0,0,110
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
