SOSR_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR513,0,0,0,4,4,3,5,11,39,0,50,0,0,0,0,4,0,3,6,8,0,16,0,9,0,9,5,4,8,20,25,0,46,0,15,3,17,9,8,16,33,54,0,86,4,21,0,26,4,4,13,36,85,0,121,3,35,9,46,8,15,24,70,83,0,147,22,63,3,92,0,9,7,98,66,0,162,54,64,3,115,0,6,8,121,85,0,213,75,53,5,134,3,0,11,140,68,0,212,96,38,8,142,0,4,8,147,49,0,197,110,31,5,147,0,0,4,154,22,0,176,107,23,4,131,0,4,3,134,22,0,159,199,33,14,249,0,0,5,251,37,0,281,51,9,0,61,0,0,0,62,12,0,78,67,10,9,87,0,0,0,87,5,0,94,32,0,3,37,0,0,0,37,4,0,42,69,15,0,82,0,0,0,83,16,0,99,76,39,19,134,3,6,9,143,69,8,220,3,3
SOSR514,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,5,0,6,0,0,0,7,3,5,6,15,6,0,17,0,9,0,9,4,4,4,12,19,0,32,0,14,0,16,6,4,8,26,46,0,74,7,37,0,48,3,8,11,55,59,0,121,11,55,5,77,0,0,5,74,49,0,125,23,66,7,99,7,4,9,108,57,0,160,51,57,3,114,5,5,7,121,43,0,163,45,43,3,89,0,0,0,94,38,0,125,36,18,0,58,0,0,3,59,28,0,85,22,18,0,38,0,0,0,36,7,0,46,51,10,3,69,0,0,0,69,27,0,93,22,10,6,36,0,0,0,36,6,0,44,13,7,5,30,0,0,6,28,0,0,32,4,0,0,4,0,0,0,4,3,0,9,11,0,0,18,0,0,0,18,10,0,22,39,24,8,69,0,0,5,70,23,0,99,0,0
SOSR515,0,6,0,5,4,8,3,10,33,5,49,0,3,0,3,0,4,0,8,15,0,23,0,16,0,18,13,9,17,27,46,0,76,0,21,0,27,16,15,26,51,66,0,124,4,40,3,45,14,15,28,71,126,0,205,11,94,15,121,14,27,46,165,154,0,325,31,136,15,191,10,5,10,203,152,0,356,71,107,8,189,3,12,14,204,157,3,363,111,126,11,253,7,5,14,263,121,3,390,128,80,10,211,5,5,7,223,95,0,320,110,50,9,165,0,0,0,168,48,0,215,106,20,10,142,0,0,0,140,38,0,176,164,56,8,231,0,0,0,236,41,6,281,60,19,4,86,4,0,4,85,12,0,104,60,10,5,77,0,0,0,78,7,0,90,26,4,6,27,0,0,0,27,6,0,29,34,7,4,48,0,0,6,50,8,0,58,115,73,17,195,4,7,9,204,114,10,329,4,0
SOSR521,0,0,0,0,0,4,4,4,21,0,20,0,3,0,7,0,0,0,6,20,0,30,0,8,0,7,0,4,6,13,55,0,68,0,12,0,14,0,8,10,20,54,3,75,4,17,0,18,8,5,12,33,72,3,99,3,47,6,53,3,14,18,75,85,0,159,14,41,9,59,5,5,8,64,94,0,162,36,52,9,92,0,0,3,96,110,0,209,37,40,4,86,0,0,0,85,79,0,159,38,29,0,66,4,0,4,75,42,0,116,33,16,3,48,3,0,4,54,27,0,75,24,9,6,31,0,0,6,37,23,0,63,51,15,0,67,0,0,0,64,10,0,82,17,11,5,29,0,0,0,29,18,0,52,9,7,5,22,0,0,0,22,0,0,22,11,0,0,10,0,0,0,10,5,0,12,15,3,6,21,0,0,0,21,14,0,33,45,35,10,86,3,0,3,92,72,6,170,5,0
SOSR522,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,3,0,3,4,4,0,4,5,3,7,13,55,0,66,0,10,0,14,5,4,10,17,54,0,73,0,14,0,13,0,5,5,15,53,0,75,3,26,0,33,5,3,6,45,52,0,96,8,26,3,39,7,7,12,50,59,0,108,9,20,0,36,0,0,7,42,55,0,98,24,20,0,46,3,3,3,50,47,0,95,22,8,4,32,0,0,0,36,27,0,65,17,6,0,22,0,0,3,20,10,0,31,18,7,0,25,0,0,0,26,7,0,33,35,4,0,43,0,0,0,43,8,0,45,6,0,0,10,0,0,0,10,3,0,17,3,0,0,8,0,0,0,8,4,0,5,3,0,0,9,0,0,0,9,0,0,9,4,0,0,4,0,0,0,4,0,0,11,19,16,4,34,4,0,0,43,45,3,88,0,0
SOSR531,4,6,0,11,0,0,3,13,41,0,53,0,0,0,3,0,0,0,4,19,0,23,6,15,0,23,0,4,3,27,50,0,83,6,22,3,36,5,8,15,49,82,0,129,12,45,3,59,11,6,21,85,147,0,227,20,66,11,93,13,10,23,117,131,0,255,34,95,9,134,5,4,12,148,124,3,275,66,105,7,183,5,3,10,191,171,3,358,92,98,4,204,7,6,8,213,134,4,347,106,73,8,196,5,0,3,199,107,0,304,107,52,9,163,4,3,8,169,50,0,220,89,40,13,140,3,0,3,143,52,3,200,149,59,16,216,3,4,10,225,68,3,292,82,31,7,116,0,0,3,117,36,0,153,58,14,4,77,0,0,0,77,13,0,89,26,8,7,43,0,0,0,43,9,0,58,70,17,7,94,0,0,3,95,16,0,111,156,103,15,273,3,12,12,288,144,10,444,7,7
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,0,4,4,4,15,8,22,27,87,3,114,0,11,0,11,0,5,4,16,30,0,44,4,22,5,28,17,4,15,43,75,4,118,0,44,3,48,20,19,41,92,118,3,209,9,77,11,94,28,30,59,151,303,6,458,24,233,20,281,33,53,88,370,452,0,818,76,318,31,416,23,38,61,474,398,3,872,149,316,25,491,19,21,43,533,535,6,1072,326,383,43,758,15,15,28,782,392,5,1179,330,295,30,658,16,3,16,672,283,4,969,326,167,31,525,14,7,14,534,157,3,697,304,125,27,454,3,4,9,460,131,3,597,519,154,27,704,7,6,13,712,187,0,899,180,71,12,266,3,4,5,269,64,0,334,132,37,4,177,0,0,0,182,25,0,209,45,9,8,58,0,0,0,58,15,0,71,143,38,7,192,0,0,0,192,38,6,235,302,156,26,488,7,15,22,504,179,15,705,7,0
SOSR611,3,0,0,4,3,0,4,8,41,3,50,0,4,0,4,0,4,6,9,10,0,22,3,6,0,12,0,3,9,21,30,0,49,3,18,7,21,7,5,12,37,80,0,114,5,35,4,39,10,23,33,69,144,3,214,6,104,14,123,16,29,45,172,211,0,386,39,153,14,203,12,29,41,244,199,0,440,88,190,7,290,12,12,23,310,242,5,556,154,163,19,338,9,12,17,355,189,3,543,185,125,7,315,0,10,9,324,110,0,439,143,70,3,215,0,7,8,225,71,0,302,121,46,8,176,0,0,3,174,39,0,219,160,75,17,247,0,5,5,252,50,0,298,77,27,0,99,0,0,0,99,17,0,124,41,14,0,55,0,0,0,55,8,0,67,16,3,0,12,0,0,0,12,0,0,19,34,8,0,44,0,0,0,44,16,0,52,109,81,12,205,4,3,4,206,77,3,292,0,3
SOSR612,0,0,0,3,0,3,3,8,27,0,37,0,0,0,0,0,0,0,0,7,0,15,0,3,5,5,5,7,7,16,22,0,36,0,16,5,20,9,7,19,38,46,0,85,0,23,0,27,5,13,19,41,107,0,153,11,68,14,83,18,31,45,131,160,0,295,28,119,10,155,8,13,19,175,146,0,331,56,102,6,169,0,5,5,174,168,0,342,71,87,10,168,9,7,12,179,126,0,304,97,65,7,174,3,0,5,178,78,3,262,80,44,3,123,3,0,7,130,46,0,171,49,28,4,82,4,0,7,83,44,0,121,86,32,6,126,0,0,3,126,45,0,167,28,10,8,41,0,0,0,39,9,0,51,17,3,7,27,0,0,0,27,0,0,28,4,0,0,11,0,0,0,11,0,0,8,9,5,0,16,3,0,3,14,10,0,29,51,38,5,99,0,0,8,105,57,6,169,0,4
SOSR613,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,6,0,5,0,3,0,4,10,0,15,0,3,0,5,3,0,3,8,21,0,35,0,16,0,11,0,0,6,20,42,0,58,11,38,3,45,3,4,7,53,30,0,87,18,30,0,48,0,3,3,49,45,0,95,22,25,4,55,0,0,0,54,36,0,89,32,18,4,51,0,0,0,51,20,0,71,19,10,0,28,0,0,0,28,9,0,41,13,4,5,20,0,0,0,20,14,0,35,17,10,3,26,0,0,0,26,4,0,31,8,7,0,10,0,0,0,10,3,0,17,5,3,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,19,11,3,35,0,3,3,42,17,6,58,0,0
SOSR614,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,5,0,5,0,0,0,7,11,0,12,0,4,3,7,0,7,7,9,15,0,24,0,15,0,16,0,0,0,17,38,0,57,0,16,9,30,7,5,9,41,54,0,94,4,38,3,43,0,0,4,43,46,0,98,18,35,3,57,3,0,3,67,63,0,128,30,36,3,65,0,3,3,74,56,0,125,26,19,0,51,5,0,5,50,31,0,84,38,11,0,50,0,0,3,51,16,0,68,22,6,0,30,0,0,0,30,10,0,45,33,14,0,45,0,0,0,48,12,0,61,10,9,0,18,0,0,0,19,4,0,22,0,0,0,8,0,0,0,8,0,0,8,3,5,0,10,0,0,0,10,0,0,8,4,0,0,6,0,0,0,6,4,0,8,30,17,0,46,0,0,0,49,30,4,80,0,0
SOSR615,0,0,0,4,4,5,3,7,21,0,32,0,8,0,7,0,0,0,8,12,0,18,0,3,0,8,3,3,4,9,20,0,30,0,11,0,16,9,3,17,30,57,0,84,5,35,8,47,11,10,24,71,110,0,189,12,96,6,109,19,17,30,138,162,0,297,21,130,8,158,12,13,24,183,174,0,362,76,132,13,215,14,8,21,230,213,4,452,95,127,9,231,3,3,7,239,134,0,369,113,85,6,211,0,3,4,207,119,0,328,86,49,8,141,4,0,0,145,49,0,195,69,30,10,104,0,0,4,109,46,0,153,132,43,3,176,5,0,6,182,46,0,228,44,14,6,58,0,0,0,62,7,0,65,17,5,0,24,0,0,0,24,5,0,28,3,0,0,6,0,0,0,6,0,0,6,17,9,4,23,0,0,0,23,11,0,30,80,52,12,140,10,3,9,153,74,3,231,0,3
SOSR621,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,7,0,5,0,8,0,8,0,0,0,5,6,0,8,0,8,0,8,0,0,0,9,17,0,23,0,7,5,15,0,6,3,19,21,0,42,3,25,0,27,6,6,12,44,46,0,89,5,42,7,61,4,4,3,62,34,0,99,16,40,3,59,0,3,3,59,44,0,104,38,23,3,58,0,0,0,59,43,0,101,21,24,5,46,0,0,0,46,21,0,69,14,12,0,29,0,0,0,32,19,0,53,9,8,6,26,0,0,0,27,10,0,35,27,13,7,50,0,0,0,49,15,0,66,10,11,0,15,0,0,0,15,0,0,20,11,0,0,18,0,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,9,0,0,9,32,22,0,54,0,0,0,57,29,0,92,0,0
SOSR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,0,7,0,3,0,3,0,0,4,8,7,0,13,0,4,3,3,0,0,0,9,10,0,19,0,6,0,5,0,0,0,13,25,0,35,0,16,0,22,0,0,0,24,16,0,36,6,15,3,23,4,0,3,27,18,0,49,4,12,0,15,0,3,0,21,22,0,40,14,11,0,22,0,0,0,22,9,0,34,12,4,0,14,0,0,0,20,0,0,23,8,4,0,7,0,0,0,7,4,0,16,16,5,0,19,0,0,0,19,6,0,26,5,0,0,7,0,0,0,7,5,0,10,4,0,0,5,0,0,0,5,0,0,5,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,9,9,0,18,0,4,0,24,6,0,29,0,0
SOSR631,5,0,0,7,4,0,4,12,31,0,45,0,4,0,10,0,0,0,6,4,0,16,0,9,0,12,4,3,11,20,35,0,54,4,19,0,21,7,4,13,40,50,0,87,7,38,11,52,3,5,11,65,94,0,155,16,89,15,113,11,6,20,137,149,0,289,32,119,10,159,3,14,17,176,117,3,297,84,104,11,197,8,9,12,212,192,5,406,115,137,18,266,5,0,6,277,158,0,434,110,93,15,213,4,3,7,222,114,4,336,98,42,11,150,0,0,0,150,59,0,206,73,30,6,103,0,0,0,108,48,0,155,137,47,7,192,3,0,3,192,49,0,244,63,18,0,81,0,0,0,82,19,0,109,43,0,5,48,0,0,0,48,8,0,60,15,4,0,27,0,0,0,27,10,0,31,33,18,3,46,0,0,0,46,7,0,56,135,77,15,223,4,4,7,232,104,12,345,3,3
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,5,0,3,3,3,6,9,19,58,0,72,0,0,0,5,0,0,3,10,18,0,24,0,14,0,16,3,3,9,21,42,5,67,5,21,0,25,8,14,23,50,91,4,142,4,30,3,39,14,6,18,55,113,15,191,10,83,8,102,16,18,30,129,160,7,294,39,106,11,147,6,18,25,176,149,5,329,93,82,10,181,8,8,17,197,139,9,346,194,111,12,318,6,4,13,330,115,3,448,229,83,14,322,3,0,7,333,119,0,450,278,57,15,350,4,3,7,356,66,3,426,234,53,10,298,3,0,6,303,53,0,355,455,74,27,557,9,6,8,563,90,3,651,193,11,9,216,0,0,0,215,52,0,271,140,20,6,166,0,0,0,163,23,0,187,64,7,3,75,0,0,0,75,8,0,87,164,15,12,192,0,0,0,192,35,0,232,176,50,20,243,12,4,14,264,116,12,392,11,3
SOSR712,0,0,0,0,0,0,0,0,15,0,18,0,0,0,5,0,0,0,3,3,0,9,0,3,0,8,0,4,5,13,22,0,30,0,0,0,3,0,7,7,8,41,0,44,0,3,4,6,0,0,5,14,41,0,57,5,10,5,15,0,0,3,23,43,0,67,4,9,0,13,0,0,0,17,48,0,61,17,15,0,34,3,0,3,42,42,0,88,51,17,3,74,0,4,5,81,43,0,119,39,23,0,69,0,0,0,67,28,0,95,61,11,4,73,0,0,0,76,12,0,87,39,9,0,52,5,0,4,58,7,0,66,82,15,3,99,0,0,0,99,10,0,110,38,5,3,39,0,0,0,39,4,0,45,37,3,0,40,0,0,0,41,0,0,42,14,3,0,24,0,0,0,24,0,0,22,26,9,0,40,0,0,0,41,4,0,43,37,4,0,46,0,0,0,50,36,4,89,4,4
SOSR714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,20,0,23,0,3,0,4,3,0,3,8,13,4,23,5,0,0,5,0,3,3,6,16,3,24,0,6,0,4,3,0,3,5,10,0,20,0,3,0,8,0,0,0,3,5,0,20,12,3,0,16,0,0,0,16,4,0,24,20,0,0,20,0,0,0,27,4,0,33,3,0,0,8,0,0,0,8,0,0,13,17,3,0,15,0,0,0,19,4,0,25,14,0,3,23,0,0,0,23,3,0,23,8,0,0,12,0,0,0,12,3,0,14,0,0,0,3,0,0,0,3,0,0,4,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,10,8,0,13,0,0
SOSR715,0,0,0,0,0,0,0,0,3,0,3,0,4,0,10,0,0,4,14,57,0,69,3,6,3,13,14,11,28,37,138,0,176,5,4,0,8,7,0,11,20,48,0,59,9,3,3,19,3,5,10,25,77,5,106,7,5,5,20,3,3,8,24,38,0,63,14,8,3,21,8,4,15,32,66,0,103,4,10,0,20,4,0,5,18,32,0,53,12,10,3,25,0,0,3,31,36,0,61,12,5,6,20,0,0,0,20,22,0,50,10,0,0,10,0,0,0,11,5,0,19,14,0,0,18,0,0,0,18,12,0,23,18,0,0,20,0,0,0,24,9,0,37,10,0,4,13,0,0,0,12,7,0,21,4,0,0,8,0,0,0,5,0,0,6,3,0,0,3,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,5,0,5,15,5,4,22,0,6,3,31,41,0,72,5,0
SOSR721,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,7,35,0,40,5,9,0,11,3,4,8,24,106,0,131,0,9,0,17,9,6,14,27,34,0,60,4,9,3,18,0,0,3,22,59,0,77,8,10,0,17,3,0,3,16,24,0,42,6,10,3,23,0,0,0,18,48,0,64,10,4,3,19,3,0,0,19,39,0,67,14,16,0,23,0,0,0,26,23,0,51,9,3,5,18,0,0,0,18,22,0,38,9,0,0,11,0,0,0,11,8,0,20,11,0,0,13,0,0,0,13,12,0,27,4,0,5,9,0,0,0,9,13,0,21,0,0,0,3,0,0,0,3,4,0,6,6,0,3,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,8,11,9,0,23,0,0,0,28,21,3,51,0,0
SOSR722,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,26,0,29,0,5,0,11,10,3,10,23,99,0,117,4,4,0,4,0,0,0,5,48,0,47,0,5,0,8,10,0,14,17,80,0,98,10,8,0,14,0,6,3,25,37,0,57,6,12,4,22,5,0,7,21,43,0,68,11,4,0,16,0,3,4,20,44,0,62,7,6,0,8,5,0,3,13,26,0,42,6,6,4,17,3,0,3,19,29,0,48,11,0,0,11,0,0,0,12,16,0,31,5,0,0,6,0,0,0,7,4,0,12,15,4,3,20,0,0,0,20,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,5,12,8,0,19,0,0,5,24,43,0,64,0,7
SOSR731,0,0,0,0,3,0,3,0,9,0,13,0,0,0,3,0,0,0,3,10,0,16,4,9,0,6,4,4,9,16,86,0,103,0,6,5,11,4,0,4,18,42,0,58,5,9,0,14,4,0,6,25,57,0,79,5,13,0,21,0,0,0,25,34,0,60,5,16,0,20,6,3,8,27,46,0,77,15,15,0,35,0,4,4,40,48,0,94,34,16,5,52,6,0,9,56,46,0,98,27,16,0,42,0,0,5,46,37,0,88,26,4,5,37,3,0,0,43,13,0,53,34,3,4,40,6,0,6,44,11,0,56,53,6,10,70,0,0,0,70,19,5,92,22,8,4,32,0,0,0,32,17,0,46,16,0,0,22,0,0,0,22,3,0,22,17,0,0,17,0,0,0,17,0,0,19,23,0,0,22,0,0,0,22,9,0,36,42,15,9,68,3,3,7,79,42,0,123,0,0
