SOSR_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,7,0,0,0,0,0,7,159,198,367,1034,507,518,413,99,10,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,10,0,0,3,18,3,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,4,4,10,53,21,44,40,10,0,185,0,0,0,8,4,0,0,0,0,14,0,0,7,19,5,4,0,0,0,35,0,0,4,12,0,3,0,0,0,15,0,0,0,3,0,0,0,4,0,8,0,0,0,10,3,0,0,0,0,20,0,0,0,41,0,7,5,0,0,46,0,0,0,15,0,3,0,0,0,19,0,0,0,9,5,5,0,0,0,20
SOSR201,59,848,1973,7030,1872,918,359,92,23,13173,128042,234155,198564,352159,160504,125169,81391,41480,14354,1335821,20,267,454,2831,698,295,185,33,3,4785,0,22,73,1363,609,925,541,321,59,3916,13,109,143,1736,252,103,43,16,3,2412,26,193,780,2375,1460,1206,871,299,68,7283,63,263,250,1460,732,469,249,100,13,3605,7,75,91,1072,771,607,564,354,42,3591,293,3716,10088,31277,8373,9038,6273,2104,1003,72163,0,19,30,707,620,1299,1314,1454,412,5857,31,314,550,1516,576,1008,1242,902,266,6411,308,2585,3777,14557,10716,11863,9632,7103,2308,62837,8,88,289,1859,1029,921,499,187,38,4920,30,145,239,1828,519,370,290,140,54,3614,40,156,328,1609,1032,951,1844,1822,564,8351,14,207,425,1168,1309,3314,4591,6707,2856,20594,116,857,1195,4507,1392,1608,1363,356,93,11478,1061,6966,14435,80268,11795,5659,4156,1686,424,126443,41,292,1341,3965,1086,478,558,244,59,8069,40,736,1138,6039,1603,796,425,175,39,10996
SOSR203,0,36,80,205,56,18,4,0,0,404,11044,21641,20282,38728,17456,16379,13483,7122,2567,148708,0,10,18,105,25,9,0,0,0,167,0,0,4,65,23,61,32,24,5,212,0,3,3,47,10,3,3,0,0,74,0,0,6,10,3,6,0,0,0,33,4,15,18,69,37,30,28,13,0,213,0,0,0,15,3,4,3,0,0,34,3,82,146,531,107,101,85,31,5,1095,0,3,3,54,56,127,134,164,70,612,3,20,22,53,17,12,15,16,5,163,14,170,216,691,620,823,882,628,210,4255,0,7,13,47,17,9,14,0,0,109,5,7,7,51,13,19,16,3,3,133,4,11,13,55,58,48,209,143,51,596,0,0,7,3,20,28,55,61,30,207,0,29,38,46,12,11,25,4,0,160,30,192,686,3020,256,68,69,30,7,4352,0,11,22,61,23,13,10,8,0,145,0,35,50,140,44,22,8,4,4,306
SOSR211,0,4,8,29,9,3,0,0,0,53,4341,7147,5202,9847,4079,3409,2793,1092,277,38197,0,28,16,152,47,10,0,0,0,254,0,0,8,50,15,26,8,4,7,114,0,0,0,5,0,0,0,0,0,9,0,4,4,7,0,0,0,0,0,17,0,0,0,8,9,7,5,0,0,37,0,0,3,15,10,15,16,12,0,72,0,3,11,53,21,26,11,0,0,129,0,0,0,8,11,29,39,28,8,123,0,7,22,22,12,8,17,8,0,99,4,16,30,119,130,246,247,168,44,1004,0,9,10,81,34,23,0,3,0,163,0,0,3,8,3,5,5,0,0,27,0,0,3,17,11,22,104,48,15,229,0,0,0,3,8,13,20,19,0,71,0,0,0,12,7,6,5,0,0,26,19,161,276,2421,196,78,72,23,0,3252,0,4,4,25,8,4,0,0,0,46,0,6,3,41,7,9,0,0,0,63
SOSR212,0,44,99,237,101,75,26,4,0,586,7628,15975,12818,24451,12376,11625,9866,5032,1616,101396,0,9,15,42,13,5,4,0,0,85,0,0,0,11,3,7,0,5,0,26,0,0,0,24,3,0,0,0,0,24,0,6,7,13,3,0,3,0,0,28,0,18,13,53,33,17,13,8,0,152,0,0,0,17,10,9,7,0,0,47,0,25,44,215,50,50,30,18,6,421,0,0,0,19,11,28,24,37,3,115,0,16,8,28,8,7,15,6,5,91,3,100,113,449,435,662,662,469,154,3051,0,8,12,63,23,10,10,4,0,126,0,5,0,33,22,16,0,7,0,90,0,7,4,49,44,33,129,77,35,383,0,3,4,8,10,26,54,55,28,188,3,9,10,44,4,6,9,0,0,86,21,134,196,1461,213,113,81,29,10,2247,3,8,14,55,17,7,5,5,3,116,0,14,28,45,13,9,4,0,0,107
SOSR213,0,9,4,43,16,13,12,0,0,89,7250,14581,12193,23325,11524,11627,10325,5699,1940,98465,0,0,4,23,3,5,0,0,0,39,0,0,0,13,4,13,9,8,0,45,0,8,4,15,5,0,0,0,0,28,0,3,0,7,4,0,0,0,0,16,3,6,11,47,20,23,16,13,0,133,0,0,0,12,10,10,8,3,0,44,0,34,29,164,35,28,26,8,0,328,0,0,0,11,10,30,35,36,8,134,0,3,0,20,0,14,15,13,4,67,7,64,95,386,404,702,868,733,195,3448,0,3,8,45,15,15,0,0,0,90,0,4,7,22,10,6,10,9,4,65,0,5,10,21,22,41,206,157,43,501,0,0,0,6,13,24,41,29,8,117,0,5,11,19,0,11,5,3,0,61,10,69,123,1014,114,45,48,23,8,1446,4,5,8,57,16,0,9,0,0,97,0,5,9,27,11,9,0,0,0,60
SOSR214,0,0,0,4,3,0,0,0,0,10,3541,7497,6411,11722,6458,7299,7650,4397,1481,56455,0,4,4,20,3,0,0,0,0,28,0,0,0,4,0,4,8,0,0,16,0,0,0,4,6,0,0,0,0,10,0,0,10,7,4,0,0,0,0,24,0,7,4,20,15,15,13,4,0,77,0,0,0,7,4,0,5,9,0,26,3,14,75,77,18,19,12,0,3,222,0,0,0,3,7,28,15,23,11,87,0,0,0,10,0,5,15,19,3,55,0,27,57,209,182,420,653,539,164,2261,0,0,0,18,12,7,0,0,0,42,0,5,3,15,7,12,9,4,0,49,0,5,0,21,19,36,93,74,30,288,0,0,0,5,8,23,46,46,18,145,0,0,3,16,7,7,6,0,0,32,3,31,60,551,48,30,22,15,8,776,0,8,0,16,12,3,4,4,0,45,0,0,3,19,6,5,5,0,0,26
SOSR215,0,0,5,10,8,0,0,0,0,14,6059,12980,9813,19575,10442,11693,11289,5821,1901,89568,0,0,0,14,0,0,0,0,0,17,0,0,0,4,5,5,0,0,3,17,0,0,0,15,8,0,0,0,0,26,0,5,3,12,9,9,4,4,0,43,0,8,5,44,29,20,19,10,0,141,0,0,0,7,7,5,3,4,0,23,3,7,13,61,22,19,11,9,0,147,0,0,0,6,11,21,26,24,8,90,0,0,3,9,0,3,19,11,0,45,6,59,89,371,454,836,943,713,187,3664,0,5,4,25,18,13,9,3,0,77,0,0,6,21,7,10,22,6,4,69,0,3,4,43,31,63,152,118,27,442,0,0,0,4,5,21,49,18,6,105,0,0,0,14,6,0,12,0,0,32,3,24,45,412,45,22,26,14,7,608,0,5,0,28,4,0,3,4,5,48,0,0,0,11,3,4,3,0,0,20
SOSR221,0,0,0,5,0,0,0,0,0,5,1484,3484,2559,5093,3077,3758,3517,1613,448,25038,0,0,0,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,12,9,5,3,0,0,25,0,0,0,0,3,4,3,0,0,10,0,0,3,9,4,0,3,3,0,25,0,0,0,0,0,11,8,5,0,27,0,0,3,3,0,6,4,0,0,12,0,25,15,104,116,294,341,211,54,1167,0,0,0,9,3,4,7,0,0,20,0,0,0,11,7,0,6,3,0,24,0,0,0,11,12,15,61,39,10,151,0,0,0,4,4,6,13,6,0,36,0,0,0,8,0,0,0,0,0,6,0,9,0,70,10,10,8,0,0,113,0,0,0,4,3,0,0,0,0,14,0,0,0,5,0,5,0,0,0,8
