SOSR_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOSR222,0,0,0,0,0,0,0,0,0,0,737,1797,1371,2747,1741,2162,1858,785,212,13409,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,7,3,0,0,17,0,0,0,0,0,5,0,0,0,8,0,4,0,7,4,3,0,0,0,21,0,0,0,0,4,3,3,0,0,9,0,0,0,0,0,5,7,0,0,13,0,6,7,52,82,124,152,84,15,527,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,12,0,0,0,3,0,13,23,14,9,67,0,0,0,0,0,0,8,5,3,19,0,0,4,4,0,0,0,0,0,9,0,0,3,19,6,0,5,3,0,46,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4
SOSR231,0,0,6,23,7,4,6,0,0,38,9153,25091,21619,35093,25492,29001,23768,9620,1899,180744,0,0,3,12,3,3,4,0,0,28,0,0,0,9,5,4,12,10,4,39,0,3,0,13,8,5,3,0,0,26,0,8,11,20,13,5,3,0,0,54,4,13,11,54,48,50,41,11,0,226,0,4,6,21,19,18,13,0,0,75,0,16,22,104,43,62,35,14,4,292,0,0,0,8,21,67,78,74,17,270,0,0,3,13,5,16,22,13,0,80,13,117,193,500,898,1642,1721,877,181,6130,0,9,6,29,20,22,23,3,0,101,0,3,11,45,16,19,24,13,0,138,0,10,13,56,71,134,365,224,48,920,0,0,0,11,16,78,111,79,40,325,0,5,9,29,12,12,10,4,0,74,4,26,61,301,78,90,50,33,5,656,0,3,7,29,10,12,11,7,0,87,0,7,3,27,8,3,4,0,0,55
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,3,5,0,0,0,0,0,7,138,183,312,806,389,274,199,43,5,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,14,0,0,6,4,0,0,0,0,0,7,0,0,3,3,3,3,6,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,9,30,9,29,13,11,0,97,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,9,4,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,5,0,0,3,0,4,8,47,5,0,0,0,0,60,0,0,0,3,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,13
SOSR301,17,176,345,1409,295,130,43,11,3,2435,66196,130960,114180,200619,88879,70986,53042,27286,8400,760549,13,90,101,636,199,92,41,8,4,1182,0,3,24,446,197,269,182,64,14,1210,7,98,193,1911,222,71,24,7,0,2530,6,36,59,185,160,146,111,33,4,747,61,222,184,1000,530,329,224,97,25,2681,7,37,44,332,178,124,102,54,3,876,94,968,2923,8216,1825,1737,1422,506,197,17892,0,3,9,174,82,218,190,182,45,901,12,106,120,267,94,84,103,72,13,879,208,1959,3371,8655,7904,8822,6555,4818,1392,43675,6,93,283,1763,984,853,540,224,53,4792,15,95,115,767,240,218,145,78,18,1692,14,86,156,911,598,539,897,688,163,4059,0,20,33,98,76,140,270,327,178,1147,65,341,714,1762,483,596,482,121,34,4594,218,1627,2962,17065,3009,1242,817,412,115,27459,27,122,253,774,243,143,216,114,41,1941,13,219,324,1764,536,204,119,61,7,3247
SOSR302,0,5,11,41,19,7,0,0,0,87,22182,47206,39236,68650,35954,31214,27712,15388,4675,292224,0,8,20,112,38,24,0,0,0,209,0,0,4,155,76,107,77,33,8,460,17,78,172,2188,148,34,21,10,0,2675,4,13,16,18,17,22,7,8,0,102,24,100,110,561,265,179,175,86,15,1523,7,13,21,201,62,36,31,33,5,399,21,305,457,1684,431,473,313,111,38,3834,0,5,0,64,43,86,126,147,46,517,0,16,18,66,38,64,104,86,30,431,102,1024,1772,4254,3818,4402,3982,3243,1027,23620,0,22,37,232,124,100,83,29,12,633,8,35,46,398,117,101,89,63,9,867,11,37,66,336,220,296,495,481,149,2097,0,10,11,33,28,67,92,86,36,358,15,120,129,313,94,129,106,27,6,926,39,229,595,3197,417,213,145,125,30,4994,7,51,89,157,63,42,90,21,22,542,3,23,39,308,113,55,68,24,8,640
SOSR303,0,8,26,42,12,7,5,0,0,95,11821,25458,23260,40418,19310,17468,13503,6692,1958,159889,3,13,17,61,19,7,3,0,0,117,0,0,0,9,5,7,0,0,0,20,0,7,30,135,28,5,6,0,0,204,0,3,3,9,11,0,3,0,0,36,9,32,34,188,72,68,51,29,5,481,0,0,6,40,13,8,4,6,0,81,7,60,64,306,112,91,68,27,8,744,0,0,0,6,10,20,25,31,6,94,0,20,21,36,7,8,10,9,4,125,13,176,290,1035,941,1409,1297,848,205,6218,0,13,34,110,46,59,30,18,3,322,0,3,12,125,37,41,32,10,8,278,3,10,34,148,98,161,189,180,40,865,0,3,0,11,14,21,20,26,10,104,0,16,32,100,21,34,25,11,0,238,18,153,323,1742,355,126,63,36,13,2839,4,28,36,89,30,16,31,14,6,247,4,6,13,57,18,17,11,6,0,133
SOSR311,0,0,5,9,10,0,0,0,0,24,6629,15079,12711,22256,11154,11823,10459,5888,1861,97857,5,11,5,51,19,11,0,0,0,100,0,0,0,4,0,0,0,4,0,10,0,7,24,67,32,4,0,0,0,136,0,0,0,0,0,0,0,0,0,4,5,17,4,71,19,25,26,22,4,187,0,0,0,7,4,3,6,0,0,17,0,42,23,197,48,31,15,8,3,375,0,0,0,0,0,7,7,13,3,38,5,10,4,19,5,10,0,10,0,59,10,101,126,361,403,683,813,781,208,3479,0,11,25,70,25,34,12,12,0,188,0,3,4,25,10,11,12,11,0,79,0,3,10,36,41,62,105,113,31,394,0,0,0,5,0,8,4,8,8,25,0,0,0,22,4,15,4,0,0,54,14,62,58,639,123,37,16,16,0,980,0,0,5,28,6,8,9,5,4,68,0,4,0,21,6,4,3,3,0,42
SOSR312,0,0,0,3,0,0,0,0,0,3,2316,5360,4598,8317,4333,4896,4711,2531,774,37837,0,5,3,8,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,11,0,0,3,4,6,0,0,0,0,15,0,11,8,25,14,15,14,3,0,89,0,0,0,0,3,0,0,0,0,10,0,4,5,14,10,6,11,0,0,59,0,0,0,7,0,4,4,0,3,20,0,3,0,8,0,0,6,0,0,23,0,53,91,162,230,389,530,374,91,1931,0,5,10,21,15,13,7,5,0,70,0,0,0,11,3,6,11,10,0,46,0,6,8,18,13,20,53,69,12,197,0,0,0,0,0,9,0,4,3,21,0,0,0,4,4,3,6,0,3,28,6,27,20,186,39,12,10,9,0,304,0,0,6,10,0,3,4,6,0,29,0,0,0,12,0,0,0,0,0,17
SOSR313,0,0,0,0,0,0,0,0,0,9,5322,11039,8331,15329,7008,6755,5791,3058,846,63481,0,0,0,7,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,8,0,0,3,26,4,0,0,0,0,42,0,3,0,4,3,5,0,0,0,12,4,13,9,49,15,9,15,11,0,124,0,0,0,19,0,0,3,0,0,32,0,5,8,45,15,5,5,0,0,90,0,0,0,0,0,10,3,5,3,19,0,4,0,5,3,0,3,0,0,19,9,27,58,271,249,430,418,367,96,1923,0,12,10,73,25,23,8,3,0,149,0,0,4,26,11,12,7,8,0,69,0,0,4,25,18,29,61,47,19,209,0,0,0,0,0,8,5,0,0,17,0,6,0,27,8,5,5,0,0,39,10,23,26,298,32,17,7,11,0,422,0,5,3,21,0,0,3,4,0,38,3,0,3,17,4,4,0,0,0,21
SOSR314,0,0,0,10,0,4,0,0,0,14,4838,10874,8074,14473,7532,7068,5911,3188,914,62875,0,0,5,22,3,0,0,0,0,34,0,0,0,3,0,4,5,3,0,9,0,0,6,21,7,0,0,0,0,41,0,3,0,0,0,0,0,0,0,8,0,12,5,32,17,19,18,15,0,117,0,0,0,21,7,3,0,0,0,27,6,19,27,146,31,10,11,0,4,244,0,0,0,0,3,3,12,11,3,35,0,3,0,14,0,0,3,0,0,22,0,62,132,327,413,499,537,374,104,2456,0,4,7,36,15,18,10,3,0,93,0,0,10,52,3,9,10,4,0,93,0,0,12,25,33,44,74,70,17,277,0,0,0,3,5,4,5,7,7,29,0,0,9,26,5,0,4,0,0,44,14,46,82,521,48,32,25,9,5,788,0,5,5,51,9,6,12,5,6,89,0,0,0,14,3,0,0,0,0,20
SOSR315,0,0,0,4,3,0,0,0,0,5,6942,15861,11998,22449,11842,12485,11592,5566,1488,100237,0,0,0,13,0,0,0,0,0,17,0,4,0,5,0,0,0,0,0,13,0,0,21,44,16,5,0,0,0,88,0,4,3,6,0,0,0,0,0,8,6,6,7,51,30,31,31,13,4,163,0,5,4,51,3,10,3,0,0,76,0,5,8,55,14,16,4,5,3,106,0,0,0,4,5,4,12,17,3,50,0,0,5,0,5,3,11,7,0,27,10,74,139,418,516,962,1052,739,176,4083,0,0,9,40,28,23,9,6,3,121,0,3,6,38,20,32,12,9,4,129,0,8,14,56,38,70,139,129,30,490,0,0,0,3,0,8,8,6,3,24,0,3,6,17,10,6,4,0,0,49,0,10,30,245,33,15,23,23,4,388,0,4,12,37,3,5,13,9,0,96,0,0,0,18,10,7,3,0,0,39
SOSR321,0,0,0,0,0,0,0,0,0,0,2473,6095,4485,8070,4936,5470,4843,2245,462,39075,0,3,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,0,0,0,10,0,3,4,0,0,0,0,0,0,4,0,3,3,17,12,13,11,7,0,68,0,0,0,4,5,0,0,4,0,12,0,0,4,10,3,3,0,0,0,27,0,0,0,0,0,6,4,0,0,16,0,0,0,0,0,0,0,0,0,4,0,29,41,149,212,429,491,340,45,1747,0,3,0,18,14,10,7,0,0,51,0,0,4,14,6,11,9,0,0,47,0,0,6,20,22,29,67,49,11,204,0,0,0,0,0,4,3,0,0,11,0,0,0,6,0,0,3,0,0,15,0,5,3,69,12,8,7,7,4,112,0,3,0,10,3,0,6,0,0,27,0,0,0,8,0,0,3,0,0,7
SOSR322,0,0,0,0,0,0,0,0,0,0,1086,2471,1845,3424,2176,2843,2557,1117,208,17719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,8,6,3,0,27,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,55,61,163,147,96,26,558,0,0,0,5,3,3,0,0,0,9,0,0,0,3,3,0,0,4,0,18,0,0,3,6,6,17,28,31,3,91,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,29,0,3,0,9,0,34,0,0,3,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0
SOSR331,0,0,0,6,0,0,0,0,0,12,9978,26713,21347,37167,26074,28621,23128,9855,1841,184733,0,0,0,6,3,0,0,0,0,7,0,0,0,3,5,3,0,0,0,15,0,0,3,41,13,3,0,0,0,74,0,3,7,18,16,10,4,4,0,61,3,28,21,61,70,82,62,31,3,364,0,0,0,23,3,9,6,0,0,45,0,9,14,53,19,20,26,15,5,154,0,0,0,4,6,23,26,27,10,89,0,0,6,7,0,0,18,7,0,34,5,146,298,659,1096,1806,1719,1131,179,7038,0,6,7,51,36,41,18,8,5,176,0,0,16,75,31,47,31,17,3,226,0,9,11,102,106,174,286,202,37,922,0,0,0,0,3,0,14,7,0,30,3,6,9,20,7,14,6,0,0,72,0,18,24,165,63,45,44,25,3,387,0,5,12,33,6,9,35,18,8,133,0,0,0,16,3,5,5,3,0,32
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,3,235,383,447,1358,627,826,806,159,12,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,22,0,0,0,9,0,0,0,0,0,11,0,0,0,11,4,0,0,0,0,16,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,18,56,27,87,89,45,4,329,0,0,0,5,0,0,5,0,0,11,0,0,4,27,0,3,0,0,0,37,0,0,5,17,11,11,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,15,0,0,0,0,0,24,0,0,0,9,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3
SOSR401,27,336,790,2175,641,320,117,24,4,4436,32594,62911,57201,107525,51176,45450,34546,17115,5669,414177,17,123,124,637,182,37,20,6,3,1143,0,7,17,353,169,224,158,57,19,1005,3,49,38,703,60,16,11,0,6,885,14,46,115,444,362,301,201,76,15,1569,21,72,80,308,190,151,97,34,10,969,3,10,16,118,66,53,50,28,3,345,51,545,1975,5274,1022,798,712,237,88,10701,0,4,3,183,124,211,256,287,103,1176,8,91,77,257,79,66,132,91,27,830,76,834,1858,4048,4869,8562,6626,4439,1855,33157,0,17,33,191,111,84,58,24,4,523,6,30,40,241,99,104,62,30,9,610,4,38,60,316,267,378,976,739,273,3060,0,25,45,157,145,495,934,1023,646,3462,26,111,550,818,157,167,154,44,10,2047,179,1645,3523,13904,2225,715,453,248,85,22975,14,68,112,348,89,41,69,28,15,785,11,220,373,1192,373,233,137,55,12,2611
SOSR412,0,0,0,0,0,0,0,0,0,0,2751,5855,5312,9804,4746,4169,3276,1713,567,38206,0,0,0,9,0,0,0,0,0,11,0,0,0,3,0,6,0,0,0,12,0,0,0,10,6,0,3,0,0,14,3,0,0,4,0,0,0,0,0,10,0,0,3,12,12,12,9,6,0,49,0,0,0,3,9,4,0,0,0,18,0,3,0,36,12,7,0,0,0,62,0,0,0,0,0,7,4,21,3,37,0,3,3,8,0,4,4,4,0,21,3,30,86,206,357,842,628,427,174,2751,0,0,0,10,5,0,0,0,0,17,0,0,0,6,6,0,8,0,0,17,0,0,4,13,10,25,71,52,24,200,0,0,0,0,6,12,16,13,3,52,0,4,6,9,0,0,0,0,0,25,3,28,28,198,33,16,10,3,8,326,0,3,4,8,5,0,3,3,0,24,0,3,0,3,13,5,0,0,0,23
SOSR413,0,0,0,9,0,0,0,0,0,14,2221,4878,4372,8109,4401,4538,4369,2596,757,36239,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,10,4,0,0,3,0,0,0,0,0,10,0,4,4,6,14,11,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,15,9,69,14,15,6,5,0,138,0,0,0,5,6,13,14,15,9,58,0,0,0,5,0,0,0,4,0,19,5,32,63,145,220,475,550,462,165,2117,0,0,3,7,3,0,0,0,0,19,0,6,0,10,0,7,6,5,0,29,0,4,0,21,18,31,88,69,15,240,0,0,0,0,0,0,9,6,4,29,0,3,3,11,0,0,3,0,0,18,5,15,27,173,20,8,4,12,8,272,0,5,0,5,3,0,7,0,4,22,0,0,0,12,0,0,0,0,0,18
SOSR414,0,4,12,49,25,20,7,0,0,109,769,1585,1346,2616,1404,1425,1671,1011,282,12104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,6,4,0,0,0,0,0,15,0,0,4,5,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,3,34,10,5,4,0,0,60,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,8,0,11,19,47,75,223,252,260,73,959,0,0,4,6,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,10,0,0,0,8,5,7,39,24,19,96,0,0,0,0,0,5,0,3,0,12,0,0,0,0,0,0,0,0,0,3,3,0,4,18,3,3,5,8,0,39,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
SOSR415,0,5,16,28,26,17,0,0,0,90,2882,6405,5213,10065,5448,5961,5981,3191,1046,46191,0,3,0,6,0,0,0,0,0,8,0,0,0,0,0,0,5,8,0,9,0,0,0,12,0,0,0,0,0,19,5,3,0,7,3,4,0,0,0,19,0,3,4,13,12,9,9,0,3,48,0,0,0,4,0,3,0,0,0,7,0,9,3,42,13,3,11,0,0,80,0,0,0,0,0,13,13,12,5,52,0,0,0,0,0,0,4,6,0,7,0,30,85,172,346,796,672,480,163,2764,0,0,4,6,3,4,3,3,0,26,0,0,0,10,5,0,3,0,0,25,6,0,0,21,17,39,98,73,23,282,0,0,0,5,6,17,44,52,27,139,3,0,3,11,3,0,4,0,0,27,6,23,43,253,27,22,13,6,6,399,0,0,4,23,3,0,4,0,0,44,0,0,0,9,0,0,0,0,0,6
SOSR421,0,0,0,0,0,0,0,0,0,0,753,1722,1345,2610,1539,1889,1862,879,328,12921,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,4,0,0,0,8,0,0,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,7,9,37,94,217,199,143,43,759,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,3,3,10,38,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,27,0,3,4,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR422,0,0,0,0,0,0,0,0,0,0,428,956,823,1562,1007,1291,1173,559,138,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,20,34,127,153,76,29,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,15,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR431,0,0,0,20,4,0,0,0,0,29,3228,8758,7213,12413,8939,10214,7963,3136,524,62377,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,3,4,19,18,7,12,0,0,55,0,3,0,12,13,7,14,3,0,56,0,0,0,0,0,0,0,6,0,6,0,8,6,17,3,12,9,3,0,58,0,0,0,4,0,8,15,18,0,50,0,0,0,3,0,0,4,0,0,6,5,48,93,201,457,1007,890,463,108,3272,0,0,0,7,12,8,5,0,0,28,0,0,5,6,10,12,10,4,0,49,0,4,5,15,31,63,137,72,21,338,0,0,0,0,5,29,55,50,22,168,0,3,0,0,0,0,4,0,0,14,0,7,19,89,25,32,23,10,3,208,0,3,5,13,5,3,0,0,0,36,0,0,5,9,3,7,0,0,3,27
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,61,96,129,413,206,194,124,29,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,19,25,21,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,9,0,0,3,0,4,15,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6
SOSR501,19,147,409,1760,394,227,89,18,3,3074,60716,111081,86153,153197,65902,53596,41639,19956,6369,598604,7,97,124,756,260,74,64,14,0,1399,6,3,20,514,206,307,195,92,13,1359,13,92,98,1347,148,58,13,14,3,1787,4,37,42,157,127,82,68,18,7,555,33,172,203,708,432,367,226,92,22,2243,3,32,44,310,165,137,108,43,8,851,52,620,1532,5288,1676,1245,864,250,118,11641,0,10,11,345,190,334,552,433,162,2037,5,122,157,344,144,141,175,125,35,1251,211,2805,5833,15774,14293,17835,12945,8867,2768,81324,0,11,48,176,106,79,55,21,0,495,14,69,118,905,246,180,126,52,20,1731,16,75,153,922,608,506,875,643,130,3931,0,16,23,61,63,136,238,284,147,965,31,182,396,1215,348,319,292,94,26,2899,226,1838,2908,16741,3472,1998,1682,975,275,30110,68,349,671,2047,743,385,461,182,39,4940,7,175,262,1554,553,330,198,87,27,3200
