SOSR_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR222,9,3,13,24,23,47,3,0,5,0,0,0,4,0,3,4900,3946,8837,257,235,497,145,4,156,24,3,29,45,13,57,74,40,114,443,416,856,5933,4678,10618,0,0,3,0,0,0,0,0,0,9,5,9,0,0,3,0,0,0,9,9,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,34,26,60,45,33,79,5,0,7,0,0,0,0,0,0,7,0,4,815,1155,1971,673,1065,1739,90,56,147,7570,6997,14558
SOSR231,196,124,319,245,131,371,26,12,36,11,15,23,41,25,63,65614,52609,118223,3644,3649,7290,2810,79,2892,716,149,866,342,107,451,980,457,1445,5227,3049,8272,79845,60404,140252,18,11,31,0,0,0,9,3,13,116,56,173,20,18,34,16,6,15,176,91,266,0,0,0,0,0,0,21,15,39,21,46,62,10,11,17,56,72,122,832,309,1144,1062,472,1530,47,27,71,5,4,13,88,15,99,134,51,184,21680,23657,45335,8037,13109,21144,1220,1056,2273,111976,98750,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
SOSR299,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
SOSR301,12093,12720,24816,12968,17474,30446,745,686,1433,37,30,74,1903,1994,3901,341458,282407,623870,18949,27955,46907,6921,171,7088,7539,887,8421,6692,2107,8798,4018,1874,5895,12469,13087,25555,425801,361404,787202,1902,2296,4201,8,5,20,26,18,49,2473,2545,5013,449,693,1139,630,281,917,5495,5841,11338,162,175,335,4,11,15,875,1150,2022,402,1016,1414,390,398,792,1833,2747,4575,4263,2435,6701,11586,11026,22611,980,1186,2165,281,331,608,198,90,287,1457,1606,3060,93952,108144,202097,47817,76915,124731,2371,1955,4331,582995,561045,1144039
SOSR302,964,807,1772,1318,1727,3043,68,25,91,635,1011,1646,357,417,772,140826,127294,268123,7148,9746,16897,2550,58,2610,2092,274,2361,2239,1015,3255,1719,751,2471,3973,4673,8648,163881,147806,311689,195,216,410,0,0,0,48,62,107,398,287,682,50,60,108,67,24,89,757,639,1396,12,6,16,176,299,472,79,68,154,79,177,255,79,67,142,424,611,1032,1674,1168,2842,2855,2423,5273,215,244,463,109,124,235,83,46,133,412,418,827,26534,34497,61029,18629,29545,48175,992,976,1967,213295,215663,428960
SOSR303,19,16,36,889,773,1653,47,25,67,12,3,9,363,418,784,69901,67223,137120,4804,6695,11500,1071,28,1097,1398,173,1575,1528,554,2085,1248,456,1707,2551,2340,4883,83821,78704,162526,3,4,7,0,0,0,0,0,0,24,13,36,5,0,5,6,4,3,32,20,52,8,3,8,0,0,0,52,20,77,42,128,168,76,48,124,179,205,380,962,626,1588,1166,850,2020,9,9,14,56,50,113,73,28,100,139,91,227,6559,9376,15933,10702,14989,25693,463,394,857,102847,104402,207252
SOSR311,15,5,23,702,283,980,25,4,34,0,0,0,157,218,372,39410,38164,77574,3127,3742,6869,652,12,665,599,47,645,546,178,726,317,160,471,1046,1192,2230,46590,44005,90591,0,0,0,0,0,0,0,0,0,10,4,19,0,0,0,0,0,0,15,11,19,8,0,11,0,0,0,85,10,102,22,29,48,6,9,17,118,51,171,457,272,722,586,330,919,6,0,7,19,16,32,31,11,43,52,27,75,1826,3152,4983,5257,6555,11816,270,251,522,54586,54328,108908
SOSR312,27,22,52,134,62,204,35,10,41,0,0,0,40,60,99,13672,12409,26081,904,1135,2044,242,10,250,296,20,310,192,55,246,144,61,207,427,472,902,16115,14311,30431,4,5,16,0,0,0,0,0,0,19,24,44,0,7,3,3,0,3,31,34,71,22,3,25,0,0,0,17,9,19,10,21,22,4,5,5,46,26,77,301,127,423,383,187,572,3,4,10,106,17,127,3,0,4,117,25,138,1065,1643,2706,2040,2483,4525,130,104,232,19850,18761,38610
SOSR313,4,12,19,608,208,817,44,41,83,0,0,3,107,124,227,25834,24143,49978,2148,2368,4516,551,20,566,392,40,435,309,94,402,282,108,392,1001,1085,2085,31288,28238,59520,7,10,13,0,0,0,0,0,0,19,14,30,6,6,8,3,0,3,26,24,52,3,0,7,0,0,0,76,16,97,6,17,23,15,6,19,108,38,145,341,210,546,475,265,739,7,9,12,12,4,20,26,10,36,52,20,68,1335,2541,3879,3788,4475,8263,184,182,368,37121,35717,72841
SOSR314,35,38,78,563,274,838,17,0,19,0,0,0,49,60,103,26117,23217,49335,2197,2504,4704,722,17,742,319,31,348,281,90,370,304,138,442,975,1068,2040,31575,27454,59028,3,5,14,0,0,0,0,0,0,41,42,84,3,0,8,5,0,9,59,53,114,12,0,14,0,0,0,74,44,116,15,21,36,8,0,13,104,66,177,365,173,536,529,298,821,8,14,20,37,7,44,24,6,35,73,25,99,1977,3592,5569,3573,4468,8037,257,231,491,37982,36064,74049
SOSR315,94,90,186,819,426,1244,81,37,121,3,0,5,31,44,81,34483,31286,65766,2718,2976,5691,1099,34,1136,413,58,468,420,227,650,538,321,865,2273,2700,4980,42986,38204,81192,15,18,30,0,0,0,0,0,0,49,56,103,9,12,16,8,0,9,80,79,164,31,38,70,0,0,0,83,43,122,21,18,37,14,7,20,148,104,247,632,425,1059,856,612,1473,12,12,22,57,40,100,46,25,75,119,83,197,3088,4799,7892,5422,6786,12208,443,391,832,52921,50873,103797
SOSR321,15,15,26,194,86,281,36,36,75,0,0,0,13,10,27,13045,11756,24795,935,958,1893,488,18,501,174,23,201,93,59,148,233,77,312,876,966,1846,16104,13996,30099,0,0,3,0,0,0,0,0,0,12,23,34,5,0,5,5,0,5,21,23,45,10,10,27,0,0,0,16,6,24,4,10,13,17,4,17,43,38,83,201,177,383,263,241,503,7,3,10,13,15,28,10,4,11,33,21,52,1284,1975,3257,1865,2403,4274,204,161,371,19755,18795,38556
SOSR322,12,3,11,91,59,156,8,8,15,0,0,0,5,6,9,5440,4626,10066,424,442,865,191,8,200,58,15,68,52,24,73,140,53,192,700,909,1608,7116,6155,13270,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,4,5,9,3,0,10,0,0,0,14,6,17,0,0,6,0,0,5,21,13,29,116,75,190,140,89,225,0,0,0,14,0,14,12,4,15,25,4,27,467,715,1183,783,944,1729,122,104,229,8656,8012,16667
SOSR331,175,124,296,1111,423,1531,60,11,66,11,0,7,22,18,43,64200,56830,121024,3848,4017,7872,3644,147,3794,945,140,1085,261,85,347,1555,587,2142,5062,3458,8520,80883,65839,146725,10,13,25,0,0,0,0,0,0,124,117,242,12,16,30,17,3,18,162,150,315,40,5,44,0,0,0,120,59,179,38,28,70,47,9,59,252,105,357,914,355,1264,1322,614,1935,29,24,54,96,22,116,91,27,116,219,75,285,17269,18504,35773,9071,11320,20393,1172,873,2051,109937,97228,207163
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29
SOSR399,13,7,23,35,42,78,8,0,8,0,3,3,5,0,13,808,551,1367,98,154,252,35,4,34,20,0,21,16,12,31,28,30,57,125,155,281,1206,962,2169,9,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,3,3,6,0,0,0,0,5,6,5,6,10,18,13,28,39,20,54,0,0,5,3,5,6,0,0,0,6,8,16,173,208,386,246,305,552,31,15,50,1705,1512,3219
SOSR401,2568,2688,5251,10196,13879,24077,60,30,86,970,1318,2286,929,977,1906,207651,170383,378027,9938,16004,25938,2165,59,2221,2313,268,2577,4779,1711,6485,2424,777,3208,5644,5867,11507,249625,213939,463571,479,469,951,0,0,0,59,102,156,485,509,989,64,122,186,84,48,132,1170,1250,2411,0,3,10,182,254,433,866,1106,1970,340,844,1186,259,296,549,1650,2502,4148,2361,2001,4358,5182,5746,10922,285,412,694,244,325,565,104,54,164,636,791,1429,26913,30273,57189,23818,40531,64347,1202,1049,2252,307367,292332,599698
SOSR412,10,6,9,411,318,731,9,0,9,0,0,6,63,64,132,16554,15223,31780,1070,1072,2143,203,4,204,159,19,182,168,23,194,168,50,221,463,457,919,19280,17244,36526,6,3,5,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,9,7,19,0,0,0,0,5,5,118,68,186,16,23,34,20,6,26,151,106,255,188,103,289,348,210,554,7,7,6,6,9,14,5,5,12,16,22,36,1085,1555,2641,2165,3173,5335,123,95,217,23012,22293,45310
SOSR413,11,4,12,203,182,383,4,4,7,0,5,5,45,46,92,12840,12278,25119,947,1111,2060,146,6,157,140,13,154,143,42,183,157,54,210,525,505,1038,15160,14244,29415,0,0,0,0,0,0,0,0,0,7,9,14,0,0,5,0,0,0,8,13,21,0,0,0,0,0,0,27,21,49,7,3,13,6,0,9,39,25,68,145,88,238,194,131,322,0,4,6,7,0,7,8,0,7,15,5,17,1231,1469,2704,1870,2508,4381,117,107,220,18589,18467,37053
SOSR414,0,0,0,58,45,106,3,0,3,0,0,0,3,4,12,4869,4288,9155,298,336,633,74,3,75,35,5,38,54,18,69,78,12,93,147,179,328,5614,4903,10517,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,9,31,3,3,10,3,0,3,29,14,43,55,27,89,80,51,128,0,0,4,0,0,0,0,0,0,0,7,4,393,613,1004,574,976,1549,61,44,107,6731,6582,13312
SOSR415,23,25,44,234,110,348,3,0,5,0,5,5,16,14,30,18533,16243,34775,1009,1149,2156,358,12,374,135,14,150,148,47,197,248,60,314,923,961,1879,21639,18639,40278,9,3,12,0,0,0,0,0,0,15,18,33,0,5,5,0,0,0,27,29,53,0,0,0,0,0,0,28,41,67,8,14,19,9,0,10,39,55,98,189,107,294,254,191,443,7,6,11,10,5,11,8,0,7,20,16,32,1352,1997,3346,2189,3366,5554,213,166,378,25663,24370,50029
SOSR421,3,0,3,100,54,155,5,0,5,0,0,0,0,0,0,4965,4150,9117,255,300,557,106,3,109,31,0,33,44,19,60,89,28,118,337,462,799,5936,5011,10949,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,24,23,45,4,0,3,0,0,3,23,27,53,57,23,79,85,50,132,0,0,0,6,0,6,0,5,7,6,5,5,387,608,997,643,984,1627,67,68,140,7123,6724,13849
SOSR422,0,0,3,20,18,41,0,0,0,0,0,0,3,0,3,2621,2162,4786,141,145,297,82,0,86,12,4,17,17,7,18,50,11,58,259,319,581,3206,2673,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,0,6,3,0,0,0,7,8,18,24,8,38,35,20,60,0,0,0,0,0,0,5,0,5,5,0,5,183,280,461,325,470,790,51,47,97,3806,3491,7295
SOSR431,17,14,37,325,134,459,15,3,17,3,3,4,9,13,28,23613,19817,43425,1160,1234,2395,813,33,849,205,25,234,84,17,102,605,148,757,2224,1259,3482,29079,22706,51784,0,0,9,0,0,0,0,0,0,25,25,52,0,0,0,0,0,0,22,31,56,0,0,0,0,0,0,49,59,110,12,14,30,8,4,12,72,83,151,297,149,446,390,259,650,11,6,17,6,3,11,31,11,38,40,22,59,6319,5790,12108,2629,4141,6773,422,329,753,38884,33245,72129
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SOSR499,0,5,6,16,11,30,0,0,0,0,0,0,0,3,4,221,115,333,29,30,53,6,0,6,0,0,0,0,0,0,13,3,18,23,21,43,308,184,492,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,7,5,5,0,5,3,4,8,0,4,0,0,0,0,0,0,0,0,4,0,29,38,70,63,80,134,10,3,11,419,311,724
SOSR501,11340,11329,22665,17658,13760,31416,137,76,213,31,15,48,2014,1684,3698,339125,297081,636206,19826,25500,45325,4879,159,5040,2480,252,2729,5259,1498,6758,11423,2800,14229,8091,7748,15845,422255,361907,784160,6730,6523,13255,12,7,24,0,4,5,4524,4122,8641,653,910,1563,494,188,688,12419,11751,24171,23,6,32,8,8,15,763,769,1535,483,880,1364,689,397,1084,1962,2068,4025,4342,2174,6517,18727,15991,34718,2125,2513,4636,518,260,776,254,101,356,2900,2873,5769,33855,43357,77216,51613,67213,118823,2365,1625,3993,531710,492968,1024680
SOSR511,10,8,17,460,131,591,0,0,3,0,0,0,34,41,76,12308,11772,24072,1053,1040,2095,158,8,164,62,10,70,154,42,196,298,75,377,262,273,534,14808,13393,28205,0,0,0,0,0,0,0,0,0,10,4,7,4,3,7,0,0,0,14,3,17,0,0,0,0,0,0,171,42,211,19,16,31,26,0,31,210,60,276,214,78,296,441,149,593,4,3,7,22,5,32,13,3,13,36,11,50,480,897,1378,2154,2482,4637,92,43,136,18015,16983,34998
SOSR512,11,3,14,599,165,769,14,4,18,0,0,0,86,93,178,19994,18908,38899,1706,1801,3504,355,18,380,165,22,183,351,126,479,419,116,535,633,628,1256,24336,21886,46218,0,0,4,0,0,0,0,0,0,4,8,13,0,0,0,0,0,0,8,8,17,0,0,0,0,0,0,80,29,104,13,10,26,30,10,38,119,45,166,252,145,398,386,204,584,0,0,0,31,6,39,17,4,18,48,8,53,765,1504,2274,3139,3470,6607,143,104,243,28812,27169,55980
SOSR513,29,40,66,332,100,425,6,0,9,0,5,8,40,36,81,11942,10465,22403,975,978,1951,214,10,225,203,57,263,217,147,361,322,105,427,452,588,1040,14731,12515,27250,33,23,56,0,0,0,0,0,0,43,37,82,3,7,6,0,3,5,81,71,149,0,0,0,0,0,0,16,12,29,7,12,18,11,4,16,38,24,63,172,75,246,290,164,455,16,15,33,8,0,9,5,4,10,27,20,51,394,899,1287,1946,1882,3828,136,95,225,17522,15573,33096
SOSR514,3,0,3,117,26,142,0,0,0,0,0,0,3,17,18,3991,3951,7938,388,327,716,56,0,60,15,5,18,87,33,122,170,43,215,209,218,426,5046,4615,9662,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,9,0,10,0,0,0,8,3,10,16,7,22,87,25,116,106,41,144,0,0,0,4,0,6,4,0,6,15,3,10,317,598,913,915,891,1804,44,35,83,6436,6175,12611
SOSR515,26,17,40,904,260,1163,4,5,11,0,0,0,25,17,42,13242,12281,25522,1210,1122,2331,337,12,349,110,35,144,240,185,423,425,159,579,848,1064,1914,17367,15156,32525,11,10,21,0,0,0,0,0,0,26,22,42,6,0,6,0,0,0,42,30,66,0,0,0,0,0,0,66,34,102,7,5,14,14,8,22,87,50,141,197,124,320,329,201,529,4,8,17,24,3,33,15,6,19,48,21,66,630,1159,1788,2709,2608,5321,188,148,337,21270,19294,40565
SOSR521,5,5,13,344,98,441,0,0,0,0,0,0,6,6,9,4765,4206,8971,380,384,761,162,5,158,27,5,34,63,57,121,211,44,254,468,647,1113,6424,5453,11879,0,0,4,0,0,0,0,0,0,7,14,24,0,0,0,0,0,0,12,17,26,0,0,0,0,0,0,15,5,21,9,0,6,8,0,9,33,8,36,80,27,111,120,53,171,3,0,5,7,0,11,7,0,7,18,7,26,283,500,787,948,908,1853,117,97,212,7915,7011,14926
SOSR522,9,3,8,112,45,157,4,0,4,0,0,0,0,0,0,2375,1906,4278,213,201,416,101,0,102,5,0,5,63,35,98,108,36,140,439,618,1061,3428,2847,6275,0,5,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,3,6,7,4,0,4,0,0,0,5,6,11,40,26,62,55,33,83,0,0,0,4,0,4,4,0,0,10,0,10,157,222,374,392,455,845,75,57,131,4113,3609,7723
SOSR531,121,114,230,1854,403,2257,8,3,15,0,3,6,59,16,74,22818,19300,42118,1714,1389,3103,1163,66,1226,184,32,214,113,46,157,2018,548,2560,2793,1900,4692,32840,23814,56655,16,22,37,0,0,0,0,0,0,124,131,250,10,12,18,3,0,3,152,165,310,0,0,0,0,0,0,46,20,69,14,15,31,118,19,135,182,47,233,497,175,674,828,386,1212,29,37,69,70,15,81,48,9,54,149,58,209,5988,6173,12164,4295,4439,8740,485,323,806,44592,35194,79789
SOSR579,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
SOSR599,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
SOSR603,15,7,19,1831,2917,4749,38,47,85,0,3,3,212,215,425,30371,24747,55123,1935,3803,5739,393,11,402,475,54,533,866,385,1249,271,134,401,2427,2821,5254,38838,35147,73982,0,7,5,0,0,0,0,0,0,10,11,14,0,0,7,5,0,0,12,15,35,3,8,11,0,0,0,137,237,374,89,220,303,51,63,116,284,521,810,407,371,779,707,914,1620,5,5,6,44,65,108,7,8,26,58,81,141,3518,3959,7478,4166,7019,11185,205,214,415,47489,47332,94821
SOSR611,3,0,5,226,337,559,0,0,0,3,0,3,87,117,202,13793,11707,25498,875,1377,2251,125,0,127,139,17,153,175,47,221,122,57,177,799,837,1635,16341,14496,30836,0,0,0,0,0,0,0,0,0,6,8,11,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,15,15,27,17,47,60,8,10,16,33,72,107,127,101,230,169,183,347,0,0,3,8,18,31,13,8,14,25,26,50,942,1278,2226,1510,2666,4177,94,80,172,19086,18725,37810
SOSR612,0,0,0,94,78,174,0,3,0,0,0,6,28,48,76,6958,6465,13426,484,643,1129,61,0,59,47,8,50,51,12,69,42,21,62,283,336,624,8051,7614,15664,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,5,0,4,0,0,0,0,0,0,8,4,9,9,3,7,0,0,4,15,9,23,64,46,108,80,60,133,0,0,0,4,6,9,7,5,12,7,12,20,356,431,793,889,1275,2167,71,46,114,9460,9435,18895
SOSR613,0,0,0,18,10,23,0,0,3,0,0,0,0,3,5,1881,1799,3684,113,125,235,28,0,28,19,0,17,15,8,20,17,10,22,53,83,135,2136,2033,4168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,4,9,19,10,32,22,17,42,0,0,0,0,0,0,0,0,0,0,0,0,115,159,279,210,370,582,28,23,48,2514,2605,5122
SOSR614,0,0,0,41,51,98,0,0,0,0,0,0,0,5,4,2641,2233,4873,151,156,304,51,6,55,20,0,19,10,8,15,19,5,27,75,95,169,3014,2560,5570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,7,5,13,0,0,0,10,21,28,12,17,28,21,35,57,0,0,0,0,0,0,0,0,0,0,0,0,149,256,403,324,517,846,18,18,37,3529,3387,6913
SOSR615,0,0,3,107,120,225,3,0,5,0,0,0,3,5,9,10034,8953,18990,586,615,1200,200,0,200,70,5,72,52,12,68,78,40,125,347,438,783,11479,10195,21675,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,13,25,36,14,14,28,3,4,10,23,46,73,85,45,128,117,92,205,0,0,4,0,4,3,3,0,3,5,4,13,697,971,1667,1196,1979,3172,95,82,176,13584,13321,26908
SOSR621,0,0,0,41,57,99,0,0,3,0,0,0,3,4,5,3432,2793,6229,214,218,430,86,0,91,19,0,19,19,23,39,37,20,50,194,246,440,4052,3362,7422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14,8,6,8,0,0,4,10,15,28,43,15,64,57,34,94,0,0,0,5,5,7,0,0,0,5,5,7,341,450,785,435,692,1126,47,41,91,4943,4583,9520
SOSR622,0,0,0,10,7,20,0,0,0,0,0,0,0,3,0,1354,1170,2514,71,69,139,45,5,46,5,0,11,5,0,9,19,3,20,63,83,152,1572,1341,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,4,0,0,0,3,3,13,13,7,20,15,15,32,0,0,0,0,0,0,0,0,0,0,0,0,163,177,338,174,259,432,19,26,44,1945,1815,3760
SOSR631,3,0,5,183,145,326,3,5,6,0,0,4,12,6,18,17730,14961,32688,851,1090,1942,697,27,725,219,37,258,58,25,81,248,74,324,957,607,1566,20964,16983,37944,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,5,5,4,6,7,0,0,0,0,0,0,29,53,87,22,27,52,4,0,4,63,76,138,190,101,289,254,181,437,4,0,4,0,7,11,11,0,12,15,8,21,3161,3170,6329,2233,3209,5446,268,195,468,26894,23755,50648
SOSR679,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOSR699,0,0,0,7,8,12,0,0,0,0,0,0,0,0,0,95,58,158,10,12,26,3,0,3,0,0,0,0,0,0,3,0,3,7,9,21,135,89,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,19,26,24,26,47,0,0,0,174,133,309
SOSR703,6,0,6,677,938,1608,18,7,24,3,0,5,130,151,284,23387,20686,44073,1400,2601,4003,228,15,241,674,147,815,753,496,1246,551,207,760,1361,1244,2609,29187,26500,55688,0,5,5,0,0,0,0,0,0,7,9,15,3,0,6,0,0,4,10,16,26,0,0,0,0,0,0,48,40,83,33,96,125,21,25,52,104,160,262,318,217,536,433,395,829,5,0,5,23,37,62,20,12,34,52,49,99,1049,1572,2623,2428,3370,5799,175,134,312,33330,32019,65347
SOSR712,0,0,3,146,52,199,0,4,4,5,0,6,26,33,60,4428,4208,8639,364,653,1019,60,3,64,111,28,138,300,238,545,48,25,78,287,356,638,5770,5615,11388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,17,0,0,0,0,3,5,18,4,15,75,63,139,93,72,162,0,0,0,5,3,11,4,8,12,6,8,13,152,243,399,451,654,1110,40,34,78,6514,6630,13148
