SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR101,271,747,2860,5979,11994,22148,28661,21634,8947,103245,28962,22039,22629,21259,16531,13534,10320,5512,1889,142685,394,530,1199,2146,3933,9230,14791,12159,4477,48856,19,37,54,77,226,607,1950,4770,4685,12436,539,1238,2842,8784,16146,28179,31915,19425,5550,114619,674,634,1050,2716,7777,18525,28101,23006,9741,92224,492,369,659,1174,1891,3211,4713,4377,2249,19126,386,290,475,879,1908,4437,7058,6424,2660,24514,6178,15544,20718,19077,19025,16099,9908,4906,2168,113614,104,110,212,542,1345,3185,5157,5137,2544,18337,17555,11626,13653,17709,21616,26323,22775,12855,5933,150043,362782,227434,286546,262803,193244,132856,68819,26789,6681,1567951,32287,23243,30459,26395,21901,17601,11612,7541,4355,175395,445085,296670,372776,354942,292439,248972,179630,98353,35570,2324431,366,1210,3881,8724,20884,39692,52126,42048,21763,190695,18377,20256,26562,25128,22530,19618,16514,9718,3941,162635,329,461,1426,3722,8500,12987,15181,10943,4754,58309,15,18,35,58,208,570,1921,6138,9482,18461,543,1296,3141,6717,12234,21708,25970,17656,6898,96169,521,550,897,1554,3515,8343,15018,16030,11370,57812
SOSR102,77,259,859,1967,4374,9102,12525,9595,3546,42308,8987,6010,5772,5703,4866,4403,3795,2343,690,42570,100,133,291,533,1168,3046,5528,4727,1605,17129,5,6,11,22,66,250,734,1877,1590,4566,164,375,651,1389,3301,6363,8969,6473,1709,29391,168,182,252,592,1976,5349,9331,8350,3338,29544,122,111,141,263,496,920,1666,1717,861,6297,108,96,154,279,853,2115,3434,3218,1226,11481,2822,6460,7286,7127,7399,6880,4531,2231,814,45550,37,38,78,132,441,1035,1897,2002,889,6548,5279,3406,3292,4113,5402,6978,6502,3832,1727,40532,72626,45051,45124,41215,37651,29212,17436,7167,1744,297231,7767,5683,5144,4944,5179,4544,3412,2275,1329,40271,95893,64971,65404,63218,64262,62818,53798,32519,11378,514266,97,421,1289,2920,7363,14659,20787,16879,8583,73004,6222,6438,7937,7869,7537,7615,7155,4336,1643,56754,93,135,345,964,2247,4060,5478,4270,1734,19320,10,9,8,19,42,171,683,2039,3189,6165,164,417,806,1365,2915,5167,7095,5461,2234,25623,148,141,216,414,1085,2793,5220,6141,4317,20475
SOSR111,15,57,215,432,865,1755,2378,1606,582,7909,1912,1014,1319,1163,937,819,787,389,107,8448,21,22,54,122,239,549,1027,805,287,3124,3,0,3,10,14,59,115,277,214,704,41,61,171,319,703,1129,1604,1062,257,5346,31,34,68,135,416,980,1771,1453,580,5463,26,25,29,46,85,159,261,299,130,1072,19,27,34,79,177,430,764,534,182,2236,694,1261,1573,1579,1505,1295,895,399,117,9311,8,3,14,30,91,178,348,351,128,1157,1207,623,691,784,1007,1191,1131,579,214,7416,14133,7756,8195,7294,6090,4704,2995,1209,273,52654,1761,1039,1111,1026,935,819,573,378,206,7853,19271,11401,12602,11839,11161,10713,9580,5351,1737,93659,30,83,279,698,1503,2793,3911,2958,1390,13644,1389,1363,1755,1638,1542,1502,1421,792,286,11684,25,19,82,162,396,675,947,706,292,3302,0,0,3,16,17,46,138,335,438,985,45,84,203,335,658,1006,1283,950,333,4903,36,39,60,96,225,601,1043,1168,768,4040
SOSR112,45,156,506,1013,2143,4571,6734,5097,1852,22119,5084,3095,3057,2813,2422,2467,2278,1293,407,22906,48,82,153,247,529,1556,3067,2566,894,9147,6,4,9,7,33,116,431,981,828,2425,88,180,397,829,1807,3275,4676,3163,891,15315,111,109,184,354,962,2579,4801,4326,1845,15263,67,67,111,140,254,479,903,917,431,3366,89,57,101,212,475,1213,1991,1671,613,6416,1662,3464,3874,3571,3761,3492,2501,1202,480,24007,20,23,38,98,226,541,999,1071,468,3488,2953,1700,1705,1998,2581,3356,3200,1900,884,20282,35669,20152,21285,17782,15852,12966,8800,3990,1087,137578,5042,3777,4221,3575,3277,2587,1944,1350,664,26443,49406,31162,33457,29638,29387,29795,27849,17249,6127,254071,47,228,679,1524,3556,7481,10906,8952,4603,37981,3704,3571,4368,4113,4001,4324,4239,2549,973,31841,54,70,181,437,1054,1953,2779,2251,964,9742,5,4,10,8,35,88,332,1158,1819,3460,89,236,503,833,1647,2890,3568,2708,1010,13482,89,103,182,218,604,1607,2780,3172,2323,11076
SOSR113,40,66,207,498,1046,2483,3616,2637,894,11488,2075,1212,1129,1102,1039,1158,1180,641,189,9726,11,26,49,113,248,694,1514,1226,432,4310,3,5,0,0,17,53,199,459,349,1092,45,96,141,302,760,1663,2461,1642,434,7550,42,50,70,146,449,1359,2529,2103,886,7630,28,22,35,51,127,250,478,472,235,1693,44,29,37,93,253,697,1080,865,302,3391,762,1387,1528,1548,1785,1786,1356,595,229,10979,3,10,22,41,94,276,507,545,242,1731,1213,678,637,837,1165,1741,1664,976,433,9342,14955,8212,8432,7503,7186,6349,4733,2074,501,59952,2341,1557,1678,1527,1437,1294,1095,674,287,11889,20915,12697,13168,12557,13273,14884,14900,8843,2868,114105,26,75,317,732,1761,3791,5474,4317,2163,18650,1510,1324,1684,1739,1790,1960,2042,1213,440,13690,23,24,79,164,474,894,1357,1034,447,4491,0,0,6,8,11,49,192,550,811,1633,32,87,179,382,786,1365,1945,1427,595,6806,39,36,62,119,302,736,1406,1609,1199,5508
SOSR114,23,66,231,526,1065,2478,3897,2925,1087,12299,2320,1364,1277,1209,1100,1271,1314,706,235,10791,25,34,51,121,303,799,1682,1481,548,5044,0,0,3,13,15,66,196,530,436,1256,47,103,157,334,851,1633,2671,1834,525,8154,52,47,69,151,493,1293,2710,2502,1048,8362,30,29,37,86,124,238,471,506,247,1766,40,32,34,72,235,667,1154,1055,342,3637,810,1279,1421,1513,1736,1740,1320,656,241,10724,11,3,16,38,101,276,552,577,289,1862,1369,649,637,855,1158,1732,1636,992,485,9506,17982,9395,9737,8528,7941,6907,5063,2364,581,68502,2579,1497,1569,1520,1455,1353,1229,814,394,12406,24598,13848,14476,13787,14292,15678,15942,10077,3513,126221,35,101,307,776,1746,3870,5860,4995,2513,20203,1685,1468,1936,1846,1795,2141,2223,1414,517,15033,18,31,83,212,424,986,1526,1163,522,4967,0,0,4,9,9,45,154,533,861,1608,44,99,208,363,697,1396,1962,1513,558,6850,31,35,71,137,270,735,1588,1792,1239,5902
SOSR115,34,77,301,653,1633,4023,6363,4412,1520,19025,3262,1725,1608,1719,1537,1850,1988,1071,345,15111,23,36,96,164,384,1260,2753,2026,623,7376,0,0,7,6,28,73,286,693,582,1674,66,111,163,431,1058,2510,4157,2684,647,11829,59,63,93,188,643,2178,4310,3676,1331,12537,37,28,59,85,162,420,702,769,296,2554,41,26,66,120,323,1029,1873,1468,470,5409,980,1696,1792,2149,2351,2647,2120,973,341,15039,4,11,24,40,157,450,855,832,379,2748,1615,933,890,1154,1704,2691,2815,1511,608,13929,24387,12588,12467,11630,11633,10696,8387,3544,765,96105,3826,2210,2149,2155,2233,2312,2078,1296,532,18788,33576,18690,18668,18881,20666,24580,26088,14889,4552,180592,35,130,439,974,2520,5987,8998,6951,3350,29384,2372,1876,2413,2508,2587,3129,3255,1910,644,20696,28,39,107,262,705,1518,2339,1725,646,7370,0,5,4,5,25,62,293,773,1199,2370,58,133,239,458,980,1928,2947,2224,795,9760,35,46,89,153,407,1163,2342,2517,1641,8394
SOSR121,11,27,78,168,448,1220,1689,1009,246,4899,854,491,381,459,473,558,568,254,77,4109,9,14,21,48,106,336,763,487,113,1902,4,5,3,5,10,20,67,132,80,311,22,31,43,99,288,657,992,637,135,2908,24,11,30,49,170,579,1106,812,239,3015,11,11,16,24,58,92,188,167,61,635,8,6,24,22,71,277,497,314,109,1318,292,456,464,558,670,757,595,206,44,4041,7,6,8,13,35,122,208,185,53,632,440,227,229,294,472,807,797,321,95,3687,6918,3538,3052,3274,3629,3304,2411,859,175,27154,904,509,470,513,570,626,603,298,119,4627,9263,5123,4535,5125,6199,7321,7184,3482,879,49118,9,32,110,279,736,1675,2204,1415,518,6973,697,506,572,677,764,866,821,432,104,5431,13,19,26,82,200,454,565,375,99,1825,0,0,0,0,4,22,54,122,146,355,10,28,58,120,273,508,712,443,145,2301,21,13,22,34,99,278,602,490,266,1818
SOSR122,9,19,41,102,242,746,942,530,135,2761,359,219,209,221,258,313,319,118,42,2059,0,6,4,19,47,197,367,264,70,978,0,0,0,3,3,16,40,70,36,176,13,8,22,67,152,405,582,327,54,1636,8,7,13,27,131,368,643,441,130,1772,8,3,7,21,24,67,90,84,38,345,9,10,9,14,58,190,303,182,49,824,95,211,236,270,350,476,295,96,22,2049,0,0,0,3,18,72,130,112,47,383,204,125,113,144,255,468,377,181,45,1922,3228,1638,1487,1522,1744,1838,1233,456,79,13222,488,339,297,304,394,448,369,198,49,2878,4323,2483,2300,2489,3188,4241,3877,1895,427,25218,9,11,54,119,399,984,1214,711,266,3771,256,219,280,300,383,490,449,216,55,2642,6,8,15,45,100,240,300,159,54,922,0,0,0,0,4,5,33,82,84,207,3,16,43,68,171,329,426,234,64,1350,9,9,16,18,72,192,312,259,146,1033
SOSR131,47,132,356,977,2735,6596,8868,4722,1198,25628,4118,2439,1931,2452,2871,3186,2846,1116,245,21200,59,59,89,243,711,2189,3968,2513,566,10395,8,0,4,8,35,93,329,615,334,1427,96,174,233,481,1674,3598,5079,2795,533,14660,102,90,107,253,1093,3597,5997,4061,1088,16391,78,60,54,105,255,533,913,746,251,2997,82,45,62,151,441,1450,2335,1445,370,6374,1194,2041,1945,2557,3415,3873,2585,898,179,18683,17,11,35,75,198,592,1049,848,276,3103,2136,1320,1109,1586,2866,4341,3987,1601,425,19382,40018,23637,16915,19480,24563,23818,15161,5079,828,169493,5644,4137,3857,4202,4856,5400,4058,1968,481,34606,52626,33245,25644,30595,41279,48733,41527,18477,4005,296123,52,172,477,1361,3864,8751,10353,5725,1792,32553,2837,2416,2478,3157,4033,4655,3631,1461,359,25032,47,42,118,423,1318,2508,2927,1457,356,9194,0,0,0,5,24,70,229,539,503,1371,73,146,236,465,1203,2457,2958,1768,423,9735,71,91,101,182,583,1570,2646,2041,923,8204
