SOSR_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR212,8,30,0,0,0,0,0,0,0,48,54,388,14,4,8,0,0,4,3,471,578,1258,95,73,115,53,46,38,25,2282,17,62,7,8,3,0,0,6,0,103,162,513,46,65,47,15,15,20,3,887,69,123,10,35,15,5,3,4,3,274,1709,4415,557,600,550,315,197,376,89,8802,3,4,10,9,4,4,4,3,0,33,483,491,352,257,168,98,101,123,27,2093,804,626,733,657,257,192,228,277,57,3824,2431,711,9301,1094,754,817,1839,2080,358,19382,61,28,86,72,38,80,86,159,9,624,143,57,122,91,49,83,127,119,9,804,43,61,50,29,17,21,31,39,10,285,126,96,117,70,36,68,119,186,135,948,6691,8864,11496,3053,2055,1740,2801,3433,740,40869,8,82,6,10,6,0,0,0,0,107,50,339,11,10,17,4,0,0,0,430,452,2101,48,165,186,53,8,35,17,3070,19,140,0,12,14,4,0,6,0,194
SOSR213,7,21,0,3,0,0,0,0,0,35,26,283,9,0,9,0,0,8,4,339,360,830,64,68,83,43,43,43,9,1537,23,46,3,8,9,0,0,0,0,89,139,387,26,60,19,11,8,9,10,680,48,90,16,28,16,4,9,6,0,206,1140,3087,456,463,350,191,182,305,55,6233,4,3,8,3,0,0,3,3,0,33,367,437,308,215,138,104,106,131,26,1827,647,536,588,587,255,159,197,240,51,3244,2137,634,9149,1024,650,791,2164,2183,385,19118,74,39,113,58,45,58,92,146,4,624,118,68,94,111,38,58,105,135,8,735,38,40,44,36,15,9,20,38,8,242,94,83,140,69,29,48,138,172,140,924,5234,6579,11016,2730,1643,1469,3070,3420,711,35866,3,69,0,5,6,0,0,0,0,82,36,266,3,11,15,0,4,3,0,332,276,1569,42,142,150,27,8,41,19,2266,16,99,4,11,5,4,0,0,0,137
SOSR214,3,9,0,0,0,0,0,0,0,19,21,117,6,6,5,0,0,0,0,155,204,468,42,42,52,15,11,38,15,882,8,19,0,3,4,0,0,0,0,38,60,213,24,40,18,10,5,8,7,391,30,47,6,12,6,5,0,0,0,118,582,1559,231,239,170,120,66,175,39,3179,3,0,3,0,0,4,0,0,0,16,217,194,208,120,71,67,43,74,20,1017,331,219,325,282,114,88,101,136,20,1614,1239,304,4813,590,327,403,1102,1301,225,10304,31,15,43,28,13,37,48,89,11,319,68,22,60,44,19,29,80,76,9,397,14,30,28,7,4,0,7,21,9,118,59,43,116,45,15,45,84,133,75,615,2874,3258,5900,1450,826,814,1556,2061,434,19171,9,31,0,3,3,0,0,0,0,42,11,105,3,3,10,0,0,0,3,137,196,756,26,87,79,21,5,18,20,1203,3,52,0,4,0,0,0,0,0,65
SOSR215,6,22,0,0,4,4,0,0,0,33,57,217,8,3,3,0,0,0,0,297,388,683,53,57,65,31,23,30,16,1346,5,26,0,4,3,0,0,6,5,50,124,376,36,52,32,12,10,13,8,669,47,63,10,19,13,0,0,0,0,158,1170,2427,356,421,255,172,117,241,54,5226,7,5,10,4,0,3,0,6,0,33,366,339,301,180,125,70,105,113,23,1618,532,368,443,411,172,134,153,202,33,2450,2313,556,8812,785,520,584,2155,2116,347,18187,59,20,99,57,23,68,98,118,8,552,105,49,97,63,28,56,109,92,16,627,33,31,31,14,6,7,25,20,5,169,110,54,194,60,26,63,159,172,105,951,5325,5257,10454,2138,1276,1207,2969,3131,626,32374,9,43,0,6,6,5,0,0,0,65,46,223,0,5,13,0,0,0,3,298,342,1341,36,120,122,29,5,22,24,2041,20,91,3,5,14,0,0,4,0,134
SOSR221,0,4,0,0,0,0,0,0,0,3,20,81,0,5,0,0,0,0,0,105,88,185,5,17,13,7,3,5,3,328,4,8,0,0,0,0,0,0,0,16,43,106,11,18,7,0,0,8,3,202,6,13,0,6,0,3,0,0,0,33,341,657,101,102,72,38,27,62,19,1419,0,0,0,3,3,0,0,0,0,10,115,100,67,51,26,19,23,25,0,426,155,124,139,116,49,45,30,44,4,706,720,153,2467,203,137,170,608,593,101,5147,10,4,28,13,4,7,17,30,4,121,32,18,25,19,5,5,28,26,0,165,10,9,10,4,0,0,0,3,9,46,35,25,48,25,14,26,53,67,23,306,1578,1474,2915,567,337,332,798,867,168,9040,0,9,0,0,0,0,0,0,0,12,11,74,0,0,3,0,0,0,0,93,102,353,3,23,35,9,0,0,3,534,3,18,0,0,3,0,0,0,0,31
SOSR222,0,0,0,0,0,0,0,0,0,5,9,25,0,0,3,0,0,0,0,40,53,99,5,5,10,4,0,7,6,183,0,4,0,3,0,0,0,0,0,9,27,59,3,3,0,0,0,7,0,106,3,8,0,3,0,0,0,0,0,20,164,345,71,56,29,35,24,53,14,787,3,0,0,0,0,0,0,0,0,7,58,54,40,40,16,10,8,21,3,255,79,42,71,53,23,16,17,36,4,357,401,86,1245,129,74,86,334,324,63,2739,3,3,13,13,0,4,8,22,4,72,9,10,15,18,3,8,18,13,4,98,3,5,6,5,0,0,0,4,0,33,26,19,29,15,4,8,34,18,17,162,850,766,1508,334,165,176,450,495,109,4850,3,7,0,0,0,0,0,0,0,8,8,29,0,0,9,0,0,0,0,47,43,173,0,22,9,15,0,7,0,266,3,20,0,0,0,0,0,0,0,24
SOSR231,12,34,0,5,0,0,0,5,0,62,160,481,23,9,14,4,4,8,5,718,913,1159,78,54,123,34,27,59,31,2468,42,69,3,6,8,3,0,0,5,141,363,606,51,90,58,23,13,40,13,1256,102,131,26,25,15,5,4,12,0,316,4028,4845,723,564,487,287,212,546,151,11844,21,6,13,6,3,0,3,8,5,61,1840,689,552,309,197,147,176,280,72,4263,1802,741,873,611,282,222,284,404,70,5288,9509,1025,16462,1256,857,1044,4304,4183,741,39379,264,49,157,83,52,71,140,216,14,1041,509,95,225,114,49,77,223,212,31,1553,140,72,73,26,13,17,25,51,9,427,759,144,343,107,57,120,288,381,280,2486,20458,10147,19600,3254,2233,2061,5703,6411,1437,71296,17,118,0,8,4,0,0,0,0,150,154,545,16,19,45,6,0,9,9,793,876,2479,53,167,257,35,5,43,38,3963,55,181,0,17,21,4,0,0,0,281
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,18,30,4,3,3,0,3,0,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,29,68,12,16,11,8,14,22,0,187,0,0,0,0,0,0,0,0,0,0,7,5,4,5,0,6,3,3,0,32,12,13,7,4,0,0,5,8,0,55,16,16,113,15,0,10,37,62,9,272,0,0,6,0,0,0,0,5,0,10,3,0,3,0,0,0,0,3,0,10,0,4,0,0,0,0,0,0,0,6,5,0,9,0,0,0,0,8,5,27,77,146,154,52,21,35,64,123,16,695,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,15,3,39,0,4,10,0,0,4,0,59,0,4,0,0,0,0,0,0,0,4
SOSR301,107,340,20,14,36,10,3,5,3,547,1100,7708,152,86,157,57,66,71,76,9481,9699,20821,1593,1232,2562,1304,1225,912,540,39897,271,665,43,59,98,35,40,20,18,1252,1814,5234,361,466,605,183,149,144,91,9051,987,1730,175,212,362,91,39,63,36,3693,22845,62872,8061,6372,9038,5031,4118,4563,1466,124366,42,45,67,56,17,30,25,33,12,328,4041,4060,3409,1610,1452,889,1242,1016,233,17961,7771,6701,7359,5333,3878,2633,3127,2888,539,40230,15806,6620,63544,8765,7549,6386,14920,14582,2565,140743,590,359,1172,699,517,806,1145,1655,79,7020,1216,895,1347,777,659,792,1340,1234,119,8388,563,912,486,257,240,198,365,356,96,3480,939,1070,1138,546,461,452,1038,1033,1477,8155,67812,120042,88920,26500,27636,18901,28850,28576,7354,414591,123,618,8,28,75,19,6,3,7,883,804,6502,106,138,254,40,7,23,47,7935,6288,24501,793,2711,4317,1270,158,727,493,41261,262,1044,10,107,176,30,3,31,25,1690
SOSR302,43,126,6,7,3,5,5,0,3,198,211,1768,26,24,18,15,11,15,18,2111,2329,4698,420,427,501,415,264,293,139,9500,72,208,14,8,15,17,13,7,10,363,431,1454,98,170,131,83,48,61,29,2502,217,384,42,61,51,37,11,20,7,828,6664,16555,2709,2417,1877,1905,1091,1466,475,35164,23,14,23,18,6,14,7,16,6,126,1920,1758,1305,773,429,530,390,425,104,7645,3172,2500,3165,2163,1105,1270,901,1198,229,15711,8240,2669,30171,3647,2442,3441,5148,6820,1248,63822,202,139,411,284,98,333,255,577,35,2332,585,406,568,407,203,452,403,599,56,3670,234,292,226,108,69,86,102,149,35,1307,489,435,600,293,130,264,307,400,585,3501,24812,33394,39789,10811,7095,8874,8954,12045,2983,148761,33,267,6,6,21,13,0,0,7,363,158,1539,16,37,62,15,0,9,24,1857,1640,7168,181,775,990,411,36,193,141,11531,73,376,9,37,35,14,4,13,5,567
SOSR303,8,44,0,0,0,0,0,0,0,56,129,1111,26,12,12,8,11,13,4,1320,798,1962,160,207,173,106,107,121,49,3682,14,72,4,9,4,4,0,10,3,126,185,697,48,106,73,17,27,33,13,1185,108,218,28,28,29,3,7,11,7,438,2192,7576,1044,1219,734,446,410,584,140,14348,3,3,9,16,0,0,7,7,0,40,598,707,576,416,207,108,189,155,31,2991,1250,1004,1261,1245,528,306,410,373,102,6485,3329,1301,15409,2982,1301,1450,3407,3077,521,32765,136,79,264,240,91,221,234,398,16,1679,187,114,238,238,92,129,224,241,31,1491,80,98,93,62,26,17,46,63,14,489,157,150,249,186,52,87,187,230,249,1547,9167,15149,19402,6959,3330,2909,5264,5297,1176,68658,14,104,6,5,3,3,0,0,0,137,91,854,18,23,30,10,0,0,3,1030,602,3206,107,369,321,102,16,77,45,4843,29,171,4,10,20,5,0,0,0,249
SOSR311,4,18,0,0,0,0,0,0,0,26,23,339,8,4,7,0,0,0,0,377,242,800,56,66,49,20,38,32,19,1326,5,39,3,0,0,0,0,0,0,59,72,282,29,39,25,0,6,9,5,469,46,97,16,17,14,4,5,0,0,197,791,3179,465,391,232,126,180,207,44,5616,3,4,3,4,0,0,5,0,0,21,232,281,256,148,65,42,82,60,28,1196,486,393,573,473,201,118,185,140,50,2623,1801,690,10087,1267,640,757,2613,1868,400,20113,48,34,173,98,34,134,157,290,11,977,89,56,133,104,28,75,163,150,11,797,26,48,51,17,9,16,31,37,5,234,79,64,140,75,20,52,142,169,127,877,3944,6325,11995,2703,1318,1352,3603,2967,698,34910,3,50,0,0,7,0,0,0,0,61,14,220,5,3,4,0,0,0,7,251,191,1090,19,71,91,34,0,18,8,1532,4,73,0,3,11,0,0,5,0,97
SOSR312,0,4,0,0,0,0,0,0,0,12,13,56,5,5,0,0,4,5,0,80,90,225,24,23,28,21,9,3,0,427,5,7,0,0,0,0,0,0,0,16,28,107,9,16,9,3,8,3,0,187,19,20,6,0,3,0,0,0,3,64,251,985,169,127,97,58,69,62,17,1846,0,0,0,0,3,0,0,5,0,9,106,119,112,44,27,22,24,29,9,499,208,176,267,167,90,54,78,86,19,1140,645,232,3735,392,277,271,1017,909,189,7684,15,22,50,37,19,51,74,119,4,392,26,19,52,46,17,23,51,68,3,304,9,22,18,7,5,7,13,14,0,107,29,19,65,18,8,28,57,78,51,352,1457,2024,4511,892,581,542,1403,1374,311,13105,0,8,0,0,0,0,0,0,0,16,4,59,0,4,0,0,0,0,0,67,61,359,11,33,33,12,3,5,5,514,4,10,0,5,0,0,0,0,0,18
SOSR313,0,10,0,0,0,0,0,0,0,9,22,142,0,0,5,0,0,4,0,169,179,424,30,43,37,19,18,10,8,763,5,12,4,3,0,0,0,0,0,32,61,172,15,36,16,0,4,7,3,327,40,65,15,9,10,3,7,3,0,145,535,1869,280,254,145,81,119,165,35,3489,0,0,9,5,0,4,0,3,0,17,204,184,157,104,36,36,71,58,12,860,402,252,372,358,108,95,170,121,25,1905,1321,443,6836,601,405,501,2143,1298,273,13824,59,28,117,65,32,74,113,188,12,684,82,29,98,49,25,61,105,106,8,561,27,44,34,17,13,8,33,26,3,200,69,40,111,49,25,30,116,121,75,632,3011,3711,8069,1585,850,909,2898,2114,457,23608,3,37,0,0,0,0,0,0,0,42,16,96,0,4,7,0,0,0,0,122,144,763,17,70,68,24,0,21,10,1110,5,44,5,4,3,0,0,0,0,60
SOSR314,0,7,0,0,0,0,0,0,0,12,24,95,0,0,3,0,0,0,0,127,189,373,35,25,36,11,17,47,11,737,10,11,5,0,4,0,0,0,0,26,50,162,14,21,14,6,8,6,0,277,30,40,10,10,8,0,0,0,0,99,589,1595,284,228,129,96,103,289,46,3363,0,0,0,3,0,0,3,0,0,16,189,186,210,98,46,30,56,62,19,905,427,295,385,300,117,96,169,214,49,2051,1422,481,6872,538,411,471,2080,1524,322,14119,48,21,111,37,26,61,112,185,8,615,86,27,96,50,26,42,122,122,6,575,19,20,43,10,7,10,33,37,3,180,70,40,111,29,24,34,135,185,105,733,3148,3358,8186,1357,860,855,2839,2679,570,23851,3,26,0,0,4,0,0,0,0,33,18,98,6,0,4,0,0,0,0,119,159,680,24,51,52,19,0,55,16,1056,3,36,0,4,3,4,0,0,0,51
SOSR315,0,13,0,0,0,0,0,0,0,17,29,127,6,3,5,0,0,0,0,179,188,457,39,42,34,17,13,24,8,815,6,13,0,4,4,4,0,0,0,30,69,218,28,33,19,3,17,13,7,406,43,56,12,23,7,9,4,6,4,159,715,2088,343,376,190,93,109,318,50,4289,7,3,7,7,0,0,0,0,0,27,299,267,231,158,69,54,72,74,28,1249,551,387,513,464,193,109,191,198,42,2644,1872,635,9947,978,605,654,3007,2296,426,20422,55,36,176,59,32,90,162,281,15,922,111,56,140,55,47,55,196,184,17,860,23,28,56,16,10,19,41,52,10,261,105,68,178,75,37,54,230,242,163,1149,4074,4466,11679,2292,1253,1156,4044,3690,770,33432,4,49,0,4,5,0,0,0,0,61,19,165,7,6,3,0,0,0,0,197,180,887,13,79,84,23,8,29,8,1318,8,47,0,0,0,0,0,0,0,64
SOSR321,0,4,0,0,0,0,0,0,0,8,16,64,3,0,0,0,0,0,0,88,99,201,11,9,13,7,5,6,3,348,0,9,4,0,0,0,0,0,0,16,23,92,8,19,8,3,0,4,0,155,21,26,5,7,3,0,4,0,0,64,275,811,109,142,75,40,33,52,17,1552,3,3,3,0,0,0,0,3,0,18,128,100,90,72,30,14,37,34,12,524,195,150,178,177,63,44,81,80,16,980,805,245,3532,362,238,258,1086,848,149,7527,28,10,64,33,17,38,53,80,3,326,39,20,45,27,11,24,58,57,5,284,11,20,15,0,6,3,13,9,4,85,50,33,70,23,9,15,105,98,71,476,1691,1790,4128,879,489,452,1473,1266,279,12447,0,13,0,0,0,0,0,0,0,16,13,66,0,4,3,0,0,0,7,94,98,361,5,32,39,10,0,7,3,553,3,23,0,3,7,0,0,0,0,41
SOSR322,0,3,0,0,0,0,0,0,0,4,4,23,0,0,0,0,0,0,0,28,25,50,9,9,8,0,0,0,0,102,0,0,0,0,0,0,0,0,0,3,10,24,6,8,6,0,0,3,0,59,3,3,0,0,0,0,0,0,0,13,117,270,46,44,25,15,8,27,9,556,3,0,0,0,0,0,0,0,0,6,48,43,32,33,7,0,13,16,0,192,70,59,66,67,21,8,19,33,12,350,380,167,1419,125,68,80,512,393,76,3218,16,9,28,20,5,4,26,54,0,170,19,10,14,18,9,5,20,33,5,133,9,4,8,4,3,0,13,8,0,41,27,25,33,21,14,3,50,45,38,252,728,698,1670,328,156,134,661,604,148,5130,0,3,0,0,0,0,0,0,0,3,3,30,0,0,3,0,0,0,0,40,41,125,8,11,8,3,0,5,3,205,0,7,0,0,0,0,0,0,4,14
SOSR331,11,29,0,0,3,0,0,3,0,45,105,440,4,7,12,6,5,11,9,591,605,877,60,68,91,27,33,58,28,1845,17,46,3,6,4,0,0,0,3,75,202,381,46,48,29,15,17,21,9,772,97,76,16,19,19,3,3,8,0,241,2655,4120,587,474,359,254,235,479,120,9292,17,5,8,7,0,0,0,3,0,44,1092,633,503,211,163,103,187,184,49,3131,1571,683,863,551,276,216,354,411,88,5003,7305,1157,17647,1198,958,1004,5292,4538,845,39944,250,62,258,77,60,110,236,377,23,1455,555,127,210,109,60,84,347,314,40,1844,143,82,66,35,17,15,59,62,11,492,503,114,288,99,55,106,421,483,309,2366,15119,8836,20560,2908,2104,1952,7180,6946,1538,67143,17,76,0,0,6,0,0,0,0,109,103,454,9,7,22,5,0,0,3,600,556,1758,38,103,247,33,8,36,26,2814,35,125,3,3,15,0,0,0,3,185
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,10,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,10,15,22,0,5,7,7,4,8,0,64,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,12,0,10,0,4,0,0,0,0,0,11,39,85,13,28,3,6,9,52,3,237,0,0,0,0,0,0,0,0,0,6,6,3,5,5,0,0,4,3,0,35,9,16,11,11,8,7,7,16,0,95,34,12,197,28,19,20,94,97,15,515,4,3,4,0,0,10,3,6,0,33,0,3,8,0,0,0,4,6,0,29,0,3,0,0,0,0,3,0,0,8,3,0,11,5,3,0,3,10,13,50,118,174,240,84,41,46,141,208,39,1092,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,12,40,3,6,8,4,0,10,0,84,0,0,0,0,0,0,0,0,0,5
SOSR401,65,185,10,20,23,6,10,3,6,324,602,4068,91,63,98,13,23,50,31,5034,4201,9219,1035,1376,1716,740,973,924,275,20458,132,356,38,51,52,26,36,24,13,714,896,2624,176,254,345,94,74,92,41,4600,434,626,65,96,137,31,13,24,12,1439,10182,29975,4504,4383,4736,2606,2396,3097,752,62632,19,9,32,31,12,3,16,7,6,143,2172,2460,1807,1334,829,509,600,594,135,10438,3534,3239,3533,2450,1639,1087,1480,1326,285,18590,8301,3528,33075,5691,4121,3425,6615,6927,1399,73082,327,234,670,427,304,404,523,750,46,3687,690,440,649,556,378,410,461,500,100,4182,256,437,298,191,133,104,171,224,45,1859,475,503,583,378,231,245,540,554,615,4126,32279,57912,46571,17309,14754,9695,13921,15107,3756,211306,67,409,6,44,37,6,0,0,9,579,452,3363,68,86,171,25,0,17,19,4205,2755,11972,545,2906,2305,632,97,741,254,22204,128,568,10,97,73,27,0,29,12,944
